"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Lebanon","Almonds, with shell",0.0296505238073522,6859408,30888000,"Production_kg/Import_kg",221,"Almonds; with shell",45,9042.21,322115.37,776907.8,274225.83,157.94,0,0.67,3686.09,47.43,54.98,11957.2,110105.44,15.42,73.28,7330.74,3.24,11.65,59.3,2.08,791.24,4882.61,31.73,60003.67,512947.09,177148.27,0,0,75.54,44.56,987.15
"2","Lebanon","Anise, badian, fennel, coriander",0.00195,6859408,305000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,792.57,36058.03,32677.59,106560.83,23.83,0,0,1854.45,73.18,10.57,3382.72,54446.82,2.14,168.74,1049.11,0.75,0.69,7.02,1.14,1249.22,718.27,6.22,1920.41,24824.86,5992.9,0,0,22.71,15.35,0
"3","Lebanon","Apples",0.121111111111111,6859408,217672000,"Production_kg/Import_kg",515,"Apples",119,1470.84,8133.49,7718.63,342851.2,380.42,0.14,0,203.06,18.37,1.68,2695.05,37119.29,0.76,152.63,284.48,1.19,0.74,4.91,1.06,4249.94,122.28,0.92,1021.87,222.72,1716.22,0,0,2214.15,6.74,262.02
"4","Lebanon","Apricots",0.03995,6859408,31053000,"Production_kg/Import_kg",526,"Apricots",125,559.79,11331.83,2897.71,129001.58,75.73,1.45,0.1,192.64,9,2.49,3305.12,15486.84,0.88,15.01,270.08,0.26,1.27,8.84,0.61,31.73,113.32,0.87,322.96,1926.41,889.55,0,0,970.09,8.95,96.32
"5","Lebanon","Artichokes",0.1,6859408,6e+05,"Production_kg",366,"Artichokes",79,4.85,228.91,15.31,1014.88,0.72,0,0,7.29,0.12,0,29.94,215.76,0,9.28,8.57,0,0,0,0,3.01,5.25,0,3.76,0.66,5.42,0,0,7.54,0.11,5.25
"6","Lebanon","Asparagus",0.0845294117647059,6859408,67000,"Import_kg",367,"Asparagus",80,0.23,24.93,2.34,35.19,0.25,0,0,0.24,0,0,2.5,28.12,0,0,0.97,0,0,0,0,0.18,0.16,0,0.52,0,0.81,0,0,1.07,0,0.54
"7","Lebanon","Avocados",0.048,6859408,17432000,"Production_kg/Import_kg",572,"Avocados",141,771.28,8515.8,74585.6,22977.83,67.73,0.18,0.31,108.88,5.09,2.55,2700.35,23207.26,1.12,34.92,898.73,0.33,0.74,7.33,1.62,75.18,160.16,0.75,12661.63,42049.7,8809.93,0,0,407.11,6.21,201.19
"8","Lebanon","Bananas",0.04075,6859408,78626000,"Production_kg/Import_kg",486,"Bananas",117,2833.63,34197.65,6539.96,656647.84,299.47,1.03,0.53,277.12,22.47,4.64,9558.18,43983.29,2.59,178.53,713.45,1.5,1.42,23.95,9.82,275.66,796.98,7.59,3122.3,731.35,1589.28,0,0,2048.99,23.32,998.57
"9","Lebanon","Barley",0.04775,6859408,139214000,"Production_kg/Import_kg",44,"Barley",3,14627.22,388671.65,59146.73,3168926.44,28.34,0,0.89,2369.56,330.61,107.45,10944.61,352069.2,27.17,909.57,12431.07,11.18,5.5,227.27,12.28,1606.63,3301.09,60.43,15428.71,9435.74,35447.77,0,0,499.09,77.87,0
"10","Lebanon","Beans, dry",0.1145,6859408,10636000,"Production_kg/Import_kg",176,"Beans",30,446.24,28834.05,1859.23,78545.45,2.46,0,0.55,189.48,9.87,3.95,1583.45,16795.87,1.18,21.15,523.75,0.61,0.3,2.71,0.53,149.5,234.13,1.76,418.6,185.88,644,0,0,15.88,5.17,0
"11","Lebanon","Beans, green",0.0843965476190476,6859408,16533000,"Production_kg",414,"Beans; green",92,136.25,13022.12,1554.82,21369.56,65.45,0,0.18,179.8,6.2,1.32,831.25,6399.12,0.15,47.36,304.45,0.36,2.84,2.5,0.4,23.13,85.68,0.25,138.99,52.36,268.45,0,0,237.37,3.24,35.41
"12","Lebanon","Blueberries",0.134028846153846,6859408,152000,"Import_kg",552,"Blueberries",136,0.94,12.23,5.46,239.57,0.16,0,0,0,0,0,1.27,39.68,0,0,0.2,0,0,0,0,0,0,0,0.46,0.78,2.41,0,0,1.39,0,0
"13","Lebanon","Broad beans, horse beans, dry",0.052,6859408,5088000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,477.15,34231.68,2265.68,78452.48,3.88,0,0.6,141.35,11.52,4.98,1702.04,27625.62,1.17,26.01,544.15,0.55,0.41,3.76,0.52,136.65,273.17,2.32,359.47,430.08,860.86,0,0,14.87,4.29,38.51
"14","Lebanon","Cabbages and other brassicas",0.08324,6859408,59927000,"Production_kg",358,"Cabbages and other brassicas",78,281.97,23837.04,3198.92,45997.7,643.63,2.42,0.66,1288,18.16,3.58,2997.1,23162.52,1.63,412.55,739.97,0.64,1.08,8.13,1.89,258.77,256.27,2.66,360.08,188.11,921.99,0,0,953.45,11.61,289.68
"15","Lebanon","Carobs",0.0561030012218987,6859408,3511000,"Production_kg",461,"Leguminous vegetables; nes",94,70.02,6436.58,1717.49,9312.74,11.79,0,0.14,52.69,1.79,0.91,302.9,6842.57,0.37,9.1,117.69,0,0.11,2.05,0,0,30.11,0.6,107.66,94.88,312.02,0,0,72.83,1.02,2.74
"16","Lebanon","Carrots and turnips",0.0830718954248366,6859408,7153000,"Production_kg/Import_kg",426,"Carrots and turnips",96,37.95,1643.75,293.93,7364.68,34.36,0.76,0,83.27,1.95,0.32,365.33,2549.16,0,59.26,149.54,0,0.12,0.97,0.23,131.3,15.27,0.18,40.59,18.41,94.98,0,0,112.03,1.58,28.87
"17","Lebanon","Cauliflowers and broccoli",0.103835520801038,6859408,19032000,"Production_kg",393,"Cauliflowers and broccoli",84,76.59,8277.13,863.98,10872.75,216.09,1.45,0.16,117.14,2.9,1.12,791.7,5076.98,0.11,79.98,290.23,0.29,0.29,1.91,0.48,169.23,48.1,0.49,166.34,50.1,86.18,0,0,231.44,2.89,128.26
"18","Lebanon","Cherries",0.1289,6859408,29468000,"Production_kg/Import_kg",531,"Cherries",127,151.93,3627.21,577.69,34705.71,41.73,0,0,91.99,1.69,0.23,828.2,3499.45,0.2,5,77.99,0,0,2.3,0.16,20.33,36.66,0.23,126.65,156.64,173.31,0,0,274.54,2.27,26.66
"19","Lebanon","Cherries, sour",0.028,6859408,1000,"Import_kg",530,"Sour cherries",126,0,0.57,0.14,5.79,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Lebanon","Chestnut",0.059,6859408,2088000,"Import_kg",220,"Chestnuts",44,135.17,2629.53,1504.8,26864.54,9.11,0,0,19.26,0.86,0.24,337.16,6345.95,0.34,9.61,65.27,0.11,0.11,0.55,0.34,0,38.18,0.67,431.83,791.95,907.01,0,0,17.52,1.06,10.32
"21","Lebanon","Chick peas",0.04575,6859408,19653000,"Production_kg/Import_kg",191,"Chick peas",33,2206,121768.03,31524.71,365208.36,13.15,0,2.33,853.98,43.39,21.59,5066.4,47804.12,5.75,125.63,1943.9,2.47,1.1,11.04,3.35,918.4,619.99,70.5,3860.86,8538.99,16661.51,0,0,65.75,18.59,0
"22","Lebanon","Chillies and peppers, dry",4e-04,6859408,374000,"Import_kg",689,"Pimento",156,3277.71,139687.66,121669.54,559376.01,1028.23,9.25,0.75,2827.93,99.51,36.02,24835.53,302878.91,8.99,6185.03,2534.25,3.81,5.94,75.2,23.5,701.99,2092.35,29.68,36121.92,23195.27,84039.13,0,0,382.05,81.57,0
"23","Lebanon","Chillies and peppers, green",0.0664142191142191,6859408,11856000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,101.99,4633.71,1729.5,17977.71,300.12,0.32,0,71.94,4.23,0.81,733.71,8366.17,0.4,18.46,265.14,0.33,0.31,3.09,0.92,21.02,93.89,0.61,108.52,46.43,474.89,0,0,229.72,2.3,43.09
"24","Lebanon","Cinnamon (cannella)",0.00115555555555556,6859408,421000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Lebanon","Cloves",0.0013,6859408,19000,"Import_kg",698,"Cloves",157,51.07,921.18,1988.66,9625.82,0,0,0,119.46,1.83,0.49,217.33,4570.37,0,59.02,17.33,0,0,0.17,0,7.97,55.19,12.81,842.06,296.81,768.33,0,0,7.09,0.9,0
"26","Lebanon","Cocoa, beans",0.0115,6859408,45000,"Import_kg",661,"Cocoa Beans",153,13.01,920.5,2358.98,3302.99,0,0,0,6.12,0.29,0.39,57.25,2110.72,0.22,0.47,33.46,0,0,0.11,0,0.68,28.47,0.22,1313.06,906.61,49.06,0,0,0.22,0.23,0
"27","Lebanon","Coconuts",0.04,6859408,10395000,"Import_kg",249,"Coconuts - Incl Copra",58,1202.88,12711,106627.22,47671.86,9.09,0,0,70.71,10.87,6.25,1238.55,24457.47,1.94,80.25,398.73,0.24,0.12,2.56,0.16,45.84,109.81,14.21,113085.69,10087.13,2587.61,0,0,200.92,3.87,157.23
"28","Lebanon","Coffee, green",0.00312,6859408,25932000,"Import_kg",656,"Coffee",152,22450.66,1369759.18,1807591.5,4386350.72,121.17,0.48,2.1,12485.75,418.67,64.3,269705.13,0,25.03,4309.41,34440.33,17.44,60.54,1343.53,2.82,5218.67,22640.29,46.17,4014.36,30107.69,2007.18,0,0,636.44,702.41,0
"29","Lebanon","Cranberries",0.0513333333333333,6859408,2000,"Import_kg",554,"Cranberries",137,0,0.22,0,6.93,0,0,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Lebanon","Cucumbers and gherkins",0.0675,6859408,128713000,"Production_kg",397,"Cucumbers and gherkins",86,388.08,17938.65,3286.84,70340.35,274.78,0.13,0.26,444.79,12.37,5.33,3962.93,18135.66,1.5,184.52,1008.3,0.73,0.88,5.3,1.11,166.8,347.49,2.2,931.27,69.5,722.78,0,0,2661.98,11.55,430.89
"31","Lebanon","Currants",0.038,6859408,1000,"Import_kg",550,"Currants",135,0,0.69,0,11.47,0,0,0,0,0,0,0.11,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Lebanon","Dates",0.0393863636363636,6859408,5778000,"Import_kg",577,"Dates",121,425.17,3758.72,628.24,108986.93,14.45,0,0,88.76,3.53,0.65,1290.69,10565.06,0.49,4.28,171.9,0.15,0.26,3.52,0.38,17.32,86.26,0.6,34.22,38.5,20.32,0,0,80.83,2.87,37.07
