"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Lesotho","Barley",0.04775,2108328,459000,"Production_kg",44,"Barley",3,156.91,4169.28,634.47,33993.07,0.3,0,0,25.42,3.55,1.15,117.4,3776.65,0.29,9.76,133.35,0.12,0,2.44,0.13,17.23,35.41,0.65,165.5,101.22,380.25,0,0,5.35,0.84,0
"2","Lesotho","Beans, dry",0.1145,2108328,4030000,"Production_kg",176,"Beans",30,550.1,35545.19,2291.97,96826.93,3.03,0,0.68,233.58,12.17,4.88,1952,20705.12,1.46,26.08,645.65,0.75,0.37,3.34,0.65,184.3,288.63,2.17,516.03,229.14,793.89,0,0,19.57,6.38,0
"3","Lesotho","Fruit, fresh nes",0.107099201828105,2108328,14062000,"Production_kg",619,"Fresh fruit; nes",147,560.51,9511.46,4743.6,120023.62,242.9,0.31,0,334.06,22.72,1.56,1734.85,21626.85,0.7,69.52,260.56,0.39,0.36,6.23,0.56,434.84,198.74,1.3,762.26,525.2,725.86,0,0,471.4,5.68,173.34
"4","Lesotho","Maize",0.0869363057324841,2108328,3.5e+07,"Production_kg",56,"Maize",4,6747.36,165039.28,65360.68,1378153.44,13.09,0.42,0.44,398.43,62.14,34.27,5625.61,98892.94,3.45,178.46,4179.77,5.09,2.26,49.25,6.77,0,2094.15,4.63,11299.7,24590.1,46129.7,0,0,237.95,23.97,0
"5","Lesotho","Oats",0.0434605263157895,2108328,359000,"Production_kg",75,"Oats",6,143.14,5350.24,2416.9,25400.21,0,0,0,23.07,2.07,1.34,159.66,1733.7,0.25,9.42,142.37,0.2,0,0.49,0,0,69.35,1.93,465.65,859.6,974.6,0,0,4.13,0.78,0
"6","Lesotho","Peas, dry",0.0623254069051863,2108328,504000,"Production_kg",187,"Cow peas; dry",34,126.96,8310.48,567.53,21590.03,0.37,0,0.15,37.05,2.96,1.61,382.51,4068.88,0.33,9.89,155.74,0.21,0,1.04,0.14,56.9,77.82,0.48,126.96,40.66,207.89,0,0,4.47,1.35,0
"7","Lesotho","Potatoes",0.133867924528302,2108328,130540000,"Production_kg",116,"Potatoes",18,3709.03,95154.24,6286.25,828722.91,739.71,0,0.69,424.24,48.72,19.22,17298.95,62340.86,4.09,486.3,2238.95,3.68,3,63.7,11.39,1618.81,1140.88,5.12,1359.8,64.75,1896.32,0,0,3532.14,48.79,1029.1
"8","Lesotho","Sorghum",0.0326666666666667,2108328,1e+06,"Production_kg",83,"Sorghum",8,506.74,17044.72,5046.63,103560.88,0,0,0,44.3,8.84,2.7,451.86,4890.84,0.32,13.62,520.89,0.47,0.17,4.79,0.35,0,368.39,1.89,885.7,1642.18,2262.17,0,0,14.63,3.06,0
"9","Lesotho","Vegetables, fresh nes",0.075156077445368,2108328,32342000,"Production_kg",463,"Vegetables; fresh; nes",101,965.73,65135.26,13626.58,163206.77,968.06,6.36,1.5,4041.28,83.7,11.43,7956.43,96507.61,3.28,969.35,1613.25,1.87,4.06,20.99,4.46,446.02,1049.52,13.16,1398.36,1336.71,2664.26,0,0,1730.36,33.32,510.93
"10","Lesotho","Wheat",0.0442045454545455,2108328,2e+06,"Production_kg",15,"Wheat",1,722.8,24552.65,3943.23,148826.75,0.72,0,0,91.29,8.44,5.29,734.16,10858.64,1.01,15.92,657.46,0.71,0.44,9.89,1.21,66.95,293.46,5.77,922.77,607.31,2504.35,0,0,23.93,4.06,0
