"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Lithuania","Almonds, with shell",0.0296505238073522,2801264,29000,"Import_kg",221,"Almonds; with shell",45,20.79,740.55,1786.12,630.45,0.36,0,0,8.47,0.11,0.13,27.49,253.13,0,0.17,16.85,0,0,0.14,0,1.82,11.23,0,137.95,1179.27,407.27,0,0,0.17,0.1,2.27
"2","Lithuania","Anise, badian, fennel, coriander",0.00195,2801264,1055000,"Import_kg",711,"Anise; badian; fennel; coriander",161,6713.09,305412.8,276780.35,902574.01,201.83,0.46,0.23,15707.24,619.84,89.57,28651.76,461166.46,18.12,1429.21,8886.02,6.33,5.84,59.46,9.66,10580.97,6083.79,52.68,16265.94,210267.44,50760.07,0,0,192.4,130.02,0
"3","Lithuania","Apples",0.121111111111111,2801264,32286000,"Import_kg",515,"Apples",119,534.21,2954.07,2803.4,124523.1,138.17,0,0,73.75,6.67,0.61,978.84,13481.68,0.28,55.43,103.32,0.43,0.27,1.78,0.38,1543.57,44.41,0.33,371.14,80.89,623.33,0,0,804.18,2.45,95.16
"4","Lithuania","Apricots",0.03995,2801264,2380000,"Import_kg",526,"Apricots",125,105.06,2126.7,543.83,24210.35,14.21,0.27,0,36.15,1.69,0.47,620.29,2906.49,0.17,2.82,50.69,0,0.24,1.66,0.11,5.95,21.27,0.16,60.61,361.54,166.95,0,0,182.06,1.68,18.08
"5","Lithuania","Artichokes",0.1,2801264,1e+05,"Import_kg",366,"Artichokes",79,1.98,93.42,6.25,414.19,0.3,0,0,2.97,0,0,12.22,88.06,0,3.79,3.5,0,0,0,0,1.23,2.14,0,1.54,0.27,2.21,0,0,3.08,0,2.14
"6","Lithuania","Asparagus",0.0845294117647059,2801264,147000,"Import_kg",367,"Asparagus",80,1.26,133.92,12.59,189.04,1.35,0,0,1.3,0,0,13.46,151.06,0,0.29,5.2,0,0,0,0,0.99,0.87,0,2.79,0.31,4.35,0,0,5.76,0,2.92
"7","Lithuania","Avocados",0.048,2801264,5276000,"Import_kg",572,"Avocados",141,571.61,6311.25,55277.09,17029.4,50.19,0.13,0.23,80.69,3.77,1.89,2001.29,17199.43,0.83,25.88,666.07,0.25,0.55,5.43,1.2,55.72,118.7,0.56,9383.82,31163.99,6529.24,0,0,301.72,4.6,149.11
"8","Lithuania","Bananas",0.04075,2801264,43765000,"Import_kg",486,"Bananas",117,3862.22,46611.12,8913.91,895005.84,408.18,1.41,0.72,377.71,30.63,6.33,13027.73,59948.88,3.54,243.34,972.43,2.05,1.94,32.64,13.38,375.73,1086.28,10.35,4255.67,996.82,2166.18,0,0,2792.76,31.78,1361.05
"9","Lithuania","Barley",0.04775,2801264,43769000,"Import_kg",44,"Barley",3,11261.03,299225.89,45535.18,2439655.28,21.81,0,0.69,1824.25,254.53,82.72,8425.9,271046.84,20.92,700.25,9570.28,8.61,4.23,174.97,9.46,1236.89,2541.4,46.52,11878.07,7264.27,27290.11,0,0,384.23,59.95,0
"10","Lithuania","Beans, dry",0.1145,2801264,1339000,"Import_kg",176,"Beans",30,137.56,8888.75,573.15,24213.4,0.76,0,0.17,58.41,3.04,1.22,488.14,5177.71,0.36,6.52,161.46,0.19,0,0.83,0.16,46.09,72.18,0.54,129.04,57.3,198.53,0,0,4.89,1.59,0
"11","Lithuania","Beans, green",0.0843965476190476,2801264,85000,"Import_kg",414,"Beans; green",92,1.72,163.94,19.57,269.03,0.82,0,0,2.26,0,0,10.46,80.56,0,0.6,3.83,0,0,0,0,0.29,1.08,0,1.75,0.66,3.38,0,0,2.99,0,0.45
"12","Lithuania","Broad beans, horse beans, dry",0.052,2801264,10768000,"Import_kg",181,"Broad beans; horse beans; dry",32,2472.71,177397.99,11741.38,406562.38,20.13,0,3.13,732.54,59.69,25.81,8820.45,143163.58,6.08,134.79,2819.93,2.86,2.14,19.47,2.72,708.18,1415.62,12.02,1862.85,2228.77,4461.23,0,0,77.07,22.21,199.59
