"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Lithuania","Apples",0.121111111111111,2801264,64356000,"Production_kg/Import_kg",515,"Apples",119,1064.84,5888.38,5588.04,248213.12,275.41,0.1,0,147.01,13.3,1.21,1951.13,26873.16,0.55,110.5,205.95,0.86,0.54,3.55,0.77,3076.82,88.52,0.66,739.8,161.24,1242.49,0,0,1602.97,4.88,189.69
"2","Lithuania","Barley",0.04775,2801264,632219000,"Production_kg/Import_kg",44,"Barley",3,162659.3,4322152.56,657730.49,35239471.33,315.1,0.12,9.93,26350.27,3676.47,1194.86,121707.51,3915121.69,302.18,10114.72,138237.41,124.31,61.14,2527.36,136.6,17866.19,36709.19,671.95,171572.13,104928.41,394190.52,0,0,5549.99,865.9,0
"3","Lithuania","Beans, green",0.0843965476190476,2801264,265000,"Production_kg/Import_kg",414,"Beans; green",92,5.35,511.1,61.02,838.73,2.57,0,0,7.06,0.24,0,32.63,251.16,0,1.86,11.95,0,0.11,0,0,0.91,3.36,0,5.46,2.05,10.54,0,0,9.32,0.13,1.39
"4","Lithuania","Berries nes",0.109406559397488,2801264,1340000,"Production_kg",558,"Berries; nes",138,24.75,406.93,197.06,5608.32,20.25,0,0,16.02,0.67,0.18,72.29,1259.21,0,2.64,9.84,0,0,0.21,0,4.27,7.1,0.41,7.87,18.36,95.42,0,0,37.54,0.22,0.35
"5","Lithuania","Blueberries",0.134028846153846,2801264,410000,"Production_kg",552,"Blueberries",136,6.22,80.81,36.04,1582.34,1.06,0,0,0.66,0,0,8.41,262.09,0,0.11,1.31,0,0,0,0,0.66,0.66,0,3.06,5.13,15.94,0,0,9.2,0,0.55
"6","Lithuania","Broad beans, horse beans, dry",0.052,2801264,138198000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,31735.15,2276750.3,150690.55,5217877.79,258.35,0.51,40.13,9401.5,766.13,331.3,113202.92,1837381.13,77.99,1729.86,36191.4,36.69,27.42,249.91,34.91,9088.87,18168.25,154.26,23908.09,28604.32,57256.08,0,0,989.16,285.06,2561.58
"7","Lithuania","Cabbages and other brassicas",0.08324,2801264,67654000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,779.48,65895.53,8843.14,127156.81,1779.27,6.69,1.81,3560.57,50.22,9.9,8285.23,64030.86,4.49,1140.46,2045.57,1.76,2.98,22.48,5.23,715.36,708.42,7.36,995.4,520.02,2548.77,0,0,2635.74,32.09,800.79
"8","Lithuania","Carrots and turnips",0.0830718954248366,2801264,51172000,"Production_kg/Import_kg",426,"Carrots and turnips",96,664.85,28794.62,5148.99,129012.25,601.97,13.38,0.48,1458.67,34.11,5.68,6399.81,44655.3,1.29,1038.03,2619.64,1.13,2.05,17.05,4.01,2300.15,267.54,3.14,711.01,322.52,1663.91,0,0,1962.58,27.59,505.77
"9","Lithuania","Cauliflowers and broccoli",0.103835520801038,2801264,8210000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,80.91,8743.22,912.63,11485,228.26,1.53,0.17,123.73,3.07,1.19,836.28,5362.86,0.12,84.49,306.57,0.31,0.31,2.02,0.51,178.76,50.81,0.52,175.7,52.92,91.03,0,0,244.47,3.05,135.48
"10","Lithuania","Cereals nes",0.0486257263475995,2801264,30840000,"Production_kg",108,"Cereals; nes",13,7884.7,294883.32,104207.33,1663910.12,24.34,0,0,3287.22,502.07,86.07,9667.68,71480.64,18.34,176.6,8617.64,8.13,6.01,33.01,10.91,296.6,4165.93,209.2,10165.78,13335.51,24248.43,0,0,247.1,88.74,0
"11","Lithuania","Cherries",0.1289,2801264,2098000,"Production_kg/Import_kg",531,"Cherries",127,26.49,632.35,100.71,6050.46,7.27,0,0,16.04,0.3,0,144.39,610.08,0,0.87,13.6,0,0,0.4,0,3.54,6.39,0,22.08,27.31,30.21,0,0,47.86,0.4,4.65
"12","Lithuania","Cherries, sour",0.028,2801264,594000,"Production_kg/Import_kg",530,"Sour cherries",126,35.85,833.04,201.95,8426.35,7.57,0,0,10.35,0.31,0.12,131.01,908.77,0,4.17,12.5,0,0,0.3,0,4.62,6.82,0,51.5,62.1,68.16,0,0,65.89,0.3,8.33
"13","Lithuania","Cucumbers and gherkins",0.0675,2801264,34561000,"Production_kg/Import_kg",397,"Cucumbers and gherkins",86,255.16,11794.68,2161.1,46248.86,180.67,0,0.17,292.45,8.13,3.5,2605.63,11924.21,0.99,121.32,662.96,0.48,0.58,3.49,0.73,109.67,228.47,1.44,612.31,45.69,475.23,0,0,1750.25,7.59,283.31
"14","Lithuania","Currants",0.038,2801264,1940000,"Production_kg",550,"Currants",135,228.27,3280.47,460.18,54483.21,184.07,0,0,124.38,5.49,0.47,544.01,4829.59,0.18,3.04,129.4,0,0,0.24,0.12,13.85,33.72,0.4,46.47,78.37,243.3,0,0,121.15,2.14,3.64
"15","Lithuania","Fruit, pome nes",0.133610628019324,2801264,410000,"Production_kg",542,"Pome fruit; nes",131,6.72,76.95,21.09,1686.84,2.01,0,0,2.52,0.19,0,14.55,301.25,0,0.23,1.29,0,0,0,0,0.5,0.72,0,1.97,4.82,6.85,0,0,9.13,0,2.21
"16","Lithuania","Garlic",0.00732,2801264,2201000,"Production_kg/Import_kg",406,"Garlic",90,1309.3,54539.44,2686.76,274213.26,142.6,0,0,551.72,14.92,12.51,4738.99,17039.96,5.18,186.98,2176.88,1.51,0.86,5.75,10.87,249.02,418.62,14.34,960.68,112.71,2570.75,0,0,702.08,15.56,139.54
"17","Lithuania","Grain, mixed",0.0651708222811671,2801264,13820000,"Production_kg",103,"Mixed grain",12,2636.17,86534.99,18773.81,557884.15,0,0,0.29,186.14,25.2,19.7,2609.01,79990.57,3.49,41.41,2392.59,3.03,1.2,32.53,2.29,247.16,897.28,19.45,3325.94,4030.85,7893.37,0,0,81.38,12.43,0
"18","Lithuania","Leeks, other alliaceous vegetables",0.083270092226614,2801264,2473000,"Production_kg/Import_kg",407,"Leeks; other alliaceous veg.",91,50.5,2271.15,315.7,10177.76,20.24,0.12,0,65.83,2.78,0.62,197.06,1971.94,0,14.22,78.4,0,0.11,2.44,0.2,7.79,61.49,0.66,79.87,38.52,177.76,0,0,91.03,0.92,29.69
"19","Lithuania","Lettuce and chicory",0.0865961538461538,2801264,13277000,"Production_kg/Import_kg",372,"Lettuce and chicory",81,94.58,7845.94,1358.37,15274.43,60.74,0.98,0.42,290.77,6.37,2.23,1405.28,9695.52,0.39,138.71,369.3,0.32,0.42,2.27,0.46,176.51,74.68,1.27,199.77,40.59,459.3,0,0,512.14,5.73,93.05
"20","Lithuania","Linseed",0.0178426203877423,2801264,14284000,"Production_kg/Import_kg",333,"Oilcrops; Other",62,14903.61,546427.14,1111294.13,777783.64,66.02,0,2.09,9684.3,491.04,123.85,20576.41,352942.63,34.52,944.51,15776.04,14.06,8.68,90.28,15.22,1250.3,9509.45,83.56,125609,287562.51,754547.06,0,0,164.34,124.23,663.02
"21","Lithuania","Lupins",0.042,2801264,3410000,"Production_kg",210,"Lupins",39,1075.29,85697.01,34538.69,117006.45,8,0,1.03,305.26,14.18,13.77,2936.03,54778.84,2.96,43.48,1269.56,0.6,0.93,7.5,1.03,0,573.87,6.9,3350.49,11419.5,7069.08,0,0,23.38,9.18,0
"22","Lithuania","Maize",0.0869363057324841,2801264,473827000,"Production_kg/Import_kg",56,"Maize",4,68749.52,1681601.99,665966.59,14042145.56,133.42,4.29,4.53,4059.63,633.12,349.13,57319.88,1007630.2,35.11,1818.3,42588.07,51.89,23.04,501.86,68.95,0,21337.48,47.18,115133.8,250551,470020.25,0,0,2424.48,244.23,0
"23","Lithuania","Mushrooms and truffles",0.0389236263736264,2801264,17637000,"Production_kg/Import_kg",449,"Mushrooms and truffles",99,493.6,43334.53,6116.89,81792.19,48.12,0,0.33,155.46,27.54,10.69,5220.64,38821.17,4.31,191.24,1676.02,1.43,4.91,60.98,1.94,515.67,244.65,2.87,690.92,263.43,14561.53,0,0.51,1466.34,15.09,48.53
"24","Lithuania","Oats",0.0434605263157895,2801264,191230000,"Production_kg/Import_kg",75,"Oats",6,57386.3,2144956.98,968956.26,10183170.73,15.71,0,7.07,9249.47,831.04,536.02,64008.05,695056.77,98.33,3776.08,57078.63,81.94,19.62,196.22,18.69,0,27802.27,772.18,186683.61,344622.5,390724,0,0,1656.89,314.37,0
"25","Lithuania","Oilseeds nes",0.0178426203877423,2801264,10089000,"Production_kg/Import_kg",339,"Oilcrops; Other",62,10526.64,385949.56,784923.44,549360.06,46.63,0,1.48,6840.16,346.83,87.47,14533.42,249288.59,24.38,667.12,11142.85,9.93,6.13,63.77,10.75,883.11,6716.66,59.02,88719.49,203109.65,532947.72,0,0,116.08,87.75,468.3
"26","Lithuania","Onions, dry",0.093304347826087,2801264,37852000,"Production_kg/Import_kg",403,"Onions",77,571.85,16667.63,2035.36,120994.31,128.77,0,0.2,600.28,10.31,5.71,1871.09,20564.65,0.4,145.47,755.35,0.49,0.53,3.48,1.59,88.34,172.82,0.93,492.39,352.4,806.17,0,0,1306.55,7.52,115.86
"27","Lithuania","Pears",0.04975,2801264,60146000,"Production_kg/Import_kg",521,"Pears",123,2237.49,19564.88,12923.37,545145.08,185.31,0,0.3,499.36,81.67,9.78,4661.05,84877.07,3.54,147.85,564.83,1.19,1.88,8.89,1.25,220.1,302.1,2.07,906.31,3538.94,3970.52,0,0,3662.23,12.41,496.32
"28","Lithuania","Peas, dry",0.0623254069051863,2801264,159249000,"Production_kg/Import_kg",187,"Cow peas; dry",34,30191.56,1976315.09,134964.18,5134326.66,87.41,0.49,36.76,8810.77,705.07,382.59,90965.59,967619.72,79.24,2351.54,37035.93,49.13,13.99,247.77,32.32,13531.47,18505.84,115.29,30191.56,9668.6,49437.54,0,0,1063.93,320.17,0
"29","Lithuania","Peas, green",0.0753287037037037,2801264,435000,"Production_kg/Import_kg",417,"Peas; green",93,13.23,1619.56,80.4,2315.71,6.55,0,0,7.53,0.4,0.17,44.7,672.04,0,2.09,27.71,0,0,0.38,0,4.72,6.25,0,12.37,6.6,29.27,0,0,14.6,0.27,8.38
"30","Lithuania","Plums and sloes",0.0704444444444444,2801264,4316000,"Production_kg/Import_kg",536,"Plums and sloes",129,117.67,1611.21,643.03,27085.8,33.96,0,0,40.06,1.78,0.22,430.14,1822.63,0.12,1.46,53.8,0.1,0.17,1.34,0,4.16,15.31,0.11,73.27,583.97,190.28,0,0,182.8,1.13,14.22
"31","Lithuania","Potatoes",0.133867924528302,2801264,341492000,"Production_kg/Import_kg",116,"Potatoes",18,7302.66,187348.07,12376.92,1631662.78,1456.42,0,1.36,835.27,95.93,37.84,34059.71,122742.18,8.05,957.48,4408.25,7.24,5.9,125.42,22.42,3187.26,2246.26,10.09,2677.3,127.49,3733.65,0,0,6954.4,96.06,2026.19
"32","Lithuania","Pulses nes",0.0587825743767065,2801264,14830000,"Production_kg",211,"Pulses; nes",40,3377.62,203661.07,68952.53,491434.53,18.59,0,3.07,1726.05,94.42,42.61,9267.31,81948.73,14.69,244.96,3103.35,4.54,1.96,18.75,2.39,3170.16,2321.78,16.98,7817.33,14353.53,14632.72,0,0,103.23,30.18,126.09
"33","Lithuania","Pumpkins, squash and gourds",0.100019949494949,2801264,5311000,"Production_kg/Import_kg",394,"Pumpkins; squash; and gourds",85,40.57,1927.14,336.95,7593.61,32.59,0.42,0,52.83,1.85,0.4,344,2988.42,0.19,13.68,120.1,0,0.12,1.41,0.25,76.25,42.14,0.11,103.83,25.06,50.55,0,0,176.67,1.07,41.23
"34","Lithuania","Rapeseed",0.0841,2801264,706681000,"Production_kg/Import_kg",270,"Rape and Mustardseed",56,157332.66,6911238.08,11434739.39,7812638.71,1064.88,0.6,48.59,113387.5,2581.22,1661.82,221375.59,2129765.21,246.72,3899.57,229174.73,270.72,39.15,1309.81,119.09,50049.48,110987.76,667.13,596634.22,6754655.34,3026066.39,0,0,1990.28,1249.36,0
"35","Lithuania","Raspberries",0.122789473684211,2801264,1060000,"Production_kg",547,"Raspberries",133,16.64,338.99,192.61,3642.57,8.66,0,0,10.02,0.46,0.13,46.53,1155.64,0,0.31,21.42,0,0,0.25,0,3.79,6.78,0.21,5.86,19.72,115.56,0,0,26.28,0.21,1.23
"36","Lithuania","Rye",0.03,2801264,113593000,"Production_kg/Import_kg",71,"Rye",5,46813.44,1396293.11,216776.87,10311572.83,0,0,5.14,3997.13,373.26,358.2,32125.1,806506.83,49.61,135.17,45474.63,44.54,27.06,269.66,39.74,4109.13,14868.56,348.33,26628.24,28115.1,103674.43,0,0,1507.13,208.84,0
"37","Lithuania","Soybeans",0.071,2801264,3981000,"Production_kg/Import_kg",236,"Soyabeans",53,809.52,70817.43,34852.27,47625.19,6.58,0,0.53,475.3,17.43,7.98,3003.56,19707.52,2.69,19.47,1210.77,1.36,0.54,4.57,1.35,231.99,475.36,4.35,5768.64,8761.05,21202.07,0,0,17.93,10.14,0
"38","Lithuania","Spinach",0.0856063829787234,2801264,1488000,"Production_kg/Import_kg",373,"Spinach",82,14.62,1594.69,278.84,1757.93,23.49,0.22,0.1,79.5,2.54,0.34,303.5,1253.41,0,62.82,32.8,0,0.12,0.42,0.12,11.98,40.54,0.43,28.85,6.21,54.29,0,0,56.53,1.14,17.37
"39","Lithuania","Strawberries",0.127327819548872,2801264,10417000,"Production_kg/Import_kg",544,"Strawberries",132,101.23,2548.18,1090.34,21753.96,174.5,0,0,68.34,3.01,0.41,398.66,4453.85,0.14,6.54,70.74,0,0.12,1.38,0.14,16.65,37.97,1.13,51.11,135.81,386.97,0,0,262.8,1.17,14.6
"40","Lithuania","Sugar beet",0.125770747489689,2801264,1023749000,"Production_kg/Import_kg",157,"Roots and tubers; nes",23,29715.34,563280.71,222678.11,6303493.82,4208.75,8.29,22.72,9696.4,829.66,88.14,141074.67,516919.49,36.94,4367.36,19373.81,21.3,20.92,349.98,47.89,6334.56,12494.77,52.07,5956.81,1234.95,13148.57,0,0,20978.83,301.56,6344.24
"41","Lithuania","Tomatoes",0.0714285714285714,2801264,41665000,"Production_kg/Import_kg",388,"Tomatoes",76,415.77,19846.4,5246.68,75770.47,479.96,1.33,0.46,312.31,21.09,3.98,4082.72,23859.8,1.4,232.11,839.43,1.02,0.87,16.8,1.72,139.51,270.7,1.19,603.87,635.1,1697.08,0,0,1957.14,11.12,135.35
"42","Lithuania","Triticale",0.0385,2801264,349476000,"Production_kg/Import_kg",97,"Triticale",11,108878.43,4228760.59,677249.78,23373218.49,0,0,23.66,11989.59,832.79,1117.95,107582.26,0,148.09,1620.21,116007.38,134.8,43.42,463.38,44.72,0,42125.58,1040.18,118599.72,68373.06,295851.22,0,0,3405.69,722.62,0
"43","Lithuania","Vegetables, leguminous nes",0.0561030012218987,2801264,40000,"Production_kg",420,"Leguminous vegetables; nes",94,1.95,179.56,47.91,259.8,0.33,0,0,1.47,0,0,8.45,190.89,0,0.25,3.28,0,0,0,0,0,0.84,0,3,2.65,8.7,0,0,2.03,0,0
"44","Lithuania","Wheat",0.0442045454545455,2801264,4015174000,"Production_kg/Import_kg",15,"Wheat",1,1092129.98,37098544.97,5958140.62,224874132.47,1080.84,0.12,131.32,137936.12,12755.28,7995.1,1109304,16407179.07,1523.99,24059.54,993401.73,1078.6,664.72,14942.31,1828.78,101166.8,443415.36,8719.15,1394285.97,917634.72,3784027.27,0,0,36164.97,6133.01,0
