"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Malawi","Anise, badian, fennel, coriander",0.00195,18143217,92000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,90.39,4112.09,3726.58,12152.28,2.72,0,0,211.48,8.35,1.21,385.77,6209.16,0.24,19.24,119.64,0,0,0.8,0.13,142.46,81.91,0.71,219.01,2831.05,683.44,0,0,2.59,1.75,0
"2","Malawi","Apples",0.121111111111111,18143217,4136000,"Production_kg/Import_kg",515,"Apples",119,10.57,58.43,55.45,2462.95,2.73,0,0,1.46,0.13,0,19.36,266.66,0,1.1,2.04,0,0,0,0,30.53,0.88,0,7.34,1.6,12.33,0,0,15.91,0,1.88
"3","Malawi","Avocados",0.048,18143217,93346000,"Production_kg/Import_kg",572,"Avocados",141,1561.46,17240.36,150999.61,46518.95,137.12,0.36,0.62,220.42,10.3,5.17,5466.9,46983.43,2.26,70.7,1819.49,0.68,1.5,14.84,3.27,152.2,324.24,1.52,25633.66,85130.22,17835.84,0,0,824.19,12.58,407.31
"4","Malawi","Bananas",0.04075,18143217,433694000,"Production_kg/Import_kg",486,"Bananas",117,5909.25,71315.8,13638.43,1369374.06,624.52,2.15,1.09,577.91,46.86,9.68,19932.64,91722.79,5.41,372.31,1487.83,3.14,2.97,49.95,20.47,574.87,1662.03,15.84,6511.25,1525.16,3314.29,0,0,4272.97,48.62,2082.43
"5","Malawi","Beans, dry",0.1145,18143217,192194000,"Production_kg/Import_kg",176,"Beans",30,3048.59,196987.89,12701.84,536605.16,16.78,0,3.78,1294.46,67.46,27.02,10817.81,114745.69,8.07,144.51,3578.13,4.18,2.04,18.49,3.59,1021.38,1599.54,12.05,2859.79,1269.88,4399.68,0,0,108.46,35.35,0
"6","Malawi","Cabbages and other brassicas",0.08324,18143217,186906000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,332.49,28107.71,3772.04,54238.68,758.95,2.85,0.77,1518.76,21.42,4.22,3534.06,27312.34,1.92,486.46,872.54,0.75,1.27,9.59,2.23,305.13,302.18,3.14,424.59,221.81,1087.18,0,0,1124.27,13.69,341.57
"7","Malawi","Carrots and turnips",0.0830718954248366,18143217,4075000,"Production_kg/Import_kg",426,"Carrots and turnips",96,8.17,354.04,63.31,1586.23,7.4,0.16,0,17.93,0.42,0,78.69,549.05,0,12.76,32.21,0,0,0.21,0,28.28,3.29,0,8.74,3.97,20.46,0,0,24.13,0.34,6.22
"8","Malawi","Cashew nuts, with shell",0.0289438420348059,18143217,214000,"Production_kg",217,"Cashew nuts; with shell",43,22.18,748.79,1715.09,985.42,0,0,0,1.64,0.25,0.21,26.51,108.4,0,3.77,19.17,0,0,0,0,0,12.33,0,317.17,969.76,319.7,0,0,0.41,0,1.14
"9","Malawi","Cassava",0.108277777777778,18143217,5667887000,"Production_kg",125,"Cassava",17,40128.61,527212.05,136948.19,8956562.93,9290.16,2.95,7.36,11248.06,351.27,98.09,108481.43,427001.37,28.85,2654.33,11370.09,17.96,16.06,165.52,25.39,6837.79,6058.8,110.79,25100.76,25245.01,12694.64,0,0,18126.79,405.53,6058.8
"10","Malawi","Chick peas",0.04575,18143217,1339000,"Production_kg",191,"Chick peas",33,56.82,3136.59,812.04,9407.3,0.34,0,0,22,1.12,0.56,130.5,1231.37,0.15,3.24,50.07,0,0,0.28,0,23.66,15.97,1.82,99.45,219.95,429.18,0,0,1.69,0.48,0
