"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Malaysia","Bananas",0.04075,31528033,28103000,"Import_kg",486,"Bananas",117,220.35,2659.33,508.57,51063.29,23.29,0,0,21.55,1.75,0.36,743.28,3420.3,0.2,13.88,55.48,0.12,0.11,1.86,0.76,21.44,61.98,0.59,242.8,56.87,123.59,0,0,159.34,1.81,77.65
"2","Malaysia","Cabbages and other brassicas",0.08324,31528033,171410000,"Import_kg",358,"Cabbages and other brassicas",78,175.47,14833.91,1990.7,28624.6,400.54,1.51,0.41,801.53,11.3,2.23,1865.11,14414.15,1.01,256.73,460.48,0.4,0.67,5.06,1.18,161.04,159.48,1.66,224.08,117.06,573.76,0,0,593.34,7.22,180.27
"3","Malaysia","Cashew nuts, with shell",0.0289438420348059,31528033,3000,"Import_kg",217,"Cashew nuts; with shell",43,0.18,6.04,13.84,7.95,0,0,0,0,0,0,0.21,0.87,0,0,0.15,0,0,0,0,0,0,0,2.56,7.82,2.58,0,0,0,0,0
"4","Malaysia","Chillies and peppers, dry",4e-04,31528033,44574000,"Import_kg",689,"Pimento",156,84990.5,3622078.04,3154871.13,14504528.03,26661.71,239.95,19.35,73327.7,2580.17,933.98,643981.09,7853600.32,233.19,160376.74,65712.68,98.67,153.94,1949.97,609.25,18202.54,54254.17,769.69,936635.5,601449.59,2179120.78,0,0,9906.54,2115.03,0
"5","Malaysia","Chillies and peppers, green",0.0664142191142191,31528033,68079000,"Import_kg",401,"Chillies and peppers; green",88,127.42,5788.86,2160.66,22459.45,374.94,0.41,0,89.87,5.28,1.01,916.62,10451.8,0.5,23.06,331.24,0.41,0.39,3.86,1.15,26.25,117.3,0.77,135.58,58.01,593.27,0,0,286.99,2.87,53.83
"6","Malaysia","Cloves",0.0013,31528033,756000,"Import_kg",698,"Cloves",157,442.07,7974.44,17215.45,83328.92,0.18,0,0,1034.16,15.88,4.28,1881.4,39564.79,0.68,510.93,150.02,0.15,0.2,1.44,0.72,68.98,477.73,110.9,7289.51,2569.41,6651.31,0,0,61.4,7.77,0
"7","Malaysia","Cocoa, beans",0.0115,31528033,351493000,"Import_kg",661,"Cocoa Beans",153,22103.28,1564292.09,4008837.78,5613070.89,0,0.32,3.1,10398.24,491.9,660.19,97283.53,3586936.49,367.22,799.79,56856.34,16.43,19.17,178.98,11.44,1163.33,48375.17,371.98,2231413.8,1540686.17,83372.04,0,0,376.14,385.64,0
"8","Malaysia","Coconuts",0.04,31528033,257478000,"Import_kg",249,"Coconuts - Incl Copra",58,6482.27,68499.13,574610.41,256901.98,48.98,0,0.4,381.04,58.59,33.68,6674.52,131800.45,10.45,432.44,2148.73,1.28,0.65,13.81,0.84,247.04,591.74,76.56,609414.87,54359.18,13944.53,0,0,1082.76,20.88,847.29
"9","Malaysia","Coffee, green",0.00312,31528033,110028000,"Import_kg",656,"Coffee",152,20724.6,1264448.62,1668619.28,4049116.93,111.85,0.45,1.94,11525.82,386.48,59.36,248969.52,0,23.11,3978.09,31792.47,16.1,55.89,1240.23,2.6,4817.44,20899.65,42.62,3705.72,27792.94,1852.86,0,0,587.51,648.41,0
"10","Malaysia","Cucumbers and gherkins",0.0675,31528033,12303000,"Import_kg",397,"Cucumbers and gherkins",86,8.07,373.05,68.35,1462.79,5.71,0,0,9.25,0.26,0.11,82.41,377.15,0,3.84,20.97,0,0,0.11,0,3.47,7.23,0,19.37,1.45,15.03,0,0,55.36,0.24,8.96
"11","Malaysia","Fruit, fresh nes",0.107099201828105,31528033,41140000,"Import_kg",619,"Fresh fruit; nes",147,109.66,1860.83,928.04,23481.47,47.52,0,0,65.36,4.44,0.31,339.41,4231.09,0.14,13.6,50.98,0,0,1.22,0.11,85.07,38.88,0.26,149.13,102.75,142.01,0,0,92.23,1.11,33.91
