"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Malaysia","Bananas",0.04075,31528033,350835000,"Production_kg/Import_kg",486,"Bananas",117,2750.87,33198.82,6348.94,637468.92,290.72,1,0.51,269.03,21.81,4.51,9279.01,42698.65,2.52,173.32,692.61,1.46,1.38,23.25,9.53,267.61,773.71,7.37,3031.11,709.99,1542.86,0,0,1989.15,22.63,969.41
"2","Malaysia","Cabbages and other brassicas",0.08324,31528033,237474000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,243.1,20551.13,2757.95,39656.96,554.91,2.09,0.57,1110.45,15.66,3.09,2583.95,19969.59,1.4,355.68,637.96,0.55,0.93,7.01,1.63,223.1,220.94,2.29,310.44,162.18,794.9,0,0,822.02,10.01,249.74
"3","Malaysia","Cashew nuts, with shell",0.0289438420348059,31528033,16695000,"Production_kg/Import_kg",217,"Cashew nuts; with shell",43,995.67,33616.12,76997.73,44239.69,2.99,0,0,73.7,11.08,9.45,1190.09,4866.48,3.87,169.11,860.78,0.98,0.28,2.39,0.8,0,553.73,2.43,14239.03,43536.71,14352.46,0,0,18.19,4.18,51.23
"4","Malaysia","Cassava",0.108277777777778,31528033,42267000,"Production_kg",125,"Cassava",17,172.21,2262.47,587.7,38436.08,39.87,0,0,48.27,1.51,0.42,465.54,1832.43,0.12,11.39,48.79,0,0,0.71,0.11,29.34,26,0.48,107.72,108.34,54.48,0,0,77.79,1.74,26
"5","Malaysia","Chillies and peppers, dry",4e-04,31528033,46944000,"Production_kg/Import_kg",689,"Pimento",156,89509.44,3814663.97,3322615.65,15275733.92,28079.32,252.7,20.38,77226.54,2717.35,983.64,678221.57,8271176.32,245.59,168903.97,69206.62,103.91,162.12,2053.65,641.65,19170.37,57138.86,810.61,986436.42,633428.67,2294984.66,0,0,10433.27,2227.49,0
"6","Malaysia","Chillies and peppers, green",0.0664142191142191,31528033,95634000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,178.99,8131.91,3035.19,31549.91,526.69,0.57,0.13,126.25,7.42,1.42,1287.62,14682.17,0.71,32.4,465.3,0.58,0.55,5.42,1.62,36.88,164.77,1.08,190.45,81.49,833.4,0,0,403.15,4.04,75.61
"7","Malaysia","Cloves",0.0013,31528033,984000,"Production_kg/Import_kg",698,"Cloves",157,575.39,10379.43,22407.41,108459.86,0.24,0,0,1346.05,20.67,5.57,2448.81,51497.03,0.88,665.02,195.26,0.19,0.26,1.87,0.94,89.79,621.81,144.35,9487.94,3344.31,8657.26,0,0,79.92,10.11,0
"8","Malaysia","Cocoa, beans",0.0115,31528033,352498000,"Production_kg/Import_kg",661,"Cocoa Beans",153,22166.48,1568764.76,4020299.98,5629119.96,0,0.32,3.11,10427.97,493.3,662.08,97561.69,3597192.38,368.27,802.08,57018.9,16.48,19.23,179.5,11.47,1166.66,48513.49,373.04,2237793.93,1545091.35,83610.42,0,0,377.22,386.75,0
"9","Malaysia","Coconuts",0.04,31528033,794084000,"Production_kg/Import_kg",249,"Coconuts - Incl Copra",58,19991.86,211257.12,1772147.26,792307.51,151.05,0,1.23,1175.17,180.68,103.88,20584.8,406483.76,32.23,1333.69,6626.87,3.95,2,42.59,2.6,761.89,1824.98,236.12,1879487.16,167648.32,43006.12,0,0,3339.32,64.4,2613.11
"10","Malaysia","Coffee, green",0.00312,31528033,113587000,"Production_kg/Import_kg",656,"Coffee",152,21394.96,1305348.87,1722592.96,4180090.93,115.47,0.46,2,11898.63,398.98,61.28,257022.76,0,23.85,4106.77,32820.83,16.62,57.7,1280.35,2.69,4973.27,21575.68,43.99,3825.59,28691.94,1912.8,0,0,606.52,669.38,0
"11","Malaysia","Cucumbers and gherkins",0.0675,31528033,115662000,"Production_kg/Import_kg",397,"Cucumbers and gherkins",86,75.87,3507.1,642.59,13751.9,53.72,0,0,86.96,2.42,1.04,774.77,3545.61,0.29,36.07,197.13,0.14,0.17,1.04,0.22,32.61,67.94,0.43,182.07,13.59,141.31,0,0,520.43,2.26,84.24
"12","Malaysia","Fruit, citrus nes",0.125066666666667,31528033,3109000,"Production_kg",512,"Citrus; Other",116,5.09,86.34,24.84,1166.93,2.78,0,0,4.84,0,0,14.67,512.5,0,0.51,0.71,0,0,0,0,0.66,1.58,0,8.12,12.14,13.48,0,0,6.6,0,0.55
"13","Malaysia","Fruit, fresh nes",0.107099201828105,31528033,156677000,"Production_kg/Import_kg",619,"Fresh fruit; nes",147,417.62,7086.74,3534.34,89426.48,180.98,0.23,0,248.9,16.92,1.16,1292.59,16113.61,0.52,51.8,194.13,0.29,0.27,4.64,0.41,323.99,148.08,0.97,567.94,391.31,540.82,0,0,351.23,4.23,129.15
"14","Malaysia","Fruit, tropical fresh nes",0.1073859375,31528033,74370000,"Production_kg/Import_kg",603,"Fruit; tropical fresh; nes",146,205.73,3250.31,2626.37,45611.95,235.94,0,0,71.1,3.84,0.82,551.65,6385.43,0.24,21.54,78.95,0.6,0.64,2.31,0.34,17.4,61.8,0.48,1636.6,3619.61,827.57,0,0,167.48,1.68,86.67
"15","Malaysia","Ginger",0.02852,31528033,70752000,"Production_kg/Import_kg",720,"Ginger",162,1531.74,38411.43,16543.54,320461.89,21.91,0,0.16,559.61,43.36,14.24,7105.26,46449.6,4.38,193.48,690.5,0.57,1.03,30.87,3.67,324.18,1154.3,262.02,20450.25,3769.01,7309.84,0,0,366.24,17.54,0
"16","Malaysia","Grapefruit (inc. pomelos)",0.15,31528033,16661000,"Production_kg/Import_kg",507,"Grapefruit",115,12.74,248.12,53.55,2829.24,13.86,0,0,6.54,0.18,0,66.99,356.21,0,2.58,7.34,0,0,0,0,2.71,2.7,0,4.23,4.05,7.75,0,0,31.55,0.15,15.77
"17","Malaysia","Groundnuts, with shell",0.028,31528033,262000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,16.28,699.33,1303.08,505.34,0,0,0,1.78,0.1,0,20.67,246.61,0,0.3,11.59,0,0,0.43,0,4.1,5.57,0,186.35,724.93,461.74,0,0,0.25,0,0
"18","Malaysia","Lemons and limes",0.0785,31528033,31096000,"Production_kg/Import_kg",497,"Lemons; Limes",114,47.41,952.45,524.59,10442.72,51.74,0,0,47.53,0.73,0.24,263.59,1671.05,0.24,5.7,24.65,0,0,0.57,0,6.41,12.56,0,42.3,16.75,85.44,0,0,111.99,0.46,43.98
"19","Malaysia","Lettuce and chicory",0.0865961538461538,31528033,57760000,"Production_kg/Import_kg",372,"Lettuce and chicory",81,36.56,3032.7,525.05,5904.04,23.48,0.38,0.16,112.39,2.46,0.86,543.18,3747.62,0.15,53.62,142.74,0.13,0.16,0.88,0.18,68.23,28.87,0.49,77.22,15.69,177.53,0,0,197.96,2.22,35.97
"20","Malaysia","Maize",0.0869363057324841,31528033,3809132000,"Production_kg/Import_kg",56,"Maize",4,49105.83,1201120.55,475681.02,10029905.76,95.3,3.07,3.24,2899.68,452.22,249.38,40941.96,719721.64,25.08,1298.76,30419.45,37.06,16.45,358.46,49.25,0,15240.76,33.7,82236.81,178961.46,335722.12,0,0,1731.74,174.45,0
"21","Malaysia","Mangoes, mangosteens, guavas",0.09628125,31528033,118870000,"Production_kg/Import_kg",571,"Mangos; mangosteens; guavas",140,240.33,2941.81,967.83,54024.52,338.79,0.5,0.11,69.23,2.07,0.53,703.78,10442.45,0.29,41.49,74.98,0.18,0.22,4.53,0.46,29.76,178.17,0.21,598.35,295.26,659.44,0,0,325.01,2.32,103.77
"22","Malaysia","Nutmeg, mace and cardamoms",0.021,31528033,694000,"Production_kg/Import_kg",702,"Nutmeg; mace; and cardamoms",160,42.09,923.86,2089.71,5296.81,0.79,0,0,18.33,1.67,0.29,67.5,1830.85,0.12,3.98,15.28,0,0,0.12,0,81.7,21.32,0.74,1262.38,533.18,180.64,0,0,1.33,0.35,0
"23","Malaysia","Oil palm fruit",0.012,31528033,99065364000,"Production_kg",254,"Palmkernel Oil",68,23068514.32,0,2618446574.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5236.89,0,0,2134033957.97,298502909.46,41895145.19,0,0,0,0,0
"24","Malaysia","Oilseeds nes",0.0178426203877423,31528033,206570000,"Production_kg/Import_kg",339,"Oilcrops; Other",62,19149.88,702112.71,1427919.06,999386.26,84.82,0,2.69,12443.51,630.95,159.13,26438.95,453501.47,44.36,1213.62,20270.88,18.07,11.16,116,19.56,1606.53,12218.84,107.37,161396.95,369493.53,969529.22,0,0,211.17,159.63,851.92
"25","Malaysia","Okra",0.0853823529411765,31528033,58204000,"Production_kg",430,"Okra",97,69.65,3989.53,331.08,14026.37,42.92,0,0.18,156.19,1.31,0.89,482.88,5837.83,0.22,23.18,114.29,0.15,0.15,1.95,0.46,26.59,75.68,1.7,56.22,36.76,58.38,0,0,194.14,1.65,35.68
