"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Malta","Apples",0.121111111111111,439248,4251000,"Import_kg",515,"Apples",119,448.57,2480.52,2353.99,104561.32,116.02,0,0,61.93,5.6,0.51,821.92,11320.48,0.23,46.55,86.76,0.36,0.23,1.5,0.32,1296.13,37.29,0.28,311.65,67.92,523.41,0,0,675.26,2.06,79.91
"2","Malta","Apricots",0.03995,439248,133000,"Import_kg",526,"Apricots",125,37.44,757.92,193.81,8628.19,5.07,0,0,12.88,0.6,0.17,221.06,1035.83,0,1,18.06,0,0,0.59,0,2.12,7.58,0,21.6,128.85,59.5,0,0,64.88,0.6,6.44
"3","Malta","Artichokes",0.1,439248,7000,"Import_kg",366,"Artichokes",79,0.88,41.71,2.79,184.9,0.13,0,0,1.33,0,0,5.46,39.31,0,1.69,1.56,0,0,0,0,0.55,0.96,0,0.69,0.12,0.99,0,0,1.37,0,0.96
"4","Malta","Beans, green",0.0843965476190476,439248,36000,"Import_kg",414,"Beans; green",92,4.63,442.8,52.87,726.65,2.23,0,0,6.11,0.21,0,28.27,217.59,0,1.61,10.35,0,0,0,0,0.79,2.91,0,4.73,1.78,9.13,0,0,8.07,0.11,1.2
"5","Malta","Cabbages and other brassicas",0.08324,439248,254000,"Import_kg",358,"Cabbages and other brassicas",78,18.66,1577.76,211.73,3044.56,42.6,0.16,0,85.25,1.2,0.24,198.38,1533.11,0.11,27.31,48.98,0,0,0.54,0.13,17.13,16.96,0.18,23.83,12.45,61.03,0,0,63.11,0.77,19.17
"6","Malta","Carrots and turnips",0.0830718954248366,439248,1419000,"Import_kg",426,"Carrots and turnips",96,117.58,5092.2,910.58,22815.25,106.46,2.37,0,257.96,6.03,1,1131.78,7897.09,0.23,183.57,463.27,0.2,0.36,3.01,0.71,406.77,47.31,0.56,125.74,57.04,294.25,0,0,347.07,4.88,89.44
"7","Malta","Cauliflowers and broccoli",0.103835520801038,439248,615000,"Import_kg",393,"Cauliflowers and broccoli",84,38.65,4176.84,435.98,5486.65,109.05,0.73,0,59.11,1.46,0.57,399.51,2561.96,0,40.36,146.46,0.15,0.15,0.97,0.24,85.4,24.27,0.25,83.94,25.28,43.49,0,0,116.79,1.46,64.72
"8","Malta","Cucumbers and gherkins",0.0675,439248,452000,"Import_kg",397,"Cucumbers and gherkins",86,21.28,983.75,180.25,3857.42,15.07,0,0,24.39,0.68,0.29,217.32,994.55,0,10.12,55.29,0,0,0.29,0,9.15,19.06,0.12,51.07,3.81,39.64,0,0,145.98,0.63,23.63
"9","Malta","Eggplants (aubergines)",0.082,439248,170000,"Import_kg",399,"Eggplants (aubergines)",87,12.87,544.79,341.56,2497.07,3.11,0,0,8.08,0.29,0,94.78,978.35,0,2.53,20.67,0,0,0.61,0,13.9,6.06,0.11,12.74,6.14,27.37,0,0,43.31,0.56,9.68
"10","Malta","Figs",0.0504615384615385,439248,51000,"Import_kg",569,"Figs",139,12.46,233.31,48.32,2868.58,1.95,0,0,10.75,0.2,0,50.89,506.2,0,0.51,5.58,0,0,0,0,1.08,3.91,0,10.74,11.96,25.62,0,0,19.28,0.17,1.73
"11","Malta","Garlic",0.00732,439248,266000,"Import_kg",406,"Garlic",90,1009.12,42035.53,2070.78,211346.13,109.91,0,0,425.23,11.5,9.64,3652.51,13133.32,3.99,144.11,1677.8,1.17,0.67,4.43,8.38,191.93,322.65,11.05,740.43,86.87,1981.37,0,0,541.12,11.99,107.55
"12","Malta","Grapefruit (inc. pomelos)",0.15,439248,158000,"Import_kg",507,"Grapefruit",115,8.67,168.89,36.45,1925.81,9.44,0,0,4.45,0.12,0,45.6,242.47,0,1.75,5,0,0,0,0,1.85,1.84,0,2.88,2.76,5.28,0,0,21.47,0,10.73
"13","Malta","Grapes",0.1235,439248,988000,"Import_kg",560,"Grapes",122,112.04,977.7,431.32,26602.11,9.36,0,0,27.22,1.12,0.13,330.02,3850.74,0.18,5.86,37.03,0,0.24,0.4,0.18,10.2,49.17,1.26,217.34,24.89,169.99,0,0,151.62,0.86,25.5
"14","Malta","Leeks, other alliaceous vegetables",0.083270092226614,439248,134000,"Import_kg",407,"Leeks; other alliaceous veg.",91,17.45,784.82,109.09,3517.04,6.99,0,0,22.75,0.96,0.21,68.1,681.43,0,4.92,27.09,0,0,0.84,0,2.69,21.25,0.23,27.6,13.31,61.43,0,0,31.46,0.32,10.26
"15","Malta","Lemons and limes",0.0785,439248,836000,"Import_kg",497,"Lemons; Limes",114,91.48,1837.95,1012.3,20151.27,99.84,0,0,91.71,1.41,0.46,508.65,3224.62,0.46,11,47.58,0,0,1.09,0.14,12.37,24.25,0,81.63,32.33,164.87,0,0,216.11,0.89,84.86
"16","Malta","Lettuce and chicory",0.0865961538461538,439248,872000,"Import_kg",372,"Lettuce and chicory",81,39.62,3286.29,568.96,6397.73,25.44,0.41,0.18,121.79,2.67,0.94,588.6,4060.99,0.16,58.1,154.68,0.14,0.18,0.95,0.19,73.93,31.28,0.53,83.68,17,192.38,0,0,214.51,2.4,38.97
