"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Mongolia","Almonds, with shell",0.0296505238073522,3170216,6000,"Import_kg",221,"Almonds; with shell",45,3.8,135.39,326.53,115.26,0,0,0,1.55,0,0,5.03,46.28,0,0,3.08,0,0,0,0,0.33,2.05,0,25.22,215.59,74.46,0,0,0,0,0.41
"2","Mongolia","Anise, badian, fennel, coriander",0.00195,3170216,33000,"Import_kg",711,"Anise; badian; fennel; coriander",161,185.55,8441.39,7650.01,24946.49,5.58,0,0,434.14,17.13,2.48,791.91,12746.31,0.5,39.5,245.6,0.18,0.16,1.64,0.27,292.45,168.15,1.46,449.58,5811.64,1402.97,0,0,5.32,3.59,0
"3","Mongolia","Apples",0.121111111111111,3170216,11904000,"Import_kg",515,"Apples",119,174.04,962.42,913.33,40568.95,45.01,0,0,24.03,2.17,0.2,318.9,4392.26,0,18.06,33.66,0.14,0,0.58,0.13,502.89,14.47,0.11,120.92,26.35,203.08,0,0,262,0.8,31
"4","Mongolia","Apricots",0.03995,3170216,1000,"Import_kg",526,"Apricots",125,0,0.79,0.2,8.99,0,0,0,0,0,0,0.23,1.08,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0
"5","Mongolia","Avocados",0.048,3170216,3000,"Import_kg",572,"Avocados",141,0.29,3.17,27.77,8.56,0,0,0,0,0,0,1.01,8.64,0,0,0.33,0,0,0,0,0,0,0,4.71,15.66,3.28,0,0,0.15,0,0
"6","Mongolia","Bananas",0.04075,3170216,2676000,"Import_kg",486,"Bananas",117,208.67,2518.34,481.61,48355.98,22.05,0,0,20.41,1.65,0.34,703.87,3238.96,0.19,13.15,52.54,0.11,0.1,1.76,0.72,20.3,58.69,0.56,229.93,53.86,117.04,0,0,150.89,1.72,73.54
"7","Mongolia","Barley",0.04775,3170216,3765000,"Production_kg/Import_kg",44,"Barley",3,855.94,22743.78,3461.07,185435.13,1.66,0,0,138.66,19.35,6.29,640.44,20601.93,1.59,53.23,727.42,0.65,0.32,13.3,0.72,94.01,193.17,3.54,902.84,552.15,2074.29,0,0,29.2,4.56,0
"8","Mongolia","Beans, dry",0.1145,3170216,3000,"Import_kg",176,"Beans",30,0.27,17.6,1.13,47.94,0,0,0,0.12,0,0,0.97,10.25,0,0,0.32,0,0,0,0,0,0.14,0,0.26,0.11,0.39,0,0,0,0,0
"9","Mongolia","Buckwheat",0.0421111111111111,3170216,190000,"Import_kg",89,"Buckwheat",9,46.93,1513.94,384.27,9805.9,0,0,0,5.98,1.01,0.38,58.49,1323.58,0,0.86,49.95,0,0,0.81,0,0,32.59,0.19,105.46,148.01,147.87,0,0,1.9,0.31,0
"10","Mongolia","Cabbages and other brassicas",0.08324,3170216,50799000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,517.17,43720.27,5867.23,84365.81,1180.51,4.44,1.2,2362.36,33.32,6.57,5497.07,42483.1,2.98,756.67,1357.19,1.17,1.98,14.92,3.47,474.62,470.02,4.88,660.43,345.02,1691.05,0,0,1748.76,21.29,531.3
"11","Mongolia","Carrots and turnips",0.0830718954248366,3170216,50680000,"Production_kg/Import_kg",426,"Carrots and turnips",96,581.82,25198.85,4506,112901.66,526.8,11.71,0.42,1276.51,29.85,4.97,5600.62,39078.91,1.13,908.4,2292.51,0.99,1.79,14.92,3.51,2012.91,234.13,2.75,622.22,282.24,1456.12,0,0,1717.5,24.15,442.61
"12","Mongolia","Cauliflowers and broccoli",0.103835520801038,3170216,524000,"Import_kg",393,"Cauliflowers and broccoli",84,4.56,493.09,51.47,647.72,12.87,0,0,6.98,0.17,0,47.16,302.45,0,4.76,17.29,0,0,0.11,0,10.08,2.87,0,9.91,2.98,5.13,0,0,13.79,0.17,7.64
"13","Mongolia","Cereals nes",0.0486257263475995,3170216,6116000,"Production_kg",108,"Cereals; nes",13,1381.67,51673.57,18260.66,291573.57,4.27,0,0,576.03,87.98,15.08,1694.11,12525.84,3.21,30.95,1510.1,1.42,1.05,5.78,1.91,51.97,730.01,36.66,1781.39,2336.83,4249.15,0,0,43.3,15.55,0
"14","Mongolia","Cherries",0.1289,3170216,22000,"Import_kg",531,"Cherries",127,0.25,5.86,0.93,56.06,0,0,0,0.15,0,0,1.34,5.65,0,0,0.13,0,0,0,0,0,0,0,0.2,0.25,0.28,0,0,0.44,0,0
"15","Mongolia","Cherries, sour",0.028,3170216,1000,"Import_kg",530,"Sour cherries",126,0,1.24,0.3,12.53,0,0,0,0,0,0,0.19,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
"16","Mongolia","Chillies and peppers, dry",4e-04,3170216,62000,"Import_kg",689,"Pimento",156,1175.68,50104.4,43641.51,200641.93,368.81,3.32,0.27,1014.35,35.69,12.92,8908.23,108639.29,3.23,2218.5,909.01,1.36,2.13,26.97,8.43,251.8,750.5,10.65,12956.53,8319.89,30143.9,0,0,137.04,29.26,0
"17","Mongolia","Chillies and peppers, green",0.0664142191142191,3170216,5086000,"Import_kg",401,"Chillies and peppers; green",88,94.67,4300.95,1605.31,16686.69,278.57,0.3,0,66.77,3.93,0.75,681.02,7765.37,0.38,17.14,246.1,0.31,0.29,2.87,0.86,19.51,87.15,0.57,100.73,43.1,440.78,0,0,213.22,2.13,39.99
"18","Mongolia","Cinnamon (cannella)",0.00115555555555556,3170216,3000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Mongolia","Coconuts",0.04,3170216,1000,"Import_kg",249,"Coconuts - Incl Copra",58,0.25,2.65,22.19,9.92,0,0,0,0,0,0,0.26,5.09,0,0,0,0,0,0,0,0,0,0,23.54,2.1,0.54,0,0,0,0,0
"20","Mongolia","Coffee, green",0.00312,3170216,50000,"Import_kg",656,"Coffee",152,93.66,5714.47,7541.05,18299.33,0.51,0,0,52.09,1.75,0.27,1125.18,0,0.1,17.98,143.68,0,0.25,5.61,0,21.77,94.45,0.19,16.75,125.61,8.37,0,0,2.66,2.93,0
"21","Mongolia","Cucumbers and gherkins",0.0675,3170216,5191000,"Production_kg/Import_kg",397,"Cucumbers and gherkins",86,33.86,1565.37,286.82,6138.06,23.98,0,0,38.81,1.08,0.46,345.81,1582.56,0.13,16.1,87.99,0,0,0.46,0,14.55,30.32,0.19,81.26,6.06,63.07,0,0,232.29,1.01,37.6
"22","Mongolia","Dates",0.0393863636363636,3170216,49000,"Import_kg",577,"Dates",121,7.8,68.97,11.53,1999.82,0.27,0,0,1.63,0,0,23.68,193.86,0,0,3.15,0,0,0,0,0.32,1.58,0,0.63,0.71,0.37,0,0,1.48,0,0.68
"23","Mongolia","Eggplants (aubergines)",0.082,3170216,23000,"Import_kg",399,"Eggplants (aubergines)",87,0.24,10.21,6.4,46.81,0,0,0,0.15,0,0,1.78,18.34,0,0,0.39,0,0,0,0,0.26,0.11,0,0.24,0.12,0.51,0,0,0.81,0,0.18
"24","Mongolia","Figs",0.0504615384615385,3170216,3000,"Import_kg",569,"Figs",139,0.1,1.9,0.39,23.38,0,0,0,0,0,0,0.41,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0.16,0,0
"25","Mongolia","Fruit, fresh nes",0.107099201828105,3170216,1852000,"Production_kg/Import_kg",619,"Fresh fruit; nes",147,49.09,833.09,415.48,10512.59,21.27,0,0,29.26,1.99,0.14,151.95,1894.25,0,6.09,22.82,0,0,0.55,0,38.09,17.41,0.11,66.76,46,63.58,0,0,41.29,0.5,15.18
"26","Mongolia","Garlic",0.00732,3170216,301000,"Import_kg",406,"Garlic",90,158.22,6590.56,324.67,33136,17.23,0,0,66.67,1.8,1.51,572.66,2059.11,0.63,22.6,263.05,0.18,0.1,0.69,1.31,30.09,50.59,1.73,116.09,13.62,310.65,0,0,84.84,1.88,16.86
"27","Mongolia","Ginger",0.02852,3170216,5000,"Import_kg",720,"Ginger",162,1.08,27,11.63,225.22,0,0,0,0.39,0,0,4.99,32.65,0,0.14,0.49,0,0,0,0,0.23,0.81,0.18,14.37,2.65,5.14,0,0,0.26,0,0
"28","Mongolia","Grapefruit (inc. pomelos)",0.15,3170216,21000,"Import_kg",507,"Grapefruit",115,0.16,3.11,0.67,35.46,0.17,0,0,0,0,0,0.84,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.2
"29","Mongolia","Grapes",0.1235,3170216,856000,"Import_kg",560,"Grapes",122,13.45,117.37,51.78,3193.4,1.12,0,0,3.27,0.13,0,39.62,462.26,0,0.7,4.45,0,0,0,0,1.22,5.9,0.15,26.09,2.99,20.41,0,0,18.2,0.1,3.06
"30","Mongolia","Hazelnuts, with shell",0.03,3170216,330000,"Production_kg",225,"Hazelnuts; with shell",49,205.53,5415.77,19109.9,7251.87,1.27,0,0,65.84,1.63,1.44,231.55,2654.39,0.6,2.23,110.57,0.19,0.11,1.36,0.2,15.82,56.56,2.14,1294.93,9308.07,7446.18,0,0,2.15,0.92,20.3
"31","Mongolia","Kiwi fruit",0.145,3170216,75000,"Import_kg",592,"Kiwi fruit",144,1,17.21,11.01,224.26,1.48,0,0,0.52,0,0,5.43,40.79,0,0,0.72,0,0,0,0,0.1,0.25,0,1.02,1,3.77,0,0,1.35,0,0.41
"32","Mongolia","Leeks, other alliaceous vegetables",0.083270092226614,3170216,133000,"Import_kg",407,"Leeks; other alliaceous veg.",91,2.4,107.93,15,483.67,0.96,0,0,3.13,0.13,0,9.36,93.71,0,0.68,3.73,0,0,0.12,0,0.37,2.92,0,3.8,1.83,8.45,0,0,4.33,0,1.41
"33","Mongolia","Lemons and limes",0.0785,3170216,108000,"Import_kg",497,"Lemons; Limes",114,1.64,32.9,18.12,360.7,1.79,0,0,1.64,0,0,9.1,57.72,0,0.2,0.85,0,0,0,0,0.22,0.43,0,1.46,0.58,2.95,0,0,3.87,0,1.52
"34","Mongolia","Lentils",0.0454634146341463,3170216,2000,"Import_kg",201,"Lentils",36,0.46,32.06,1.45,77.87,0,0,0,0,0,0,1.16,15.99,0,0,0.45,0,0,0,0,0.27,0.11,0,0.2,0.24,0.61,0,0,0,0,0
"35","Mongolia","Lettuce and chicory",0.0865961538461538,3170216,2000,"Import_kg",372,"Lettuce and chicory",81,0,1.04,0.18,2.03,0,0,0,0,0,0,0.19,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Mongolia","Linseed",0.0178426203877423,3170216,12000,"Import_kg",333,"Oilcrops; Other",62,11.06,405.63,824.95,577.37,0,0,0,7.19,0.36,0,15.27,262,0,0.7,11.71,0,0,0,0,0.93,7.06,0,93.24,213.47,560.12,0,0,0.12,0,0.49
"37","Mongolia","Maize",0.0869363057324841,3170216,5149000,"Import_kg",56,"Maize",4,660.14,16146.99,6394.71,134834.72,1.28,0,0,38.98,6.08,3.35,550.39,9675.41,0.34,17.46,408.94,0.5,0.22,4.82,0.66,0,204.89,0.45,1105.53,2405.83,4513.2,0,0,23.28,2.35,0
"38","Mongolia","Mangoes, mangosteens, guavas",0.09628125,3170216,8000,"Import_kg",571,"Mangos; mangosteens; guavas",140,0.16,1.97,0.65,36.16,0.23,0,0,0,0,0,0.47,6.99,0,0,0,0,0,0,0,0,0.12,0,0.4,0.2,0.44,0,0,0.22,0,0
"39","Mongolia","Melons, other (inc.cantaloupes)",0.179843076923077,3170216,2000,"Import_kg",568,"Other melons (inc. cantaloupes)",111,0,0.19,0,2.26,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Mongolia","Millet",0.0477,3170216,1287000,"Import_kg",79,"Millet",7,292.19,7884.6,3202.66,59927.36,0.23,0,0,50.71,6.12,1.93,220.64,4739.38,0.87,9.2,214.1,0.25,0.1,2.04,0.82,636.61,112.13,0.93,615.33,657.89,1816.21,0,0,9.22,1.99,0
