"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Mongolia","Barley",0.04775,3170216,2512000,"Production_kg",44,"Barley",3,571.08,15174.6,2309.22,123721.92,1.11,0,0,92.51,12.91,4.2,427.3,13745.56,1.06,35.51,485.34,0.44,0.21,8.87,0.48,62.73,128.88,2.36,602.37,368.39,1383.96,0,0,19.49,3.04,0
"2","Mongolia","Cabbages and other brassicas",0.08324,3170216,21885000,"Production_kg",358,"Cabbages and other brassicas",78,222.81,18835.37,2527.69,36346.1,508.58,1.91,0.52,1017.74,14.35,2.83,2368.23,18302.38,1.28,325.98,584.7,0.5,0.85,6.43,1.49,204.48,202.49,2.1,284.52,148.64,728.53,0,0,753.39,9.17,228.89
"3","Mongolia","Carrots and turnips",0.0830718954248366,3170216,50375000,"Production_kg",426,"Carrots and turnips",96,578.32,25047.2,4478.88,112222.2,523.63,11.64,0.42,1268.83,29.67,4.94,5566.92,38843.73,1.13,902.93,2278.72,0.98,1.78,14.83,3.49,2000.8,232.73,2.74,618.48,280.55,1447.36,0,0,1707.16,24,439.95
"4","Mongolia","Cereals nes",0.0486257263475995,3170216,6116000,"Production_kg",108,"Cereals; nes",13,1381.67,51673.57,18260.66,291573.57,4.27,0,0,576.03,87.98,15.08,1694.11,12525.84,3.21,30.95,1510.1,1.42,1.05,5.78,1.91,51.97,730.01,36.66,1781.39,2336.83,4249.15,0,0,43.3,15.55,0
"5","Mongolia","Cucumbers and gherkins",0.0675,3170216,4707000,"Production_kg",397,"Cucumbers and gherkins",86,30.71,1419.41,260.08,5565.76,21.74,0,0,35.19,0.98,0.42,313.57,1435,0.12,14.6,79.78,0,0,0.42,0,13.2,27.5,0.17,73.69,5.5,57.19,0,0,210.63,0.91,34.09
"6","Mongolia","Fruit, fresh nes",0.107099201828105,3170216,1784000,"Production_kg",619,"Fresh fruit; nes",147,47.29,802.5,400.23,10126.6,20.49,0,0,28.19,1.92,0.13,146.37,1824.7,0,5.87,21.98,0,0,0.53,0,36.69,16.77,0.11,64.31,44.31,61.24,0,0,39.77,0.48,14.62
"7","Mongolia","Hazelnuts, with shell",0.03,3170216,330000,"Production_kg",225,"Hazelnuts; with shell",49,205.53,5415.77,19109.9,7251.87,1.27,0,0,65.84,1.63,1.44,231.55,2654.39,0.6,2.23,110.57,0.19,0.11,1.36,0.2,15.82,56.56,2.14,1294.93,9308.07,7446.18,0,0,2.15,0.92,20.3
"8","Mongolia","Mushrooms and truffles",0.0389236263736264,3170216,302000,"Production_kg",449,"Mushrooms and truffles",99,7.47,655.66,92.55,1237.54,0.73,0,0,2.35,0.42,0.16,78.99,587.38,0,2.89,25.36,0,0,0.92,0,7.8,3.7,0,10.45,3.99,220.32,0,0,22.19,0.23,0.73
"9","Mongolia","Nuts nes",0.0310679900238414,3170216,5039000,"Production_kg",234,"Nuts; nes",51,2835.02,74133.6,223292.04,161817.18,9.12,0,0.16,624.74,23.07,17.43,2407.14,19202.58,4.48,185.66,2585.36,1.96,0.76,9.11,0.89,246.34,1028.34,25.26,61622.87,167012.27,105486.6,0,0,34.67,12.6,281.39
"10","Mongolia","Oats",0.0434605263157895,3170216,13263000,"Production_kg",75,"Oats",6,3516.89,131452.7,59382.04,624070.93,0.96,0,0.43,566.85,50.93,32.85,3922.7,42596.23,6.03,231.42,3498.04,5.02,1.2,12.02,1.15,0,1703.85,47.32,11440.82,21120.03,23945.34,0,0,101.54,19.27,0
"11","Mongolia","Onions, dry",0.093304347826087,3170216,9515000,"Production_kg",403,"Onions",77,127.02,3702.19,452.09,26875.1,28.6,0,0,133.33,2.29,1.27,415.6,4567.79,0,32.31,167.78,0.11,0.12,0.77,0.35,19.62,38.39,0.21,109.37,78.27,179.07,0,0,290.21,1.67,25.73
"12","Mongolia","Potatoes",0.133867924528302,3170216,192240000,"Production_kg",116,"Potatoes",18,3632.53,93191.78,6156.6,811631.36,724.46,0,0.67,415.49,47.72,18.82,16942.18,61055.14,4,476.27,2192.78,3.6,2.94,62.39,11.15,1585.43,1117.35,5.02,1331.76,63.42,1857.22,0,0,3459.3,47.78,1007.88
"13","Mongolia","Pulses nes",0.0587825743767065,3170216,1464000,"Production_kg",211,"Pulses; nes",40,294.63,17765.32,6014.72,42867.76,1.62,0,0.27,150.56,8.24,3.72,808.39,7148.38,1.28,21.37,270.7,0.4,0.17,1.64,0.21,276.53,202.53,1.48,681.9,1252.06,1276.41,0,0,9,2.63,11
"14","Mongolia","Rapeseed",0.0841,3170216,25256000,"Production_kg",270,"Rape and Mustardseed",56,4968.5,218253.99,361104.26,246719.84,33.63,0,1.53,3580.73,81.51,52.48,6990.95,67257.09,7.79,123.15,7237.24,8.55,1.24,41.36,3.76,1580.54,3504.95,21.07,18841.46,213309.17,95561.9,0,0,62.85,39.45,0
"15","Mongolia","Vegetables, fresh nes",0.075156077445368,3170216,13065000,"Production_kg",463,"Vegetables; fresh; nes",101,259.45,17498.79,3660.82,43846.01,260.07,1.71,0.4,1085.7,22.49,3.07,2137.52,25927.07,0.88,260.42,433.41,0.5,1.09,5.64,1.2,119.82,281.96,3.54,375.67,359.11,715.76,0,0,464.87,8.95,137.26
"16","Mongolia","Wheat",0.0442045454545455,3170216,411415000,"Production_kg",15,"Wheat",1,98881.55,3358905.72,539450.61,20360124.95,97.86,0,11.89,12488.75,1154.86,723.88,100436.49,1485507.52,137.98,2178.35,89942.69,97.66,60.18,1352.88,165.58,9159.65,40146.87,789.43,126238.78,83082.73,342606.18,0,0,3274.38,555.28,0
