"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Mozambique","Almonds shelled",0.0296505238073522,29496004,5000,"Import_kg",231,"Almonds; with shell",45,0.34,12.13,29.25,10.32,0,0,0,0.14,0,0,0.45,4.14,0,0,0.28,0,0,0,0,0,0.18,0,2.26,19.31,6.67,0,0,0,0,0
"2","Mozambique","Anise, badian, fennel, coriander",0.00195,29496004,5000,"Import_kg",711,"Anise; badian; fennel; coriander",161,3.02,137.47,124.58,406.25,0,0,0,7.07,0.28,0,12.9,207.57,0,0.64,4,0,0,0,0,4.76,2.74,0,7.32,94.64,22.85,0,0,0,0,0
"3","Mozambique","Apples",0.121111111111111,29496004,5857000,"Import_kg",515,"Apples",119,9.2,50.89,48.3,2145.37,2.38,0,0,1.27,0.11,0,16.86,232.27,0,0.96,1.78,0,0,0,0,26.59,0.77,0,6.39,1.39,10.74,0,0,13.85,0,1.64
"4","Mozambique","Apricots",0.03995,29496004,1000,"Import_kg",526,"Apricots",125,0,0,0,0.97,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Mozambique","Artichokes",0.1,29496004,5000,"Import_kg",366,"Artichokes",79,0,0.44,0,1.97,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Mozambique","Asparagus",0.0845294117647059,29496004,6000,"Import_kg",367,"Asparagus",80,0,0.52,0,0.73,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Mozambique","Avocados",0.048,29496004,19000,"Import_kg",572,"Avocados",141,0.2,2.16,18.91,5.82,0,0,0,0,0,0,0.68,5.88,0,0,0.23,0,0,0,0,0,0,0,3.21,10.66,2.23,0,0,0.1,0,0
"8","Mozambique","Bambara beans",0.028,29496004,1000,"Import_kg",203,"Bambara beans",37,0,2.15,0.68,6.55,0,0,0,0,0,0,0.15,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Mozambique","Bananas",0.04075,29496004,18000,"Import_kg",486,"Bananas",117,0.15,1.82,0.35,34.96,0,0,0,0,0,0,0.51,2.34,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0.11,0,0
"10","Mozambique","Barley",0.04775,29496004,96000,"Import_kg",44,"Barley",3,2.35,62.33,9.49,508.19,0,0,0,0.38,0,0,1.76,56.46,0,0.15,1.99,0,0,0,0,0.26,0.53,0,2.47,1.51,5.68,0,0,0,0,0
"11","Mozambique","Beans, dry",0.1145,29496004,563000,"Import_kg",176,"Beans",30,5.49,354.94,22.89,966.88,0,0,0,2.33,0.12,0,19.49,206.76,0,0.26,6.45,0,0,0,0,1.84,2.88,0,5.15,2.29,7.93,0,0,0.2,0,0
"12","Mozambique","Beans, green",0.0843965476190476,29496004,24000,"Import_kg",414,"Beans; green",92,0,4.4,0.52,7.21,0,0,0,0,0,0,0.28,2.16,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Mozambique","Beet pulp",0.125770747489689,29496004,353000,"Import_kg",169,"Roots and tubers; nes",23,0.97,18.45,7.29,206.42,0.14,0,0,0.32,0,0,4.62,16.93,0,0.14,0.63,0,0,0,0,0.21,0.41,0,0.2,0,0.43,0,0,0.69,0,0.21
"14","Mozambique","Brazil nuts, shelled",0.0297575757575758,29496004,1000,"Import_kg",229,"Brazil nuts; with shell",42,0,1.71,7.75,1.19,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,1.84,2.72,2.78,0,0,0,0,0
"15","Mozambique","Cabbages and other brassicas",0.08324,29496004,41000,"Import_kg",358,"Cabbages and other brassicas",78,0,3.79,0.51,7.32,0.1,0,0,0.2,0,0,0.48,3.69,0,0,0.12,0,0,0,0,0,0,0,0,0,0.15,0,0,0.15,0,0
"16","Mozambique","Cake, soybeans",0.014,29496004,28622000,"Import_kg",238,"Soyabean Oil",63,6197.41,0,692358.52,57.76,0,0,0,10.78,2,2.26,0,0,0,10.78,0.25,0,0,0,0,1.39,0,0,183432.37,162128.81,313947.95,0,0,0,0,0
"17","Mozambique","Cake, sunflower",0.0244,29496004,136000,"Import_kg",269,"Sunflowerseed Oil",65,16.91,0,1881.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.26,556.95,1079.41,0,0,0,0,0
"18","Mozambique","Carrots and turnips",0.0830718954248366,29496004,230000,"Import_kg",426,"Carrots and turnips",96,0.28,12.29,2.2,55.07,0.26,0,0,0.62,0,0,2.73,19.06,0,0.44,1.12,0,0,0,0,0.98,0.11,0,0.3,0.14,0.71,0,0,0.84,0,0.22
"19","Mozambique","Cashew nuts, shelled",0.0289438420348059,29496004,3000,"Import_kg",230,"Cashew nuts; with shell",43,0.19,6.46,14.79,8.5,0,0,0,0,0,0,0.23,0.93,0,0,0.17,0,0,0,0,0,0.11,0,2.73,8.36,2.76,0,0,0,0,0
"20","Mozambique","Cauliflowers and broccoli",0.103835520801038,29496004,64000,"Import_kg",393,"Cauliflowers and broccoli",84,0,6.47,0.68,8.5,0.17,0,0,0,0,0,0.62,3.97,0,0,0.23,0,0,0,0,0.13,0,0,0.13,0,0,0,0,0.18,0,0.1
"21","Mozambique","Cereal preparations nes",0.0486257263475995,29496004,126000,"Import_kg",113,"Cereals; nes",13,3.06,114.42,40.43,645.62,0,0,0,1.28,0.19,0,3.75,27.74,0,0,3.34,0,0,0,0,0.12,1.62,0,3.94,5.17,9.41,0,0,0,0,0
"22","Mozambique","Cherries",0.1289,29496004,13000,"Import_kg",531,"Cherries",127,0,0.37,0,3.56,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Mozambique","Chestnut",0.059,29496004,2000,"Import_kg",220,"Chestnuts",44,0,0.59,0.34,5.98,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0.18,0.2,0,0,0,0,0
"24","Mozambique","Chick peas",0.04575,29496004,72000,"Import_kg",191,"Chick peas",33,1.88,103.74,26.86,311.15,0,0,0,0.73,0,0,4.32,40.73,0,0.11,1.66,0,0,0,0,0.78,0.53,0,3.29,7.28,14.2,0,0,0,0,0
"25","Mozambique","Chillies and peppers, dry",4e-04,29496004,433000,"Import_kg",689,"Pimento",156,882.49,37609.52,32758.32,150606.45,276.84,2.49,0.2,761.39,26.79,9.7,6686.72,81547.15,2.42,1665.26,682.32,1.02,1.6,20.25,6.33,189,563.34,7.99,9725.47,6245.1,22626.7,0,0,102.86,21.96,0
"26","Mozambique","Chillies and peppers, green",0.0664142191142191,29496004,35000,"Import_kg",401,"Chillies and peppers; green",88,0,3.18,1.19,12.34,0.21,0,0,0,0,0,0.5,5.74,0,0,0.18,0,0,0,0,0,0,0,0,0,0.33,0,0,0.16,0,0
"27","Mozambique","Chocolate products nes",0.0115,29496004,1464000,"Import_kg",666,"Cocoa Beans",153,98.4,6964.28,17847.47,24989.56,0,0,0,46.29,2.19,2.94,433.11,15969.15,1.63,3.56,253.13,0,0,0.8,0,5.18,215.37,1.66,9934.32,6859.18,371.17,0,0,1.67,1.72,0
"28","Mozambique","Cider etc",0.0683571428571429,29496004,8811000,"Import_kg",517,"Fruit juice; nes",149,21.77,108.54,59.24,5315.71,32.78,0,0,4.43,0.12,0,47.22,124.38,0,3.39,3.59,0,0,0.19,0,1.2,3.25,0,10.96,14.93,27.13,0,0,38.45,0.12,0
"29","Mozambique","Cinnamon (cannella)",0.00115555555555556,29496004,5000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Mozambique","Cloves",0.0013,29496004,2000,"Import_kg",698,"Cloves",157,1.25,22.55,48.68,235.63,0,0,0,2.92,0,0,5.32,111.88,0,1.44,0.42,0,0,0,0,0.2,1.35,0.31,20.61,7.27,18.81,0,0,0.17,0,0
"31","Mozambique","Cocoa, beans",0.0115,29496004,6000,"Import_kg",661,"Cocoa Beans",153,0.4,28.54,73.15,102.42,0,0,0,0.19,0,0,1.78,65.45,0,0,1.04,0,0,0,0,0,0.88,0,40.71,28.11,1.52,0,0,0,0,0
"32","Mozambique","Cocoa, paste",0.0115,29496004,34000,"Import_kg",662,"Cocoa Beans",153,2.29,161.74,414.49,580.36,0,0,0,1.08,0,0,10.06,370.87,0,0,5.88,0,0,0,0,0.12,5,0,230.72,159.3,8.62,0,0,0,0,0
"33","Mozambique","Cocoa, powder & cake",0.0115,29496004,222000,"Import_kg",665,"Cocoa Beans",153,14.92,1056.06,2706.38,3789.4,0,0,0,7.02,0.33,0.45,65.68,2421.55,0.25,0.54,38.38,0,0,0.12,0,0.79,32.66,0.25,1506.43,1040.12,56.28,0,0,0.25,0.26,0
"34","Mozambique","Coconuts",0.04,29496004,44000,"Import_kg",249,"Coconuts - Incl Copra",58,1.18,12.51,104.96,46.93,0,0,0,0,0,0,1.22,24.07,0,0,0.39,0,0,0,0,0,0.11,0,111.32,9.93,2.55,0,0,0.2,0,0.15
