"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Mozambique","Bananas",0.04075,29496004,724984000,"Production_kg/Import_kg",486,"Bananas",117,6076.15,73330.04,14023.63,1408050.45,642.16,2.22,1.13,594.23,48.18,9.95,20495.62,94313.4,5.56,382.82,1529.85,3.22,3.05,51.36,21.05,591.1,1708.97,16.29,6695.15,1568.23,3407.89,0,0,4393.66,50,2141.24
"2","Mozambique","Beans, dry",0.1145,29496004,66198000,"Production_kg/Import_kg",176,"Beans",30,645.89,41734.54,2691.06,113687.05,3.56,0,0.8,274.25,14.29,5.72,2291.9,24310.42,1.71,30.62,758.07,0.89,0.43,3.92,0.76,216.39,338.88,2.55,605.89,269.04,932.13,0,0,22.98,7.49,0
"3","Mozambique","Cashew nuts, with shell",0.0289438420348059,29496004,107147000,"Production_kg",217,"Cashew nuts; with shell",43,6830.32,230608.27,528208.25,303486.52,20.5,0.12,0.45,505.61,75.98,64.85,8164.09,33384.3,26.55,1160.08,5905.01,6.69,1.91,16.38,5.46,0,3798.61,16.66,97680.46,298663.99,98458.59,0,0,124.79,28.65,351.41
"4","Mozambique","Cassava",0.108277777777778,29496004,3987446000,"Production_kg",125,"Cassava",17,17365.16,228144.54,59262.65,3875842.54,4020.2,1.28,3.18,4867.46,152.01,42.45,46944.01,184779.6,12.49,1148.63,4920.27,7.77,6.95,71.63,10.99,2958.97,2621.87,47.94,10862.04,10924.47,5493.45,0,0,7844.14,175.49,2621.87
"5","Mozambique","Castor oil seed",0.0178426203877423,29496004,85089000,"Production_kg",265,"Oilcrops Oil; Other",75,14271.41,2018.37,1469694.89,877.68,0.15,0.68,0,27.72,3.13,0.94,29.1,0,0,7.51,27.84,0.11,0.33,1.36,0,69.52,6.06,0,365730.75,595727.76,530728.26,0,0.2,128.29,2.84,0
"6","Mozambique","Coconuts",0.04,29496004,232815000,"Production_kg/Import_kg",249,"Coconuts - Incl Copra",58,6265.15,66204.81,555364.37,248297.29,47.34,0,0.38,368.28,56.62,32.55,6450.97,127385.91,10.1,417.96,2076.76,1.24,0.63,13.35,0.82,238.77,571.92,74,589003.08,52538.47,13477.47,0,0,1046.49,20.18,818.91
"7","Mozambique","Coffee, green",0.00312,29496004,844000,"Production_kg/Import_kg",656,"Coffee",152,169.93,10367.5,13681.39,33199.63,0.92,0,0,94.5,3.17,0.49,2041.36,0,0.19,32.62,260.67,0.13,0.46,10.17,0,39.5,171.36,0.35,30.38,227.88,15.19,0,0,4.82,5.32,0
"8","Mozambique","Cow peas, dry",0.0623254069051863,29496004,90461000,"Production_kg",195,"Cow peas; dry",34,1628.77,106618.29,7281.05,276986.77,4.72,0,1.98,475.32,38.04,20.64,4907.41,52201.17,4.27,126.86,1998.02,2.65,0.75,13.37,1.74,730,998.35,6.22,1628.77,521.6,2667.06,0,0,57.4,17.27,0
"9","Mozambique","Fruit, fresh nes",0.107099201828105,29496004,134335000,"Production_kg/Import_kg",619,"Fresh fruit; nes",147,382.73,6494.78,3239.11,81956.57,165.86,0.21,0,228.11,15.51,1.07,1184.62,14767.62,0.48,47.47,177.92,0.27,0.24,4.25,0.38,296.93,135.71,0.89,520.5,358.62,495.65,0,0,321.89,3.88,118.36
"10","Mozambique","Fruit, tropical fresh nes",0.1073859375,29496004,23191000,"Production_kg/Import_kg",603,"Fruit; tropical fresh; nes",146,68.57,1083.38,875.41,15203.17,78.64,0,0,23.7,1.28,0.27,183.87,2128.36,0,7.18,26.31,0.2,0.21,0.77,0.11,5.8,20.6,0.16,545.5,1206.47,275.84,0,0,55.82,0.56,28.89
"11","Mozambique","Grapefruit (inc. pomelos)",0.15,29496004,9215000,"Production_kg/Import_kg",507,"Grapefruit",115,7.53,146.69,31.66,1672.62,8.19,0,0,3.87,0.11,0,39.6,210.59,0,1.52,4.34,0,0,0,0,1.6,1.6,0,2.5,2.4,4.58,0,0,18.65,0,9.32
"12","Mozambique","Groundnuts, with shell",0.028,29496004,8e+07,"Production_kg",242,"Groundnuts (Shelled Eq)",54,5314.57,228248.35,425296.75,164933.57,13.75,0,1.13,580.25,34.21,26.97,6746.13,80487.85,10.54,99.39,3783.99,7.39,1.64,138.83,5.23,1339.16,1816.52,14.21,60821.8,236603.48,150703.22,0,0,81.77,26.49,0
"13","Mozambique","Lemons and limes",0.0785,29496004,3568000,"Production_kg/Import_kg",497,"Lemons; Limes",114,5.81,116.81,64.34,1280.76,6.35,0,0,5.83,0,0,32.33,204.95,0,0.7,3.02,0,0,0,0,0.79,1.54,0,5.19,2.05,10.48,0,0,13.74,0,5.39
"14","Mozambique","Maize",0.0869363057324841,29496004,2256438000,"Production_kg/Import_kg",56,"Maize",4,31093.11,760532.31,301194.4,6350792.56,60.34,1.94,2.05,1836.04,286.34,157.9,25923.86,455717.42,15.88,822.36,19261.16,23.47,10.42,226.97,31.18,0,9650.23,21.34,52071.17,113315.83,212574.43,0,0,1096.51,110.46,0
"15","Mozambique","Mangoes, mangosteens, guavas",0.09628125,29496004,29681000,"Production_kg",571,"Mangos; mangosteens; guavas",140,64.14,785.15,258.31,14418.86,90.42,0.13,0,18.48,0.55,0.14,187.84,2787.03,0,11.07,20.01,0,0,1.21,0.12,7.94,47.55,0,159.7,78.8,176,0,0,86.74,0.62,27.7
"16","Mozambique","Millet",0.0477,29496004,12836000,"Production_kg/Import_kg",79,"Millet",7,313.21,8451.94,3433.11,64239.47,0.25,0,0,54.36,6.56,2.07,236.51,5080.4,0.93,9.86,229.51,0.27,0.11,2.19,0.88,682.42,120.2,0.99,659.61,705.22,1946.9,0,0,9.88,2.14,0
"17","Mozambique","Oilseeds nes",0.0178426203877423,29496004,35436000,"Production_kg/Import_kg",339,"Oilcrops; Other",62,3511.37,128741.32,261827.18,183250.22,15.55,0,0.49,2281.68,115.69,29.18,4847.92,83155.28,8.13,222.53,3716.93,3.31,2.05,21.27,3.59,294.58,2240.48,19.69,29594.19,67751.35,177775.55,0,0,38.72,29.27,156.21
"18","Mozambique","Onions, dry",0.093304347826087,29496004,374020000,"Production_kg/Import_kg",403,"Onions",77,536.63,15641.23,1910.02,113543.38,120.84,0,0.19,563.31,9.67,5.36,1755.87,19298.26,0.38,136.51,708.84,0.46,0.5,3.27,1.49,82.9,162.18,0.88,462.07,330.7,756.53,0,0,1226.09,7.06,108.72
"19","Mozambique","Oranges",0.138371428571429,29496004,67240000,"Production_kg/Import_kg",490,"Oranges; Mandarines",113,72.81,1306.75,378,16473.15,76.07,0,0,52.04,0.8,0.1,276.93,2216.6,0,4.45,35.67,0.11,0,2.91,0.11,17.9,17.46,0,34.6,50.66,53.54,0,0,143.21,0.7,44.15
"20","Mozambique","Papayas",0.151,29496004,43109000,"Production_kg/Import_kg",600,"Papayas",145,33.33,724.25,136.02,7463.47,46.04,0,0,20.58,0.56,0.11,165.07,1258.26,0,10.01,15.07,0,0,0.3,0,5.9,16.37,0,58.56,44.52,32.91,0,0,86.87,0.4,30.97
"21","Mozambique","Pineapples",0.1096,29496004,65582000,"Production_kg/Import_kg",574,"Pineapples",120,95.9,932.61,431.01,22420.84,45.14,0,0,72.74,1.22,0.19,325.48,1689.2,0.23,9.41,19.45,0.14,0,0.63,0.2,331.18,24.01,1.88,39.56,53.76,121.72,0,0,176.73,0.65,83.18
"22","Mozambique","Potatoes",0.133867924528302,29496004,385225000,"Production_kg/Import_kg",116,"Potatoes",18,782.36,20071.23,1325.98,174805.54,156.03,0,0.15,89.49,10.28,4.05,3648.93,13149.78,0.86,102.58,472.27,0.78,0.63,13.44,2.4,341.46,240.65,1.08,286.83,13.66,400,0,0,745.05,10.29,217.07
"23","Mozambique","Pulses nes",0.0587825743767065,29496004,221886000,"Production_kg",211,"Pulses; nes",40,4799.44,289392.74,97978.28,698305.2,26.42,0,4.37,2452.64,134.17,60.55,13168.41,116445.26,20.87,348.08,4409.71,6.45,2.79,26.65,3.4,4504.65,3299.14,24.13,11108.05,20395.69,20792.4,0,0,146.68,42.89,179.16
"24","Mozambique","Pumpkins, squash and gourds",0.100019949494949,29496004,1094000,"Production_kg/Import_kg",394,"Pumpkins; squash; and gourds",85,0.79,37.7,6.59,148.55,0.64,0,0,1.03,0,0,6.73,58.46,0,0.27,2.35,0,0,0,0,1.49,0.82,0,2.03,0.49,0.99,0,0,3.46,0,0.81
