"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Myanmar","Beans, dry",0.1145,53708320,5847182000,"Production_kg/Import_kg",176,"Beans",30,31331.32,2024505.85,130540.81,5514858.3,172.49,0.52,38.87,13303.61,693.34,277.68,111178,1179277.17,82.93,1485.19,36773.54,42.96,20.99,190.04,36.86,10497.08,16438.95,123.83,29390.99,13050.92,45216.9,0,0,1114.72,363.27,0
"2","Myanmar","Cashew nuts, with shell",0.0289438420348059,53708320,3801000,"Production_kg/Import_kg",217,"Cashew nuts; with shell",43,133.07,4492.77,10290.69,5912.61,0.4,0,0,9.85,1.48,1.26,159.06,650.4,0.52,22.6,115.04,0.13,0,0.32,0.11,0,74.01,0.32,1903.04,5818.65,1918.2,0,0,2.43,0.56,6.85
"3","Myanmar","Cassava",0.108277777777778,53708320,392459000,"Production_kg/Import_kg",125,"Cassava",17,938.64,12331.93,3203.33,209501.54,217.3,0,0.17,263.1,8.22,2.29,2537.47,9987.92,0.67,62.09,265.96,0.42,0.38,3.87,0.59,159.94,141.72,2.59,587.13,590.5,296.94,0,0,424,9.49,141.72
"4","Myanmar","Castor oil seed",0.0178426203877423,53708320,13051000,"Production_kg",265,"Oilcrops Oil; Other",75,1202.15,170.02,123799.58,73.93,0,0,0,2.33,0.26,0,2.45,0,0,0.63,2.35,0,0,0.11,0,5.86,0.51,0,30807.29,50181.06,44705.83,0,0,10.81,0.24,0
"5","Myanmar","Cereals nes",0.0486257263475995,53708320,12001000,"Production_kg",108,"Cereals; nes",13,160.03,5985.02,2115.02,33771.12,0.49,0,0,66.72,10.19,1.75,196.22,1450.79,0.37,3.58,174.91,0.16,0.12,0.67,0.22,6.02,84.55,4.25,206.33,270.66,492.15,0,0,5.02,1.8,0
"6","Myanmar","Chick peas",0.04575,53708320,499438000,"Production_kg",191,"Chick peas",33,7159.83,395212.88,102317.25,1185327.9,42.68,0,7.55,2771.71,140.82,70.07,16443.62,155154.06,18.66,407.74,6309.15,8.03,3.57,35.82,10.87,2980.79,2012.26,228.83,12530.89,27714.31,54076.95,0,0,213.39,60.33,0
"7","Myanmar","Chillies and peppers, dry",4e-04,53708320,144029000,"Production_kg/Import_kg",689,"Pimento",156,161210.75,6870390.92,5984188.55,27512322.06,50572.18,455.13,36.71,139088.66,4894.08,1771.59,1221509.25,14896781.26,442.31,304204.07,124644.42,187.15,291.99,3698.72,1155.64,34526.74,102909.81,1459.96,1776618.83,1140835.11,4133376.33,0,0,18790.82,4011.81,0
"8","Myanmar","Coconuts",0.04,53708320,530839000,"Production_kg/Import_kg",249,"Coconuts - Incl Copra",58,7845.22,82901.62,695426.91,310917.71,59.28,0,0.48,461.16,70.9,40.76,8077.9,159512.56,12.65,523.37,2600.52,1.55,0.78,16.71,1.02,298.98,716.16,92.66,737549.29,65788.64,16876.48,0,0,1310.42,25.27,1025.44
"9","Myanmar","Coffee, green",0.00312,53708320,8899000,"Production_kg/Import_kg",656,"Coffee",152,983.96,60033.61,79222.87,192244.36,5.31,0,0,547.22,18.35,2.82,11820.6,0,1.1,188.87,1509.45,0.76,2.65,58.88,0.12,228.72,992.28,2.02,175.94,1319.56,87.97,0,0,27.89,30.79,0
"10","Myanmar","Cow peas, dry",0.0623254069051863,53708320,108021000,"Production_kg",195,"Cow peas; dry",34,1068.14,69919.79,4774.88,181646.67,3.09,0,1.3,311.72,24.94,13.54,3218.26,34233.29,2.8,83.19,1310.29,1.74,0.49,8.77,1.14,478.73,654.72,4.08,1068.14,342.06,1749.04,0,0,37.64,11.33,0
