"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Nauru","Apples",0.121111111111111,10670,46000,"Import_kg",515,"Apples",119,199.82,1104.98,1048.62,46578.25,51.68,0,0,27.59,2.5,0.23,366.14,5042.86,0.1,20.74,38.65,0.16,0.1,0.67,0.14,577.38,16.61,0.12,138.83,30.26,233.16,0,0,300.8,0.92,35.6
"2","Nauru","Avocados",0.048,10670,1000,"Import_kg",572,"Avocados",141,28.44,314.05,2750.62,847.39,2.5,0,0,4.02,0.19,0,99.59,855.85,0,1.29,33.14,0,0,0.27,0,2.77,5.91,0,466.94,1550.74,324.9,0,0,15.01,0.23,7.42
"3","Nauru","Bananas",0.04075,10670,11000,"Import_kg",486,"Bananas",117,254.85,3075.71,588.2,59058.34,26.93,0,0,24.92,2.02,0.42,859.65,3955.82,0.23,16.06,64.17,0.14,0.13,2.15,0.88,24.79,71.68,0.68,280.82,65.78,142.94,0,0,184.28,2.1,89.81
"4","Nauru","Cabbages and other brassicas",0.08324,10670,16000,"Import_kg",358,"Cabbages and other brassicas",78,48.4,4091.4,549.06,7895.07,110.47,0.42,0.11,221.07,3.12,0.61,514.42,3975.63,0.28,70.81,127.01,0.11,0.19,1.4,0.32,44.42,43.99,0.46,61.8,32.29,158.25,0,0,163.65,1.99,49.72
"5","Nauru","Carrots and turnips",0.0830718954248366,10670,10000,"Import_kg",426,"Carrots and turnips",96,34.11,1477.3,264.17,6618.94,30.88,0.69,0,74.84,1.75,0.29,328.34,2291.03,0,53.26,134.4,0,0.11,0.87,0.21,118.01,13.73,0.16,36.48,16.55,85.37,0,0,100.69,1.42,25.95
"6","Nauru","Cauliflowers and broccoli",0.103835520801038,10670,11000,"Import_kg",393,"Cauliflowers and broccoli",84,28.46,3075.46,321.02,4039.89,80.29,0.54,0,43.52,1.08,0.42,294.17,1886.41,0,29.72,107.84,0.11,0.11,0.71,0.18,62.88,17.87,0.18,61.8,18.62,32.02,0,0,85.99,1.07,47.66
"7","Nauru","Chillies and peppers, green",0.0664142191142191,10670,4000,"Import_kg",401,"Chillies and peppers; green",88,22.12,1005.02,375.12,3899.23,65.09,0,0,15.6,0.92,0.18,159.14,1814.56,0,4,57.51,0,0,0.67,0.2,4.56,20.36,0.13,23.54,10.07,103,0,0,49.82,0.5,9.34
"8","Nauru","Coffee, green",0.00312,10670,4000,"Import_kg",656,"Coffee",152,2226.26,135828.35,179244.77,434960.23,12.02,0,0.21,1238.11,41.52,6.38,26744.56,0,2.48,427.33,3415.18,1.73,6,133.23,0.28,517.49,2245.06,4.58,398.07,2985.55,199.04,0,0,63.11,69.65,0
"9","Nauru","Cucumbers and gherkins",0.0675,10670,4000,"Import_kg",397,"Cucumbers and gherkins",86,7.75,358.38,65.67,1405.28,5.49,0,0,8.89,0.25,0.11,79.17,362.32,0,3.69,20.14,0,0,0.11,0,3.33,6.94,0,18.61,1.39,14.44,0,0,53.18,0.23,8.61
"10","Nauru","Eggplants (aubergines)",0.082,10670,4000,"Import_kg",399,"Eggplants (aubergines)",87,12.47,527.7,330.84,2418.73,3.02,0,0,7.82,0.28,0,91.81,947.66,0,2.45,20.02,0,0,0.59,0,13.46,5.87,0.11,12.34,5.94,26.52,0,0,41.95,0.55,9.37
"11","Nauru","Fruit, tropical fresh nes",0.1073859375,10670,3000,"Import_kg",603,"Fruit; tropical fresh; nes",146,24.52,387.42,313.05,5436.69,28.12,0,0,8.47,0.46,0,65.75,761.11,0,2.57,9.41,0,0,0.27,0,2.07,7.37,0,195.07,431.44,98.64,0,0,19.96,0.2,10.33
"12","Nauru","Garlic",0.00732,10670,4000,"Import_kg",406,"Garlic",90,624.7,26021.98,1281.91,130833.22,68.04,0,0,263.24,7.12,5.97,2261.08,8130.14,2.47,89.21,1038.64,0.72,0.41,2.74,5.19,118.82,199.73,6.84,458.36,53.77,1226.56,0,0,334.98,7.42,66.58
"13","Nauru","Ginger",0.02852,10670,1000,"Import_kg",720,"Ginger",162,63.97,1604.18,690.91,13383.51,0.92,0,0,23.37,1.81,0.59,296.74,1939.88,0.18,8.08,28.84,0,0,1.29,0.15,13.54,48.21,10.94,854.07,157.41,305.28,0,0,15.3,0.73,0
"14","Nauru","Grapes",0.1235,10670,1000,"Import_kg",560,"Grapes",122,4.67,40.74,17.97,1108.42,0.39,0,0,1.13,0,0,13.75,160.45,0,0.24,1.54,0,0,0,0,0.42,2.05,0,9.06,1.04,7.08,0,0,6.32,0,1.06
"15","Nauru","Lemons and limes",0.0785,10670,5000,"Import_kg",497,"Lemons; Limes",114,22.52,452.52,249.24,4961.48,24.58,0,0,22.58,0.35,0.11,125.24,793.94,0.11,2.71,11.71,0,0,0.27,0,3.04,5.97,0,20.1,7.96,40.59,0,0,53.21,0.22,20.89
"16","Nauru","Lentils",0.0454634146341463,10670,1000,"Import_kg",201,"Lentils",36,67.68,4762.99,215.55,11568.62,0.35,0,0,14.21,1.93,0.6,171.93,2375.83,0.24,2.36,67.27,0,0,0.45,0.13,40.75,15.8,0.25,29.27,36.38,90.29,0,0,2.37,0.56,0
"17","Nauru","Lettuce and chicory",0.0865961538461538,10670,4000,"Import_kg",372,"Lettuce and chicory",81,7.48,620.58,107.44,1208.13,4.8,0,0,23,0.5,0.18,111.15,766.87,0,10.97,29.21,0,0,0.18,0,13.96,5.91,0.1,15.8,3.21,36.33,0,0,40.51,0.45,7.36
"18","Nauru","Melons, other (inc.cantaloupes)",0.179843076923077,10670,3000,"Import_kg",568,"Other melons (inc. cantaloupes)",111,4.45,84.61,23.78,1005.89,3.63,0,0,2.39,0,0,39.98,107.2,0,1.9,2.57,0,0,0,0,1.19,1.69,0,5.94,0.42,9.33,0,0,14.46,0,7.45
"19","Nauru","Mushrooms and truffles",0.0389236263736264,10670,14000,"Import_kg",449,"Mushrooms and truffles",99,102.86,9030.82,1274.75,17045.3,10.03,0,0,32.4,5.74,2.23,1087.97,8090.24,0.9,39.85,349.28,0.3,1.02,12.71,0.4,107.47,50.99,0.6,143.99,54.9,3034.59,0,0.11,305.58,3.14,10.11
