"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Nicaragua","Bananas",0.04075,6465501,1173000,"Import_kg",486,"Bananas",117,44.85,541.27,103.51,10393.19,4.74,0,0,4.39,0.36,0,151.28,696.15,0,2.83,11.29,0,0,0.38,0.16,4.36,12.61,0.12,49.42,11.58,25.15,0,0,32.43,0.37,15.81
"2","Nicaragua","Beans, dry",0.1145,6465501,160000,"Import_kg",176,"Beans",30,7.12,460.18,29.67,1253.57,0,0,0,3.02,0.16,0,25.27,268.06,0,0.34,8.36,0,0,0,0,2.39,3.74,0,6.68,2.97,10.28,0,0,0.25,0,0
"3","Nicaragua","Cabbages and other brassicas",0.08324,6465501,257000,"Import_kg",358,"Cabbages and other brassicas",78,1.28,108.45,14.55,209.28,2.93,0,0,5.86,0,0,13.64,105.39,0,1.88,3.37,0,0,0,0,1.18,1.17,0,1.64,0.86,4.19,0,0,4.34,0,1.32
"4","Nicaragua","Carrots and turnips",0.0830718954248366,6465501,981000,"Import_kg",426,"Carrots and turnips",96,5.52,239.17,42.77,1071.57,5,0.11,0,12.12,0.28,0,53.16,370.9,0,8.62,21.76,0,0,0.14,0,19.1,2.22,0,5.91,2.68,13.82,0,0,16.3,0.23,4.2
"5","Nicaragua","Chillies and peppers, green",0.0664142191142191,6465501,117000,"Import_kg",401,"Chillies and peppers; green",88,1.07,48.51,18.11,188.22,3.14,0,0,0.75,0,0,7.68,87.59,0,0.19,2.78,0,0,0,0,0.22,0.98,0,1.14,0.49,4.97,0,0,2.41,0,0.45
"6","Nicaragua","Coconuts",0.04,6465501,3000,"Import_kg",249,"Coconuts - Incl Copra",58,0.37,3.89,32.65,14.6,0,0,0,0,0,0,0.38,7.49,0,0,0.12,0,0,0,0,0,0,0,34.62,3.09,0.79,0,0,0,0,0
"7","Nicaragua","Fruit, fresh nes",0.107099201828105,6465501,1140000,"Import_kg",619,"Fresh fruit; nes",147,14.82,251.44,125.4,3172.93,6.42,0,0,8.83,0.6,0,45.86,571.72,0,1.84,6.89,0,0,0.16,0,11.5,5.25,0,20.15,13.88,19.19,0,0,12.46,0.15,4.58
"8","Nicaragua","Maize",0.0869363057324841,6465501,279085000,"Import_kg",56,"Maize",4,17544.39,429132.85,169949.93,3583455.52,34.05,1.1,1.16,1035.99,161.57,89.1,14627.63,257140.05,8.96,464.02,10868.17,13.24,5.88,128.07,17.59,0,5445.17,12.04,29381.33,63938.83,119945.82,0,0,618.71,62.33,0
"9","Nicaragua","Onions, dry",0.093304347826087,6465501,19745000,"Import_kg",403,"Onions",77,129.24,3766.99,460,27345.45,29.1,0,0,135.67,2.33,1.29,422.88,4647.74,0,32.88,170.71,0.11,0.12,0.79,0.36,19.97,39.06,0.21,111.28,79.64,182.2,0,0,295.29,1.7,26.18
"10","Nicaragua","Oranges",0.138371428571429,6465501,1280000,"Import_kg",490,"Oranges; Mandarines",113,6.32,113.48,32.83,1430.61,6.61,0,0,4.52,0,0,24.05,192.5,0,0.39,3.1,0,0,0.25,0,1.55,1.52,0,3,4.4,4.65,0,0,12.44,0,3.83
"11","Nicaragua","Pineapples",0.1096,6465501,298000,"Import_kg",574,"Pineapples",120,1.99,19.33,8.93,464.78,0.94,0,0,1.51,0,0,6.75,35.02,0,0.19,0.4,0,0,0,0,6.87,0.5,0,0.82,1.11,2.52,0,0,3.66,0,1.72
"12","Nicaragua","Plantains and others",0.104,6465501,51000,"Import_kg",489,"Plantains",118,0.9,9.86,2.78,215.18,0,0,0,0,0,0,3.41,11.57,0,0,0.25,0,0,0,0,0.1,0.28,0,1.22,0.24,0.49,0,0,0.52,0,0.26
"13","Nicaragua","Potatoes",0.133867924528302,6465501,1962000,"Import_kg",116,"Potatoes",18,18.18,466.36,30.81,4061.63,3.63,0,0,2.08,0.24,0,84.78,305.54,0,2.38,10.97,0,0,0.31,0,7.93,5.59,0,6.66,0.32,9.29,0,0,17.31,0.24,5.04
