"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Norway","Almonds, with shell",0.0296505238073522,5337962,20000,"Import_kg",221,"Almonds; with shell",45,7.52,268.02,646.43,228.17,0.13,0,0,3.07,0,0,9.95,91.61,0,0,6.1,0,0,0,0,0.66,4.06,0,49.93,426.8,147.4,0,0,0,0,0.82
"2","Norway","Anise, badian, fennel, coriander",0.00195,5337962,204000,"Import_kg",711,"Anise; badian; fennel; coriander",161,681.21,30991.56,28086.11,91588.11,20.48,0,0,1593.88,62.9,9.09,2907.42,46796.57,1.84,145.03,901.7,0.64,0.59,6.03,0.98,1073.7,617.35,5.35,1650.58,21336.75,5150.85,0,0,19.52,13.19,0
"3","Norway","Apples",0.121111111111111,5337962,44656000,"Import_kg",515,"Apples",119,387.75,2144.2,2034.83,90384.52,100.29,0,0,53.53,4.84,0.44,710.48,9785.61,0.2,40.24,75,0.31,0.2,1.29,0.28,1120.4,32.23,0.24,269.39,58.71,452.44,0,0,583.71,1.78,69.07
"4","Norway","Apricots",0.03995,5337962,404000,"Import_kg",526,"Apricots",125,9.36,189.45,48.44,2156.67,1.27,0,0,3.22,0.15,0,55.26,258.91,0,0.25,4.52,0,0,0.15,0,0.53,1.89,0,5.4,32.21,14.87,0,0,16.22,0.15,1.61
"5","Norway","Artichokes",0.1,5337962,32000,"Import_kg",366,"Artichokes",79,0.33,15.69,1.05,69.55,0,0,0,0.5,0,0,2.05,14.79,0,0.64,0.59,0,0,0,0,0.21,0.36,0,0.26,0,0.37,0,0,0.52,0,0.36
"6","Norway","Asparagus",0.0845294117647059,5337962,1343000,"Import_kg",367,"Asparagus",80,6.03,642.05,60.38,906.32,6.45,0,0,6.25,0.32,0.16,64.51,724.26,0,1.38,24.95,0,0,0.27,0,4.76,4.17,0,13.39,1.49,20.83,0,0,27.63,0.2,13.99
"7","Norway","Avocados",0.048,5337962,13958000,"Import_kg",572,"Avocados",141,793.59,8762.19,76743.59,23642.65,69.69,0.18,0.32,112.03,5.23,2.63,2778.48,23878.72,1.15,35.93,924.73,0.34,0.76,7.54,1.66,77.36,164.79,0.77,13027.97,43266.33,9064.83,0,0,418.89,6.39,207.01
"8","Norway","Bananas",0.04075,5337962,82638000,"Import_kg",486,"Bananas",117,3827.08,46187.13,8832.83,886864.55,404.46,1.4,0.71,374.28,30.35,6.27,12909.22,59403.56,3.5,241.12,963.58,2.03,1.92,32.35,13.26,372.31,1076.4,10.26,4216.96,987.76,2146.47,0,0,2767.36,31.49,1348.67
"9","Norway","Barley",0.04775,5337962,45771000,"Import_kg",44,"Barley",3,6179.88,164210.72,24989.03,1338846.55,11.97,0,0.38,1001.12,139.68,45.4,4624.01,148746.48,11.48,384.29,5252.03,4.72,2.32,96.02,5.19,678.79,1394.69,25.53,6518.51,3986.53,14976.41,0,0,210.86,32.9,0
"10","Norway","Beans, dry",0.1145,5337962,638000,"Import_kg",176,"Beans",30,34.4,2222.59,143.31,6054.45,0.19,0,0,14.61,0.76,0.3,122.06,1294.66,0,1.63,40.37,0,0,0.21,0,11.52,18.05,0.14,32.27,14.33,49.64,0,0,1.22,0.4,0
