"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Pakistan","Alfalfa meal and pellets",0.0651708222811671,212228286,11000,"Import_kg",862,"Mixed grain",12,0,0.91,0.2,5.86,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Pakistan","Almonds shelled",0.0296505238073522,212228286,143000,"Import_kg",231,"Almonds; with shell",45,1.35,48.2,116.25,41.03,0,0,0,0.55,0,0,1.79,16.48,0,0,1.1,0,0,0,0,0.12,0.73,0,8.98,76.75,26.51,0,0,0,0,0.15
"3","Pakistan","Almonds, with shell",0.0296505238073522,212228286,628000,"Import_kg",221,"Almonds; with shell",45,5.94,211.67,510.53,180.2,0.1,0,0,2.42,0,0,7.86,72.35,0,0,4.82,0,0,0,0,0.52,3.21,0,39.43,337.07,116.41,0,0,0,0,0.65
"4","Pakistan","Anise, badian, fennel, coriander",0.00195,212228286,22237000,"Import_kg",711,"Anise; badian; fennel; coriander",161,1867.66,84969.24,77003.38,251106.14,56.15,0.13,0,4369.93,172.45,24.92,7971.24,128301.64,5.04,397.62,2472.19,1.76,1.62,16.54,2.69,2943.74,1692.58,14.66,4525.36,58498.74,14122.02,0,0,53.53,36.17,0
"5","Pakistan","Apples",0.121111111111111,212228286,67449000,"Import_kg",515,"Apples",119,14.73,81.46,77.3,3433.7,3.81,0,0,2.03,0.18,0,26.99,371.75,0,1.53,2.85,0,0,0,0,42.56,1.22,0,10.23,2.23,17.19,0,0,22.17,0,2.62
"6","Pakistan","Apricots",0.03995,212228286,17831000,"Import_kg",526,"Apricots",125,10.39,210.31,53.78,2394.15,1.41,0,0,3.58,0.17,0,61.34,287.42,0,0.28,5.01,0,0,0.16,0,0.59,2.1,0,5.99,35.75,16.51,0,0,18,0.17,1.79
"7","Pakistan","Bananas",0.04075,212228286,1000,"Import_kg",486,"Bananas",117,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Pakistan","Barley",0.04775,212228286,8479000,"Import_kg",44,"Barley",3,28.79,765.12,116.43,6238.17,0,0,0,4.66,0.65,0.21,21.54,693.06,0,1.79,24.47,0,0,0.45,0,3.16,6.5,0.12,30.37,18.57,69.78,0,0,0.98,0.15,0
"9","Pakistan","Beans, dry",0.1145,212228286,103871000,"Import_kg",176,"Beans",30,140.85,9101.33,586.86,24792.5,0.78,0,0.17,59.81,3.12,1.25,499.81,5301.54,0.37,6.68,165.32,0.19,0,0.85,0.17,47.19,73.9,0.56,132.13,58.67,203.28,0,0,5.01,1.63,0
"10","Pakistan","Bran, sorghum",0.057,212228286,196000,"Import_kg",85,"Sorghum Flour",225,0.58,16.16,2.99,119.71,0,0,0,0,0,0,0.37,4.35,0,0,0.32,0,0,0,0,0,0.12,0,0.49,0.62,0.77,0,0,0,0,0
"11","Pakistan","Bran, wheat",0.0374838709677419,212228286,209000,"Import_kg",17,"Wheat Flour",222,0.91,30.14,3.97,186.92,0,0,0,0.11,0,0,0.45,3.45,0,0,0.49,0,0,0,0,0,0.12,0,0.41,0.23,1.09,0,0,0,0,0
"12","Pakistan","Broad beans, horse beans, dry",0.052,212228286,484000,"Import_kg",181,"Broad beans; horse beans; dry",32,1.47,105.25,6.97,241.21,0,0,0,0.43,0,0,5.23,84.94,0,0,1.67,0,0,0,0,0.42,0.84,0,1.11,1.32,2.65,0,0,0,0,0.12
"13","Pakistan","Cabbages and other brassicas",0.08324,212228286,10729000,"Import_kg",358,"Cabbages and other brassicas",78,1.63,137.93,18.51,266.17,3.72,0,0,7.45,0.11,0,17.34,134.03,0,2.39,4.28,0,0,0,0,1.5,1.48,0,2.08,1.09,5.34,0,0,5.52,0,1.68
"14","Pakistan","Cake, copra",0.0131048387096774,212228286,2000,"Import_kg",253,"Coconut Oil",70,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0.42,0.13,0,0,0,0,0
