"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Papua New Guinea","Almonds, with shell",0.0296505238073522,8606323,1000,"Import_kg",221,"Almonds; with shell",45,0.23,8.31,20.05,7.08,0,0,0,0,0,0,0.31,2.84,0,0,0.19,0,0,0,0,0,0.13,0,1.55,13.24,4.57,0,0,0,0,0
"2","Papua New Guinea","Apples",0.121111111111111,8606323,2182000,"Import_kg",515,"Apples",119,11.75,64.98,61.67,2739.22,3.04,0,0,1.62,0.15,0,21.53,296.57,0,1.22,2.27,0,0,0,0,33.96,0.98,0,8.16,1.78,13.71,0,0,17.69,0,2.09
"3","Papua New Guinea","Bananas",0.04075,8606323,1408549000,"Production_kg/Import_kg",486,"Bananas",117,40459.25,488282.3,93379.1,9375777.56,4275.93,14.75,7.5,3956.8,320.84,66.27,136474.05,628004.08,37.05,2549.1,10186.81,21.47,20.31,341.97,140.17,3935.98,11379.53,108.44,44580.99,10442.39,22692.12,0,0,29256.04,332.91,14257.88
"4","Papua New Guinea","Barley",0.04775,8606323,499000,"Import_kg",44,"Barley",3,41.79,1110.37,168.97,9053.13,0,0,0,6.77,0.94,0.31,31.27,1005.81,0,2.6,35.51,0,0,0.65,0,4.59,9.43,0.17,44.08,26.96,101.27,0,0,1.43,0.22,0
"5","Papua New Guinea","Beans, dry",0.1145,8606323,25000,"Import_kg",176,"Beans",30,0.84,54.02,3.48,147.15,0,0,0,0.35,0,0,2.97,31.47,0,0,0.98,0,0,0,0,0.28,0.44,0,0.78,0.35,1.21,0,0,0,0,0
"6","Papua New Guinea","Beans, green",0.0843965476190476,8606323,157000,"Production_kg/Import_kg",414,"Beans; green",92,1.03,98.56,11.77,161.74,0.5,0,0,1.36,0,0,6.29,48.43,0,0.36,2.3,0,0,0,0,0.18,0.65,0,1.05,0.4,2.03,0,0,1.8,0,0.27
"7","Papua New Guinea","Berries nes",0.109406559397488,8606323,107642000,"Production_kg",558,"Berries; nes",138,647.05,10639.89,5152.55,146637.77,529.39,0.87,0.22,418.9,17.56,4.83,1890.08,32924.05,1.3,69.05,257.22,0.3,0.64,5.57,0.55,111.65,185.77,10.82,205.78,480.14,2495.03,0,0,981.47,5.78,9.15
"8","Papua New Guinea","Buckwheat",0.0421111111111111,8606323,1e+07,"Import_kg",89,"Buckwheat",9,909.85,29351.16,7449.88,190109.96,0,0,0,115.89,19.52,7.39,1134.04,25660.71,1.75,16.69,968.48,1.1,0.78,15.76,0.58,0,631.86,3.59,2044.58,2869.58,2866.83,0,0,36.8,6.07,0
"9","Papua New Guinea","Cabbages and other brassicas",0.08324,8606323,117000,"Import_kg",358,"Cabbages and other brassicas",78,0.44,37.09,4.98,71.58,1,0,0,2,0,0,4.66,36.04,0,0.64,1.15,0,0,0,0,0.4,0.4,0,0.56,0.29,1.43,0,0,1.48,0,0.45
"10","Papua New Guinea","Carrots and turnips",0.0830718954248366,8606323,331000,"Import_kg",426,"Carrots and turnips",96,1.4,60.62,10.84,271.62,1.27,0,0,3.07,0,0,13.47,94.02,0,2.19,5.52,0,0,0,0,4.84,0.56,0,1.5,0.68,3.5,0,0,4.13,0,1.06
"11","Papua New Guinea","Cashew nuts, with shell",0.0289438420348059,8606323,1000,"Import_kg",217,"Cashew nuts; with shell",43,0.22,7.38,16.9,9.71,0,0,0,0,0,0,0.26,1.07,0,0,0.19,0,0,0,0,0,0.12,0,3.12,9.55,3.15,0,0,0,0,0
"12","Papua New Guinea","Cassava",0.108277777777778,8606323,155145000,"Production_kg",125,"Cassava",17,2315.62,30422.76,7902.59,516838.24,536.09,0.17,0.42,649.07,20.27,5.66,6259.92,24640.1,1.66,153.17,656.11,1.04,0.93,9.55,1.47,394.57,349.62,6.39,1448.44,1456.76,732.54,0,0,1046.01,23.4,349.62
"13","Papua New Guinea","Cauliflowers and broccoli",0.103835520801038,8606323,80000,"Import_kg",393,"Cauliflowers and broccoli",84,0.26,27.73,2.89,36.43,0.72,0,0,0.39,0,0,2.65,17.01,0,0.27,0.97,0,0,0,0,0.57,0.16,0,0.56,0.17,0.29,0,0,0.78,0,0.43
"14","Papua New Guinea","Cherries",0.1289,8606323,1000,"Import_kg",531,"Cherries",127,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Papua New Guinea","Chick peas",0.04575,8606323,2000,"Import_kg",191,"Chick peas",33,0.18,9.88,2.56,29.62,0,0,0,0,0,0,0.41,3.88,0,0,0.16,0,0,0,0,0,0,0,0.31,0.69,1.35,0,0,0,0,0
"16","Papua New Guinea","Chillies and peppers, dry",4e-04,8606323,2000,"Production_kg/Import_kg",689,"Pimento",156,13.97,595.37,518.57,2384.14,4.38,0,0,12.05,0.42,0.15,105.85,1290.91,0,26.36,10.8,0,0,0.32,0.1,2.99,8.92,0.13,153.96,98.86,358.19,0,0,1.63,0.35,0
"17","Papua New Guinea","Chillies and peppers, green",0.0664142191142191,8606323,14000,"Import_kg",401,"Chillies and peppers; green",88,0,4.36,1.63,16.92,0.28,0,0,0,0,0,0.69,7.87,0,0,0.25,0,0,0,0,0,0,0,0.1,0,0.45,0,0,0.22,0,0
"18","Papua New Guinea","Cocoa, beans",0.0115,8606323,45669000,"Production_kg/Import_kg",661,"Cocoa Beans",153,10520.61,744563.78,1908106.19,2671680.89,0,0.15,1.48,4949.3,234.13,314.23,46304.52,1707291.76,174.79,380.68,27062.19,7.82,9.12,85.19,5.44,553.72,23025.37,177.05,1062096.98,733327.95,39683,0,0,179.03,183.56,0
