"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Paraguay","Apples",0.121111111111111,6956066,16267000,"Import_kg",515,"Apples",119,108.39,599.38,568.81,25265.83,28.03,0,0,14.96,1.35,0.12,198.61,2735.44,0,11.25,20.96,0,0,0.36,0,313.19,9.01,0,75.31,16.41,126.47,0,0,163.17,0.5,19.31
"2","Paraguay","Avocados",0.048,6956066,219000,"Import_kg",572,"Avocados",141,9.55,105.5,924.01,284.66,0.84,0,0,1.35,0,0,33.45,287.5,0,0.43,11.13,0,0,0,0,0.93,1.98,0,156.86,520.93,109.14,0,0,5.04,0,2.49
"3","Paraguay","Bananas",0.04075,6956066,64000,"Import_kg",486,"Bananas",117,2.27,27.45,5.25,527.07,0.24,0,0,0.22,0,0,7.67,35.3,0,0.14,0.57,0,0,0,0,0.22,0.64,0,2.51,0.59,1.28,0,0,1.64,0,0.8
"4","Paraguay","Beans, dry",0.1145,6956066,201000,"Import_kg",176,"Beans",30,8.32,537.34,34.65,1463.73,0,0,0,3.53,0.18,0,29.51,313,0,0.39,9.76,0,0,0,0,2.79,4.36,0,7.8,3.46,12,0,0,0.3,0,0
"5","Paraguay","Carrots and turnips",0.0830718954248366,6956066,1597000,"Import_kg",426,"Carrots and turnips",96,8.36,361.89,64.71,1621.41,7.57,0.17,0,18.33,0.43,0,80.43,561.22,0,13.05,32.92,0,0,0.21,0,28.91,3.36,0,8.94,4.05,20.91,0,0,24.67,0.35,6.36
"6","Paraguay","Chillies and peppers, green",0.0664142191142191,6956066,3741000,"Import_kg",401,"Chillies and peppers; green",88,31.74,1441.79,538.14,5593.8,93.38,0.1,0,22.38,1.32,0.25,228.3,2603.15,0.13,5.74,82.5,0.1,0,0.96,0.29,6.54,29.21,0.19,33.77,14.45,147.76,0,0,71.48,0.72,13.41
"7","Paraguay","Coffee, green",0.00312,6956066,686000,"Import_kg",656,"Coffee",152,585.65,35731.83,47153.22,114423.28,3.16,0,0,325.71,10.92,1.68,7035.59,0,0.65,112.42,898.42,0.46,1.58,35.05,0,136.14,590.6,1.2,104.72,785.4,52.36,0,0,16.6,18.32,0
"8","Paraguay","Fruit, tropical fresh nes",0.1073859375,6956066,23000,"Import_kg",603,"Fruit; tropical fresh; nes",146,0.29,4.56,3.68,63.94,0.33,0,0,0,0,0,0.77,8.95,0,0,0.11,0,0,0,0,0,0,0,2.29,5.07,1.16,0,0,0.23,0,0.12
"9","Paraguay","Garlic",0.00732,6956066,5111000,"Import_kg",406,"Garlic",90,1224.38,51001.96,2512.5,256427.52,133.35,0,0,515.93,13.95,11.7,4431.61,15934.73,4.84,174.86,2035.69,1.42,0.81,5.38,10.16,232.87,391.47,13.41,898.37,105.4,2404.01,0,0,656.54,14.55,130.49
"10","Paraguay","Grapefruit (inc. pomelos)",0.15,6956066,356000,"Import_kg",507,"Grapefruit",115,1.23,24.03,5.19,274,1.34,0,0,0.63,0,0,6.49,34.5,0,0.25,0.71,0,0,0,0,0.26,0.26,0,0.41,0.39,0.75,0,0,3.06,0,1.53
