"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Paraguay","Alfalfa meal and pellets",0.0651708222811671,6956066,168000,"Import_kg",862,"Mixed grain",12,12.91,423.63,91.91,2731.09,0,0,0,0.91,0.12,0,12.77,391.59,0,0.2,11.71,0,0,0.16,0,1.21,4.39,0,16.28,19.73,38.64,0,0,0.4,0,0
"2","Paraguay","Almonds shelled",0.0296505238073522,6956066,80000,"Import_kg",231,"Almonds; with shell",45,23.09,822.69,1984.23,700.38,0.4,0,0,9.41,0.12,0.14,30.54,281.21,0,0.19,18.72,0,0,0.15,0,2.02,12.47,0,153.25,1310.07,452.44,0,0,0.19,0.11,2.52
"3","Paraguay","Anise, badian, fennel, coriander",0.00195,6956066,948000,"Import_kg",711,"Anise; badian; fennel; coriander",161,2429.23,110518.11,100157.04,326609.68,73.03,0.17,0,5683.9,224.3,32.41,10368.06,166879.86,6.56,517.18,3215.54,2.29,2.11,21.52,3.49,3828.88,2201.51,19.06,5886.07,76088.37,18368.28,0,0,69.62,47.05,0
"4","Paraguay","Apples",0.121111111111111,6956066,16267000,"Import_kg",515,"Apples",119,108.39,599.38,568.81,25265.83,28.03,0,0,14.96,1.35,0.12,198.61,2735.44,0,11.25,20.96,0,0,0.36,0,313.19,9.01,0,75.31,16.41,126.47,0,0,163.17,0.5,19.31
"5","Paraguay","Apricots",0.03995,6956066,2000,"Import_kg",526,"Apricots",125,0,0.72,0.18,8.19,0,0,0,0,0,0,0.21,0.98,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0
"6","Paraguay","Apricots, dry",0.03995,6956066,1000,"Import_kg",527,"Apricots",125,0,0.36,0,4.1,0,0,0,0,0,0,0.1,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Paraguay","Artichokes",0.1,6956066,5000,"Import_kg",366,"Artichokes",79,0,1.88,0.13,8.34,0,0,0,0,0,0,0.25,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Paraguay","Avocados",0.048,6956066,219000,"Import_kg",572,"Avocados",141,9.55,105.5,924.01,284.66,0.84,0,0,1.35,0,0,33.45,287.5,0,0.43,11.13,0,0,0,0,0.93,1.98,0,156.86,520.93,109.14,0,0,5.04,0,2.49
"9","Paraguay","Bananas",0.04075,6956066,64000,"Import_kg",486,"Bananas",117,2.27,27.45,5.25,527.07,0.24,0,0,0.22,0,0,7.67,35.3,0,0.14,0.57,0,0,0,0,0.22,0.64,0,2.51,0.59,1.28,0,0,1.64,0,0.8
"10","Paraguay","Beans, dry",0.1145,6956066,201000,"Import_kg",176,"Beans",30,8.32,537.34,34.65,1463.73,0,0,0,3.53,0.18,0,29.51,313,0,0.39,9.76,0,0,0,0,2.79,4.36,0,7.8,3.46,12,0,0,0.3,0,0
"11","Paraguay","Beans, green",0.0843965476190476,6956066,10000,"Import_kg",414,"Beans; green",92,0,7.77,0.93,12.75,0,0,0,0.11,0,0,0.5,3.82,0,0,0.18,0,0,0,0,0,0,0,0,0,0.16,0,0,0.14,0,0
"12","Paraguay","Bran, maize",0.0538461538461538,6956066,80000,"Import_kg",59,"Corn Flour",223,7.59,181.5,70.06,1557.91,0,0,0,0.6,0,0,4.55,95.63,0,0.15,4.21,0,0,0,0,0,1.23,0,6.31,22.82,37.88,0,0,0.22,0,0
"13","Paraguay","Bran, wheat",0.0374838709677419,6956066,8000,"Import_kg",17,"Wheat Flour",222,1.06,35.2,4.64,218.29,0,0,0,0.12,0,0,0.53,4.03,0,0,0.57,0,0,0,0,0,0.14,0,0.48,0.27,1.27,0,0,0,0,0
"14","Paraguay","Cabbages and other brassicas",0.08324,6956066,3840000,"Import_kg",358,"Cabbages and other brassicas",78,17.82,1506.2,202.13,2906.48,40.67,0.15,0,81.39,1.15,0.23,189.38,1463.58,0.1,26.07,46.76,0,0,0.51,0.12,16.35,16.19,0.17,22.75,11.89,58.26,0,0,60.25,0.73,18.3
"15","Paraguay","Cake, cottonseed",0.014,6956066,4127000,"Import_kg",332,"Cottonseed Oil",67,3802.03,0,423640.97,84.76,0,0,0,24.01,2.83,1.05,0,0,0,6.36,0,0,0,0,0,0.85,0,0,108912.03,79141.33,222379.72,0,0,0,0,0
"16","Paraguay","Carrots and turnips",0.0830718954248366,6956066,1597000,"Import_kg",426,"Carrots and turnips",96,8.36,361.89,64.71,1621.41,7.57,0.17,0,18.33,0.43,0,80.43,561.22,0,13.05,32.92,0,0,0.21,0,28.91,3.36,0,8.94,4.05,20.91,0,0,24.67,0.35,6.36
"17","Paraguay","Cauliflowers and broccoli",0.103835520801038,6956066,438000,"Import_kg",393,"Cauliflowers and broccoli",84,1.74,187.84,19.61,246.75,4.9,0,0,2.66,0,0,17.97,115.22,0,1.82,6.59,0,0,0,0,3.84,1.09,0,3.77,1.14,1.96,0,0,5.25,0,2.91
"18","Paraguay","Cereal preparations nes",0.0486257263475995,6956066,119000,"Import_kg",113,"Cereals; nes",13,12.25,458.22,161.93,2585.55,0,0,0,5.11,0.78,0.13,15.02,111.07,0,0.27,13.39,0,0,0,0,0.46,6.47,0.33,15.8,20.72,37.68,0,0,0.38,0.14,0
"19","Paraguay","Cherries",0.1289,6956066,167000,"Import_kg",531,"Cherries",127,0.85,20.27,3.23,193.95,0.23,0,0,0.51,0,0,4.63,19.56,0,0,0.44,0,0,0,0,0.11,0.2,0,0.71,0.88,0.97,0,0,1.53,0,0.15
"20","Paraguay","Cherries, sour",0.028,6956066,3000,"Import_kg",530,"Sour cherries",126,0,1.69,0.41,17.14,0,0,0,0,0,0,0.27,1.85,0,0,0,0,0,0,0,0,0,0,0.1,0.13,0.14,0,0,0.13,0,0
"21","Paraguay","Chick peas",0.04575,6956066,6000,"Import_kg",191,"Chick peas",33,0.66,36.66,9.49,109.95,0,0,0,0.26,0,0,1.53,14.39,0,0,0.59,0,0,0,0,0.28,0.19,0,1.16,2.57,5.02,0,0,0,0,0
"22","Paraguay","Chillies and peppers, dry",4e-04,6956066,13000,"Import_kg",689,"Pimento",156,112.35,4787.98,4170.39,19173.37,35.24,0.32,0,96.93,3.41,1.23,851.27,10381.59,0.31,212,86.86,0.13,0.2,2.58,0.81,24.06,71.72,1.02,1238.13,795.05,2880.56,0,0,13.1,2.8,0
"23","Paraguay","Chillies and peppers, green",0.0664142191142191,6956066,3741000,"Import_kg",401,"Chillies and peppers; green",88,31.74,1441.79,538.14,5593.8,93.38,0.1,0,22.38,1.32,0.25,228.3,2603.15,0.13,5.74,82.5,0.1,0,0.96,0.29,6.54,29.21,0.19,33.77,14.45,147.76,0,0,71.48,0.72,13.41
"24","Paraguay","Chocolate products nes",0.0115,6956066,6266000,"Import_kg",666,"Cocoa Beans",153,1785.93,126393.5,323910.76,453531.46,0,0,0.25,840.17,39.74,53.34,7860.43,289821.49,29.67,64.62,4593.94,1.33,1.55,14.46,0.92,94,3908.67,30.06,180296.38,124486.16,6736.39,0,0,30.39,31.16,0
"25","Paraguay","Cider etc",0.0683571428571429,6956066,8068000,"Import_kg",517,"Fruit juice; nes",149,84.51,421.45,230,20639.62,127.28,0,0,17.19,0.45,0.12,183.33,482.92,0,13.17,13.93,0,0,0.73,0,4.65,12.63,0,42.56,57.97,105.34,0,0,149.28,0.47,0
"26","Paraguay","Cinnamon (cannella)",0.00115555555555556,6956066,5000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Paraguay","Cloves",0.0013,6956066,1000,"Import_kg",698,"Cloves",157,2.65,47.81,103.21,499.58,0,0,0,6.2,0,0,11.28,237.2,0,3.06,0.9,0,0,0,0,0.41,2.86,0.66,43.7,15.4,39.88,0,0,0.37,0,0
"28","Paraguay","Cocoa, butter",0.0115,6956066,17000,"Import_kg",664,"Cocoa Beans",153,4.85,342.91,878.79,1230.46,0,0,0,2.28,0.11,0.14,21.33,786.3,0,0.18,12.46,0,0,0,0,0.26,10.6,0,489.15,337.74,18.28,0,0,0,0,0
"29","Paraguay","Cocoa, paste",0.0115,6956066,2000,"Import_kg",662,"Cocoa Beans",153,0.57,40.34,103.39,144.76,0,0,0,0.27,0,0,2.51,92.51,0,0,1.47,0,0,0,0,0,1.25,0,57.55,39.73,2.15,0,0,0,0,0
"30","Paraguay","Cocoa, powder & cake",0.0115,6956066,365000,"Import_kg",665,"Cocoa Beans",153,104.03,7362.53,18868.09,26418.61,0,0,0,48.94,2.32,3.11,457.88,16882.36,1.73,3.76,267.6,0,0,0.84,0,5.48,227.68,1.75,10502.42,7251.43,392.4,0,0,1.77,1.82,0
"31","Paraguay","Coconuts",0.04,6956066,437000,"Import_kg",249,"Coconuts - Incl Copra",58,49.87,526.94,4420.26,1976.25,0.38,0,0,2.93,0.45,0.26,51.34,1013.89,0,3.33,16.53,0,0,0.11,0,1.9,4.55,0.59,4688,418.16,107.27,0,0,8.33,0.16,6.52
"32","Paraguay","Coffee, extracts",0.00312,6956066,949000,"Import_kg",659,"Coffee substitutes; cont. coffee",112,1574.17,59621.52,14167.49,342905.75,0,0,0.23,488.12,32.58,2.23,10682.46,101883.5,0.91,362.93,1601.06,1.81,0.42,77.24,3.27,58.59,1066.93,4.81,2636.73,1556.67,5356.54,0,0,26.5,35.59,0
"33","Paraguay","Coffee, green",0.00312,6956066,686000,"Import_kg",656,"Coffee",152,585.65,35731.83,47153.22,114423.28,3.16,0,0,325.71,10.92,1.68,7035.59,0,0.65,112.42,898.42,0.46,1.58,35.05,0,136.14,590.6,1.2,104.72,785.4,52.36,0,0,16.6,18.32,0
"34","Paraguay","Coffee, roasted",0.00312,6956066,259000,"Import_kg",657,"Coffee",152,221.11,13490.59,17802.75,43200.63,1.19,0,0,122.97,4.12,0.63,2656.29,0,0.25,42.44,339.2,0.17,0.6,13.23,0,51.4,222.98,0.45,39.54,296.53,19.77,0,0,6.27,6.92,0
"35","Paraguay","Coffee, substitutes containing coffee",0.00312,6956066,6000,"Import_kg",658,"Coffee substitutes; cont. coffee",112,9.95,376.95,89.57,2168,0,0,0,3.09,0.21,0,67.54,644.15,0,2.29,10.12,0,0,0.49,0,0.37,6.75,0,16.67,9.84,33.87,0,0,0.17,0.23,0
"36","Paraguay","Cucumbers and gherkins",0.0675,6956066,518000,"Import_kg",397,"Cucumbers and gherkins",86,1.54,71.19,13.04,279.15,1.09,0,0,1.77,0,0,15.73,71.97,0,0.73,4,0,0,0,0,0.66,1.38,0,3.7,0.28,2.87,0,0,10.56,0,1.71
"37","Paraguay","Dates",0.0393863636363636,6956066,170000,"Import_kg",577,"Dates",121,12.34,109.05,18.23,3162.05,0.42,0,0,2.58,0.1,0,37.45,306.53,0,0.12,4.99,0,0,0.1,0,0.5,2.5,0,0.99,1.12,0.59,0,0,2.35,0,1.08
"38","Paraguay","Eggplants (aubergines)",0.082,6956066,37000,"Import_kg",399,"Eggplants (aubergines)",87,0.18,7.49,4.69,34.32,0,0,0,0.11,0,0,1.3,13.45,0,0,0.28,0,0,0,0,0.19,0,0,0.18,0,0.38,0,0,0.6,0,0.13
"39","Paraguay","Figs",0.0504615384615385,6956066,1000,"Import_kg",569,"Figs",139,0,0.29,0,3.55,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Paraguay","Flour, cereals",0.057,6956066,9000,"Import_kg",111,"Millet Flour",224,0.82,17.61,7,170.89,0,0,0,0.15,0,0,0.51,5.41,0,0,0.52,0,0,0,0,0,0.27,0,1.22,2.1,5.94,0,0,0,0,0
"41","Paraguay","Flour, maize",0.0538461538461538,6956066,205000,"Import_kg",58,"Corn Flour",223,19.46,465.09,179.54,3992.15,0,0,0,1.53,0.21,0,11.65,245.06,0,0.39,10.78,0,0,0,0,0,3.15,0,16.16,58.48,97.08,0,0,0.57,0,0
"42","Paraguay","Flour, mustard",0.0841,6956066,1186000,"Import_kg",295,"Rape and Mustardseed",56,106.33,4670.97,7728.19,5280.19,0.72,0,0,76.63,1.74,1.12,149.62,1439.41,0.17,2.64,154.89,0.18,0,0.89,0,33.83,75.01,0.45,403.24,4565.15,2045.17,0,0,1.35,0.84,0
"43","Paraguay","Flour, potatoes",0.133867924528302,6956066,236000,"Import_kg",117,"Potatoes",18,2.03,52.14,3.44,454.1,0.41,0,0,0.23,0,0,9.48,34.16,0,0.27,1.23,0,0,0,0,0.89,0.63,0,0.75,0,1.04,0,0,1.94,0,0.56
"44","Paraguay","Flour, roots and tubers nes",0.0546428571428571,6956066,86000,"Import_kg",150,"Flour of roots and tubers",24,7.54,91.31,7.24,1875.75,0,0,0,0.96,0,0,15.14,74.02,0,0.56,1.97,0,0,0,0,0.89,0.75,0,1.23,0.11,2.21,0,0,0.37,0,0
"45","Paraguay","Flour, wheat",0.0374838709677419,6956066,303000,"Import_kg",16,"Wheat Flour",222,40.15,1333.12,175.79,8267.84,0,0,0,4.65,0.32,0.15,19.99,152.62,0,3.75,21.5,0,0,0.27,0,1.21,5.27,0,18.01,10.11,47.99,0,0,1.35,0.11,0
"46","Paraguay","Fructose and syrup, other",0.0196884037015616,6956066,8610000,"Import_kg",166,"Sweeteners; Other",28,1867.18,4014.56,947.21,481589.07,8.63,0,0,711.86,23.71,8.56,1943.88,0,0.42,282.21,399.64,0.31,0.97,5.33,0.54,21.38,126.78,7.99,27.03,47.15,73.56,0,0,158.94,12.79,0
"47","Paraguay","Fruit, cooked, homogenized preparations",0.107099201828105,6956066,31000,"Import_kg",626,"Homogenized; cooked fruit prepared",151,0.23,1.49,0.66,58.14,0.11,0,0,0,0,0,0.51,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0.35,0,0
"48","Paraguay","Fruit, dried nes",0.107099201828105,6956066,11000,"Import_kg",620,"Fruit dried; nes",148,0.43,4.47,0.95,105.91,0,0,0,0,0,0,1.29,12.58,0,0,0.15,0,0,0,0,0,0,0,0.29,0.23,0.37,0,0,0,0,0
"49","Paraguay","Fruit, prepared nes",0.107099201828105,6956066,9574000,"Import_kg",623,"Fruit; prepared; nes",150,70.95,933.4,307.08,18023.12,14.49,0,0,19.04,0.77,0.2,231.02,3237.79,0.11,5.95,23.1,0,0,0.69,0,6.74,14.31,0.37,32.43,45.81,97.86,0,0,108.65,0.6,1.56
"50","Paraguay","Fruit, tropical fresh nes",0.1073859375,6956066,23000,"Import_kg",603,"Fruit; tropical fresh; nes",146,0.29,4.56,3.68,63.94,0.33,0,0,0,0,0,0.77,8.95,0,0,0.11,0,0,0,0,0,0,0,2.29,5.07,1.16,0,0,0.23,0,0.12
"51","Paraguay","Garlic",0.00732,6956066,5111000,"Import_kg",406,"Garlic",90,1224.38,51001.96,2512.5,256427.52,133.35,0,0,515.93,13.95,11.7,4431.61,15934.73,4.84,174.86,2035.69,1.42,0.81,5.38,10.16,232.87,391.47,13.41,898.37,105.4,2404.01,0,0,656.54,14.55,130.49
"52","Paraguay","Glucose and dextrose",0.0196884037015616,6956066,965000,"Import_kg",172,"Sweeteners; Other",28,209.27,449.95,106.16,53976.01,0.97,0,0,79.78,2.66,0.96,217.87,0,0,31.63,44.79,0,0.11,0.6,0,2.4,14.21,0.9,3.03,5.28,8.24,0,0,17.81,1.43,0
"53","Paraguay","Grapefruit (inc. pomelos)",0.15,6956066,356000,"Import_kg",507,"Grapefruit",115,1.23,24.03,5.19,274,1.34,0,0,0.63,0,0,6.49,34.5,0,0.25,0.71,0,0,0,0,0.26,0.26,0,0.41,0.39,0.75,0,0,3.06,0,1.53
"54","Paraguay","Grapes",0.1235,6956066,1128000,"Import_kg",560,"Grapes",122,8.08,70.49,31.1,1917.85,0.67,0,0,1.96,0,0,23.79,277.61,0,0.42,2.67,0,0,0,0,0.74,3.55,0,15.67,1.79,12.26,0,0,10.93,0,1.84
"55","Paraguay","Groundnuts, prepared",0.028,6956066,189000,"Import_kg",246,"Groundnuts (Shelled Eq)",54,53.24,2286.54,4260.53,1652.27,0.14,0,0,5.81,0.34,0.27,67.58,806.31,0.11,1,37.91,0,0,1.39,0,13.42,18.2,0.14,609.3,2370.24,1509.71,0,0,0.82,0.27,0
"56","Paraguay","Groundnuts, shelled",0.028,6956066,1445000,"Import_kg",243,"Groundnuts (Shelled Eq)",54,407.05,17481.75,32573.87,12632.42,1.05,0,0,44.44,2.62,2.07,516.69,6164.64,0.81,7.61,289.82,0.57,0.13,10.63,0.4,102.57,139.13,1.09,4658.4,18121.68,11542.5,0,0,6.26,2.03,0
