"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Philippines","Asparagus",0.0845294117647059,106651394,1000,"Import_kg",367,"Asparagus",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Philippines","Avocados",0.048,106651394,57000,"Import_kg",572,"Avocados",141,0.16,1.79,15.69,4.83,0,0,0,0,0,0,0.57,4.88,0,0,0.19,0,0,0,0,0,0,0,2.66,8.84,1.85,0,0,0,0,0
"3","Philippines","Bananas",0.04075,106651394,22000,"Import_kg",486,"Bananas",117,0,0.62,0.12,11.82,0,0,0,0,0,0,0.17,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Philippines","Beans, dry",0.1145,106651394,42704000,"Import_kg",176,"Beans",30,115.23,7445.88,480.11,20282.96,0.63,0,0.14,48.93,2.55,1.02,408.9,4337.23,0.31,5.46,135.25,0.16,0,0.7,0.14,38.61,60.46,0.46,108.1,48,166.3,0,0,4.1,1.34,0
"5","Philippines","Beans, green",0.0843965476190476,106651394,20000,"Import_kg",414,"Beans; green",92,0,1.01,0.12,1.66,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Philippines","Cabbages and other brassicas",0.08324,106651394,68000,"Import_kg",358,"Cabbages and other brassicas",78,0,1.74,0.23,3.36,0,0,0,0,0,0,0.22,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Philippines","Cauliflowers and broccoli",0.103835520801038,106651394,183000,"Import_kg",393,"Cauliflowers and broccoli",84,0,5.12,0.53,6.72,0.13,0,0,0,0,0,0.49,3.14,0,0,0.18,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0.14,0,0
"8","Philippines","Chillies and peppers, green",0.0664142191142191,106651394,11000,"Import_kg",401,"Chillies and peppers; green",88,0,0.28,0.1,1.07,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Philippines","Coffee, green",0.00312,106651394,35201000,"Import_kg",656,"Coffee",152,1960.06,119586.82,157811.77,382950.32,10.58,0,0.18,1090.07,36.55,5.61,23546.61,0,2.19,376.23,3006.81,1.52,5.29,117.3,0.25,455.62,1976.61,4.03,350.47,2628.55,175.24,0,0,55.56,61.32,0
"10","Philippines","Fruit, fresh nes",0.107099201828105,106651394,4037000,"Import_kg",619,"Fresh fruit; nes",147,3.18,53.98,26.92,681.16,1.38,0,0,1.9,0.13,0,9.85,122.74,0,0.39,1.48,0,0,0,0,2.47,1.13,0,4.33,2.98,4.12,0,0,2.68,0,0.98
"11","Philippines","Garlic",0.00732,106651394,82066000,"Import_kg",406,"Garlic",90,1282.24,53412.32,2631.24,268546.31,139.65,0,0,540.32,14.61,12.25,4641.05,16687.81,5.07,183.12,2131.89,1.48,0.85,5.63,10.64,243.88,409.97,14.04,940.82,110.38,2517.63,0,0,687.57,15.24,136.66
"12","Philippines","Ginger",0.02852,106651394,9029000,"Import_kg",720,"Ginger",162,57.79,1449.08,624.11,12089.48,0.83,0,0,21.11,1.64,0.54,268.05,1752.32,0.17,7.3,26.05,0,0,1.16,0.14,12.23,43.55,9.88,771.49,142.19,275.77,0,0,13.82,0.66,0
"13","Philippines","Grapefruit (inc. pomelos)",0.15,106651394,212000,"Import_kg",507,"Grapefruit",115,0,0.93,0.2,10.64,0,0,0,0,0,0,0.25,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0
"14","Philippines","Grapes",0.1235,106651394,46456000,"Import_kg",560,"Grapes",122,21.7,189.34,83.53,5151.62,1.81,0,0,5.27,0.22,0,63.91,745.71,0,1.13,7.17,0,0,0,0,1.98,9.52,0.24,42.09,4.82,32.92,0,0,29.36,0.17,4.94
"15","Philippines","Leeks, other alliaceous vegetables",0.083270092226614,106651394,44000,"Import_kg",407,"Leeks; other alliaceous veg.",91,0,1.06,0.15,4.76,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Philippines","Lemons and limes",0.0785,106651394,21263000,"Import_kg",497,"Lemons; Limes",114,9.58,192.53,106.04,2110.88,10.46,0,0,9.61,0.15,0,53.28,337.78,0,1.15,4.98,0,0,0.11,0,1.3,2.54,0,8.55,3.39,17.27,0,0,22.64,0,8.89
"17","Philippines","Lettuce and chicory",0.0865961538461538,106651394,128000,"Import_kg",372,"Lettuce and chicory",81,0,1.99,0.34,3.87,0,0,0,0,0,0,0.36,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0.13,0,0
"18","Philippines","Maize",0.0869363057324841,106651394,458443000,"Import_kg",56,"Maize",4,1747.12,42734.27,16924.1,356850.67,3.39,0.11,0.12,103.17,16.09,8.87,1456.66,25606.74,0.89,46.21,1082.28,1.32,0.59,12.75,1.75,0,542.25,1.2,2925.88,6367.21,11944.55,0,0,61.61,6.21,0
"19","Philippines","Mangoes, mangosteens, guavas",0.09628125,106651394,29000,"Import_kg",571,"Mangos; mangosteens; guavas",140,0,0.21,0,3.9,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Philippines","Mushrooms and truffles",0.0389236263736264,106651394,1194000,"Import_kg",449,"Mushrooms and truffles",99,0.88,77.06,10.88,145.44,0,0,0,0.28,0,0,9.28,69.03,0,0.34,2.98,0,0,0.11,0,0.92,0.44,0,1.23,0.47,25.89,0,0,2.61,0,0
"21","Philippines","Nuts nes",0.0310679900238414,106651394,89000,"Import_kg",234,"Nuts; nes",51,1.49,38.92,117.23,84.96,0,0,0,0.33,0,0,1.26,10.08,0,0,1.36,0,0,0,0,0.13,0.54,0,32.35,87.68,55.38,0,0,0,0,0.15
"22","Philippines","Oilseeds nes",0.0178426203877423,106651394,468000,"Import_kg",339,"Oilcrops; Other",62,12.83,470.24,956.34,669.33,0,0,0,8.33,0.42,0.11,17.71,303.73,0,0.81,13.58,0,0,0,0,1.08,8.18,0,108.09,247.47,649.34,0,0,0.14,0.11,0.57
"23","Philippines","Onions, dry",0.093304347826087,106651394,44292000,"Import_kg",403,"Onions",77,17.58,512.27,62.56,3718.68,3.96,0,0,18.45,0.32,0.18,57.51,632.04,0,4.47,23.22,0,0,0.11,0,2.72,5.31,0,15.13,10.83,24.78,0,0,40.16,0.23,3.56
"24","Philippines","Oranges",0.138371428571429,106651394,23213000,"Import_kg",490,"Oranges; Mandarines",113,6.95,124.77,36.09,1572.81,7.26,0,0,4.97,0,0,26.44,211.63,0,0.42,3.41,0,0,0.28,0,1.71,1.67,0,3.3,4.84,5.11,0,0,13.67,0,4.22
