"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Poland","Almonds, with shell",0.0296505238073522,37921592,81000,"Import_kg",221,"Almonds; with shell",45,4.29,152.79,368.52,130.08,0,0,0,1.75,0,0,5.67,52.23,0,0,3.48,0,0,0,0,0.38,2.32,0,28.46,243.31,84.03,0,0,0,0,0.47
"2","Poland","Anise, badian, fennel, coriander",0.00195,37921592,4275000,"Import_kg",711,"Anise; badian; fennel; coriander",161,2009.43,91419.4,82848.83,270168.03,60.41,0.14,0,4701.66,185.54,26.81,8576.35,138041.24,5.42,427.81,2659.86,1.9,1.75,17.8,2.89,3167.21,1821.07,15.77,4868.89,62939.48,15194.04,0,0,57.59,38.92,0
"3","Poland","Apples",0.121111111111111,37921592,7646000,"Import_kg",515,"Apples",119,9.35,51.68,49.04,2178.4,2.42,0,0,1.29,0.12,0,17.12,235.85,0,0.97,1.81,0,0,0,0,27,0.78,0,6.49,1.42,10.9,0,0,14.07,0,1.66
"4","Poland","Apricots",0.03995,37921592,12860000,"Import_kg",526,"Apricots",125,41.93,848.86,217.07,9663.46,5.67,0.11,0,14.43,0.67,0.19,247.59,1160.11,0,1.12,20.23,0,0,0.66,0,2.38,8.49,0,24.19,144.31,66.64,0,0,72.67,0.67,7.22
"5","Poland","Artichokes",0.1,37921592,50000,"Import_kg",366,"Artichokes",79,0,3.45,0.23,15.3,0,0,0,0.11,0,0,0.45,3.25,0,0.14,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0
"6","Poland","Asparagus",0.0845294117647059,37921592,1428000,"Import_kg",367,"Asparagus",80,0.9,96.1,9.04,135.65,0.97,0,0,0.94,0,0,9.66,108.4,0,0.21,3.73,0,0,0,0,0.71,0.62,0,2,0.22,3.12,0,0,4.14,0,2.09
"7","Poland","Avocados",0.048,37921592,22492000,"Import_kg",572,"Avocados",141,180.01,1987.5,17407.48,5362.78,15.81,0,0,25.41,1.19,0.6,630.23,5416.33,0.26,8.15,209.75,0,0.17,1.71,0.38,17.55,37.38,0.18,2955.09,9813.95,2056.14,0,0,95.01,1.45,46.96
"8","Poland","Bananas",0.04075,37921592,443807000,"Import_kg",486,"Bananas",117,2893.15,34915.98,6677.33,670441,305.76,1.05,0.54,282.94,22.94,4.74,9758.96,44907.17,2.65,182.28,728.44,1.54,1.45,24.45,10.02,281.45,813.72,7.75,3187.89,746.71,1622.66,0,0,2092.03,23.81,1019.55
"9","Poland","Barley",0.04775,37921592,215019000,"Import_kg",44,"Barley",3,4086.54,108586.76,16524.36,885331.99,7.92,0,0.25,662.01,92.37,30.02,3057.69,98360.8,7.59,254.12,3472.98,3.12,1.54,63.5,3.43,448.86,922.26,16.88,4310.46,2636.15,9903.37,0,0,139.43,21.75,0
"10","Poland","Beans, dry",0.1145,37921592,6830000,"Import_kg",176,"Beans",30,51.83,3349.25,215.96,9123.54,0.29,0,0,22.01,1.15,0.46,183.93,1950.94,0.14,2.46,60.84,0,0,0.31,0,17.37,27.2,0.2,48.62,21.59,74.8,0,0,1.84,0.6,0
"11","Poland","Beans, green",0.0843965476190476,37921592,378000,"Import_kg",414,"Beans; green",92,0.56,53.85,6.43,88.38,0.27,0,0,0.74,0,0,3.44,26.46,0,0.2,1.26,0,0,0,0,0,0.35,0,0.57,0.22,1.11,0,0,0.98,0,0.15
"12","Poland","Blueberries",0.134028846153846,37921592,11988000,"Import_kg",552,"Blueberries",136,13.44,174.54,77.84,3417.67,2.29,0,0,1.42,0,0,18.16,566.07,0,0.24,2.83,0,0,0,0,1.42,1.42,0,6.6,11.09,34.44,0,0,19.86,0,1.18
"13","Poland","Broad beans, horse beans, dry",0.052,37921592,426000,"Import_kg",181,"Broad beans; horse beans; dry",32,7.23,518.43,34.31,1188.14,0,0,0,2.14,0.17,0,25.78,418.38,0,0.39,8.24,0,0,0,0,2.07,4.14,0,5.44,6.51,13.04,0,0,0.23,0,0.58
"14","Poland","Buckwheat",0.0421111111111111,37921592,20145000,"Import_kg",89,"Buckwheat",9,415.98,13419.11,3406.02,86916.7,0,0,0,52.98,8.93,3.38,518.47,11731.86,0.8,7.63,442.78,0.5,0.36,7.2,0.26,0,288.88,1.64,934.76,1311.95,1310.69,0,0,16.83,2.78,0
"15","Poland","Cabbages and other brassicas",0.08324,37921592,27118000,"Import_kg",358,"Cabbages and other brassicas",78,23.08,1951.14,261.84,3765.05,52.68,0.2,0,105.43,1.49,0.29,245.32,1895.92,0.13,33.77,60.57,0,0,0.67,0.15,21.18,20.98,0.22,29.47,15.4,75.47,0,0,78.04,0.95,23.71
"16","Poland","Carrots and turnips",0.0830718954248366,37921592,59202000,"Import_kg",426,"Carrots and turnips",96,56.82,2460.84,440.04,11025.6,51.45,1.14,0,124.66,2.92,0.49,546.94,3816.32,0.11,88.71,223.88,0,0.18,1.46,0.34,196.57,22.86,0.27,60.76,27.56,142.2,0,0,167.73,2.36,43.22
"17","Poland","Cashew nuts, with shell",0.0289438420348059,37921592,21000,"Import_kg",217,"Cashew nuts; with shell",43,1.04,35.16,80.52,46.27,0,0,0,0,0,0,1.24,5.09,0,0.18,0.9,0,0,0,0,0,0.58,0,14.89,45.53,15.01,0,0,0,0,0
"18","Poland","Cauliflowers and broccoli",0.103835520801038,37921592,39348000,"Import_kg",393,"Cauliflowers and broccoli",84,28.64,3095.41,323.1,4066.1,80.81,0.54,0,43.81,1.09,0.42,296.07,1898.64,0,29.91,108.54,0.11,0.11,0.72,0.18,63.29,17.99,0.18,62.21,18.74,32.23,0,0,86.55,1.08,47.97
"19","Poland","Cherries",0.1289,37921592,2352000,"Import_kg",531,"Cherries",127,2.19,52.37,8.34,501.06,0.6,0,0,1.33,0,0,11.96,50.52,0,0,1.13,0,0,0,0,0.29,0.53,0,1.83,2.26,2.5,0,0,3.96,0,0.38
"20","Poland","Cherries, sour",0.028,37921592,856000,"Import_kg",530,"Sour cherries",126,3.82,88.68,21.5,897,0.81,0,0,1.1,0,0,13.95,96.74,0,0.44,1.33,0,0,0,0,0.49,0.73,0,5.48,6.61,7.26,0,0,7.01,0,0.89
"21","Poland","Chestnut",0.059,37921592,139000,"Import_kg",220,"Chestnuts",44,1.63,31.66,18.12,323.49,0.11,0,0,0.23,0,0,4.06,76.42,0,0.12,0.79,0,0,0,0,0,0.46,0,5.2,9.54,10.92,0,0,0.21,0,0.12
"22","Poland","Chick peas",0.04575,37921592,5269000,"Import_kg",191,"Chick peas",33,106.98,5905.17,1528.8,17710.88,0.64,0,0.11,41.41,2.1,1.05,245.7,2318.27,0.28,6.09,94.27,0.12,0,0.54,0.16,44.54,30.07,3.42,187.23,414.1,808,0,0,3.19,0.9,0
"23","Poland","Chillies and peppers, dry",4e-04,37921592,5166000,"Import_kg",689,"Pimento",156,8189.43,349012.44,303993.8,1397612.29,2569.04,23.12,1.86,7065.63,248.62,90,62052.06,756749.08,22.47,15453.42,6331.87,9.51,14.83,187.89,58.71,1753.94,5227.77,74.17,90251.35,57953.86,209973.46,0,0,954.56,203.8,0
"24","Poland","Chillies and peppers, green",0.0664142191142191,37921592,78290000,"Import_kg",401,"Chillies and peppers; green",88,121.83,5534.73,2065.81,21473.48,358.48,0.39,0,85.93,5.05,0.97,876.38,9992.97,0.48,22.05,316.69,0.39,0.37,3.69,1.1,25.1,112.15,0.73,129.63,55.46,567.23,0,0,274.39,2.75,51.46
"25","Poland","Cinnamon (cannella)",0.00115555555555556,37921592,1238000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Poland","Cloves",0.0013,37921592,188000,"Import_kg",698,"Cloves",157,91.4,1648.72,3559.3,17228.29,0,0,0,213.81,3.28,0.88,388.98,8180.04,0.14,105.63,31.02,0,0,0.3,0.15,14.26,98.77,22.93,1507.11,531.23,1375.16,0,0,12.7,1.61,0
