"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Portugal","Almonds, with shell",0.0296505238073522,10256193,34956000,"Production_kg/Import_kg",221,"Almonds; with shell",45,6843.95,243805.69,588033.24,207558.61,119.55,0,0.51,2789.96,35.9,41.61,9050.28,83337.64,11.67,55.46,5548.56,2.45,8.81,44.88,1.57,598.88,3695.59,24.02,45416.14,388244.19,134081.64,0,0,57.17,33.73,747.17
"2","Portugal","Apples",0.121111111111111,10256193,407737000,"Production_kg/Import_kg",515,"Apples",119,1842.65,10189.55,9669.81,429520.28,476.58,0.18,0,254.4,23.02,2.1,3376.33,46502.64,0.95,191.21,356.39,1.49,0.93,6.15,1.32,5324.28,153.19,1.15,1280.19,279.02,2150.06,0,0,2773.86,8.45,328.25
"3","Portugal","Apricots",0.03995,10256193,6963000,"Production_kg/Import_kg",526,"Apricots",125,83.95,1699.39,434.56,19345.87,11.36,0.22,0,28.89,1.35,0.37,495.66,2322.5,0.13,2.25,40.5,0,0.19,1.33,0,4.76,16.99,0.13,48.43,288.9,133.4,0,0,145.48,1.34,14.44
"4","Portugal","Asparagus",0.0845294117647059,10256193,927000,"Production_kg/Import_kg",367,"Asparagus",80,2.17,230.66,21.69,325.59,2.32,0,0,2.25,0.12,0,23.18,260.19,0,0.49,8.96,0,0,0,0,1.71,1.5,0,4.81,0.53,7.48,0,0,9.93,0,5.03
"5","Portugal","Bananas",0.04075,10256193,230430000,"Production_kg/Import_kg",486,"Bananas",117,5554.13,67030.04,12818.82,1287080.8,586.99,2.03,1.03,543.18,44.04,9.1,18734.78,86210.66,5.09,349.93,1398.42,2.95,2.79,46.94,19.24,540.32,1562.15,14.89,6119.95,1433.5,3115.11,0,0,4016.19,45.7,1957.28
"6","Portugal","Barley",0.04775,10256193,400860000,"Production_kg/Import_kg",44,"Barley",3,28169.03,748502.28,113904.53,6102705.58,54.57,0,1.72,4563.29,636.68,206.92,21077.08,678013.44,52.33,1751.65,23939.69,21.53,10.59,437.68,23.66,3094.03,6357.23,116.37,29712.54,18171.31,68265.18,0,0,961.14,149.95,0
"7","Portugal","Beans, green",0.0843965476190476,10256193,15662000,"Production_kg/Import_kg",414,"Beans; green",92,86.33,8250.45,985.09,13539.16,41.47,0,0.12,113.92,3.93,0.84,526.66,4054.31,0,30.01,192.89,0.23,1.8,1.58,0.25,14.66,54.28,0.16,88.06,33.17,170.08,0,0,150.39,2.06,22.44
"8","Portugal","Berries nes",0.109406559397488,10256193,1320000,"Production_kg",558,"Berries; nes",138,6.66,109.49,53.02,1508.93,5.45,0,0,4.31,0.18,0,19.45,338.79,0,0.71,2.65,0,0,0,0,1.15,1.91,0.11,2.12,4.94,25.67,0,0,10.1,0,0
"9","Portugal","Blueberries",0.134028846153846,10256193,12409000,"Production_kg/Import_kg",552,"Blueberries",136,51.45,668.01,297.9,13080.39,8.76,0,0,5.42,0.25,0.14,69.51,2166.52,0,0.9,10.83,0,0,0.38,0,5.42,5.42,0.3,25.28,42.43,131.8,0,0,76.02,0.22,4.51
"10","Portugal","Broad beans, horse beans, dry",0.052,10256193,5490000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,344.33,24703.24,1635.03,56615.11,2.8,0,0.44,102.01,8.31,3.59,1228.28,19935.98,0.85,18.77,392.68,0.4,0.3,2.71,0.38,98.62,197.13,1.67,259.41,310.36,621.24,0,0,10.73,3.09,27.79
