"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Portugal","Almonds, with shell",0.0296505238073522,10256193,33550000,"Production_kg",221,"Almonds; with shell",45,6568.68,233999.34,564381.37,199210.19,114.74,0,0.49,2677.75,34.46,39.94,8686.26,79985.63,11.2,53.23,5325.39,2.36,8.46,43.08,1.51,574.79,3546.95,23.05,43589.41,372628.23,128688.61,0,0,54.87,32.37,717.11
"2","Portugal","Apples",0.121111111111111,10256193,355700000,"Production_kg",515,"Apples",119,1607.49,8889.12,8435.71,374703.21,415.76,0.16,0,221.93,20.08,1.83,2945.43,40567.79,0.83,166.81,310.91,1.3,0.81,5.36,1.15,4644.77,133.64,1,1116.81,243.41,1875.66,0,0,2419.85,7.37,286.36
"3","Portugal","Apricots",0.03995,10256193,3510000,"Production_kg",526,"Apricots",125,42.32,856.65,219.06,9752.12,5.73,0.11,0,14.56,0.68,0.19,249.86,1170.76,0,1.14,20.42,0,0,0.67,0,2.4,8.57,0,24.41,145.63,67.25,0,0,73.34,0.68,7.28
"4","Portugal","Asparagus",0.0845294117647059,10256193,280000,"Production_kg",367,"Asparagus",80,0.65,69.67,6.55,98.34,0.7,0,0,0.68,0,0,7,78.59,0,0.15,2.71,0,0,0,0,0.52,0.45,0,1.45,0.16,2.26,0,0,3,0,1.52
"5","Portugal","Bananas",0.04075,10256193,27840000,"Production_kg",486,"Bananas",117,671.04,8098.41,1548.74,155502.02,70.92,0.24,0.12,65.63,5.32,1.1,2263.49,10415.77,0.61,42.28,168.95,0.36,0.34,5.67,2.32,65.28,188.74,1.8,739.4,173.19,376.36,0,0,485.23,5.52,236.47
"6","Portugal","Barley",0.04775,10256193,53300000,"Production_kg",44,"Barley",3,3745.47,99523.95,15145.22,811440.92,7.26,0,0.23,606.75,84.66,27.51,2802.5,90151.46,6.96,232.91,3183.12,2.86,1.41,58.2,3.15,411.4,845.28,15.47,3950.7,2416.13,9076.82,0,0,127.8,19.94,0
"7","Portugal","Beans, green",0.0843965476190476,10256193,10340000,"Production_kg",414,"Beans; green",92,56.99,5446.92,650.35,8938.51,27.38,0,0,75.21,2.6,0.55,347.7,2676.64,0,19.81,127.35,0.15,1.19,1.04,0.17,9.68,35.84,0.1,58.14,21.9,112.29,0,0,99.29,1.36,14.81
"8","Portugal","Berries nes",0.109406559397488,10256193,1320000,"Production_kg",558,"Berries; nes",138,6.66,109.49,53.02,1508.93,5.45,0,0,4.31,0.18,0,19.45,338.79,0,0.71,2.65,0,0,0,0,1.15,1.91,0.11,2.12,4.94,25.67,0,0,10.1,0,0
"9","Portugal","Blueberries",0.134028846153846,10256193,11060000,"Production_kg",552,"Blueberries",136,45.86,595.39,265.51,11658.4,7.8,0,0,4.83,0.23,0.13,61.95,1931,0,0.8,9.65,0,0,0.34,0,4.83,4.83,0.27,22.53,37.82,117.47,0,0,67.75,0.19,4.02
"10","Portugal","Broad beans, horse beans, dry",0.052,10256193,3660000,"Production_kg",181,"Broad beans; horse beans; dry",32,229.56,16468.82,1090.02,37743.41,1.87,0,0.29,68.01,5.54,2.4,818.85,13290.66,0.56,12.51,261.79,0.27,0.2,1.81,0.25,65.74,131.42,1.12,172.94,206.91,414.16,0,0,7.16,2.06,18.53
"11","Portugal","Cabbages and other brassicas",0.08324,10256193,145300000,"Production_kg",358,"Cabbages and other brassicas",78,457.24,38654.13,5187.36,74589.83,1043.72,3.92,1.06,2088.62,29.46,5.81,4860.09,37560.32,2.64,668.99,1199.93,1.03,1.75,13.19,3.07,419.63,415.56,4.31,583.9,305.04,1495.1,0,0,1546.12,18.83,469.74
"12","Portugal","Carrots and turnips",0.0830718954248366,10256193,91570000,"Production_kg",426,"Carrots and turnips",96,324.95,14073.43,2516.58,63055.01,294.22,6.54,0.23,712.93,16.67,2.78,3127.92,21825.38,0.63,507.34,1280.36,0.55,1,8.33,1.96,1124.2,130.76,1.54,347.51,157.63,813.24,0,0,959.21,13.49,247.2
"13","Portugal","Cauliflowers and broccoli",0.103835520801038,10256193,55420000,"Production_kg",393,"Cauliflowers and broccoli",84,149.17,16119.9,1682.62,21174.93,420.84,2.82,0.31,228.13,5.65,2.19,1541.86,9887.53,0.22,155.77,565.23,0.57,0.56,3.73,0.93,329.58,93.67,0.95,323.95,97.57,167.83,0,0,450.74,5.62,249.79
"14","Portugal","Cereals nes",0.0486257263475995,10256193,2880000,"Production_kg",108,"Cereals; nes",13,201.11,7521.36,2657.93,42440.04,0.62,0,0,83.84,12.81,2.2,246.59,1823.2,0.47,4.5,219.8,0.21,0.15,0.84,0.28,7.57,106.26,5.34,259.29,340.14,618.49,0,0,6.3,2.26,0
"15","Portugal","Cherries",0.1289,10256193,19130000,"Production_kg",531,"Cherries",127,65.97,1574.84,250.82,15068.35,18.12,0,0,39.94,0.74,0.1,359.59,1519.38,0,2.17,33.86,0,0,1,0,8.83,15.92,0.1,54.99,68.01,75.25,0,0,119.2,0.98,11.58
"16","Portugal","Cherries, sour",0.028,10256193,150000,"Production_kg",530,"Sour cherries",126,2.47,57.46,13.93,581.18,0.52,0,0,0.71,0,0,9.04,62.68,0,0.29,0.86,0,0,0,0,0.32,0.47,0,3.55,4.28,4.7,0,0,4.54,0,0.57
"17","Portugal","Chestnut",0.059,10256193,35830000,"Production_kg",220,"Chestnuts",44,1551.35,30178.3,17270.12,308316.09,104.61,0,0.65,221.06,9.83,2.72,3869.49,72830.57,3.85,110.33,749.03,1.25,1.22,6.37,3.93,0,438.17,7.7,4956.03,9089.02,10409.44,0,0,201.02,12.14,118.42
"18","Portugal","Chillies and peppers, green",0.0664142191142191,10256193,38140000,"Production_kg",401,"Chillies and peppers; green",88,219.44,9969.46,3721.04,38679.18,645.71,0.7,0.16,154.78,9.1,1.75,1578.59,17999.87,0.87,39.72,570.45,0.71,0.67,6.65,1.99,45.21,202.01,1.32,233.49,99.9,1021.72,0,0,494.24,4.95,92.7
"19","Portugal","Cucumbers and gherkins",0.0675,10256193,9230000,"Production_kg",397,"Cucumbers and gherkins",86,18.61,860.34,157.64,3373.53,13.18,0,0,21.33,0.59,0.26,190.06,869.79,0,8.85,48.36,0,0,0.25,0,8,16.67,0.11,44.66,3.33,34.66,0,0,127.67,0.55,20.67
"20","Portugal","Currants",0.038,10256193,260000,"Production_kg",550,"Currants",135,8.36,120.08,16.84,1994.35,6.74,0,0,4.55,0.2,0,19.91,176.79,0,0.11,4.74,0,0,0,0,0.51,1.23,0,1.7,2.87,8.91,0,0,4.43,0,0.13
"21","Portugal","Eggplants (aubergines)",0.082,10256193,6850000,"Production_kg",399,"Eggplants (aubergines)",87,22.22,940.14,589.43,4309.2,5.37,0,0,13.94,0.5,0.16,163.57,1688.34,0,4.37,35.67,0,0,1.05,0,23.99,10.45,0.19,21.99,10.59,47.24,0,0,74.75,0.97,16.7
"22","Portugal","Figs",0.0504615384615385,10256193,3380000,"Production_kg",569,"Figs",139,35.37,662.23,137.15,8142.11,5.53,0,0,30.51,0.56,0.25,144.44,1436.79,0,1.45,15.84,0,0,0.27,0,3.07,11.1,0,30.48,33.96,72.71,0,0,54.72,0.48,4.9
"23","Portugal","Fruit, pome nes",0.133610628019324,10256193,9630000,"Production_kg",542,"Pome fruit; nes",131,43.13,493.68,135.28,10821.43,12.91,0,0,16.16,1.24,0.14,93.32,1932.55,0,1.49,8.29,0,0,0.21,0,3.19,4.64,0,12.65,30.92,43.92,0,0,58.54,0.24,14.2
"24","Portugal","Fruit, stone nes",0.110582805429864,10256193,910000,"Production_kg",541,"Stone fruit; nes",130,3.88,81.97,23.27,947.05,0.65,0,0,0.8,0,0,16.07,137.74,0,0,1.62,0,0,0,0,0.39,0.74,0,2.59,7.86,6.18,0,0,6.93,0,0.59
"25","Portugal","Garlic",0.00732,10256193,2040000,"Production_kg",406,"Garlic",90,331.45,13806.66,680.15,69417.09,36.1,0,0,139.67,3.78,3.17,1199.68,4313.67,1.31,47.33,551.08,0.38,0.22,1.46,2.75,63.04,105.97,3.63,243.2,28.53,650.79,0,0,177.73,3.94,35.32
"26","Portugal","Grapefruit (inc. pomelos)",0.15,10256193,240000,"Production_kg",507,"Grapefruit",115,0.56,10.99,2.37,125.28,0.61,0,0,0.29,0,0,2.97,15.77,0,0.11,0.33,0,0,0,0,0.12,0.12,0,0.19,0.18,0.34,0,0,1.4,0,0.7
"27","Portugal","Grapes",0.1235,10256193,863220000,"Production_kg",560,"Grapes",122,4192.51,36584.37,16139.25,995415.1,350.22,0.3,0.2,1018.67,42,4.87,12348.85,144089.4,6.62,219.22,1385.72,2.94,9.13,14.86,6.68,381.64,1840.06,47.06,8132.61,931.39,6360.7,0,0,5673.49,32.3,954.11
"28","Portugal","Hazelnuts, with shell",0.03,10256193,250000,"Production_kg",225,"Hazelnuts; with shell",49,48.13,1268.2,4474.94,1698.16,0.3,0,0,15.42,0.38,0.34,54.22,621.58,0.14,0.52,25.89,0,0,0.32,0,3.71,13.24,0.5,303.23,2179.66,1743.66,0,0,0.5,0.22,4.75
"29","Portugal","Kiwi fruit",0.145,10256193,32360000,"Production_kg",592,"Kiwi fruit",144,133.46,2295.66,1468.78,29908.81,197.54,0,0,69.67,1.26,0.53,724.27,5439.94,0.3,9.62,96.67,0,0,0.81,0.13,13.93,33.73,0.17,136.36,132.73,503.38,0,0,179.68,1.39,54.4
"30","Portugal","Leeks, other alliaceous vegetables",0.083270092226614,10256193,24010000,"Production_kg",407,"Leeks; other alliaceous veg.",91,133.92,6022.56,837.16,26989.09,53.66,0.33,0.24,174.55,7.36,1.63,522.56,5229.14,0.24,37.72,207.9,0.16,0.29,6.47,0.52,20.66,163.06,1.74,211.79,102.15,471.37,0,0,241.39,2.45,78.72
"31","Portugal","Lemons and limes",0.0785,10256193,16450000,"Production_kg",497,"Lemons; Limes",114,77.09,1548.87,853.09,16981.88,84.14,0,0,77.29,1.19,0.38,428.65,2717.45,0.39,9.27,40.09,0,0,0.92,0.12,10.42,20.43,0,68.79,27.24,138.94,0,0,182.12,0.75,71.51
