"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Romania","Apples",0.121111111111111,19506114,593228000,"Production_kg/Import_kg",515,"Apples",119,1409.62,7794.92,7397.33,328579.62,364.58,0.14,0,194.61,17.61,1.61,2582.86,35574.15,0.73,146.27,272.64,1.14,0.71,4.7,1.01,4073.03,117.19,0.88,979.34,213.44,1644.78,0,0,2121.98,6.46,251.11
"2","Romania","Apricots",0.03995,19506114,39191000,"Production_kg/Import_kg",526,"Apricots",125,248.44,5029.2,1286.04,57252.4,33.61,0.64,0,85.5,3.99,1.11,1466.85,6873.24,0.39,6.66,119.86,0.12,0.56,3.92,0.27,14.08,50.29,0.39,143.33,854.96,394.79,0,0,430.54,3.97,42.75
"3","Romania","Asparagus",0.0845294117647059,19506114,593000,"Production_kg/Import_kg",367,"Asparagus",80,0.73,77.58,7.3,109.51,0.78,0,0,0.76,0,0,7.8,87.51,0,0.17,3.02,0,0,0,0,0.58,0.5,0,1.62,0.18,2.52,0,0,3.34,0,1.69
"4","Romania","Barley",0.04775,19506114,2028393000,"Production_kg/Import_kg",44,"Barley",3,74945.7,1991443.24,303051.07,16236679.79,145.18,0,4.57,12140.95,1693.95,550.54,56077.06,1803902.7,139.23,4660.38,63693.25,57.27,28.17,1164.49,62.94,8231.89,16913.86,309.6,79052.32,48346.04,181624.33,0,0,2557.17,398.96,0
"5","Romania","Beans, green",0.0843965476190476,19506114,29408000,"Production_kg/Import_kg",414,"Beans; green",92,85.23,8145.38,972.54,13366.74,40.94,0,0.11,112.47,3.88,0.83,519.95,4002.67,0,29.62,190.44,0.23,1.78,1.56,0.25,14.47,53.59,0.15,86.94,32.75,167.92,0,0,148.47,2.03,22.15
"6","Romania","Berries nes",0.109406559397488,19506114,660000,"Production_kg",558,"Berries; nes",138,1.75,28.78,13.94,396.69,1.43,0,0,1.13,0,0,5.11,89.07,0,0.19,0.7,0,0,0,0,0.3,0.5,0,0.56,1.3,6.75,0,0,2.66,0,0
"7","Romania","Blueberries",0.134028846153846,19506114,1591000,"Production_kg/Import_kg",552,"Blueberries",136,3.47,45.03,20.08,881.8,0.59,0,0,0.37,0,0,4.69,146.05,0,0,0.73,0,0,0,0,0.37,0.37,0,1.7,2.86,8.88,0,0,5.12,0,0.3
"8","Romania","Broad beans, horse beans, dry",0.052,19506114,14164000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,467.1,33510.65,2217.96,76800.02,3.8,0,0.59,138.38,11.28,4.88,1666.19,27043.74,1.15,25.46,532.69,0.54,0.4,3.68,0.51,133.78,267.41,2.27,351.89,421.02,842.73,0,0,14.56,4.2,37.7
"9","Romania","Cabbages and other brassicas",0.08324,19506114,641626000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,1061.65,89748.6,12044.2,173185.44,2423.34,9.11,2.47,4849.44,68.39,13.48,11284.35,87208.96,6.12,1553.28,2786.04,2.39,4.06,30.62,7.12,974.3,964.86,10.02,1355.72,708.26,3471.38,0,0,3589.83,43.71,1090.66
"10","Romania","Carrots and turnips",0.0830718954248366,19506114,150901000,"Production_kg/Import_kg",426,"Carrots and turnips",96,281.56,12194.23,2180.54,54635.38,254.93,5.67,0.2,617.73,14.45,2.41,2710.25,18911.07,0.55,439.59,1109.39,0.48,0.87,7.22,1.7,974.09,113.3,1.33,301.1,136.58,704.65,0,0,831.13,11.69,214.19
