"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Russian Federation","Anise, badian, fennel, coriander",0.00195,145734038,39519000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,4833.58,219904.32,199288.29,649874.28,145.32,0.33,0.16,11309.58,446.3,64.49,20629.94,332050.58,13.05,1029.06,6398.14,4.56,4.2,42.81,6.95,7618.54,4380.47,37.93,11711.85,151397.45,36548.43,0,0,138.53,93.61,0
"2","Russian Federation","Apples",0.121111111111111,145734038,2652923000,"Production_kg/Import_kg",515,"Apples",119,843.75,4665.78,4427.8,196676.91,218.23,0,0,116.49,10.54,0.96,1546.02,21293.51,0.44,87.55,163.19,0.68,0.43,2.81,0.61,2437.98,70.14,0.53,586.2,127.76,984.51,0,0,1270.15,3.87,150.31
"3","Russian Federation","Apricots",0.03995,145734038,119968000,"Production_kg/Import_kg",526,"Apricots",125,101.79,2060.57,526.92,23457.54,13.77,0.26,0,35.03,1.64,0.45,601,2816.11,0.16,2.73,49.11,0,0.23,1.61,0.11,5.77,20.61,0.16,58.73,350.3,161.75,0,0,176.4,1.63,17.51
"4","Russian Federation","Barley",0.04775,145734038,20523999000,"Production_kg/Import_kg",44,"Barley",3,101500.08,2697041.16,410426.56,21989576.6,196.62,0,6.19,16442.68,2294.14,745.6,75945.99,2443052.21,188.56,6311.63,86260.72,77.57,38.15,1577.08,85.24,11148.58,22906.69,419.3,107061.72,65475.77,245976.52,0,0,3463.22,540.32,0
"5","Russian Federation","Beans, dry",0.1145,145734038,32442000,"Production_kg/Import_kg",176,"Beans",30,64.06,4139.62,266.92,11276.54,0.35,0,0,27.2,1.42,0.57,227.33,2411.33,0.17,3.04,75.19,0,0,0.39,0,21.46,33.61,0.25,60.1,26.69,92.46,0,0,2.28,0.74,0
"6","Russian Federation","Berries nes",0.109406559397488,145734038,4200000,"Production_kg",558,"Berries; nes",138,1.49,24.52,11.87,337.89,1.22,0,0,0.97,0,0,4.36,75.86,0,0.16,0.59,0,0,0,0,0.26,0.43,0,0.47,1.11,5.75,0,0,2.26,0,0
"7","Russian Federation","Blueberries",0.134028846153846,145734038,3500000,"Production_kg",552,"Blueberries",136,1.02,13.26,5.91,259.64,0.17,0,0,0.11,0,0,1.38,43.01,0,0,0.22,0,0,0,0,0.11,0.11,0,0.5,0.84,2.62,0,0,1.51,0,0
"8","Russian Federation","Broad beans, horse beans, dry",0.052,145734038,8045000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,35.51,2547.61,168.62,5838.63,0.29,0,0,10.52,0.86,0.37,126.67,2055.97,0,1.94,40.5,0,0,0.28,0,10.17,20.33,0.17,26.75,32.01,64.07,0,0,1.11,0.32,2.87
"9","Russian Federation","Buckwheat",0.0421111111111111,145734038,785866000,"Production_kg/Import_kg",89,"Buckwheat",9,4222.56,136216.71,34574.39,882287.29,0,0,0.38,537.82,90.6,34.32,5262.99,119089.58,8.13,77.47,4494.67,5.13,3.63,73.12,2.69,0,2932.42,16.65,9488.75,13317.54,13304.74,0,0,170.79,28.17,0
"10","Russian Federation","Cabbages and other brassicas",0.08324,145734038,2765788000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,612.53,51781.47,6949.04,99921.3,1398.17,5.25,1.43,2797.94,39.46,7.78,6510.63,50316.2,3.53,896.18,1607.43,1.38,2.34,17.67,4.11,562.13,556.69,5.78,782.2,408.64,2002.85,0,0,2071.19,25.22,629.27
"11","Russian Federation","Carrots and turnips",0.0830718954248366,145734038,1742931000,"Production_kg/Import_kg",426,"Carrots and turnips",96,435.27,18851.77,3371.03,84464.03,394.11,8.76,0.31,954.99,22.33,3.72,4189.94,29235.73,0.85,679.59,1715.08,0.74,1.34,11.16,2.63,1505.9,175.16,2.06,465.5,211.15,1089.36,0,0,1284.89,18.07,331.13
"12","Russian Federation","Castor oil seed",0.0178426203877423,145734038,319000,"Production_kg",265,"Oilcrops Oil; Other",75,10.83,1.53,1115.18,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.51,452.03,402.71,0,0,0,0,0
"13","Russian Federation","Cauliflowers and broccoli",0.103835520801038,145734038,47589000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,9.01,974.15,101.68,1279.64,25.43,0.17,0,13.79,0.34,0.13,93.18,597.52,0,9.41,34.16,0,0,0.23,0,19.92,5.66,0,19.58,5.9,10.14,0,0,27.24,0.34,15.1
