"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Russian Federation","Alfalfa meal and pellets",0.0651708222811671,145734038,21000,"Import_kg",862,"Mixed grain",12,0,2.53,0.55,16.29,0,0,0,0,0,0,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0.12,0.23,0,0,0,0,0
"2","Russian Federation","Almonds shelled",0.0296505238073522,145734038,8915000,"Import_kg",231,"Almonds; with shell",45,122.84,4375.91,10554.23,3725.34,2.15,0,0,50.08,0.64,0.75,162.44,1495.77,0.21,1,99.59,0,0.16,0.81,0,10.75,66.33,0.43,815.15,6968.35,2406.55,0,0,1.03,0.61,13.41
"3","Russian Federation","Almonds, with shell",0.0296505238073522,145734038,19000,"Import_kg",221,"Almonds; with shell",45,0.26,9.33,22.49,7.94,0,0,0,0.11,0,0,0.35,3.19,0,0,0.21,0,0,0,0,0,0.14,0,1.74,14.85,5.13,0,0,0,0,0
"4","Russian Federation","Anise, badian, fennel, coriander",0.00195,145734038,39519000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,4833.58,219904.32,199288.29,649874.28,145.32,0.33,0.16,11309.58,446.3,64.49,20629.94,332050.58,13.05,1029.06,6398.14,4.56,4.2,42.81,6.95,7618.54,4380.47,37.93,11711.85,151397.45,36548.43,0,0,138.53,93.61,0
"5","Russian Federation","Apples",0.121111111111111,145734038,2652923000,"Production_kg/Import_kg",515,"Apples",119,843.75,4665.78,4427.8,196676.91,218.23,0,0,116.49,10.54,0.96,1546.02,21293.51,0.44,87.55,163.19,0.68,0.43,2.81,0.61,2437.98,70.14,0.53,586.2,127.76,984.51,0,0,1270.15,3.87,150.31
"6","Russian Federation","Apricots",0.03995,145734038,119968000,"Production_kg/Import_kg",526,"Apricots",125,101.79,2060.57,526.92,23457.54,13.77,0.26,0,35.03,1.64,0.45,601,2816.11,0.16,2.73,49.11,0,0.23,1.61,0.11,5.77,20.61,0.16,58.73,350.3,161.75,0,0,176.4,1.63,17.51
"7","Russian Federation","Apricots, dry",0.03995,145734038,13470000,"Import_kg",527,"Apricots",125,11.43,231.36,59.16,2633.81,1.55,0,0,3.93,0.18,0,67.48,316.19,0,0.31,5.51,0,0,0.18,0,0.65,2.31,0,6.59,39.33,18.16,0,0,19.81,0.18,1.97
"8","Russian Federation","Artichokes",0.1,145734038,45000,"Import_kg",366,"Artichokes",79,0,0.81,0,3.58,0,0,0,0,0,0,0.11,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Russian Federation","Asparagus",0.0845294117647059,145734038,523000,"Import_kg",367,"Asparagus",80,0,9.16,0.86,12.93,0,0,0,0,0,0,0.92,10.33,0,0,0.36,0,0,0,0,0,0,0,0.19,0,0.3,0,0,0.39,0,0.2
"10","Russian Federation","Avocados",0.048,145734038,35631000,"Import_kg",572,"Avocados",141,74.2,819.28,7175.65,2210.63,6.52,0,0,10.47,0.49,0.25,259.79,2232.7,0.11,3.36,86.46,0,0,0.71,0.16,7.23,15.41,0,1218.14,4045.47,847.58,0,0,39.17,0.6,19.36
"11","Russian Federation","Bananas",0.04075,145734038,1512442000,"Import_kg",486,"Bananas",117,2565.55,30962.38,5921.25,594525.8,271.14,0.94,0.48,250.9,20.34,4.2,8653.93,39822.26,2.35,161.64,645.95,1.36,1.29,21.68,8.89,249.58,721.59,6.88,2826.92,662.16,1438.93,0,0,1855.15,21.11,904.1
"12","Russian Federation","Barley",0.04775,145734038,20523999000,"Production_kg/Import_kg",44,"Barley",3,101500.08,2697041.16,410426.56,21989576.6,196.62,0,6.19,16442.68,2294.14,745.6,75945.99,2443052.21,188.56,6311.63,86260.72,77.57,38.15,1577.08,85.24,11148.58,22906.69,419.3,107061.72,65475.77,245976.52,0,0,3463.22,540.32,0
