"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Rwanda","Avocados",0.048,12301970,1000,"Import_kg",572,"Avocados",141,0,0.27,2.39,0.73,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0.4,1.35,0.28,0,0,0,0,0
"2","Rwanda","Bananas",0.04075,12301970,95000,"Import_kg",486,"Bananas",117,1.91,23.04,4.41,442.39,0.2,0,0,0.19,0,0,6.44,29.63,0,0.12,0.48,0,0,0,0,0.19,0.54,0,2.1,0.49,1.07,0,0,1.38,0,0.67
"3","Rwanda","Beans, dry",0.1145,12301970,7409000,"Import_kg",176,"Beans",30,173.32,11199.51,722.15,30508.04,0.95,0,0.22,73.6,3.84,1.54,615.03,6523.73,0.46,8.22,203.43,0.24,0.12,1.05,0.2,58.07,90.94,0.69,162.59,72.2,250.14,0,0,6.17,2.01,0
"4","Rwanda","Beans, green",0.0843965476190476,12301970,32000,"Import_kg",414,"Beans; green",92,0.15,14.05,1.68,23.06,0,0,0,0.19,0,0,0.9,6.91,0,0,0.33,0,0,0,0,0,0,0,0.15,0,0.29,0,0,0.26,0,0
"5","Rwanda","Cabbages and other brassicas",0.08324,12301970,1000,"Import_kg",358,"Cabbages and other brassicas",78,0,0.22,0,0.43,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Rwanda","Carrots and turnips",0.0830718954248366,12301970,1000,"Import_kg",426,"Carrots and turnips",96,0,0.13,0,0.57,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Rwanda","Coffee, green",0.00312,12301970,1627000,"Import_kg",656,"Coffee",152,785.4,47919,63235.91,153449.99,4.24,0,0,436.8,14.65,2.25,9435.24,0,0.88,150.76,1204.84,0.61,2.12,47,0,182.57,792.04,1.62,140.44,1053.27,70.22,0,0,22.27,24.57,0
"8","Rwanda","Eggplants (aubergines)",0.082,12301970,1000,"Import_kg",399,"Eggplants (aubergines)",87,0,0.11,0,0.52,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Rwanda","Fruit, fresh nes",0.107099201828105,12301970,34000,"Import_kg",619,"Fresh fruit; nes",147,0.23,3.94,1.97,49.73,0.1,0,0,0.14,0,0,0.72,8.96,0,0,0.11,0,0,0,0,0.18,0,0,0.32,0.22,0.3,0,0,0.2,0,0
"10","Rwanda","Fruit, tropical fresh nes",0.1073859375,12301970,4335000,"Import_kg",603,"Fruit; tropical fresh; nes",146,30.73,485.55,392.35,6813.84,35.25,0,0,10.62,0.57,0.12,82.41,953.9,0,3.22,11.79,0,0,0.34,0,2.6,9.23,0,244.49,540.72,123.63,0,0,25.02,0.25,12.95
"11","Rwanda","Lemons and limes",0.0785,12301970,503000,"Import_kg",497,"Lemons; Limes",114,1.97,39.48,21.75,432.91,2.14,0,0,1.97,0,0,10.93,69.27,0,0.24,1.02,0,0,0,0,0.27,0.52,0,1.75,0.69,3.54,0,0,4.64,0,1.82
"12","Rwanda","Maize",0.0869363057324841,12301970,77137000,"Import_kg",56,"Maize",4,2548.54,62336.95,24687.37,520542.01,4.95,0.16,0.17,150.49,23.47,12.94,2124.85,37352.83,1.3,67.4,1578.74,1.92,0.85,18.6,2.56,0,790.98,1.75,4268.01,9287.92,17423.64,0,0,89.88,9.05,0
"13","Rwanda","Millet",0.0477,12301970,241000,"Import_kg",79,"Millet",7,14.1,380.48,154.55,2891.86,0,0,0,2.45,0.3,0,10.65,228.7,0,0.44,10.33,0,0,0,0,30.72,5.41,0,29.69,31.75,87.64,0,0,0.44,0,0
"14","Rwanda","Onions, dry",0.093304347826087,12301970,1953000,"Import_kg",403,"Onions",77,6.72,195.82,23.91,1421.54,1.51,0,0,7.05,0.12,0,21.98,241.61,0,1.71,8.87,0,0,0,0,1.04,2.03,0,5.79,4.14,9.47,0,0,15.35,0,1.36
"15","Rwanda","Oranges",0.138371428571429,12301970,3040000,"Import_kg",490,"Oranges; Mandarines",113,7.89,141.65,40.98,1785.71,8.25,0,0,5.64,0,0,30.02,240.28,0,0.48,3.87,0,0,0.32,0,1.94,1.89,0,3.75,5.49,5.8,0,0,15.52,0,4.79
"16","Rwanda","Peas, dry",0.0623254069051863,12301970,120000,"Import_kg",187,"Cow peas; dry",34,5.18,339.11,23.16,880.98,0,0,0,1.51,0.12,0,15.61,166.03,0,0.4,6.35,0,0,0,0,2.32,3.18,0,5.18,1.66,8.48,0,0,0.18,0,0
"17","Rwanda","Pepper (piper spp.)",0.002,12301970,9000,"Import_kg",687,"Pepper",155,10.51,356.79,149.81,2042.1,0.29,0,0,13.14,0.39,0,25.54,714.03,0,0.48,5.86,0,0,0,0,0.41,5.62,0.26,36.91,27.95,29.52,0,0,0.71,0.12,0
"18","Rwanda","Pineapples",0.1096,12301970,50000,"Import_kg",574,"Pineapples",120,0.18,1.7,0.79,40.99,0,0,0,0.13,0,0,0.59,3.09,0,0,0,0,0,0,0,0.61,0,0,0,0,0.22,0,0,0.32,0,0.15
"19","Rwanda","Plantains and others",0.104,12301970,126000,"Import_kg",489,"Plantains",118,1.17,12.8,3.61,279.4,0.11,0,0,0,0,0,4.43,15.02,0,0,0.32,0,0,0,0,0.13,0.36,0,1.59,0.31,0.64,0,0,0.67,0,0.34
"20","Rwanda","Potatoes",0.133867924528302,12301970,977000,"Import_kg",116,"Potatoes",18,4.76,122.05,8.06,1062.98,0.95,0,0,0.54,0,0,22.19,79.96,0,0.62,2.87,0,0,0,0,2.08,1.46,0,1.74,0,2.43,0,0,4.53,0,1.32
"21","Rwanda","Pumpkins, squash and gourds",0.100019949494949,12301970,32000,"Import_kg",394,"Pumpkins; squash; and gourds",85,0,2.64,0.46,10.42,0,0,0,0,0,0,0.47,4.1,0,0,0.16,0,0,0,0,0.1,0,0,0.14,0,0,0,0,0.24,0,0
"22","Rwanda","Rice, paddy (rice milled equivalent)",0.0488821264103023,12301970,112295000,"Import_kg",30,"Rice (Milled Equivalent)",2,6612.72,138826.5,19924.59,1451203.57,0.65,0,0.35,645.09,41.06,23.16,2339.55,31189.32,2.8,174.86,2917.21,3.32,1.02,62.44,4.16,0,1089.31,18.74,2343.58,3370.64,3137.22,0,0,219.37,16.03,0
"23","Rwanda","Sorghum",0.0326666666666667,12301970,26185000,"Import_kg",83,"Sorghum",8,2274.04,76490.23,22647.34,464741.9,0,0,0.17,198.8,39.68,12.11,2027.79,21948.23,1.44,61.14,2337.54,2.1,0.75,21.48,1.56,0,1653.19,8.49,3974.69,7369.46,10151.74,0,0,65.65,13.72,0
"24","Rwanda","Soybeans",0.071,12301970,8643000,"Import_kg",236,"Soyabeans",53,400.2,35009.98,17229.9,23544.44,3.25,0,0.26,234.97,8.62,3.94,1484.87,9742.8,1.33,9.63,598.57,0.67,0.27,2.26,0.67,114.69,235,2.15,2851.84,4331.2,10481.66,0,0,8.86,5.01,0
"25","Rwanda","Spices nes",0.00767204314204314,12301970,286000,"Import_kg",723,"Spices; nes",163,71.44,3006.55,2122.52,11729.41,12.42,0,0,223.59,7.59,0.96,336.94,5084.93,0.22,17.77,59.51,0,0.11,1.47,0.27,44.15,78.31,1.77,517.25,933.19,586.48,0,0,11.21,1.69,3.06
"26","Rwanda","Sweet potatoes",0.10804347826087,12301970,22000,"Import_kg",122,"Sweet Potatoes",19,0.18,2.17,0.4,41.79,0,0,0,0,0,0,0.43,3.71,0,0,0,0,0,0,0,0,0,0,0.13,0,0.23,0,0,0.12,0,0
"27","Rwanda","Tea",0.0019,12301970,171000,"Import_kg",667,"Tea",154,4.56,2743.46,329.22,1367.62,16.46,0,0,122.54,6.81,0,168.67,0,0,13.68,72.15,0,0.16,0.73,0,1.82,13.68,1,9.12,4.56,18.23,0,0,11.71,3.24,0
"28","Rwanda","Tomatoes",0.0714285714285714,12301970,467000,"Import_kg",388,"Tomatoes",76,1.06,50.65,13.39,193.39,1.22,0,0,0.8,0,0,10.42,60.9,0,0.59,2.14,0,0,0,0,0.36,0.69,0,1.54,1.62,4.33,0,0,5,0,0.35
"29","Rwanda","Vegetables, fresh nes",0.075156077445368,12301970,2000,"Import_kg",463,"Vegetables; fresh; nes",101,0,0.69,0.14,1.73,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Rwanda","Wheat",0.0442045454545455,12301970,176566000,"Import_kg",15,"Wheat",1,10935.95,371483.01,59661.32,2251757.33,10.82,0,1.31,1381.21,127.72,80.06,11107.92,164291.84,15.26,240.92,9947.34,10.8,6.66,149.62,18.31,1013.02,4440.1,87.31,13961.56,9188.65,37891.02,0,0,362.13,61.41,0
