"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Saint Kitts and Nevis","Cabbages and other brassicas",0.08324,52441,19000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,11.69,988.55,132.66,1907.58,26.69,0.1,0,53.41,0.75,0.15,124.29,960.58,0,17.11,30.69,0,0,0.34,0,10.73,10.63,0.11,14.93,7.8,38.24,0,0,39.54,0.48,12.01
"2","Saint Kitts and Nevis","Carrots and turnips",0.0830718954248366,52441,153000,"Production_kg",426,"Carrots and turnips",96,106.19,4598.89,822.36,20605.02,96.14,2.14,0,232.97,5.45,0.91,1022.14,7132.06,0.21,165.79,418.39,0.18,0.33,2.72,0.64,367.37,42.73,0.5,113.56,51.51,265.75,0,0,313.45,4.41,80.78
"3","Saint Kitts and Nevis","Chillies and peppers, green",0.0664142191142191,52441,70000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,78.77,3578.52,1335.66,13883.85,231.78,0.25,0,55.56,3.27,0.63,566.63,6461.03,0.31,14.26,204.76,0.25,0.24,2.39,0.71,16.23,72.51,0.47,83.81,35.86,366.75,0,0,177.41,1.78,33.27
"4","Saint Kitts and Nevis","Coconuts",0.04,52441,3373000,"Production_kg/Import_kg",249,"Coconuts - Incl Copra",58,51053.92,539494.67,4525594.27,2023343.33,385.75,0,3.13,3001.07,461.42,265.27,52568.12,1038051.76,82.31,3405.89,16923.28,10.09,5.1,108.76,6.65,1945.68,4660.52,603,4799711.91,428129.35,109826.23,0,0,8527.73,164.45,6673.19
"5","Saint Kitts and Nevis","Cucumbers and gherkins",0.0675,52441,93000,"Production_kg",397,"Cucumbers and gherkins",86,36.68,1695.38,310.64,6647.84,25.97,0,0,42.04,1.17,0.5,374.53,1713.99,0.14,17.44,95.29,0,0,0.5,0.11,15.76,32.84,0.21,88.01,6.57,68.31,0,0,251.58,1.09,40.72
"6","Saint Kitts and Nevis","Fruit, tropical fresh nes",0.1073859375,52441,1812000,"Production_kg",603,"Fruit; tropical fresh; nes",146,3013.57,47611.42,38471.81,668136.15,3456.11,1.38,0.54,1041.47,56.27,12.05,8080.67,93535.52,3.57,315.55,1156.47,8.86,9.4,33.79,4.93,254.84,905.23,7.08,23973.34,53020.96,12122.52,0,0,2453.25,24.6,1269.51
"7","Saint Kitts and Nevis","Groundnuts, with shell",0.028,52441,31000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,1158.33,49747.53,92694.93,35947.86,3,0,0.25,126.47,7.46,5.88,1470.34,17542.61,2.3,21.66,824.73,1.61,0.36,30.26,1.14,291.88,395.92,3.1,13256.33,51568.57,32846.3,0,0,17.82,5.77,0
"8","Saint Kitts and Nevis","Onions, dry",0.093304347826087,52441,282000,"Production_kg/Import_kg",403,"Onions",77,227.57,6633.11,810,48151.33,51.24,0,0,238.89,4.1,2.27,744.63,8183.98,0.16,57.89,300.6,0.19,0.21,1.39,0.63,35.16,68.78,0.37,195.95,140.24,320.83,0,0,519.96,2.99,46.11
"9","Saint Kitts and Nevis","Pulses nes",0.0587825743767065,52441,235000,"Production_kg",211,"Pulses; nes",40,2859.04,172392.28,58366.01,415982.88,15.74,0,2.6,1461.04,79.93,36.07,7844.47,69366.86,12.43,207.35,2626.88,3.84,1.66,15.87,2.02,2683.43,1965.31,14.37,6617.1,12149.78,12386.11,0,0,87.38,25.55,106.73
"10","Saint Kitts and Nevis","Roots and tubers nes",0.125770747489689,52441,632000,"Production_kg/Import_kg",149,"Roots and tubers; nes",23,979.91,18575.12,7343.18,207868.17,138.79,0.27,0.75,319.75,27.36,2.91,4652.17,17046.28,1.22,144.02,638.88,0.7,0.69,11.54,1.58,208.89,412.04,1.72,196.44,40.72,433.6,0,0,691.81,9.94,209.21
