"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Saint Lucia","Anise, badian, fennel, coriander",0.00195,181889,14000,"Import_kg",711,"Anise; badian; fennel; coriander",161,1371.97,62418.08,56566.39,184461.61,41.25,0,0,3210.13,126.68,18.31,5855.64,94249.9,3.7,292.09,1816.06,1.29,1.19,12.15,1.97,2162.46,1243.36,10.77,3324.32,42972.95,10373.98,0,0,39.32,26.57,0
"2","Saint Lucia","Apples",0.121111111111111,181889,410000,"Import_kg",515,"Apples",119,104.48,577.75,548.28,24353.82,27.02,0,0,14.42,1.31,0.12,191.44,2636.7,0,10.84,20.21,0,0,0.35,0,301.89,8.69,0,72.59,15.82,121.91,0,0,157.28,0.48,18.61
"3","Saint Lucia","Artichokes",0.1,181889,1000,"Import_kg",366,"Artichokes",79,0.31,14.39,0.96,63.79,0,0,0,0.46,0,0,1.88,13.56,0,0.58,0.54,0,0,0,0,0.19,0.33,0,0.24,0,0.34,0,0,0.47,0,0.33
"4","Saint Lucia","Asparagus",0.0845294117647059,181889,11000,"Import_kg",367,"Asparagus",80,1.45,154.33,14.51,217.85,1.55,0,0,1.5,0,0,15.51,174.09,0,0.33,6,0,0,0,0,1.14,1,0,3.22,0.36,5.01,0,0,6.64,0,3.36
"5","Saint Lucia","Avocados",0.048,181889,10000,"Import_kg",572,"Avocados",141,16.69,184.23,1613.57,497.1,1.47,0,0,2.36,0.11,0,58.42,502.06,0,0.76,19.44,0,0,0.16,0,1.63,3.46,0,273.92,909.7,190.59,0,0,8.81,0.13,4.35
"6","Saint Lucia","Beans, dry",0.1145,181889,322000,"Import_kg",176,"Beans",30,509.48,32920.27,2122.71,89676.52,2.8,0,0.63,216.33,11.27,4.52,1807.85,19176.1,1.35,24.15,597.97,0.7,0.34,3.09,0.6,170.69,267.31,2.01,477.92,212.22,735.27,0,0,18.13,5.91,0
"7","Saint Lucia","Beans, green",0.0843965476190476,181889,1000,"Import_kg",414,"Beans; green",92,0.31,29.7,3.55,48.74,0.15,0,0,0.41,0,0,1.9,14.6,0,0.11,0.69,0,0,0,0,0,0.2,0,0.32,0.12,0.61,0,0,0.54,0,0
"8","Saint Lucia","Cabbages and other brassicas",0.08324,181889,440000,"Import_kg",358,"Cabbages and other brassicas",78,78.08,6600.29,885.75,12736.39,178.22,0.67,0.18,356.64,5.03,0.99,829.87,6413.52,0.45,114.23,204.89,0.18,0.3,2.25,0.52,71.65,70.96,0.74,99.7,52.09,255.29,0,0,264,3.21,80.21
"9","Saint Lucia","Carrots and turnips",0.0830718954248366,181889,713000,"Import_kg",426,"Carrots and turnips",96,142.67,6178.97,1104.91,27684.44,129.18,2.87,0.1,313.01,7.32,1.22,1373.32,9582.48,0.28,222.75,562.14,0.24,0.44,3.66,0.86,493.58,57.41,0.67,152.57,69.21,357.05,0,0,421.14,5.92,108.53
"10","Saint Lucia","Cauliflowers and broccoli",0.103835520801038,181889,161000,"Import_kg",393,"Cauliflowers and broccoli",84,24.43,2640.59,275.63,3468.66,68.94,0.46,0,37.37,0.93,0.36,252.57,1619.67,0,25.52,92.59,0,0,0.61,0.15,53.99,15.34,0.16,53.07,15.98,27.49,0,0,73.83,0.92,40.92
"11","Saint Lucia","Cherries",0.1289,181889,2000,"Import_kg",531,"Cherries",127,0.39,9.28,1.48,88.83,0.11,0,0,0.24,0,0,2.12,8.96,0,0,0.2,0,0,0,0,0,0,0,0.32,0.4,0.44,0,0,0.7,0,0
