"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Saudi Arabia","Barley",0.04775,33702756,4533741000,"Production_kg/Import_kg",44,"Barley",3,96951.98,2576189.93,392035.83,21004249.63,187.81,0,5.92,15705.9,2191.34,712.19,72542.94,2333581.93,180.11,6028.81,82395.48,74.09,36.44,1506.41,81.42,10649.02,21880.27,400.51,102264.42,62541.87,234954.61,0,0,3308.03,516.11,0
"2","Saudi Arabia","Cabbages and other brassicas",0.08324,33702756,12534000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,12,1014.71,136.17,1958.05,27.4,0.1,0,54.83,0.77,0.15,127.58,985.99,0,17.56,31.5,0,0,0.35,0,11.02,10.91,0.11,15.33,8.01,39.25,0,0,40.59,0.49,12.33
"3","Saudi Arabia","Carrots and turnips",0.0830718954248366,33702756,71087000,"Production_kg/Import_kg",426,"Carrots and turnips",96,76.77,3324.74,594.52,14896.26,69.51,1.55,0,168.42,3.94,0.66,738.95,5156.08,0.15,119.85,302.47,0.13,0.24,1.97,0.46,265.58,30.89,0.36,82.1,37.24,192.12,0,0,226.61,3.19,58.4
"4","Saudi Arabia","Cucumbers and gherkins",0.0675,33702756,83224000,"Production_kg/Import_kg",397,"Cucumbers and gherkins",86,51.07,2360.68,432.54,9256.61,36.16,0,0,58.53,1.63,0.7,521.51,2386.61,0.2,24.28,132.69,0,0.12,0.7,0.15,21.95,45.73,0.29,122.55,9.15,95.12,0,0,350.31,1.52,56.7
"5","Saudi Arabia","Dates",0.0393863636363636,33702756,1540695000,"Production_kg/Import_kg",577,"Dates",121,23073.94,203986.16,34094.42,5914728.17,784.28,0.52,2.28,4816.74,191.8,35.4,70045.89,573366.51,26.62,232.13,9328.81,7.97,14.04,190.91,20.66,940.14,4681.33,32.38,1857.06,2089.19,1102.63,0,0,4386.57,155.53,2011.81
"6","Saudi Arabia","Eggplants (aubergines)",0.082,33702756,50461000,"Production_kg/Import_kg",399,"Eggplants (aubergines)",87,49.8,2107.56,1321.34,9660.12,12.04,0,0,31.25,1.11,0.35,366.68,3784.83,0.18,9.79,79.96,0,0.17,2.35,0.16,53.77,23.43,0.42,49.3,23.74,105.9,0,0,167.56,2.18,37.43
"7","Saudi Arabia","Fruit, citrus nes",0.125066666666667,33702756,34971000,"Production_kg",512,"Citrus; Other",116,53.51,908.48,261.34,12278.99,29.29,0,0,50.89,0.63,0.16,154.32,5392.8,0,5.39,7.47,0,0,0.17,0,6.97,16.59,0.11,85.46,127.77,141.87,0,0,69.45,0.42,5.81
"8","Saudi Arabia","Fruit, fresh nes",0.107099201828105,33702756,1001271000,"Production_kg/Import_kg",619,"Fresh fruit; nes",147,2496.65,42366.7,21129.32,534618.53,1081.93,1.37,0.42,1488.02,101.18,6.96,7727.49,96332.02,3.13,309.67,1160.6,1.73,1.59,27.75,2.48,1936.92,885.26,5.81,3395.33,2339.37,3233.2,0,0,2099.77,25.29,772.09
"9","Saudi Arabia","Grapes",0.1235,33702756,177796000,"Production_kg/Import_kg",560,"Grapes",122,262.78,2293.07,1011.59,62391.51,21.95,0,0,63.85,2.63,0.31,774.01,9031.36,0.42,13.74,86.86,0.18,0.57,0.93,0.42,23.92,115.33,2.95,509.74,58.38,398.68,0,0,355.61,2.02,59.8
"10","Saudi Arabia","Groundnuts, with shell",0.028,33702756,1509000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,87.73,3767.95,7020.84,2722.74,0.23,0,0,9.58,0.56,0.45,111.37,1328.7,0.17,1.64,62.47,0.12,0,2.29,0,22.11,29.99,0.23,1004.05,3905.87,2487.82,0,0,1.35,0.44,0
"11","Saudi Arabia","Maize",0.0869363057324841,33702756,3308581000,"Production_kg/Import_kg",56,"Maize",4,39900.68,975964.01,386512.04,8149745.77,77.43,2.49,2.63,2356.12,367.45,202.63,33267.17,584805.93,20.38,1055.3,24717.16,30.11,13.37,291.27,40.02,0,12383.79,27.38,66821.07,145414.17,272789.19,0,0,1407.11,141.74,0
"12","Saudi Arabia","Melons, other (inc.cantaloupes)",0.179843076923077,33702756,53608000,"Production_kg/Import_kg",568,"Other melons (inc. cantaloupes)",111,25.2,478.66,134.51,5690.62,20.53,0,0,13.5,0.47,0.1,226.2,606.48,0,10.74,14.52,0,0,0.42,0,6.72,9.55,0,33.61,2.36,52.77,0,0,81.79,0.42,42.16
"13","Saudi Arabia","Millet",0.0477,33702756,17405000,"Production_kg/Import_kg",79,"Millet",7,371.69,10029.95,4074.08,76233.18,0.3,0,0,64.5,7.79,2.46,280.67,6028.93,1.1,11.7,272.36,0.32,0.13,2.6,1.04,809.83,142.64,1.18,782.76,836.89,2310.39,0,0,11.73,2.54,0
"14","Saudi Arabia","Okra",0.0853823529411765,33702756,24210000,"Production_kg",430,"Okra",97,27.1,1552.37,128.83,5457.81,16.7,0,0,60.77,0.51,0.35,187.89,2271.56,0,9.02,44.47,0,0,0.76,0.18,10.35,29.45,0.66,21.87,14.3,22.72,0,0,75.54,0.64,13.88
"15","Saudi Arabia","Onions, dry",0.093304347826087,33702756,323960000,"Production_kg/Import_kg",403,"Onions",77,406.79,11856.73,1447.88,86070.86,91.6,0,0.14,427.01,7.33,4.06,1331.03,14628.93,0.29,103.48,537.33,0.35,0.38,2.48,1.13,62.84,122.94,0.66,350.27,250.68,573.48,0,0,929.43,5.35,82.42
"16","Saudi Arabia","Potatoes",0.133867924528302,33702756,542430000,"Production_kg/Import_kg",116,"Potatoes",18,964.12,24734.38,1634.05,215418.1,192.28,0,0.18,110.28,12.66,5,4496.69,16204.87,1.06,126.41,581.99,0.96,0.78,16.56,2.96,420.79,296.56,1.33,353.47,16.83,492.93,0,0,918.15,12.68,267.5
"17","Saudi Arabia","Pulses nes",0.0587825743767065,33702756,16636000,"Production_kg",211,"Pulses; nes",40,314.93,18989.1,6429.05,45820.74,1.73,0,0.29,160.93,8.8,3.97,864.07,7640.8,1.37,22.84,289.35,0.42,0.18,1.75,0.22,295.58,216.48,1.58,728.88,1338.3,1364.34,0,0,9.62,2.81,11.76
"18","Saudi Arabia","Pumpkins, squash and gourds",0.100019949494949,33702756,69822000,"Production_kg/Import_kg",394,"Pumpkins; squash; and gourds",85,44.34,2105.81,368.19,8297.61,35.61,0.46,0,57.72,2.03,0.44,375.9,3265.47,0.21,14.95,131.23,0,0.13,1.54,0.28,83.32,46.05,0.12,113.46,27.39,55.23,0,0,193.05,1.17,45.05
"19","Saudi Arabia","Sesame seed",0.0154423214285714,33702756,77320000,"Production_kg/Import_kg",289,"Sesameseed",59,8507.15,291598.29,719892.05,243050.85,0,0,1.71,12051.85,176.56,96.14,7193.47,177534.09,35.6,584.71,8927.64,10.84,4.82,69.19,8.84,380.32,5170.03,18.12,120002.64,324047.99,349801.57,0,0,69.41,68.36,0
"20","Saudi Arabia","Sorghum",0.0326666666666667,33702756,124032000,"Production_kg/Import_kg",83,"Sorghum",8,3931.78,132250.21,39156.83,803530.28,0,0,0.29,343.72,68.61,20.93,3506.01,37948.09,2.49,105.71,4041.57,3.63,1.29,37.14,2.7,0,2858.34,14.67,6872.16,12741.66,17552.18,0,0,113.51,23.71,0
"21","Saudi Arabia","Tomatoes",0.0714285714285714,33702756,542737000,"Production_kg/Import_kg",388,"Tomatoes",76,450.15,21487.62,5680.56,82036.41,519.65,1.44,0.5,338.14,22.83,4.31,4420.34,25832.92,1.52,251.3,908.85,1.1,0.95,18.18,1.86,151.05,293.09,1.29,653.81,687.63,1837.43,0,0,2118.99,12.04,146.54
"22","Saudi Arabia","Vegetables, fresh nes",0.075156077445368,33702756,37716000,"Production_kg/Import_kg",463,"Vegetables; fresh; nes",101,70.45,4751.69,994.07,11906.1,70.62,0.46,0.11,294.82,6.11,0.83,580.43,7040.33,0.24,70.72,117.69,0.14,0.3,1.53,0.33,32.54,76.56,0.96,102.01,97.51,194.36,0,0,126.23,2.43,37.27
"23","Saudi Arabia","Watermelons",0.193615384615385,33702756,694473000,"Production_kg/Import_kg",567,"Watermelons",110,252.46,5375.91,1522.72,55674.4,68.11,0.44,0,87.08,10.57,0.84,1035,3043.8,0.36,40.26,385.26,0.37,0.3,1.42,0.61,43.63,104.03,0.4,170.28,393.78,532.13,0,0,992.41,2.66,494.88
"24","Saudi Arabia","Wheat",0.0442045454545455,33702756,3633235000,"Production_kg/Import_kg",15,"Wheat",1,82139.5,2790195.41,448113.98,16912867.38,81.29,0,9.88,10374.23,959.33,601.31,83431.17,1233990.06,114.62,1809.53,74714.11,81.12,49.99,1123.82,137.54,7608.79,33349.43,655.77,104864.77,69015.65,284598.1,0,0,2719.98,461.27,0
