"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Serbia","Almonds, with shell",0.0296505238073522,8802754,1000,"Import_kg",221,"Almonds; with shell",45,0.23,8.13,19.6,6.92,0,0,0,0,0,0,0.3,2.78,0,0,0.18,0,0,0,0,0,0.12,0,1.51,12.94,4.47,0,0,0,0,0
"2","Serbia","Anise, badian, fennel, coriander",0.00195,8802754,46000,"Import_kg",711,"Anise; badian; fennel; coriander",161,93.15,4237.68,3840.4,12523.44,2.8,0,0,217.94,8.6,1.24,397.55,6398.8,0.25,19.83,123.3,0,0,0.82,0.13,146.81,84.41,0.73,225.69,2917.51,704.31,0,0,2.67,1.8,0
"3","Serbia","Apples",0.121111111111111,8802754,33210000,"Import_kg",515,"Apples",119,174.86,966.97,917.64,40760.55,45.23,0,0,24.14,2.18,0.2,320.41,4413,0,18.15,33.82,0.14,0,0.58,0.13,505.26,14.54,0.11,121.49,26.48,204.04,0,0,263.23,0.8,31.15
"4","Serbia","Apricots",0.03995,8802754,518000,"Import_kg",526,"Apricots",125,7.28,147.3,37.67,1676.83,0.98,0,0,2.5,0.12,0,42.96,201.31,0,0.2,3.51,0,0,0.11,0,0.41,1.47,0,4.2,25.04,11.56,0,0,12.61,0.12,1.25
"5","Serbia","Artichokes",0.1,8802754,2000,"Import_kg",366,"Artichokes",79,0,0.59,0,2.64,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Serbia","Asparagus",0.0845294117647059,8802754,33000,"Import_kg",367,"Asparagus",80,0,9.57,0.9,13.5,0,0,0,0,0,0,0.96,10.79,0,0,0.37,0,0,0,0,0,0,0,0.2,0,0.31,0,0,0.41,0,0.21
"7","Serbia","Avocados",0.048,8802754,605000,"Import_kg",572,"Avocados",141,20.86,230.3,2017.12,621.42,1.83,0,0,2.94,0.14,0,73.03,627.62,0,0.94,24.31,0,0,0.2,0,2.03,4.33,0,342.43,1137.21,238.26,0,0,11.01,0.17,5.44
"8","Serbia","Bananas",0.04075,8802754,77870000,"Import_kg",486,"Bananas",117,2186.83,26391.76,5047.16,506762.64,231.11,0.8,0.41,213.87,17.34,3.58,7376.45,33943.75,2,137.78,550.6,1.16,1.1,18.48,7.58,212.74,615.07,5.86,2409.61,564.41,1226.51,0,0,1581.29,17.99,770.64
"9","Serbia","Barley",0.04775,8802754,5139000,"Import_kg",44,"Barley",3,420.75,11180.12,1701.35,91154.04,0.82,0,0,68.16,9.51,3.09,314.82,10127.26,0.78,26.16,357.58,0.32,0.16,6.54,0.35,46.21,94.96,1.74,443.81,271.42,1019.65,0,0,14.36,2.24,0
"10","Serbia","Beans, dry",0.1145,8802754,12218000,"Import_kg",176,"Beans",30,399.44,25810.45,1664.27,70308.99,2.2,0,0.5,169.61,8.84,3.54,1417.41,15034.62,1.06,18.93,468.83,0.55,0.27,2.42,0.47,133.83,209.58,1.58,374.71,166.39,576.47,0,0,14.21,4.63,0
