"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Serbia","Alfalfa meal and pellets",0.0651708222811671,8802754,1578000,"Import_kg",862,"Mixed grain",12,95.79,3144.32,682.16,20271.15,0,0,0,6.76,0.92,0.72,94.8,2906.52,0.13,1.5,86.94,0.11,0,1.18,0,8.98,32.6,0.71,120.85,146.46,286.81,0,0,2.96,0.45,0
"2","Serbia","Almonds shelled",0.0296505238073522,8802754,652000,"Import_kg",231,"Almonds; with shell",45,148.73,5298.31,12778.96,4510.6,2.6,0,0,60.63,0.78,0.9,196.68,1811.07,0.25,1.21,120.58,0,0.19,0.98,0,13.01,80.31,0.52,986.97,8437.2,2913.82,0,0,1.24,0.73,16.24
"3","Serbia","Almonds, with shell",0.0296505238073522,8802754,1000,"Import_kg",221,"Almonds; with shell",45,0.23,8.13,19.6,6.92,0,0,0,0,0,0,0.3,2.78,0,0,0.18,0,0,0,0,0,0.12,0,1.51,12.94,4.47,0,0,0,0,0
"4","Serbia","Anise, badian, fennel, coriander",0.00195,8802754,1144000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,2316.5,105389.24,95509,311452.53,69.64,0.16,0,5420.12,213.89,30.91,9886.91,159135.38,6.25,493.18,3066.31,2.19,2.01,20.52,3.33,3651.19,2099.34,18.18,5612.91,72557.29,17515.85,0,0,66.39,44.86,0
"5","Serbia","Apples",0.121111111111111,8802754,532788000,"Production_kg/Import_kg",515,"Apples",119,2805.34,15513.04,14721.77,653921.49,725.57,0.28,0,387.31,35.04,3.2,5140.27,70797.77,1.45,291.1,542.58,2.27,1.41,9.36,2.02,8105.93,233.22,1.75,1949.02,424.79,3273.36,0,0,4223.06,12.86,499.75
"6","Serbia","Apricots",0.03995,8802754,41448000,"Production_kg/Import_kg",526,"Apricots",125,582.23,11786.05,3013.86,134172.38,78.77,1.51,0.11,200.36,9.36,2.59,3437.6,16107.6,0.92,15.62,280.9,0.28,1.32,9.19,0.64,33,117.86,0.91,335.9,2003.63,925.2,0,0,1008.97,9.31,100.18
"7","Serbia","Apricots, dry",0.03995,8802754,410000,"Import_kg",527,"Apricots",125,5.76,116.59,29.81,1327.22,0.78,0,0,1.98,0,0,34,159.33,0,0.15,2.78,0,0,0,0,0.33,1.17,0,3.32,19.82,9.15,0,0,9.98,0,0.99
"8","Serbia","Artichokes",0.1,8802754,2000,"Import_kg",366,"Artichokes",79,0,0.59,0,2.64,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Serbia","Asparagus",0.0845294117647059,8802754,33000,"Import_kg",367,"Asparagus",80,0,9.57,0.9,13.5,0,0,0,0,0,0,0.96,10.79,0,0,0.37,0,0,0,0,0,0,0,0.2,0,0.31,0,0,0.41,0,0.21
"10","Serbia","Avocados",0.048,8802754,605000,"Import_kg",572,"Avocados",141,20.86,230.3,2017.12,621.42,1.83,0,0,2.94,0.14,0,73.03,627.62,0,0.94,24.31,0,0,0.2,0,2.03,4.33,0,342.43,1137.21,238.26,0,0,11.01,0.17,5.44
"11","Serbia","Bananas",0.04075,8802754,77870000,"Import_kg",486,"Bananas",117,2186.83,26391.76,5047.16,506762.64,231.11,0.8,0.41,213.87,17.34,3.58,7376.45,33943.75,2,137.78,550.6,1.16,1.1,18.48,7.58,212.74,615.07,5.86,2409.61,564.41,1226.51,0,0,1581.29,17.99,770.64
"12","Serbia","Barley",0.04775,8802754,378479000,"Production_kg/Import_kg",44,"Barley",3,30987.65,823398.01,125301.91,6713347.12,60.03,0,1.89,5019.9,700.39,227.63,23186.07,745855.99,57.57,1926.92,26335.12,23.68,11.65,481.48,26.02,3403.62,6993.34,128.01,32685.6,19989.54,75095.84,0,0,1057.31,164.96,0
"13","Serbia","Beans, dry",0.1145,8802754,21245000,"Production_kg/Import_kg",176,"Beans",30,694.56,44879.93,2893.87,122255.24,3.82,0,0.86,294.92,15.37,6.16,2464.63,26142.61,1.84,32.92,815.21,0.95,0.47,4.21,0.82,232.7,364.42,2.75,651.55,289.32,1002.38,0,0,24.71,8.05,0
"14","Serbia","Beans, green",0.0843965476190476,8802754,25316000,"Production_kg/Import_kg",414,"Beans; green",92,162.58,15537.93,1855.2,25498.06,78.1,0.11,0.22,214.54,7.4,1.58,991.84,7635.4,0.17,56.51,363.27,0.43,3.39,2.98,0.47,27.6,102.23,0.29,165.84,62.47,320.32,0,0,283.23,3.87,42.25
"15","Serbia","Beet pulp",0.125770747489689,8802754,5000,"Import_kg",169,"Roots and tubers; nes",23,0,0.88,0.35,9.8,0,0,0,0,0,0,0.22,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Serbia","Berries nes",0.109406559397488,8802754,2999000,"Production_kg",558,"Berries; nes",138,17.63,289.82,140.35,3994.29,14.42,0,0,11.41,0.48,0.13,51.48,896.82,0,1.88,7.01,0,0,0.15,0,3.04,5.06,0.29,5.61,13.08,67.96,0,0,26.73,0.16,0.25
"17","Serbia","Bran, wheat",0.0374838709677419,8802754,214000,"Import_kg",17,"Wheat Flour",222,22.41,744.02,98.11,4614.33,0,0,0,2.59,0.18,0,11.16,85.18,0,2.09,12,0,0,0.15,0,0.67,2.94,0,10.05,5.64,26.79,0,0,0.75,0,0
"18","Serbia","Brazil nuts, shelled",0.0297575757575758,8802754,59000,"Import_kg",229,"Brazil nuts; with shell",42,14.72,338.98,1532.05,235.82,0,0,0,3.68,0,0,14.84,168.93,0,0,17.15,0,0,0,0,0.65,8.47,0,363.39,537.84,549.55,0,0,0,0,1.1
