"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Seychelles","Avocados",0.048,97096,15000,"Import_kg",572,"Avocados",141,46.89,517.67,4534.03,1396.81,4.12,0,0,6.62,0.31,0.16,164.15,1410.76,0,2.12,54.63,0,0,0.45,0,4.57,9.74,0,769.7,2556.18,535.55,0,0,24.75,0.38,12.23
"2","Seychelles","Bananas",0.04075,97096,2000,"Import_kg",486,"Bananas",117,5.09,61.45,11.75,1180,0.54,0,0,0.5,0,0,17.18,79.04,0,0.32,1.28,0,0,0,0,0.5,1.43,0,5.61,1.31,2.86,0,0,3.68,0,1.79
"3","Seychelles","Cinnamon (cannella)",0.00115555555555556,97096,13000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Seychelles","Fruit, fresh nes",0.107099201828105,97096,76000,"Import_kg",619,"Fresh fruit; nes",147,65.78,1116.22,556.69,14085.43,28.51,0,0,39.2,2.67,0.18,203.59,2538.03,0,8.16,30.58,0,0,0.73,0,51.03,23.32,0.15,89.46,61.63,85.18,0,0,55.32,0.67,20.34
"5","Seychelles","Fruit, tropical fresh nes",0.1073859375,97096,20000,"Import_kg",603,"Fruit; tropical fresh; nes",146,17.96,283.83,229.34,3982.96,20.6,0,0,6.21,0.34,0,48.17,557.59,0,1.88,6.89,0,0,0.2,0,1.52,5.4,0,142.91,316.07,72.27,0,0,14.62,0.15,7.57
"6","Seychelles","Oranges",0.138371428571429,97096,921000,"Import_kg",490,"Oranges; Mandarines",113,302.98,5437.34,1572.86,68544.17,316.5,0.38,0.17,216.53,3.32,0.42,1152.27,9223.18,0.3,18.5,148.4,0.47,0.29,12.12,0.48,74.49,72.66,0.2,143.96,210.79,222.79,0,0,595.88,2.92,183.72
"7","Seychelles","Pineapples",0.1096,97096,341000,"Import_kg",574,"Pineapples",120,151.48,1473.09,680.8,35414.68,71.3,0,0,114.89,1.93,0.3,514.11,2668.17,0.36,14.86,30.72,0.22,0.13,0.99,0.32,523.11,37.92,2.97,62.49,84.92,192.26,0,0,279.15,1.03,131.38
"8","Seychelles","Tea",0.0019,97096,136000,"Import_kg",667,"Tea",154,459.37,276449.14,33173.9,137809.89,1658.69,0,2.3,12348.06,686.5,9.19,16996.55,0,4.59,1378.1,7269.92,4.05,16.12,73.72,0,183.75,1378.1,100.6,918.73,459.37,1837.47,0,0,1179.52,326.18,0
"9","Seychelles","Tomatoes",0.0714285714285714,97096,637000,"Import_kg",388,"Tomatoes",76,183.39,8753.92,2314.22,33421.1,211.7,0.59,0.2,137.76,9.3,1.75,1800.82,10524.16,0.62,102.38,370.26,0.45,0.39,7.41,0.76,61.54,119.4,0.52,266.36,280.13,748.56,0,0,863.26,4.9,59.7
"10","Seychelles","Vegetables, fresh nes",0.075156077445368,97096,109000,"Import_kg",463,"Vegetables; fresh; nes",101,70.67,4766.64,997.2,11943.58,70.84,0.47,0.11,295.74,6.13,0.84,582.26,7062.49,0.24,70.94,118.06,0.14,0.3,1.54,0.33,32.64,76.8,0.96,102.33,97.82,194.97,0,0,126.63,2.44,37.39
