"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Sierra Leone","Broad beans, horse beans, dry",0.052,7650150,1420000,"Production_kg",181,"Broad beans; horse beans; dry",32,119.4,8566.16,566.97,19632,0.97,0,0.15,35.37,2.88,1.25,425.92,6913.05,0.29,6.51,136.17,0.14,0.1,0.94,0.13,34.2,68.36,0.58,89.95,107.62,215.42,0,0,3.72,1.07,9.64
"2","Sierra Leone","Cassava",0.108277777777778,7650150,4588612000,"Production_kg",125,"Cassava",17,77047.51,1012254.76,262942.5,17196730.27,17837.25,5.67,14.13,21596.43,674.44,188.34,208285.91,819848.8,55.4,5096.36,21830.74,34.48,30.84,317.8,48.75,13128.66,11632.99,212.72,48193.81,48470.79,24373.88,0,0,34803.69,778.63,11632.99
"3","Sierra Leone","Cereals nes",0.0486257263475995,7650150,11350000,"Production_kg",108,"Cereals; nes",13,1062.55,39738.9,14043.13,224230.89,3.28,0,0,442.99,67.66,11.6,1302.83,9632.83,2.47,23.8,1161.33,1.1,0.81,4.45,1.47,39.97,561.41,28.19,1369.95,1797.11,3267.75,0,0,33.3,11.96,0
"4","Sierra Leone","Chillies and peppers, dry",4e-04,7650150,4732000,"Production_kg/Import_kg",689,"Pimento",156,37184.37,1584702.91,1380294.24,6345906.29,11664.82,104.98,8.47,32081.76,1128.85,408.63,281749.51,3436045.04,102.02,70166.76,28750.09,43.17,67.35,853.14,266.56,7963.83,23736.85,336.75,409789.35,263141.46,953391.68,0,0,4334.23,925.35,0
"5","Sierra Leone","Cocoa, beans",0.0115,7650150,14655000,"Production_kg/Import_kg",661,"Cocoa Beans",153,3797.98,268790.5,688833.96,964487.48,0,0,0.53,1786.72,84.52,113.44,16716.12,616339.15,63.1,137.43,9769.56,2.82,3.29,30.75,1.97,199.89,8312.25,63.92,383421.25,264734.32,14325.72,0,0,64.63,66.26,0
"6","Sierra Leone","Coconuts",0.04,7650150,5084000,"Production_kg",249,"Coconuts - Incl Copra",58,527.5,5574.13,46759.07,20905.46,3.99,0,0,31.01,4.77,2.74,543.14,10725.29,0.85,35.19,174.85,0.1,0,1.12,0,20.1,48.15,6.23,49591.29,4423.49,1134.74,0,0,88.11,1.7,68.95
"7","Sierra Leone","Coffee, green",0.00312,7650150,19318000,"Production_kg/Import_kg",656,"Coffee",152,14995.88,914928.29,1207377.63,2929855.41,80.94,0.32,1.4,8339.84,279.65,42.95,180149.08,0,16.72,2878.46,23004.36,11.65,40.44,897.41,1.88,3485.8,15122.55,30.84,2681.38,20110.38,1340.69,0,0,425.11,469.18,0
"8","Sierra Leone","Fruit, citrus nes",0.125066666666667,7650150,113573000,"Production_kg",512,"Citrus; Other",116,765.64,12998.03,3739.16,175681.2,419.02,0.3,0.2,728.05,8.94,2.26,2207.89,77157.28,1.13,77.16,106.83,0.78,0.76,2.49,0.43,99.71,237.41,1.6,1222.65,1828.03,2029.83,0,0,993.7,6.01,83.09
"9","Sierra Leone","Fruit, fresh nes",0.107099201828105,7650150,101364000,"Production_kg/Import_kg",619,"Fresh fruit; nes",147,1113.49,18895.23,9423.52,238435.86,482.53,0.61,0.19,663.65,45.13,3.1,3446.4,42963.36,1.39,138.11,517.62,0.77,0.71,12.37,1.11,863.85,394.82,2.59,1514.29,1043.34,1441.98,0,0,936.48,11.28,344.34
"10","Sierra Leone","Groundnuts, with shell",0.028,7650150,106396000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,27251.89,1170405.05,2180823.96,845741.45,70.53,0,5.79,2975.37,175.43,138.3,34592.6,412723.21,54.03,509.64,19403.44,37.92,8.4,711.89,26.84,6866.93,9314.72,72.87,311880.2,1213248.24,772771.48,0,0,419.3,135.84,0
