"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Sierra Leone","Anise, badian, fennel, coriander",0.00195,7650150,3000,"Import_kg",711,"Anise; badian; fennel; coriander",161,6.99,318.01,288.2,939.8,0.21,0,0,16.36,0.65,0,29.83,480.19,0,1.49,9.25,0,0,0,0,11.02,6.33,0,16.94,218.94,52.85,0,0,0.2,0.14,0
"2","Sierra Leone","Apples",0.121111111111111,7650150,467000,"Import_kg",515,"Apples",119,2.83,15.65,14.85,659.53,0.73,0,0,0.39,0,0,5.18,71.41,0,0.29,0.55,0,0,0,0,8.18,0.24,0,1.97,0.43,3.3,0,0,4.26,0,0.5
"3","Sierra Leone","Asparagus",0.0845294117647059,7650150,1000,"Import_kg",367,"Asparagus",80,0,0.33,0,0.47,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Sierra Leone","Barley",0.04775,7650150,2e+05,"Import_kg",44,"Barley",3,18.84,500.66,76.19,4082.03,0,0,0,3.05,0.43,0.14,14.1,453.52,0,1.17,16.01,0,0,0.29,0,2.07,4.25,0,19.87,12.15,45.66,0,0,0.64,0.1,0
"5","Sierra Leone","Beans, dry",0.1145,7650150,25000,"Import_kg",176,"Beans",30,0.94,60.77,3.92,165.54,0,0,0,0.4,0,0,3.34,35.4,0,0,1.1,0,0,0,0,0.32,0.49,0,0.88,0.39,1.36,0,0,0,0,0
"6","Sierra Leone","Bran, wheat",0.0374838709677419,7650150,7000,"Import_kg",17,"Wheat Flour",222,0.84,28,3.69,173.68,0,0,0,0,0,0,0.42,3.21,0,0,0.45,0,0,0,0,0,0.11,0,0.38,0.21,1.01,0,0,0,0,0
"7","Sierra Leone","Broad beans, horse beans, dry",0.052,7650150,1420000,"Production_kg",181,"Broad beans; horse beans; dry",32,119.4,8566.16,566.97,19632,0.97,0,0.15,35.37,2.88,1.25,425.92,6913.05,0.29,6.51,136.17,0.14,0.1,0.94,0.13,34.2,68.36,0.58,89.95,107.62,215.42,0,0,3.72,1.07,9.64
"8","Sierra Leone","Cabbages and other brassicas",0.08324,7650150,1000,"Import_kg",358,"Cabbages and other brassicas",78,0,0.36,0,0.69,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Sierra Leone","Carrots and turnips",0.0830718954248366,7650150,1000,"Import_kg",426,"Carrots and turnips",96,0,0.21,0,0.92,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Sierra Leone","Cashew nuts, with shell",0.0289438420348059,7650150,6000,"Import_kg",217,"Cashew nuts; with shell",43,1.47,49.79,114.04,65.52,0,0,0,0.11,0,0,1.76,7.21,0,0.25,1.27,0,0,0,0,0,0.82,0,21.09,64.48,21.26,0,0,0,0,0
"11","Sierra Leone","Cassava",0.108277777777778,7650150,4588612000,"Production_kg",125,"Cassava",17,77047.51,1012254.76,262942.5,17196730.27,17837.25,5.67,14.13,21596.43,674.44,188.34,208285.91,819848.8,55.4,5096.36,21830.74,34.48,30.84,317.8,48.75,13128.66,11632.99,212.72,48193.81,48470.79,24373.88,0,0,34803.69,778.63,11632.99
"12","Sierra Leone","Cereals nes",0.0486257263475995,7650150,11350000,"Production_kg",108,"Cereals; nes",13,1062.55,39738.9,14043.13,224230.89,3.28,0,0,442.99,67.66,11.6,1302.83,9632.83,2.47,23.8,1161.33,1.1,0.81,4.45,1.47,39.97,561.41,28.19,1369.95,1797.11,3267.75,0,0,33.3,11.96,0
"13","Sierra Leone","Chick peas",0.04575,7650150,16000,"Import_kg",191,"Chick peas",33,1.61,88.89,23.01,266.59,0,0,0,0.62,0,0,3.7,34.9,0,0,1.42,0,0,0,0,0.67,0.45,0,2.82,6.23,12.16,0,0,0,0,0
"14","Sierra Leone","Chillies and peppers, dry",4e-04,7650150,4732000,"Production_kg/Import_kg",689,"Pimento",156,37184.37,1584702.91,1380294.24,6345906.29,11664.82,104.98,8.47,32081.76,1128.85,408.63,281749.51,3436045.04,102.02,70166.76,28750.09,43.17,67.35,853.14,266.56,7963.83,23736.85,336.75,409789.35,263141.46,953391.68,0,0,4334.23,925.35,0
"15","Sierra Leone","Chillies and peppers, green",0.0664142191142191,7650150,2000,"Import_kg",401,"Chillies and peppers; green",88,0,0.7,0.26,2.72,0,0,0,0,0,0,0.11,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Sierra Leone","Chocolate products nes",0.0115,7650150,537000,"Import_kg",666,"Cocoa Beans",153,139.17,9849.23,25240.79,35341.51,0,0,0,65.47,3.1,4.16,612.53,22584.38,2.31,5.04,357.98,0.1,0.12,1.13,0,7.32,304.58,2.34,14049.62,9700.6,524.93,0,0,2.37,2.43,0
"17","Sierra Leone","Cider etc",0.0683571428571429,7650150,404000,"Import_kg",517,"Fruit juice; nes",149,3.85,19.19,10.47,939.75,5.79,0,0,0.78,0,0,8.35,21.99,0,0.6,0.63,0,0,0,0,0.21,0.58,0,1.94,2.64,4.8,0,0,6.8,0,0
"18","Sierra Leone","Cocoa, beans",0.0115,7650150,14655000,"Production_kg/Import_kg",661,"Cocoa Beans",153,3797.98,268790.5,688833.96,964487.48,0,0,0.53,1786.72,84.52,113.44,16716.12,616339.15,63.1,137.43,9769.56,2.82,3.29,30.75,1.97,199.89,8312.25,63.92,383421.25,264734.32,14325.72,0,0,64.63,66.26,0
"19","Sierra Leone","Cocoa, butter",0.0115,7650150,9000,"Import_kg",664,"Cocoa Beans",153,2.33,165.07,423.03,592.32,0,0,0,1.1,0,0,10.27,378.51,0,0,6,0,0,0,0,0.12,5.1,0,235.47,162.58,8.8,0,0,0,0,0
"20","Sierra Leone","Coconuts",0.04,7650150,5084000,"Production_kg",249,"Coconuts - Incl Copra",58,527.5,5574.13,46759.07,20905.46,3.99,0,0,31.01,4.77,2.74,543.14,10725.29,0.85,35.19,174.85,0.1,0,1.12,0,20.1,48.15,6.23,49591.29,4423.49,1134.74,0,0,88.11,1.7,68.95
"21","Sierra Leone","Coffee, extracts",0.00312,7650150,43000,"Import_kg",659,"Coffee substitutes; cont. coffee",112,64.86,2456.4,583.7,14127.68,0,0,0,20.11,1.34,0,440.12,4197.59,0,14.95,65.96,0,0,3.18,0.13,2.41,43.96,0.2,108.63,64.13,220.69,0,0,1.09,1.47,0
