"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Slovakia","Apples",0.121111111111111,5453014,34452000,"Import_kg",515,"Apples",119,292.84,1619.34,1536.75,68260.2,75.74,0,0,40.43,3.66,0.33,536.57,7390.29,0.15,30.39,56.64,0.24,0.15,0.98,0.21,846.14,24.34,0.18,203.45,44.34,341.69,0,0,440.83,1.34,52.17
"2","Slovakia","Apricots",0.03995,5453014,2559000,"Import_kg",526,"Apricots",125,58.03,1174.67,300.38,13372.47,7.85,0.15,0,19.97,0.93,0.26,342.61,1605.39,0,1.56,28,0,0.13,0.92,0,3.29,11.75,0,33.48,199.69,92.21,0,0,100.56,0.93,9.98
"3","Slovakia","Asparagus",0.0845294117647059,5453014,1143000,"Import_kg",367,"Asparagus",80,5.02,534.91,50.3,755.07,5.38,0,0,5.21,0.27,0.13,53.75,603.4,0,1.15,20.79,0,0,0.22,0,3.97,3.47,0,11.16,1.24,17.36,0,0,23.02,0.16,11.65
"4","Slovakia","Barley",0.04775,5453014,124038000,"Import_kg",44,"Barley",3,16393.95,435616.91,66290.7,3551681.58,31.76,0,1,2655.76,370.54,120.43,12266.54,394593.48,30.46,1019.43,13932.54,12.53,6.16,254.72,13.77,1800.68,3699.81,67.72,17292.25,10575.42,39729.29,0,0,559.37,87.27,0
"5","Slovakia","Blueberries",0.134028846153846,5453014,824000,"Import_kg",552,"Blueberries",136,6.43,83.43,37.21,1633.66,1.09,0,0,0.68,0,0,8.68,270.58,0,0.11,1.35,0,0,0,0,0.68,0.68,0,3.16,5.3,16.46,0,0,9.49,0,0.56
"6","Slovakia","Broad beans, horse beans, dry",0.052,5453014,42000,"Import_kg",181,"Broad beans; horse beans; dry",32,4.95,355.45,23.53,814.63,0,0,0,1.47,0.12,0,17.67,286.86,0,0.27,5.65,0,0,0,0,1.42,2.84,0,3.73,4.47,8.94,0,0,0.15,0,0.4
"7","Slovakia","Cabbages and other brassicas",0.08324,5453014,33551000,"Import_kg",358,"Cabbages and other brassicas",78,198.58,16787.47,2252.87,32394.33,453.29,1.7,0.46,907.09,12.79,2.52,2110.74,16312.43,1.14,290.54,521.13,0.45,0.76,5.73,1.33,182.24,180.48,1.87,253.59,132.48,649.32,0,0,671.48,8.18,204.01
"8","Slovakia","Carrots and turnips",0.0830718954248366,5453014,21091000,"Import_kg",426,"Carrots and turnips",96,140.77,6096.68,1090.19,27315.75,127.46,2.83,0.1,308.84,7.22,1.2,1355.03,9454.86,0.27,219.78,554.66,0.24,0.43,3.61,0.85,487.01,56.65,0.67,150.54,68.29,352.3,0,0,415.54,5.84,107.09
"9","Slovakia","Cauliflowers and broccoli",0.103835520801038,5453014,8652000,"Import_kg",393,"Cauliflowers and broccoli",84,43.8,4733.28,494.07,6217.58,123.57,0.83,0,66.98,1.66,0.64,452.74,2903.27,0,45.74,165.97,0.17,0.17,1.1,0.27,96.78,27.5,0.28,95.12,28.65,49.28,0,0,132.35,1.65,73.35
"10","Slovakia","Cherries",0.1289,5453014,325000,"Import_kg",531,"Cherries",127,2.11,50.32,8.01,481.49,0.58,0,0,1.28,0,0,11.49,48.55,0,0,1.08,0,0,0,0,0.28,0.51,0,1.76,2.17,2.4,0,0,3.81,0,0.37
"11","Slovakia","Cherries, sour",0.028,5453014,340000,"Import_kg",530,"Sour cherries",126,10.54,244.95,59.38,2477.7,2.23,0,0,3.04,0,0,38.52,267.22,0,1.22,3.67,0,0,0,0,1.36,2,0,15.14,18.26,20.04,0,0,19.38,0,2.45
"12","Slovakia","Chillies and peppers, green",0.0664142191142191,5453014,21355000,"Import_kg",401,"Chillies and peppers; green",88,231.09,10498.81,3918.62,40732.94,679.99,0.74,0.17,163,9.58,1.84,1662.41,18955.61,0.92,41.83,600.74,0.75,0.71,7,2.09,47.62,212.73,1.39,245.89,105.21,1075.97,0,0,520.49,5.21,97.62
"13","Slovakia","Cucumbers and gherkins",0.0675,5453014,19274000,"Import_kg",397,"Cucumbers and gherkins",86,73.1,3379.01,619.13,13249.64,51.76,0,0,83.78,2.33,1,746.48,3416.12,0.28,34.76,189.93,0.14,0.17,1,0.21,31.42,65.45,0.41,175.42,13.09,136.15,0,0,501.42,2.17,81.16
"14","Slovakia","Currants",0.038,5453014,246000,"Import_kg",550,"Currants",135,14.87,213.69,29.98,3549.06,11.99,0,0,8.1,0.36,0,35.44,314.6,0,0.2,8.43,0,0,0,0,0.9,2.2,0,3.03,5.1,15.85,0,0,7.89,0.14,0.24
"15","Slovakia","Garlic",0.00732,5453014,2642000,"Import_kg",406,"Garlic",90,807.36,33631.09,1656.76,169090.28,87.93,0,0,340.21,9.2,7.71,2922.24,10507.49,3.19,115.3,1342.35,0.93,0.53,3.55,6.7,153.56,258.14,8.84,592.39,69.5,1585.22,0,0,432.93,9.59,86.05
"16","Slovakia","Grapes",0.1235,5453014,17155000,"Import_kg",560,"Grapes",122,156.71,1367.46,603.26,37206.86,13.09,0,0,38.08,1.57,0.18,461.58,5385.81,0.25,8.19,51.8,0.11,0.34,0.56,0.25,14.27,68.78,1.76,303.98,34.81,237.75,0,0,212.07,1.21,35.66
"17","Slovakia","Lettuce and chicory",0.0865961538461538,5453014,10663000,"Import_kg",372,"Lettuce and chicory",81,39.02,3236.99,560.42,6301.76,25.06,0.41,0.17,119.96,2.63,0.92,579.77,4000.07,0.16,57.23,152.36,0.13,0.17,0.93,0.19,72.82,30.81,0.53,82.42,16.75,189.49,0,0,211.29,2.36,38.39
"18","Slovakia","Linseed",0.0178426203877423,5453014,1081000,"Import_kg",333,"Oilcrops; Other",62,579.41,21243.47,43203.84,30237.93,2.57,0,0,376.5,19.09,4.81,799.95,13721.37,1.34,36.72,613.33,0.55,0.34,3.51,0.59,48.61,369.7,3.25,4883.31,11179.58,29334.56,0,0,6.39,4.83,25.78
"19","Slovakia","Maize",0.0869363057324841,5453014,111343000,"Import_kg",56,"Maize",4,8299.09,202994.26,80392.03,1695094.88,16.11,0.52,0.55,490.06,76.43,42.15,6919.36,121635.88,4.24,219.5,5141.01,6.26,2.78,60.58,8.32,0,2575.75,5.7,13898.35,30245.22,56738.4,0,0,292.67,29.48,0
"20","Slovakia","Melons, other (inc.cantaloupes)",0.179843076923077,5453014,1620000,"Import_kg",568,"Other melons (inc. cantaloupes)",111,4.71,89.4,25.12,1062.85,3.84,0,0,2.52,0,0,42.25,113.27,0,2.01,2.71,0,0,0,0,1.26,1.78,0,6.28,0.44,9.86,0,0,15.28,0,7.87
"21","Slovakia","Oats",0.0434605263157895,5453014,478000,"Import_kg",75,"Oats",6,73.69,2754.28,1244.21,13075.92,0,0,0,11.88,1.07,0.69,82.19,892.5,0.13,4.85,73.29,0.11,0,0.25,0,0,35.7,0.99,239.72,442.52,501.72,0,0,2.13,0.4,0
"22","Slovakia","Oilseeds nes",0.0178426203877423,5453014,851000,"Import_kg",339,"Oilcrops; Other",62,456.13,16723.59,34011.53,23804.33,2.02,0,0,296.39,15.03,3.79,629.75,10801.93,1.06,28.91,482.83,0.43,0.27,2.76,0.47,38.27,291.04,2.56,3844.31,8800.95,23093.17,0,0,5.03,3.8,20.29
"23","Slovakia","Onions, dry",0.093304347826087,5453014,20540000,"Import_kg",403,"Onions",77,159.41,4646.25,567.38,33728.26,35.89,0,0,167.33,2.87,1.59,521.58,5732.58,0.11,40.55,210.56,0.14,0.15,0.97,0.44,24.63,48.18,0.26,137.26,98.23,224.73,0,0,364.21,2.1,32.3
"24","Slovakia","Peaches and nectarines",0.105333333333333,5453014,10923000,"Import_kg",534,"Peaches and nectarines",128,91.43,1581.25,328.99,21315.56,27.88,0,0,19.61,1.23,0.3,397.45,2243.99,0.15,2.54,47.04,0,0,1.34,0,11.7,17.12,0.11,31.95,104.59,121.33,0,0,160.87,1.09,16.16
"25","Slovakia","Pears",0.04975,5453014,4561000,"Import_kg",521,"Pears",123,87.16,762.16,503.44,21236.5,7.22,0,0,19.45,3.18,0.38,181.57,3306.44,0.14,5.76,22,0,0,0.35,0,8.57,11.77,0,35.31,137.86,154.67,0,0,142.66,0.48,19.33
"26","Slovakia","Peas, dry",0.0623254069051863,5453014,942000,"Import_kg",187,"Cow peas; dry",34,91.74,6005.48,410.12,15601.81,0.27,0,0.11,26.77,2.14,1.16,276.42,2940.33,0.24,7.15,112.54,0.15,0,0.75,0,41.12,56.23,0.35,91.74,29.38,150.23,0,0,3.23,0.97,0
"27","Slovakia","Peas, green",0.0753287037037037,5453014,336000,"Import_kg",417,"Peas; green",93,5.25,642.63,31.9,918.86,2.6,0,0,2.99,0.16,0,17.74,266.66,0,0.83,10.99,0,0,0.15,0,1.87,2.48,0,4.91,2.62,11.62,0,0,5.79,0.11,3.33
"28","Slovakia","Plums and sloes",0.0704444444444444,5453014,2702000,"Import_kg",536,"Plums and sloes",129,37.84,518.17,206.8,8710.9,10.92,0,0,12.88,0.57,0,138.34,586.17,0,0.47,17.3,0,0,0.43,0,1.34,4.92,0,23.56,187.81,61.2,0,0,58.79,0.36,4.57
