"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Slovakia","Alfalfa meal and pellets",0.0651708222811671,5453014,1035000,"Import_kg",862,"Mixed grain",12,101.42,3329.21,722.27,21463.16,0,0,0,7.16,0.97,0.76,100.37,3077.43,0.13,1.59,92.05,0.12,0,1.25,0,9.51,34.52,0.75,127.96,155.08,303.68,0,0,3.13,0.48,0
"2","Slovakia","Almonds shelled",0.0296505238073522,5453014,1351000,"Import_kg",231,"Almonds; with shell",45,497.5,17722.58,42744.97,15087.73,8.69,0,0,202.81,2.61,3.02,657.88,6057.93,0.85,4.03,403.33,0.18,0.64,3.26,0.11,43.53,268.64,1.75,3301.36,28222.02,9746.59,0,0,4.16,2.45,54.31
"3","Slovakia","Almonds, with shell",0.0296505238073522,5453014,184000,"Import_kg",221,"Almonds; with shell",45,67.76,2413.73,5821.67,2054.88,1.18,0,0,27.62,0.36,0.41,89.6,825.06,0.12,0.55,54.93,0,0,0.44,0,5.93,36.59,0.24,449.63,3843.71,1327.44,0,0,0.57,0.33,7.4
"4","Slovakia","Anise, badian, fennel, coriander",0.00195,5453014,1071000,"Import_kg",711,"Anise; badian; fennel; coriander",161,3500.88,159272.82,144340.99,470692.48,105.25,0.24,0.12,8191.33,323.25,46.71,14941.9,240498.38,9.45,745.33,4634.06,3.3,3.04,31.01,5.04,5517.98,3172.7,27.47,8482.69,109654.5,26471.38,0,0,100.33,67.8,0
"5","Slovakia","Apples",0.121111111111111,5453014,69642000,"Production_kg/Import_kg",515,"Apples",119,591.95,3273.37,3106.41,137982.61,153.1,0,0,81.72,7.39,0.67,1084.64,14938.89,0.31,61.43,114.49,0.48,0.3,1.97,0.43,1710.41,49.21,0.37,411.26,89.63,690.7,0,0,891.1,2.71,105.45
"6","Slovakia","Apricots",0.03995,5453014,3009000,"Production_kg/Import_kg",526,"Apricots",125,68.23,1381.24,353.2,15724.02,9.23,0.18,0,23.48,1.1,0.3,402.86,1887.69,0.11,1.83,32.92,0,0.15,1.08,0,3.87,13.81,0.11,39.37,234.81,108.43,0,0,118.24,1.09,11.74
"7","Slovakia","Apricots, dry",0.03995,5453014,307000,"Import_kg",527,"Apricots",125,6.96,140.92,36.04,1604.28,0.94,0,0,2.4,0.11,0,41.1,192.6,0,0.19,3.36,0,0,0.11,0,0.39,1.41,0,4.02,23.96,11.06,0,0,12.06,0.11,1.2
"8","Slovakia","Artichokes",0.1,5453014,2000,"Import_kg",366,"Artichokes",79,0,0.96,0,4.26,0,0,0,0,0,0,0.13,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Slovakia","Asparagus",0.0845294117647059,5453014,1453000,"Production_kg/Import_kg",367,"Asparagus",80,6.38,679.99,63.95,959.86,6.84,0,0,6.62,0.34,0.17,68.33,767.05,0,1.46,26.43,0,0,0.28,0,5.04,4.41,0,14.19,1.58,22.07,0,0,29.26,0.21,14.82
"10","Slovakia","Avocados",0.048,5453014,3126000,"Import_kg",572,"Avocados",141,173.98,1920.95,16824.68,5183.23,15.28,0,0,24.56,1.15,0.58,609.13,5234.99,0.25,7.88,202.73,0,0.17,1.65,0.36,16.96,36.13,0.17,2856.15,9485.38,1987.3,0,0,91.83,1.4,45.38
"11","Slovakia","Bambara beans",0.028,5453014,20000,"Import_kg",203,"Bambara beans",37,4.48,232.35,73.74,709.1,0,0,0,0.65,0,0,16.44,62.87,0,0.37,3.38,0,0,0,0,0,2.49,0,0,0,0,0,0,0.22,0,0.33
"12","Slovakia","Bananas",0.04075,5453014,80767000,"Import_kg",486,"Bananas",117,3661.52,44188.98,8450.7,848497.01,386.97,1.33,0.68,358.09,29.04,6,12350.74,56833.64,3.35,230.69,921.89,1.94,1.84,30.95,12.69,356.2,1029.83,9.81,4034.53,945.02,2053.61,0,0,2647.64,30.13,1290.32
"13","Slovakia","Barley",0.04775,5453014,723598000,"Production_kg/Import_kg",44,"Barley",3,95637.04,2541249.66,386718.74,20719373.82,185.27,0,5.84,15492.88,2161.62,702.53,71559.06,2301932.09,177.67,5947.04,81277.96,73.09,35.95,1485.98,80.31,10504.59,21583.51,395.08,100877.43,61693.63,231767.97,0,0,3263.17,509.11,0
"14","Slovakia","Barley, pearled",0.04775,5453014,1436000,"Import_kg",46,"Barley",3,189.79,5043.18,767.45,41118.16,0.37,0,0,30.75,4.29,1.39,142.01,4568.25,0.35,11.8,161.3,0.15,0,2.95,0.16,20.85,42.83,0.78,200.19,122.43,459.95,0,0,6.48,1.01,0
