"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Slovenia","Almonds, with shell",0.0296505238073522,2077837,60000,"Import_kg",221,"Almonds; with shell",45,57.98,2065.61,4982.03,1758.51,1.01,0,0,23.64,0.3,0.35,76.68,706.07,0,0.47,47.01,0,0,0.38,0,5.07,31.31,0.2,384.78,3289.34,1135.99,0,0,0.48,0.29,6.33
"2","Slovenia","Anise, badian, fennel, coriander",0.00195,2077837,362000,"Import_kg",711,"Anise; badian; fennel; coriander",161,3105.43,141281.7,128036.54,417524.05,93.36,0.21,0.1,7266.06,286.74,41.43,13254.09,213332.19,8.38,661.14,4110.61,2.93,2.7,27.5,4.47,4894.68,2814.32,24.37,7524.5,97268.16,23481.23,0,0,89,60.14,0
"3","Slovenia","Apples",0.121111111111111,2077837,76311000,"Production_kg/Import_kg",515,"Apples",119,1702.26,9413.19,8933.05,396794.28,440.27,0.17,0,235.01,21.26,1.94,3119.08,42959.51,0.88,176.64,329.24,1.38,0.86,5.68,1.22,4918.61,141.51,1.06,1182.65,257.76,1986.25,0,0,2562.52,7.8,303.24
"4","Slovenia","Apricots",0.03995,2077837,3611000,"Production_kg/Import_kg",526,"Apricots",125,214.89,4350.1,1112.38,49521.54,29.07,0.56,0,73.95,3.46,0.96,1268.78,5945.14,0.34,5.76,103.68,0.1,0.49,3.39,0.23,12.18,43.5,0.33,123.98,739.52,341.48,0,0,372.4,3.44,36.98
"5","Slovenia","Artichokes",0.1,2077837,11000,"Import_kg",366,"Artichokes",79,0.29,13.85,0.93,61.42,0,0,0,0.44,0,0,1.81,13.06,0,0.56,0.52,0,0,0,0,0.18,0.32,0,0.23,0,0.33,0,0,0.46,0,0.32
"6","Slovenia","Asparagus",0.0845294117647059,2077837,1126000,"Production_kg/Import_kg",367,"Asparagus",80,12.98,1382.92,130.05,1952.12,13.9,0,0,13.46,0.7,0.34,138.96,1559.99,0,2.96,53.74,0,0,0.58,0,10.26,8.98,0.1,28.85,3.21,44.88,0,0,59.51,0.42,30.13
"7","Slovenia","Avocados",0.048,2077837,3823000,"Import_kg",572,"Avocados",141,558.4,6165.35,53999.19,16635.71,49.03,0.13,0.22,78.83,3.68,1.85,1955.02,16801.81,0.81,25.28,650.67,0.24,0.54,5.31,1.17,54.43,115.95,0.54,9166.89,30443.54,6378.3,0,0,294.74,4.5,145.66
"8","Slovenia","Bananas",0.04075,2077837,91774000,"Import_kg",486,"Bananas",117,10918.72,131772.52,25200.17,2530236.77,1153.94,3.98,2.02,1067.82,86.59,17.88,36830.19,169479.17,10,687.92,2749.11,5.8,5.48,92.29,37.83,1062.2,3070.99,29.26,12031.05,2818.08,6123.91,0,0,7895.31,89.84,3847.77
"9","Slovenia","Barley",0.04775,2077837,127204000,"Production_kg/Import_kg",44,"Barley",3,44121.95,1172400.19,178411.88,9558839.59,85.47,0,2.69,7147.61,997.26,324.11,33013.62,1061991.54,81.97,2743.66,37497.42,33.72,16.58,685.56,37.05,4846.27,9957.51,182.27,46539.59,28462.23,106925.67,0,0,1505.46,234.88,0
"10","Slovenia","Beans, dry",0.1145,2077837,1744000,"Import_kg",176,"Beans",30,241.55,15608.06,1006.41,42517.17,1.33,0,0.3,102.57,5.35,2.14,857.13,9091.72,0.64,11.45,283.51,0.33,0.16,1.47,0.28,80.93,126.74,0.95,226.59,100.62,348.6,0,0,8.59,2.8,0
"11","Slovenia","Beans, green",0.0843965476190476,2077837,2370000,"Production_kg/Import_kg",414,"Beans; green",92,64.48,6162.45,735.78,10112.71,30.97,0,0,85.09,2.94,0.63,393.37,3028.25,0,22.41,144.08,0.17,1.35,1.18,0.19,10.95,40.54,0.12,65.77,24.78,127.04,0,0,112.33,1.54,16.76
"12","Slovenia","Berries nes",0.109406559397488,2077837,620000,"Production_kg",558,"Berries; nes",138,15.44,253.84,122.92,3498.34,12.63,0,0,9.99,0.42,0.12,45.09,785.47,0,1.65,6.14,0,0,0.13,0,2.66,4.43,0.26,4.91,11.45,59.52,0,0,23.41,0.14,0.22
"13","Slovenia","Blueberries",0.134028846153846,2077837,983000,"Production_kg/Import_kg",552,"Blueberries",136,20.12,261.2,116.48,5114.61,3.42,0,0,2.12,0,0,27.18,847.14,0,0.35,4.24,0,0,0.15,0,2.12,2.12,0.12,9.88,16.59,51.53,0,0,29.72,0,1.76
"14","Slovenia","Broad beans, horse beans, dry",0.052,2077837,15000,"Import_kg",181,"Broad beans; horse beans; dry",32,4.64,333.16,22.05,763.53,0,0,0,1.38,0.11,0,16.56,268.86,0,0.25,5.3,0,0,0,0,1.33,2.66,0,3.5,4.19,8.38,0,0,0.14,0,0.37
"15","Slovenia","Buckwheat",0.0421111111111111,2077837,1163000,"Import_kg",89,"Buckwheat",9,438.28,14138.75,3588.68,91577.92,0,0,0,55.82,9.4,3.56,546.28,12361.03,0.84,8.04,466.53,0.53,0.38,7.59,0.28,0,304.37,1.73,984.89,1382.31,1380.98,0,0,17.73,2.92,0
"16","Slovenia","Cabbages and other brassicas",0.08324,2077837,31364000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,487.18,41184.75,5526.97,79473.1,1112.05,4.18,1.13,2225.36,31.38,6.19,5178.28,40019.34,2.81,712.79,1278.48,1.1,1.86,14.05,3.27,447.1,442.77,4.6,622.13,325.01,1592.98,0,0,1647.34,20.06,500.49
"17","Slovenia","Carrots and turnips",0.0830718954248366,2077837,16278000,"Production_kg/Import_kg",426,"Carrots and turnips",96,285.12,12348.74,2208.17,55327.64,258.16,5.74,0.21,625.56,14.63,2.44,2744.59,19150.68,0.55,445.16,1123.45,0.48,0.88,7.31,1.72,986.43,114.74,1.35,304.92,138.31,713.58,0,0,841.66,11.83,216.9
"18","Slovenia","Cashew nuts, with shell",0.0289438420348059,2077837,3000,"Import_kg",217,"Cashew nuts; with shell",43,2.71,91.66,209.94,120.62,0,0,0,0.2,0,0,3.24,13.27,0,0.46,2.35,0,0,0,0,0,1.51,0,38.82,118.71,39.13,0,0,0,0,0.14
"19","Slovenia","Cauliflowers and broccoli",0.103835520801038,2077837,4332000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,57.55,6219.55,649.2,8169.94,162.37,1.09,0.12,88.02,2.18,0.84,594.9,3814.91,0,60.1,218.08,0.22,0.22,1.44,0.36,127.16,36.14,0.37,124.99,37.65,64.75,0,0,173.91,2.17,96.38
"20","Slovenia","Cereals nes",0.0486257263475995,2077837,3690000,"Production_kg",108,"Cereals; nes",13,1271.86,47566.89,16809.42,268401.18,3.93,0,0,530.25,80.99,13.88,1559.47,11530.36,2.96,28.49,1390.09,1.31,0.97,5.32,1.76,47.84,672,33.75,1639.82,2151.12,3911.45,0,0,39.86,14.31,0
"21","Slovenia","Cherries",0.1289,2077837,1411000,"Production_kg/Import_kg",531,"Cherries",127,24.02,573.36,91.32,5485.96,6.6,0,0,14.54,0.27,0,130.91,553.16,0,0.79,12.33,0,0,0.36,0,3.21,5.8,0,20.02,24.76,27.39,0,0,43.4,0.36,4.21
"22","Slovenia","Cherries, sour",0.028,2077837,1484000,"Production_kg/Import_kg",530,"Sour cherries",126,120.73,2805.8,680.19,28381.12,25.51,0.13,0,34.86,1.04,0.42,441.28,3060.88,0.27,14.03,42.09,0,0,1.02,0.11,15.56,22.96,0.29,173.45,209.16,229.57,0,0,221.94,1.02,28.06
"23","Slovenia","Chestnut",0.059,2077837,1004000,"Production_kg/Import_kg",220,"Chestnuts",44,214.57,4174.04,2388.67,42643.99,14.47,0,0,30.58,1.36,0.38,535.2,10073.38,0.53,15.26,103.6,0.17,0.17,0.88,0.54,0,60.6,1.06,685.48,1257.13,1439.76,0,0,27.8,1.68,16.38
"24","Slovenia","Chick peas",0.04575,2077837,215000,"Import_kg",191,"Chick peas",33,79.67,4397.62,1138.51,13189.41,0.47,0,0,30.84,1.57,0.78,182.97,1726.43,0.21,4.54,70.2,0,0,0.4,0.12,33.17,22.39,2.55,139.43,308.38,601.73,0,0,2.37,0.67,0
"25","Slovenia","Chillies and peppers, dry",4e-04,2077837,1989000,"Import_kg",689,"Pimento",156,57545.18,2452428.64,2136093.21,9820693.95,18052.05,162.46,13.1,49648.56,1746.97,632.38,436025.3,5317498.44,157.89,108587.53,44492.6,66.8,104.23,1320.28,412.51,12324.54,36734.29,521.14,634175.11,407228.17,1475434.31,0,0,6707.5,1432.04,0
"26","Slovenia","Chillies and peppers, green",0.0664142191142191,2077837,26573000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,754.66,34285.15,12796.74,133018.44,2220.61,2.4,0.57,532.29,31.3,6,5428.79,61901.9,2.99,136.59,1961.78,2.43,2.31,22.86,6.83,155.49,694.7,4.55,802.98,343.57,3513.73,0,0,1699.71,17.02,318.8
"27","Slovenia","Cinnamon (cannella)",0.00115555555555556,2077837,120000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Slovenia","Cloves",0.0013,2077837,9000,"Import_kg",698,"Cloves",157,79.85,1440.48,3109.74,15052.27,0,0,0,186.81,2.87,0.77,339.85,7146.86,0.12,92.29,27.1,0,0,0.26,0.13,12.46,86.3,20.03,1316.75,464.13,1201.47,0,0,11.09,1.4,0
