"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Slovenia","Apples",0.121111111111111,2077837,76311000,"Production_kg/Import_kg",515,"Apples",119,1702.26,9413.19,8933.05,396794.28,440.27,0.17,0,235.01,21.26,1.94,3119.08,42959.51,0.88,176.64,329.24,1.38,0.86,5.68,1.22,4918.61,141.51,1.06,1182.65,257.76,1986.25,0,0,2562.52,7.8,303.24
"2","Slovenia","Apricots",0.03995,2077837,3611000,"Production_kg/Import_kg",526,"Apricots",125,214.89,4350.1,1112.38,49521.54,29.07,0.56,0,73.95,3.46,0.96,1268.78,5945.14,0.34,5.76,103.68,0.1,0.49,3.39,0.23,12.18,43.5,0.33,123.98,739.52,341.48,0,0,372.4,3.44,36.98
"3","Slovenia","Asparagus",0.0845294117647059,2077837,1126000,"Production_kg/Import_kg",367,"Asparagus",80,12.98,1382.92,130.05,1952.12,13.9,0,0,13.46,0.7,0.34,138.96,1559.99,0,2.96,53.74,0,0,0.58,0,10.26,8.98,0.1,28.85,3.21,44.88,0,0,59.51,0.42,30.13
"4","Slovenia","Barley",0.04775,2077837,127204000,"Production_kg/Import_kg",44,"Barley",3,44121.95,1172400.19,178411.88,9558839.59,85.47,0,2.69,7147.61,997.26,324.11,33013.62,1061991.54,81.97,2743.66,37497.42,33.72,16.58,685.56,37.05,4846.27,9957.51,182.27,46539.59,28462.23,106925.67,0,0,1505.46,234.88,0
"5","Slovenia","Beans, green",0.0843965476190476,2077837,2370000,"Production_kg/Import_kg",414,"Beans; green",92,64.48,6162.45,735.78,10112.71,30.97,0,0,85.09,2.94,0.63,393.37,3028.25,0,22.41,144.08,0.17,1.35,1.18,0.19,10.95,40.54,0.12,65.77,24.78,127.04,0,0,112.33,1.54,16.76
"6","Slovenia","Berries nes",0.109406559397488,2077837,620000,"Production_kg",558,"Berries; nes",138,15.44,253.84,122.92,3498.34,12.63,0,0,9.99,0.42,0.12,45.09,785.47,0,1.65,6.14,0,0,0.13,0,2.66,4.43,0.26,4.91,11.45,59.52,0,0,23.41,0.14,0.22
"7","Slovenia","Blueberries",0.134028846153846,2077837,983000,"Production_kg/Import_kg",552,"Blueberries",136,20.12,261.2,116.48,5114.61,3.42,0,0,2.12,0,0,27.18,847.14,0,0.35,4.24,0,0,0.15,0,2.12,2.12,0.12,9.88,16.59,51.53,0,0,29.72,0,1.76
"8","Slovenia","Cabbages and other brassicas",0.08324,2077837,31364000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,487.18,41184.75,5526.97,79473.1,1112.05,4.18,1.13,2225.36,31.38,6.19,5178.28,40019.34,2.81,712.79,1278.48,1.1,1.86,14.05,3.27,447.1,442.77,4.6,622.13,325.01,1592.98,0,0,1647.34,20.06,500.49
"9","Slovenia","Carrots and turnips",0.0830718954248366,2077837,16278000,"Production_kg/Import_kg",426,"Carrots and turnips",96,285.12,12348.74,2208.17,55327.64,258.16,5.74,0.21,625.56,14.63,2.44,2744.59,19150.68,0.55,445.16,1123.45,0.48,0.88,7.31,1.72,986.43,114.74,1.35,304.92,138.31,713.58,0,0,841.66,11.83,216.9
"10","Slovenia","Cauliflowers and broccoli",0.103835520801038,2077837,4332000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,57.55,6219.55,649.2,8169.94,162.37,1.09,0.12,88.02,2.18,0.84,594.9,3814.91,0,60.1,218.08,0.22,0.22,1.44,0.36,127.16,36.14,0.37,124.99,37.65,64.75,0,0,173.91,2.17,96.38
