"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Slovenia","Apples",0.121111111111111,2077837,54270000,"Production_kg",515,"Apples",119,1210.59,6694.37,6352.91,282187.7,313.11,0.12,0,167.13,15.12,1.38,2218.19,30551.46,0.63,125.62,234.14,0.98,0.61,4.04,0.87,3497.96,100.64,0.75,841.06,183.31,1412.56,0,0,1822.38,5.55,215.66
"2","Slovenia","Apricots",0.03995,2077837,920000,"Production_kg",526,"Apricots",125,54.75,1108.31,283.41,12616.95,7.41,0.14,0,18.84,0.88,0.24,323.26,1514.68,0,1.47,26.41,0,0.12,0.86,0,3.1,11.08,0,31.59,188.41,87,0,0,94.88,0.88,9.42
"3","Slovenia","Asparagus",0.0845294117647059,2077837,580000,"Production_kg",367,"Asparagus",80,6.69,712.34,66.99,1005.53,7.16,0,0,6.93,0.36,0.18,71.58,803.55,0,1.53,27.68,0,0,0.3,0,5.28,4.62,0,14.86,1.65,23.12,0,0,30.66,0.22,15.52
"4","Slovenia","Barley",0.04775,2077837,102480000,"Production_kg",44,"Barley",3,35546.19,944526.68,143734.86,7700936.14,68.86,0,2.17,5758.36,803.43,261.11,26596.93,855577.6,66.04,2210.39,30209.23,27.17,13.36,552.31,29.85,3904.33,8022.12,146.84,37493.92,22930.17,86143.06,0,0,1212.85,189.23,0
"5","Slovenia","Beans, green",0.0843965476190476,2077837,1980000,"Production_kg",414,"Beans; green",92,53.87,5148.38,614.71,8448.59,25.88,0,0,71.09,2.45,0.52,328.64,2529.93,0,18.72,120.37,0.14,1.12,0.99,0.16,9.15,33.87,0,54.95,20.7,106.13,0,0,93.84,1.28,14
"6","Slovenia","Berries nes",0.109406559397488,2077837,620000,"Production_kg",558,"Berries; nes",138,15.44,253.84,122.92,3498.34,12.63,0,0,9.99,0.42,0.12,45.09,785.47,0,1.65,6.14,0,0,0.13,0,2.66,4.43,0.26,4.91,11.45,59.52,0,0,23.41,0.14,0.22
"7","Slovenia","Blueberries",0.134028846153846,2077837,290000,"Production_kg",552,"Blueberries",136,5.94,77.06,34.36,1508.89,1.01,0,0,0.62,0,0,8.02,249.92,0,0.1,1.25,0,0,0,0,0.62,0.62,0,2.92,4.89,15.2,0,0,8.77,0,0.52
"8","Slovenia","Cabbages and other brassicas",0.08324,2077837,23790000,"Production_kg",358,"Cabbages and other brassicas",78,369.53,31239.17,4192.28,60281.37,843.5,3.17,0.86,1687.96,23.81,4.69,3927.79,30355.18,2.13,540.66,969.75,0.83,1.41,10.66,2.48,339.13,335.84,3.49,471.89,246.53,1208.3,0,0,1249.53,15.21,379.63
"9","Slovenia","Carrots and turnips",0.0830718954248366,2077837,5670000,"Production_kg",426,"Carrots and turnips",96,99.31,4301.35,769.16,19271.88,89.92,2,0,217.9,5.1,0.85,956.01,6670.62,0.19,155.06,391.32,0.17,0.31,2.55,0.6,343.6,39.97,0.47,106.21,48.18,248.55,0,0,293.17,4.12,75.55
"10","Slovenia","Cauliflowers and broccoli",0.103835520801038,2077837,1850000,"Production_kg",393,"Cauliflowers and broccoli",84,24.58,2656.09,277.25,3489.01,69.34,0.46,0,37.59,0.93,0.36,254.05,1629.18,0,25.67,93.13,0,0,0.61,0.15,54.31,15.43,0.16,53.38,16.08,27.65,0,0,74.27,0.93,41.16
