"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Somalia","Alfalfa meal and pellets",0.0651708222811671,15008226,104000,"Import_kg",862,"Mixed grain",12,3.7,121.55,26.37,783.6,0,0,0,0.26,0,0,3.66,112.35,0,0,3.36,0,0,0,0,0.35,1.26,0,4.67,5.66,11.09,0,0,0.11,0,0
"2","Somalia","Almonds shelled",0.0296505238073522,15008226,1000,"Import_kg",231,"Almonds; with shell",45,0.13,4.77,11.5,4.06,0,0,0,0,0,0,0.18,1.63,0,0,0.11,0,0,0,0,0,0,0,0.89,7.59,2.62,0,0,0,0,0
"3","Somalia","Anise, badian, fennel, coriander",0.00195,15008226,1180000,"Import_kg",711,"Anise; badian; fennel; coriander",161,1401.45,63758.99,57781.59,188424.36,42.13,0,0,3279.1,129.4,18.7,5981.44,96274.65,3.78,298.37,1855.08,1.32,1.22,12.41,2.02,2208.92,1270.07,11,3395.73,43896.13,10596.84,0,0,40.17,27.14,0
"4","Somalia","Apples",0.121111111111111,15008226,2292000,"Import_kg",515,"Apples",119,7.08,39.14,37.15,1649.97,1.83,0,0,0.98,0,0,12.97,178.64,0,0.73,1.37,0,0,0,0,20.45,0.59,0,4.92,1.07,8.26,0,0,10.66,0,1.26
"5","Somalia","Apricots, dry",0.03995,15008226,6000,"Import_kg",527,"Apricots",125,0,1,0.26,11.39,0,0,0,0,0,0,0.29,1.37,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0
"6","Somalia","Avocados",0.048,15008226,1000,"Import_kg",572,"Avocados",141,0,0.22,1.96,0.6,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0.33,1.1,0.23,0,0,0,0,0
"7","Somalia","Bananas",0.04075,15008226,19743000,"Production_kg/Import_kg",486,"Bananas",117,325.2,3924.65,750.55,75359.28,34.37,0.12,0,31.8,2.58,0.53,1096.93,5047.68,0.3,20.49,81.88,0.17,0.16,2.75,1.13,31.64,91.46,0.87,358.33,83.93,182.39,0,0,235.15,2.68,114.6
"8","Somalia","Barley",0.04775,15008226,19000,"Import_kg",44,"Barley",3,0.91,24.24,3.69,197.67,0,0,0,0.15,0,0,0.68,21.96,0,0,0.78,0,0,0,0,0.1,0.21,0,0.96,0.59,2.21,0,0,0,0,0
"9","Somalia","Beans, dry",0.1145,15008226,30345000,"Production_kg/Import_kg",176,"Beans",30,581.88,37598.61,2424.37,102420.55,3.2,0,0.72,247.07,12.88,5.16,2064.77,21901.24,1.54,27.58,682.95,0.8,0.39,3.53,0.68,194.95,305.3,2.3,545.84,242.38,839.76,0,0,20.7,6.75,0
"10","Somalia","Beans, green",0.0843965476190476,15008226,2e+05,"Import_kg",414,"Beans; green",92,0.75,72,8.6,118.15,0.36,0,0,0.99,0,0,4.6,35.38,0,0.26,1.68,0,0,0,0,0.13,0.47,0,0.77,0.29,1.48,0,0,1.31,0,0.2
"11","Somalia","Beet pulp",0.125770747489689,15008226,36000,"Import_kg",169,"Roots and tubers; nes",23,0.2,3.7,1.46,41.37,0,0,0,0,0,0,0.93,3.39,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0
"12","Somalia","Bran, wheat",0.0374838709677419,15008226,30000,"Import_kg",17,"Wheat Flour",222,1.84,61.18,8.07,379.41,0,0,0,0.21,0,0,0.92,7,0,0.17,0.99,0,0,0,0,0,0.24,0,0.83,0.46,2.2,0,0,0,0,0
"13","Somalia","Broad beans, horse beans, dry",0.052,15008226,67000,"Import_kg",181,"Broad beans; horse beans; dry",32,2.87,206.02,13.64,472.16,0,0,0,0.85,0,0,10.24,166.26,0,0.16,3.27,0,0,0,0,0.82,1.64,0,2.16,2.59,5.18,0,0,0,0,0.23
"14","Somalia","Cabbages and other brassicas",0.08324,15008226,275000,"Import_kg",358,"Cabbages and other brassicas",78,0.59,49.99,6.71,96.47,1.35,0,0,2.7,0,0,6.29,48.58,0,0.87,1.55,0,0,0,0,0.54,0.54,0,0.76,0.39,1.93,0,0,2,0,0.61
"15","Somalia","Cake, cottonseed",0.014,15008226,40000,"Import_kg",332,"Cottonseed Oil",67,17.08,0,1903.08,0.38,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489.26,355.52,998.98,0,0,0,0,0
"16","Somalia","Cake, groundnuts",0.014,15008226,7000,"Import_kg",245,"Groundnut Oil",64,2.99,0,333.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.86,145.81,114.38,0,0,0,0,0
"17","Somalia","Cake, rapeseed",0.0137773983739837,15008226,49000,"Import_kg",272,"Rape and Mustard Oil",66,21.22,0,2369.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.85,1401.8,657.77,0,0,0,0,0
