"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Sri Lanka","Avocados",0.048,21228763,22446000,"Production_kg",572,"Avocados",141,320.9,3543.06,31031.92,9560.11,28.18,0,0.13,45.3,2.12,1.06,1123.5,9655.56,0.46,14.53,373.92,0.14,0.31,3.05,0.67,31.28,66.63,0.31,5267.97,17495.11,3665.44,0,0,169.38,2.59,83.71
"2","Sri Lanka","Beans, dry",0.1145,21228763,30917000,"Production_kg/Import_kg",176,"Beans",30,419.13,27082.37,1746.28,73773.77,2.31,0,0.52,177.97,9.27,3.71,1487.26,15775.51,1.11,19.87,491.93,0.57,0.28,2.54,0.49,140.42,219.91,1.66,393.17,174.59,604.88,0,0,14.91,4.86,0
"3","Sri Lanka","Beans, green",0.0843965476190476,21228763,65450000,"Production_kg",414,"Beans; green",92,174.29,16657.18,1988.84,27334.78,83.73,0.11,0.23,229.99,7.94,1.69,1063.29,8185.41,0.19,60.58,389.44,0.46,3.64,3.19,0.51,29.59,109.59,0.31,177.78,66.97,343.39,0,0,303.63,4.15,45.3
"4","Sri Lanka","Cabbages and other brassicas",0.08324,21228763,116577000,"Production_kg",358,"Cabbages and other brassicas",78,177.24,14983.2,2010.74,28912.68,404.57,1.52,0.41,809.6,11.42,2.25,1883.88,14559.22,1.02,259.31,465.12,0.4,0.68,5.11,1.19,162.66,161.08,1.67,226.33,118.24,579.53,0,0,599.31,7.3,182.08
"5","Sri Lanka","Carrots and turnips",0.0830718954248366,21228763,80767000,"Production_kg",426,"Carrots and turnips",96,138.47,5997.11,1072.39,26869.64,125.37,2.79,0,303.8,7.1,1.18,1332.9,9300.45,0.27,216.19,545.6,0.24,0.43,3.55,0.84,479.06,55.72,0.65,148.08,67.17,346.55,0,0,408.75,5.75,105.34
"6","Sri Lanka","Cashew nuts, with shell",0.0289438420348059,21228763,35201000,"Production_kg/Import_kg",217,"Cashew nuts; with shell",43,3117.85,105266.06,241111.91,138532.89,9.36,0,0.2,230.79,34.68,29.6,3726.67,15238.98,12.12,529.54,2695.47,3.06,0.87,7.48,2.49,0,1733.96,7.61,44588.33,136331.54,44943.52,0,0,56.96,13.08,160.41
"7","Sri Lanka","Cassava",0.108277777777778,21228763,281075000,"Production_kg",125,"Cassava",17,1700.77,22344.77,5804.26,379605.09,393.74,0.13,0.31,476.73,14.89,4.16,4597.76,18097.56,1.22,112.5,481.9,0.76,0.68,7.02,1.08,289.81,256.79,4.7,1063.84,1069.96,538.04,0,0,768.27,17.19,256.79
"8","Sri Lanka","Chillies and peppers, green",0.0664142191142191,21228763,59121000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,164.34,7466.1,2786.68,28966.75,483.57,0.52,0.12,115.91,6.82,1.31,1182.2,13480.06,0.65,29.75,427.21,0.53,0.5,4.98,1.49,33.86,151.28,0.99,174.86,74.82,765.17,0,0,370.14,3.71,69.42
"9","Sri Lanka","Cinnamon (cannella)",0.00115555555555556,21228763,24915000,"Production_kg/Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Sri Lanka","Cloves",0.0013,21228763,4451000,"Production_kg/Import_kg",698,"Cloves",157,3865.42,69728.17,150531.13,728624.44,1.61,0.13,0.4,9042.62,138.86,37.42,16450.9,345952.8,5.94,4467.55,1311.77,1.27,1.77,12.58,6.31,603.2,4177.24,969.75,63739.18,22466.77,58158.78,0,0,536.91,67.9,0
