"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Suriname","Anise, badian, fennel, coriander",0.00195,575990,108000,"Import_kg",711,"Anise; badian; fennel; coriander",161,3342.21,152053.92,137798.87,449358.76,100.48,0.23,0.11,7820.07,308.6,44.59,14264.67,229598,9.02,711.55,4424.03,3.15,2.91,29.6,4.81,5267.88,3028.9,26.23,8098.22,104684.51,25271.59,0,0,95.79,64.73,0
"2","Suriname","Apples",0.121111111111111,575990,565000,"Import_kg",515,"Apples",119,45.47,251.42,238.59,10597.98,11.76,0,0,6.28,0.57,0,83.31,1147.41,0,4.72,8.79,0,0,0.15,0,131.37,3.78,0,31.59,6.88,53.05,0,0,68.44,0.21,8.1
"3","Suriname","Bananas",0.04075,575990,48435000,"Production_kg",486,"Bananas",117,20787.77,250877.1,47977.73,4817229.5,2196.95,7.58,3.85,2032.99,164.85,34.05,70119.71,322665.48,19.04,1309.71,5233.93,11.03,10.43,175.7,72.02,2022.29,5846.75,55.72,22905.5,5365.25,11659.1,0,0,15031.61,171.05,7325.63
"4","Suriname","Beans, dry",0.1145,575990,355000,"Import_kg",176,"Beans",30,177.37,11461.13,739.02,31220.71,0.98,0,0.22,75.31,3.93,1.57,629.4,6676.12,0.47,8.41,208.18,0.24,0.12,1.08,0.21,59.43,93.06,0.7,166.39,73.88,255.98,0,0,6.31,2.06,0
"5","Suriname","Beans, green",0.0843965476190476,575990,2576000,"Production_kg",414,"Beans; green",92,252.82,24162.81,2884.99,39651.68,121.45,0.16,0.34,333.63,11.51,2.46,1542.4,11873.71,0.27,87.88,564.92,0.67,5.28,4.63,0.74,42.92,158.97,0.46,257.89,97.15,498.12,0,0,440.44,6.02,65.71
"6","Suriname","Cabbages and other brassicas",0.08324,575990,1118000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,62.65,5295.94,710.71,10219.44,143,0.54,0.15,286.16,4.04,0.8,665.87,5146.08,0.36,91.66,164.4,0.14,0.24,1.81,0.42,57.49,56.94,0.59,80,41.79,204.84,0,0,211.83,2.58,64.36
"7","Suriname","Carrots and turnips",0.0830718954248366,575990,157000,"Import_kg",426,"Carrots and turnips",96,9.92,429.65,76.83,1925.03,8.98,0.2,0,21.77,0.51,0,95.49,666.31,0,15.49,39.09,0,0,0.25,0,34.32,3.99,0,10.61,4.81,24.83,0,0,29.28,0.41,7.55
"8","Suriname","Cassava",0.108277777777778,575990,7783000,"Production_kg",125,"Cassava",17,1735.72,22803.97,5923.54,387406.21,401.84,0.13,0.32,486.52,15.19,4.24,4692.24,18469.47,1.25,114.81,491.8,0.78,0.69,7.16,1.1,295.76,262.07,4.79,1085.71,1091.95,549.09,0,0,784.05,17.54,262.07
"9","Suriname","Cauliflowers and broccoli",0.103835520801038,575990,87000,"Import_kg",393,"Cauliflowers and broccoli",84,4.17,450.6,47.03,591.9,11.76,0,0,6.38,0.16,0,43.1,276.38,0,4.35,15.8,0,0,0.1,0,9.21,2.62,0,9.06,2.73,4.69,0,0,12.6,0.16,6.98
"10","Suriname","Cherries",0.1289,575990,1244000,"Production_kg/Import_kg",531,"Cherries",127,76.38,1823.54,290.43,17447.86,20.98,0,0,46.24,0.85,0.12,416.37,1759.31,0.1,2.51,39.21,0,0,1.16,0,10.22,18.43,0.12,63.67,78.75,87.13,0,0,138.02,1.14,13.4
"11","Suriname","Chick peas",0.04575,575990,43000,"Import_kg",191,"Chick peas",33,57.48,3172.81,821.41,9515.95,0.34,0,0,22.25,1.13,0.56,132.01,1245.59,0.15,3.27,50.65,0,0,0.29,0,23.93,16.15,1.84,100.6,222.49,434.14,0,0,1.71,0.48,0
"12","Suriname","Chillies and peppers, dry",4e-04,575990,64000,"Import_kg",689,"Pimento",156,6679.6,284667.64,247948.75,1139945,2095.41,18.86,1.52,5763,202.78,73.4,50611.99,617232.94,18.33,12604.39,5164.51,7.75,12.1,153.25,47.88,1430.58,4263.96,60.49,73612.39,47269.34,171262.23,0,0,778.58,166.23,0
"13","Suriname","Cinnamon (cannella)",0.00115555555555556,575990,7000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Suriname","Cloves",0.0013,575990,2000,"Import_kg",698,"Cloves",157,64.01,1154.76,2492.92,12066.63,0,0,0,149.75,2.3,0.62,272.44,5729.27,0,73.99,21.72,0,0,0.21,0.1,9.99,69.18,16.06,1055.57,372.07,963.16,0,0,8.89,1.12,0
"15","Suriname","Cocoa, beans",0.0115,575990,5000,"Production_kg",661,"Cocoa Beans",153,17.21,1218.02,3121.43,4370.55,0,0,0,8.1,0.38,0.51,75.75,2792.92,0.29,0.62,44.27,0,0,0.14,0,0.91,37.67,0.29,1737.46,1199.64,64.92,0,0,0.29,0.3,0
"16","Suriname","Coconuts",0.04,575990,14071000,"Production_kg/Import_kg",249,"Coconuts - Incl Copra",58,19390.71,204904.64,1718859.03,768482.93,146.51,0,1.19,1139.83,175.25,100.75,19965.82,394260.85,31.26,1293.59,6427.61,3.83,1.94,41.31,2.52,738.98,1770.11,229.02,1822971.23,162607.15,41712.93,0,0,3238.9,62.46,2534.53
