"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Switzerland","Apples",0.121111111111111,8525611,196498000,"Production_kg/Import_kg",515,"Apples",119,1068.27,5907.36,5606.05,249013.19,276.3,0.1,0,147.49,13.35,1.22,1957.42,26959.78,0.55,110.85,206.62,0.87,0.54,3.56,0.77,3086.74,88.81,0.67,742.19,161.76,1246.49,0,0,1608.14,4.9,190.3
"2","Switzerland","Apricots",0.03995,8525611,17098000,"Production_kg/Import_kg",526,"Apricots",125,247.99,5019.99,1283.68,57147.59,33.55,0.64,0,85.34,3.99,1.1,1464.16,6860.66,0.39,6.65,119.64,0.12,0.56,3.92,0.27,14.06,50.2,0.39,143.07,853.4,394.07,0,0,429.75,3.97,42.67
"3","Switzerland","Artichokes",0.1,8525611,1353000,"Production_kg/Import_kg",366,"Artichokes",79,8.81,415.31,27.77,1841.3,1.31,0,0,13.22,0.21,0,54.33,391.46,0,16.84,15.55,0,0,0,0,5.46,9.52,0,6.82,1.19,9.84,0,0,13.68,0.2,9.52
"4","Switzerland","Asparagus",0.0845294117647059,8525611,9194000,"Production_kg/Import_kg",367,"Asparagus",80,25.83,2752.01,258.8,3884.71,27.66,0,0,26.79,1.39,0.69,276.52,3104.36,0.19,5.89,106.95,0.16,0.16,1.15,0.12,20.41,17.86,0.2,57.41,6.38,89.3,0,0,118.43,0.84,59.96
"5","Switzerland","Barley",0.04775,8525611,239352000,"Production_kg/Import_kg",44,"Barley",3,20233.78,537648.13,81817.47,4383564.78,39.2,0,1.23,3277.8,457.33,148.63,15139.64,487016.09,37.59,1258.21,17195.85,15.46,7.61,314.39,16.99,2222.44,4566.39,83.59,21342.48,13052.42,49034.78,0,0,690.38,107.71,0
"6","Switzerland","Beans, green",0.0843965476190476,8525611,11915000,"Production_kg/Import_kg",414,"Beans; green",92,79,7550.66,901.53,12390.8,37.95,0,0.11,104.26,3.6,0.77,481.99,3710.43,0,27.46,176.53,0.21,1.65,1.45,0.23,13.41,49.68,0.14,80.59,30.36,155.66,0,0,137.63,1.88,20.53
"7","Switzerland","Berries nes",0.109406559397488,8525611,155000,"Production_kg",558,"Berries; nes",138,0.94,15.47,7.49,213.15,0.77,0,0,0.61,0,0,2.75,47.86,0,0.1,0.37,0,0,0,0,0.16,0.27,0,0.3,0.7,3.63,0,0,1.43,0,0
"8","Switzerland","Blueberries",0.134028846153846,8525611,561000,"Production_kg",552,"Blueberries",136,2.8,36.33,16.2,711.39,0.48,0,0,0.29,0,0,3.78,117.83,0,0,0.59,0,0,0,0,0.29,0.29,0,1.37,2.31,7.17,0,0,4.13,0,0.25
"9","Switzerland","Broad beans, horse beans, dry",0.052,8525611,3765000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,284.07,20380.14,1348.89,46707.4,2.31,0,0.36,84.16,6.86,2.97,1013.33,16447.16,0.7,15.48,323.96,0.33,0.25,2.24,0.31,81.36,162.63,1.38,214.01,256.05,512.52,0,0,8.85,2.55,22.93
"10","Switzerland","Cabbages and other brassicas",0.08324,8525611,45713000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,173.05,14629.54,1963.27,28230.23,395.02,1.48,0.4,790.49,11.15,2.2,1839.41,14215.56,1,253.19,454.14,0.39,0.66,4.99,1.16,158.82,157.28,1.63,220.99,115.45,565.85,0,0,585.16,7.13,177.78
