"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Tajikistan","Almonds shelled",0.0296505238073522,9100835,23000,"Import_kg",231,"Almonds; with shell",45,5.07,180.78,436.03,153.9,0,0,0,2.07,0,0,6.71,61.79,0,0,4.11,0,0,0,0,0.44,2.74,0,33.68,287.88,99.42,0,0,0,0,0.55
"2","Tajikistan","Almonds, with shell",0.0296505238073522,9100835,3302000,"Production_kg/Import_kg",221,"Almonds; with shell",45,728.56,25953.99,62598.25,22095.36,12.73,0,0,297,3.82,4.43,963.43,8871.59,1.24,5.9,590.66,0.26,0.94,4.78,0.17,63.75,393.41,2.56,4834.71,41329.98,14273.47,0,0,6.09,3.59,79.54
"3","Tajikistan","Anise, badian, fennel, coriander",0.00195,9100835,218000,"Import_kg",711,"Anise; badian; fennel; coriander",161,426.97,19425.14,17604.03,57406.31,12.84,0,0,999.03,39.42,5.7,1822.33,29331.52,1.15,90.9,565.18,0.4,0.37,3.78,0.61,672.98,386.95,3.35,1034.56,13373.62,3228.49,0,0,12.24,8.27,0
"4","Tajikistan","Apples",0.121111111111111,9100835,243208000,"Production_kg/Import_kg",515,"Apples",119,1238.64,6849.48,6500.11,288726.31,320.36,0.12,0,171.01,15.47,1.41,2269.59,31259.38,0.64,128.53,239.57,1,0.62,4.13,0.89,3579.01,102.97,0.77,860.55,187.56,1445.29,0,0,1864.61,5.68,220.65
"5","Tajikistan","Apricots",0.03995,9100835,32521000,"Production_kg/Import_kg",526,"Apricots",125,441.87,8944.7,2287.29,101826.49,59.78,1.15,0,152.06,7.1,1.97,2608.87,12224.43,0.7,11.85,213.18,0.21,1,6.98,0.48,25.05,89.45,0.69,254.92,1520.6,702.16,0,0,765.73,7.07,76.03
"6","Tajikistan","Apricots, dry",0.03995,9100835,87000,"Import_kg",527,"Apricots",125,1.18,23.93,6.12,272.41,0.16,0,0,0.41,0,0,6.98,32.7,0,0,0.57,0,0,0,0,0,0.24,0,0.68,4.07,1.88,0,0,2.05,0,0.2
"7","Tajikistan","Bananas",0.04075,9100835,3160000,"Import_kg",486,"Bananas",117,85.84,1035.91,198.11,19891.1,9.07,0,0,8.39,0.68,0.14,289.54,1332.34,0,5.41,21.61,0,0,0.73,0.3,8.35,24.14,0.23,94.58,22.15,48.14,0,0,62.07,0.71,30.25
"8","Tajikistan","Barley",0.04775,9100835,159494000,"Production_kg/Import_kg",44,"Barley",3,12630.73,335621.44,51073.73,2736396.27,24.47,0,0.77,2046.14,285.48,92.78,9450.77,304014.9,23.46,785.42,10734.34,9.65,4.75,196.25,10.61,1387.34,2850.52,52.18,13322.83,8147.84,30609.47,0,0,430.96,67.24,0
"9","Tajikistan","Beans, dry",0.1145,9100835,31915000,"Production_kg/Import_kg",176,"Beans",30,1009.22,65212.01,4204.89,177640.88,5.56,0,1.25,428.53,22.33,8.94,3581.19,37986.08,2.67,47.84,1184.52,1.38,0.68,6.12,1.19,338.12,529.52,3.99,946.72,420.39,1456.5,0,0,35.91,11.7,0
"10","Tajikistan","Beans, green",0.0843965476190476,9100835,30944000,"Production_kg/Import_kg",414,"Beans; green",92,192.21,18370.11,2193.36,30145.73,92.34,0.12,0.26,253.64,8.75,1.87,1172.63,9027.15,0.2,66.81,429.49,0.51,4.01,3.52,0.56,32.63,120.86,0.35,196.07,73.86,378.7,0,0,334.85,4.58,49.96
"11","Tajikistan","Bran, maize",0.0538461538461538,9100835,260000,"Import_kg",59,"Corn Flour",223,18.86,450.86,174.05,3869.98,0,0,0,1.49,0.2,0,11.3,237.56,0,0.38,10.45,0,0,0,0,0,3.05,0,15.66,56.69,94.11,0,0,0.55,0,0
