"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Timor-Leste","Anise, badian, fennel, coriander",0.00195,1267974,1000,"Import_kg",711,"Anise; badian; fennel; coriander",161,14.06,639.56,579.6,1890.05,0.42,0,0,32.89,1.3,0.19,60,965.71,0,2.99,18.61,0,0,0.12,0,22.16,12.74,0.11,34.06,440.31,106.3,0,0,0.4,0.27,0
"2","Timor-Leste","Apples",0.121111111111111,1267974,794000,"Import_kg",515,"Apples",119,29.02,160.5,152.31,6765.5,7.51,0,0,4.01,0.36,0,53.18,732.48,0,3.01,5.61,0,0,0,0,83.86,2.41,0,20.16,4.39,33.87,0,0,43.69,0.13,5.17
"3","Timor-Leste","Bananas",0.04075,1267974,2000,"Import_kg",486,"Bananas",117,0.39,4.71,0.9,90.36,0,0,0,0,0,0,1.32,6.05,0,0,0,0,0,0,0,0,0.11,0,0.43,0.1,0.22,0,0,0.28,0,0.14
"4","Timor-Leste","Beans, dry",0.1145,1267974,303000,"Import_kg",176,"Beans",30,68.77,4443.72,286.53,12104.91,0.38,0,0,29.2,1.52,0.61,244.03,2588.47,0.18,3.26,80.72,0,0,0.42,0,23.04,36.08,0.27,64.51,28.65,99.25,0,0,2.45,0.8,0
"5","Timor-Leste","Beans, green",0.0843965476190476,1267974,1000,"Import_kg",414,"Beans; green",92,0,4.26,0.51,6.99,0,0,0,0,0,0,0.27,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Timor-Leste","Cabbages and other brassicas",0.08324,1267974,5000,"Import_kg",358,"Cabbages and other brassicas",78,0.13,10.76,1.44,20.76,0.29,0,0,0.58,0,0,1.35,10.45,0,0.19,0.33,0,0,0,0,0.12,0.12,0,0.16,0,0.42,0,0,0.43,0,0.13
"7","Timor-Leste","Carrots and turnips",0.0830718954248366,1267974,45000,"Import_kg",426,"Carrots and turnips",96,1.29,55.94,10,250.64,1.17,0,0,2.83,0,0,12.43,86.76,0,2.02,5.09,0,0,0,0,4.47,0.52,0,1.38,0.63,3.23,0,0,3.81,0,0.98
"8","Timor-Leste","Cauliflowers and broccoli",0.103835520801038,1267974,2000,"Import_kg",393,"Cauliflowers and broccoli",84,0,4.71,0.49,6.18,0.12,0,0,0,0,0,0.45,2.89,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0
"9","Timor-Leste","Chick peas",0.04575,1267974,1000,"Import_kg",191,"Chick peas",33,0.61,33.52,8.68,100.53,0,0,0,0.24,0,0,1.39,13.16,0,0,0.54,0,0,0,0,0.25,0.17,0,1.06,2.35,4.59,0,0,0,0,0
"10","Timor-Leste","Chillies and peppers, dry",4e-04,1267974,1000,"Import_kg",689,"Pimento",156,47.41,2020.52,1759.89,8091.12,14.87,0.13,0,40.9,1.44,0.52,359.23,4381,0.13,89.46,36.66,0,0,1.09,0.34,10.15,30.26,0.43,522.49,335.51,1215.59,0,0,5.53,1.18,0
"11","Timor-Leste","Chillies and peppers, green",0.0664142191142191,1267974,9000,"Import_kg",401,"Chillies and peppers; green",88,0.42,19.03,7.1,73.83,1.23,0,0,0.3,0,0,3.01,34.36,0,0,1.09,0,0,0,0,0,0.39,0,0.45,0.19,1.95,0,0,0.94,0,0.18
"12","Timor-Leste","Coconuts",0.04,1267974,5000,"Import_kg",249,"Coconuts - Incl Copra",58,3.13,33.08,277.45,124.05,0,0,0,0.18,0,0,3.22,63.64,0,0.21,1.04,0,0,0,0,0.12,0.29,0,294.26,26.25,6.73,0,0,0.52,0,0.41
"13","Timor-Leste","Dates",0.0393863636363636,1267974,1000,"Import_kg",577,"Dates",121,0.4,3.52,0.59,102.04,0,0,0,0,0,0,1.21,9.89,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Timor-Leste","Fruit, fresh nes",0.107099201828105,1267974,11000,"Import_kg",619,"Fresh fruit; nes",147,0.73,12.37,6.17,156.11,0.32,0,0,0.43,0,0,2.26,28.13,0,0,0.34,0,0,0,0,0.57,0.26,0,0.99,0.68,0.94,0,0,0.61,0,0.23
"15","Timor-Leste","Garlic",0.00732,1267974,691000,"Import_kg",406,"Garlic",90,908.11,37827.91,1863.51,190191.08,98.9,0,0,382.67,10.35,8.68,3286.91,11818.72,3.59,129.69,1509.86,1.05,0.6,3.99,7.54,172.72,290.35,9.95,666.32,78.17,1783.04,0,0,486.95,10.79,96.78
"16","Timor-Leste","Ginger",0.02852,1267974,1000,"Import_kg",720,"Ginger",162,0.54,13.5,5.81,112.62,0,0,0,0.2,0,0,2.5,16.32,0,0,0.24,0,0,0,0,0.11,0.41,0,7.19,1.32,2.57,0,0,0.13,0,0
"17","Timor-Leste","Grapes",0.1235,1267974,48000,"Import_kg",560,"Grapes",122,1.89,16.45,7.26,447.71,0.16,0,0,0.46,0,0,5.55,64.81,0,0,0.62,0,0,0,0,0.17,0.83,0,3.66,0.42,2.86,0,0,2.55,0,0.43
"18","Timor-Leste","Kiwi fruit",0.145,1267974,6000,"Import_kg",592,"Kiwi fruit",144,0.2,3.44,2.2,44.86,0.3,0,0,0.1,0,0,1.09,8.16,0,0,0.14,0,0,0,0,0,0,0,0.2,0.2,0.75,0,0,0.27,0,0
