"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Timor-Leste","Bananas",0.04075,1267974,2000,"Import_kg",486,"Bananas",117,0.39,4.71,0.9,90.36,0,0,0,0,0,0,1.32,6.05,0,0,0,0,0,0,0,0,0.11,0,0.43,0.1,0.22,0,0,0.28,0,0.14
"2","Timor-Leste","Beans, dry",0.1145,1267974,303000,"Import_kg",176,"Beans",30,68.77,4443.72,286.53,12104.91,0.38,0,0,29.2,1.52,0.61,244.03,2588.47,0.18,3.26,80.72,0,0,0.42,0,23.04,36.08,0.27,64.51,28.65,99.25,0,0,2.45,0.8,0
"3","Timor-Leste","Beans, green",0.0843965476190476,1267974,1000,"Import_kg",414,"Beans; green",92,0,4.26,0.51,6.99,0,0,0,0,0,0,0.27,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Timor-Leste","Cabbages and other brassicas",0.08324,1267974,5000,"Import_kg",358,"Cabbages and other brassicas",78,0.13,10.76,1.44,20.76,0.29,0,0,0.58,0,0,1.35,10.45,0,0.19,0.33,0,0,0,0,0.12,0.12,0,0.16,0,0.42,0,0,0.43,0,0.13
"5","Timor-Leste","Coconuts",0.04,1267974,5000,"Import_kg",249,"Coconuts - Incl Copra",58,3.13,33.08,277.45,124.05,0,0,0,0.18,0,0,3.22,63.64,0,0.21,1.04,0,0,0,0,0.12,0.29,0,294.26,26.25,6.73,0,0,0.52,0,0.41
"6","Timor-Leste","Garlic",0.00732,1267974,691000,"Import_kg",406,"Garlic",90,908.11,37827.91,1863.51,190191.08,98.9,0,0,382.67,10.35,8.68,3286.91,11818.72,3.59,129.69,1509.86,1.05,0.6,3.99,7.54,172.72,290.35,9.95,666.32,78.17,1783.04,0,0,486.95,10.79,96.78
"7","Timor-Leste","Maize",0.0869363057324841,1267974,35000,"Import_kg",56,"Maize",4,11.22,274.42,108.68,2291.53,0,0,0,0.66,0.1,0,9.35,164.43,0,0.3,6.95,0,0,0,0,0,3.48,0,18.79,40.89,76.7,0,0,0.4,0,0
"8","Timor-Leste","Mangoes, mangosteens, guavas",0.09628125,1267974,1000,"Import_kg",571,"Mangos; mangosteens; guavas",140,0,0.62,0.2,11.3,0,0,0,0,0,0,0.15,2.18,0,0,0,0,0,0,0,0,0,0,0.13,0,0.14,0,0,0,0,0
"9","Timor-Leste","Oranges",0.138371428571429,1267974,264000,"Import_kg",490,"Oranges; Mandarines",113,6.65,119.35,34.52,1504.55,6.95,0,0,4.75,0,0,25.29,202.45,0,0.41,3.26,0,0,0.27,0,1.64,1.59,0,3.16,4.63,4.89,0,0,13.08,0,4.03
"10","Timor-Leste","Potatoes",0.133867924528302,1267974,2272000,"Import_kg",116,"Potatoes",18,107.34,2753.73,181.92,23982.91,21.41,0,0,12.28,1.41,0.56,500.62,1804.12,0.12,14.07,64.79,0.11,0,1.84,0.33,46.85,33.02,0.15,39.35,1.87,54.88,0,0,102.22,1.41,29.78
"11","Timor-Leste","Rice, paddy (rice milled equivalent)",0.0488821264103023,1267974,34602000,"Import_kg",30,"Rice (Milled Equivalent)",2,19769.02,415028.07,59565.47,4338438.4,1.93,0,1.06,1928.51,122.76,69.25,6994.19,93241.87,8.36,522.76,8721.12,9.91,3.04,186.67,12.43,0,3256.55,56.03,7006.23,10076.69,9378.86,0,0,655.82,47.92,0
"12","Timor-Leste","Soybeans",0.071,1267974,1261000,"Import_kg",236,"Soyabeans",53,566.49,49557.2,24389.21,33327.54,4.6,0,0.37,332.61,12.2,5.58,2101.86,13791.09,1.88,13.63,847.28,0.95,0.38,3.2,0.95,162.34,332.65,3.04,4036.83,6130.88,14836.96,0,0,12.55,7.1,0
"13","Timor-Leste","Spices nes",0.00767204314204314,1267974,4000,"Import_kg",723,"Spices; nes",163,9.69,407.97,288.01,1591.6,1.69,0,0,30.34,1.03,0.13,45.72,689.99,0,2.41,8.08,0,0,0.2,0,5.99,10.63,0.24,70.19,126.63,79.58,0,0,1.52,0.23,0.41
"14","Timor-Leste","Vegetables, fresh nes",0.075156077445368,1267974,1000,"Import_kg",463,"Vegetables; fresh; nes",101,0,3.35,0.7,8.39,0,0,0,0.21,0,0,0.41,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0
