"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Tunisia","Almonds, with shell",0.0296505238073522,11565201,20000,"Import_kg",221,"Almonds; with shell",45,3.47,123.7,298.36,105.31,0,0,0,1.42,0,0,4.59,42.28,0,0,2.82,0,0,0,0,0.3,1.88,0,23.04,196.99,68.03,0,0,0,0,0.38
"2","Tunisia","Anise, badian, fennel, coriander",0.00195,11565201,3648000,"Import_kg",711,"Anise; badian; fennel; coriander",161,5622.45,255794.06,231813.37,755937.77,169.04,0.38,0.19,13155.38,519.14,75.02,23996.87,386243.28,15.18,1197.01,7442.36,5.31,4.89,49.8,8.09,8861.94,5095.39,44.12,13623.3,176106.45,42513.36,0,0,161.14,108.89,0
"3","Tunisia","Avocados",0.048,11565201,31000,"Import_kg",572,"Avocados",141,0.81,8.98,78.67,24.24,0,0,0,0.11,0,0,2.85,24.48,0,0,0.95,0,0,0,0,0,0.17,0,13.35,44.35,9.29,0,0,0.43,0,0.21
"4","Tunisia","Bananas",0.04075,11565201,45812000,"Import_kg",486,"Bananas",117,979.24,11817.97,2260.07,226923.28,103.49,0.36,0.18,95.77,7.77,1.6,3303.1,15199.67,0.9,61.7,246.55,0.52,0.49,8.28,3.39,95.26,275.42,2.62,1079,252.74,549.22,0,0,708.09,8.06,345.09
"5","Tunisia","Barley",0.04775,11565201,542722000,"Import_kg",44,"Barley",3,33821.25,898691.91,136759.88,7327235.03,65.52,0,2.06,5478.93,764.44,248.44,25306.27,814059.23,62.83,2103.12,28743.28,25.85,12.71,525.51,28.4,3714.86,7632.83,139.72,35674.47,21817.44,81962.82,0,0,1153.99,180.04,0
"6","Tunisia","Beans, dry",0.1145,11565201,3635000,"Import_kg",176,"Beans",30,90.45,5844.74,376.87,15921.37,0.5,0,0.11,38.41,2,0.8,320.97,3404.57,0.24,4.29,106.17,0.12,0,0.55,0.11,30.31,47.46,0.36,84.85,37.68,130.54,0,0,3.22,1.05,0
"7","Tunisia","Beans, green",0.0843965476190476,11565201,23000,"Import_kg",414,"Beans; green",92,0.11,10.74,1.28,17.63,0,0,0,0.15,0,0,0.69,5.28,0,0,0.25,0,0,0,0,0,0,0,0.11,0,0.22,0,0,0.2,0,0
"8","Tunisia","Broad beans, horse beans, dry",0.052,11565201,30000,"Import_kg",181,"Broad beans; horse beans; dry",32,1.67,119.71,7.92,274.36,0,0,0,0.49,0,0,5.95,96.61,0,0,1.9,0,0,0,0,0.48,0.96,0,1.26,1.5,3.01,0,0,0,0,0.13
"9","Tunisia","Cauliflowers and broccoli",0.103835520801038,11565201,5000,"Import_kg",393,"Cauliflowers and broccoli",84,0,1.29,0.13,1.69,0,0,0,0,0,0,0.12,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Tunisia","Chestnut",0.059,11565201,26000,"Import_kg",220,"Chestnuts",44,1,19.42,11.11,198.41,0,0,0,0.14,0,0,2.49,46.87,0,0,0.48,0,0,0,0,0,0.28,0,3.19,5.85,6.7,0,0,0.13,0,0
