"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Turkey","Alfalfa meal and pellets",0.0651708222811671,82340088,566000,"Import_kg",862,"Mixed grain",12,3.67,120.57,26.16,777.31,0,0,0,0.26,0,0,3.64,111.45,0,0,3.33,0,0,0,0,0.34,1.25,0,4.63,5.62,11,0,0,0.11,0,0
"2","Turkey","Almonds shelled",0.0296505238073522,82340088,22383000,"Import_kg",231,"Almonds; with shell",45,545.86,19445.33,46900.05,16554.35,9.53,0,0,222.52,2.86,3.32,721.83,6646.8,0.93,4.42,442.54,0.2,0.7,3.58,0.13,47.77,294.75,1.92,3622.28,30965.38,10694.01,0,0,4.56,2.69,59.59
"3","Turkey","Almonds, with shell",0.0296505238073522,82340088,160901000,"Production_kg/Import_kg",221,"Almonds; with shell",45,3923.91,139783.44,337142.69,119001.55,68.54,0,0.29,1599.6,20.58,23.86,5188.88,47780.76,6.69,31.8,3181.21,1.41,5.05,25.73,0.9,343.36,2118.83,13.77,26038.87,222595.73,76874.3,0,0,32.78,19.34,428.38
"4","Turkey","Anise, badian, fennel, coriander",0.00195,82340088,59860000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,12958.35,589541.25,534271.76,1742247.26,389.59,0.89,0.44,30319.85,1196.49,172.89,55306.77,890194.04,34.98,2758.81,17152.78,12.23,11.27,114.77,18.64,20424.55,11743.6,101.69,31398.29,405881.26,97982.65,0,0,371.38,250.97,0
"5","Turkey","Apples",0.121111111111111,82340088,3620483000,"Production_kg/Import_kg",515,"Apples",119,2038,11269.8,10694.97,475056.13,527.11,0.2,0,281.37,25.46,2.32,3734.27,51432.65,1.05,211.48,394.17,1.65,1.03,6.8,1.46,5888.74,169.43,1.27,1415.91,308.6,2378,0,0,3067.94,9.34,363.05
"6","Turkey","Apricots",0.03995,82340088,846702000,"Production_kg/Import_kg",526,"Apricots",125,1271.54,25739.64,6581.99,293020.07,172.03,3.3,0.23,437.57,20.44,5.66,7507.4,35177.51,2.01,34.11,613.46,0.6,2.87,20.08,1.39,72.07,257.4,1.98,733.58,4375.74,2020.56,0,0,2203.5,20.33,218.79
"7","Turkey","Apricots, dry",0.03995,82340088,2757000,"Import_kg",527,"Apricots",125,4.14,83.81,21.43,954.12,0.56,0,0,1.42,0,0,24.45,114.54,0,0.11,2,0,0,0,0,0.23,0.84,0,2.39,14.25,6.58,0,0,7.17,0,0.71
"8","Turkey","Artichokes",0.1,82340088,44667000,"Production_kg/Import_kg",366,"Artichokes",79,30.11,1419.64,94.93,6294,4.49,0,0,45.19,0.72,0.19,185.71,1338.09,0.13,57.57,53.16,0,0,0.32,0,18.66,32.55,0.14,23.33,4.07,33.63,0,0,46.77,0.69,32.55
"9","Turkey","Asparagus",0.0845294117647059,82340088,258000,"Production_kg/Import_kg",367,"Asparagus",80,0,8,0.75,11.29,0,0,0,0,0,0,0.8,9.02,0,0,0.31,0,0,0,0,0,0,0,0.17,0,0.26,0,0,0.34,0,0.17
"10","Turkey","Avocados",0.048,82340088,7050000,"Production_kg/Import_kg",572,"Avocados",141,25.99,286.91,2512.88,774.15,2.28,0,0,3.67,0.17,0,90.98,781.88,0,1.18,30.28,0,0,0.25,0,2.53,5.4,0,426.59,1416.71,296.82,0,0,13.72,0.21,6.78
"11","Turkey","Bananas",0.04075,82340088,921156000,"Production_kg/Import_kg",486,"Bananas",117,2765.57,33376.33,6382.89,640877.22,292.28,1.01,0.51,270.47,21.93,4.53,9328.62,42926.95,2.53,174.24,696.32,1.47,1.39,23.38,9.58,269.04,777.84,7.41,3047.31,713.79,1551.11,0,0,1999.78,22.76,974.59
"12","Turkey","Barley",0.04775,82340088,8162777000,"Production_kg/Import_kg",44,"Barley",3,71448.31,1898511.33,288909.01,15478985.24,138.41,0,4.36,11574.39,1614.9,524.84,53460.19,1719722.48,132.73,4442.9,60720.97,54.6,26.86,1110.14,60,7847.75,16124.56,295.16,75363.29,46089.95,173148.72,0,0,2437.84,380.35,0
"13","Turkey","Beans, dry",0.1145,82340088,370240000,"Production_kg/Import_kg",176,"Beans",30,1294.03,83615.35,5391.55,227772.52,7.12,0,1.61,549.46,28.64,11.47,4591.83,48706.04,3.43,61.34,1518.81,1.77,0.87,7.85,1.52,433.55,678.95,5.11,1213.9,539.02,1867.53,0,0,46.04,15,0
"14","Turkey","Beans, green",0.0843965476190476,82340088,596077000,"Production_kg/Import_kg",414,"Beans; green",92,409.23,39111.78,4669.87,64183.25,196.59,0.27,0.55,540.03,18.64,3.98,2496.65,19219.7,0.44,142.25,914.43,1.09,8.54,7.5,1.19,69.48,257.33,0.74,417.44,157.26,806.3,0,0,712.93,9.74,106.36
"15","Turkey","Beet pulp",0.125770747489689,82340088,123336000,"Import_kg",169,"Roots and tubers; nes",23,121.79,2308.68,912.68,25835.71,17.25,0,0,39.74,3.4,0.36,578.21,2118.66,0.15,17.9,79.41,0,0,1.43,0.2,25.96,51.21,0.21,24.41,5.06,53.89,0,0,85.98,1.24,26
"16","Turkey","Berries nes",0.109406559397488,82340088,70175000,"Production_kg",558,"Berries; nes",138,44.09,725.01,351.1,9992.01,36.07,0,0,28.54,1.2,0.33,128.79,2243.47,0,4.71,17.53,0,0,0.38,0,7.61,12.66,0.74,14.02,32.72,170.01,0,0,66.88,0.39,0.62
