"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Turkey","Almonds, with shell",0.0296505238073522,82340088,1.5e+08,"Production_kg",221,"Almonds; with shell",45,3658.07,130313.15,314301.36,110939.23,63.9,0,0.27,1491.22,19.19,22.24,4837.34,44543.63,6.24,29.64,2965.68,1.31,4.71,23.99,0.84,320.1,1975.28,12.84,24274.74,207514.93,71666.09,0,0,30.56,18.03,399.36
"2","Turkey","Anise, badian, fennel, coriander",0.00195,82340088,46104000,"Production_kg",711,"Anise; badian; fennel; coriander",161,9980.48,454062.98,411494.57,1341873.83,300.06,0.68,0.34,23352.26,921.53,133.16,42597.12,685624.89,26.94,2124.83,13211.02,9.42,8.68,88.4,14.36,15730.93,9044.89,78.32,24182.87,312608.58,75465.96,0,0,286.04,193.3,0
"3","Turkey","Apples",0.121111111111111,82340088,3618752000,"Production_kg",515,"Apples",119,2037.03,11264.41,10689.85,474829,526.86,0.2,0,281.23,25.45,2.32,3732.48,51408.06,1.05,211.38,393.98,1.65,1.03,6.79,1.46,5885.92,169.34,1.27,1415.23,308.45,2376.87,0,0,3066.47,9.34,362.88
"4","Turkey","Apricots",0.03995,82340088,846606000,"Production_kg",526,"Apricots",125,1271.39,25736.72,6581.25,292986.84,172.01,3.29,0.23,437.52,20.44,5.66,7506.54,35173.52,2.01,34.1,613.39,0.6,2.87,20.07,1.39,72.06,257.37,1.98,733.5,4375.24,2020.33,0,0,2203.25,20.33,218.76
"5","Turkey","Artichokes",0.1,82340088,39071000,"Production_kg",366,"Artichokes",79,26.34,1241.79,83.04,5505.47,3.93,0,0,39.53,0.63,0.16,162.44,1170.45,0.11,50.36,46.5,0,0,0.28,0,16.32,28.47,0.12,20.4,3.56,29.42,0,0,40.91,0.61,28.47
"6","Turkey","Asparagus",0.0845294117647059,82340088,174000,"Production_kg",367,"Asparagus",80,0,5.39,0.51,7.61,0,0,0,0,0,0,0.54,6.08,0,0,0.21,0,0,0,0,0,0,0,0.11,0,0.17,0,0,0.23,0,0.12
"7","Turkey","Avocados",0.048,82340088,4209000,"Production_kg",572,"Avocados",141,15.51,171.29,1500.24,462.19,1.36,0,0,2.19,0.1,0,54.32,466.8,0,0.7,18.08,0,0,0.15,0,1.51,3.22,0,254.68,845.8,177.21,0,0,8.19,0.12,4.05
"8","Turkey","Bananas",0.04075,82340088,548323000,"Production_kg",486,"Bananas",117,1646.22,19867.44,3799.45,381485.57,173.98,0.6,0.31,161,13.05,2.7,5552.91,25552.49,1.51,103.72,414.49,0.87,0.83,13.91,5.7,160.15,463.02,4.41,1813.93,424.88,923.31,0,0,1190.38,13.55,580.13
"9","Turkey","Barley",0.04775,82340088,7.6e+09,"Production_kg",44,"Barley",3,66522.36,1767619.78,268990.37,14411797.34,128.87,0,4.06,10776.4,1503.56,488.66,49774.41,1601157.4,123.58,4136.59,56534.6,50.84,25,1033.61,55.86,7306.69,15012.86,274.81,70167.42,42912.31,161211.1,0,0,2269.77,354.12,0
"10","Turkey","Beans, dry",0.1145,82340088,2.25e+08,"Production_kg",176,"Beans",30,786.4,50814.21,3276.52,138420.53,4.33,0,0.98,333.91,17.4,6.97,2790.52,29599.34,2.08,37.28,923,1.08,0.53,4.77,0.93,263.47,412.61,3.11,737.7,327.57,1134.92,0,0,27.98,9.12,0
"11","Turkey","Beans, green",0.0843965476190476,82340088,596074000,"Production_kg",414,"Beans; green",92,409.23,39111.58,4669.85,64182.92,196.59,0.27,0.55,540.03,18.64,3.98,2496.64,19219.6,0.44,142.25,914.42,1.09,8.54,7.5,1.19,69.48,257.33,0.74,417.44,157.26,806.29,0,0,712.93,9.74,106.36
"12","Turkey","Berries nes",0.109406559397488,82340088,70175000,"Production_kg",558,"Berries; nes",138,44.09,725.01,351.1,9992.01,36.07,0,0,28.54,1.2,0.33,128.79,2243.47,0,4.71,17.53,0,0,0.38,0,7.61,12.66,0.74,14.02,32.72,170.01,0,0,66.88,0.39,0.62
"13","Turkey","Broad beans, horse beans, dry",0.052,82340088,12346000,"Production_kg",181,"Broad beans; horse beans; dry",32,96.45,6919.63,457.99,15858.46,0.79,0,0.12,28.57,2.33,1.01,344.05,5584.27,0.24,5.26,109.99,0.11,0,0.76,0.11,27.62,55.22,0.47,72.66,86.94,174.02,0,0,3.01,0.87,7.79
"14","Turkey","Cabbages and other brassicas",0.08324,82340088,819667000,"Production_kg",358,"Cabbages and other brassicas",78,321.29,27160.8,3644.96,52411.47,733.38,2.76,0.75,1467.6,20.7,4.08,3415.01,26392.23,1.85,470.07,843.14,0.72,1.23,9.27,2.16,294.86,292,3.03,410.28,214.34,1050.55,0,0,1086.4,13.23,330.07
"15","Turkey","Carobs",0.0561030012218987,82340088,16256000,"Production_kg",461,"Leguminous vegetables; nes",94,27.01,2482.64,662.45,3591.99,4.55,0,0,20.32,0.69,0.35,116.83,2639.23,0.14,3.51,45.39,0,0,0.79,0,0,11.61,0.23,41.52,36.6,120.35,0,0,28.09,0.39,1.06
