"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Tuvalu","Apples",0.121111111111111,11508,16000,"Import_kg",515,"Apples",119,64.44,356.35,338.18,15021.38,16.67,0,0,8.9,0.81,0,118.08,1626.31,0,6.69,12.46,0,0,0.21,0,186.2,5.36,0,44.77,9.76,75.19,0,0,97.01,0.3,11.48
"2","Tuvalu","Bananas",0.04075,11508,286000,"Production_kg",486,"Bananas",117,6143.7,74145.17,14179.52,1423702.2,649.3,2.24,1.14,600.84,48.72,10.06,20723.44,95361.78,5.63,387.08,1546.86,3.26,3.08,51.93,21.28,597.67,1727.97,16.47,6769.58,1585.67,3445.78,0,0,4442.5,50.55,2165.04
"3","Tuvalu","Cabbages and other brassicas",0.08324,11508,13000,"Import_kg",358,"Cabbages and other brassicas",78,36.46,3082.19,413.63,5947.63,83.22,0.31,0,166.54,2.35,0.46,387.53,2994.98,0.21,53.34,95.68,0,0.14,1.05,0.24,33.46,33.14,0.34,46.56,24.32,119.22,0,0,123.28,1.5,37.46
"4","Tuvalu","Carrots and turnips",0.0830718954248366,11508,9000,"Import_kg",426,"Carrots and turnips",96,28.46,1232.75,220.44,5523.26,25.77,0.57,0,62.45,1.46,0.24,273.99,1911.78,0,44.44,112.15,0,0,0.73,0.17,98.47,11.45,0.13,30.44,13.81,71.23,0,0,84.02,1.18,21.65
"5","Tuvalu","Coconuts",0.04,11508,1587000,"Production_kg",249,"Coconuts - Incl Copra",58,109461.35,1156694.99,9703028.64,4338117.18,827.07,0.19,6.71,6434.39,989.3,568.75,112707.84,2225618.41,176.47,7302.35,36284.09,21.64,10.93,233.19,14.25,4171.6,9992.32,1292.85,10290746.22,917923.94,235471.19,0,0,18283.74,352.6,14307.55
"6","Tuvalu","Coffee, green",0.00312,11508,1000,"Import_kg",656,"Coffee",152,516.04,31484.37,41548.09,100821.72,2.79,0,0,286.99,9.62,1.48,6199.26,0,0.58,99.05,791.62,0.4,1.39,30.88,0,119.95,520.39,1.06,92.27,692.04,46.14,0,0,14.63,16.15,0
"7","Tuvalu","Fruit, tropical fresh nes",0.1073859375,11508,605000,"Production_kg",603,"Fruit; tropical fresh; nes",146,4585.12,72440.16,58534.36,1016560.58,5258.42,2.11,0.82,1584.59,85.62,18.34,12294.64,142313.09,5.43,480.11,1759.55,13.48,14.31,51.41,7.5,387.73,1377.3,10.77,36475.12,80670.71,18444.27,0,0,3732.59,37.42,1931.55
"8","Tuvalu","Garlic",0.00732,11508,7000,"Import_kg",406,"Garlic",90,1013.61,42222.4,2079.99,212285.65,110.39,0,0,427.12,11.55,9.68,3668.75,13191.7,4.01,144.76,1685.26,1.17,0.67,4.45,8.41,192.79,324.08,11.1,743.72,87.25,1990.18,0,0,543.52,12.05,108.03
"9","Tuvalu","Grapefruit (inc. pomelos)",0.15,11508,26000,"Import_kg",507,"Grapefruit",115,54.48,1060.79,228.94,12095.93,59.26,0,0,27.97,0.78,0.14,286.39,1522.93,0,11.01,31.38,0,0,0.41,0,11.6,11.55,0,18.07,17.32,33.14,0,0,134.87,0.62,67.4
"10","Tuvalu","Grapes",0.1235,11508,3000,"Import_kg",560,"Grapes",122,12.99,113.31,49.99,3083.12,1.08,0,0,3.16,0.13,0,38.25,446.29,0,0.68,4.29,0,0,0,0,1.18,5.7,0.15,25.19,2.88,19.7,0,0,17.57,0.1,2.96
"11","Tuvalu","Onions, dry",0.093304347826087,11508,35000,"Import_kg",403,"Onions",77,128.71,3751.52,458.12,27233.18,28.98,0,0,135.11,2.32,1.28,421.14,4628.65,0,32.74,170.01,0.11,0.12,0.78,0.36,19.88,38.9,0.21,110.83,79.32,181.45,0,0,294.08,1.69,26.08
"12","Tuvalu","Oranges",0.138371428571429,11508,13000,"Import_kg",490,"Oranges; Mandarines",113,36.08,647.55,187.32,8163.11,37.69,0,0,25.79,0.4,0,137.23,1098.41,0,2.2,17.67,0,0,1.44,0,8.87,8.65,0,17.14,25.1,26.53,0,0,70.97,0.35,21.88
