"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Ukraine","Almonds shelled",0.0296505238073522,44246156,2328000,"Import_kg",231,"Almonds; with shell",45,105.65,3763.71,9077.66,3204.15,1.85,0,0,43.07,0.55,0.64,139.71,1286.51,0.18,0.86,85.65,0,0.14,0.69,0,9.25,57.05,0.37,701.1,5993.45,2069.86,0,0,0.88,0.52,11.53
"2","Ukraine","Almonds, with shell",0.0296505238073522,44246156,84000,"Import_kg",221,"Almonds; with shell",45,3.81,135.8,327.54,115.61,0,0,0,1.55,0,0,5.04,46.42,0,0,3.09,0,0,0,0,0.33,2.06,0,25.3,216.26,74.69,0,0,0,0,0.42
"3","Ukraine","Anise, badian, fennel, coriander",0.00195,44246156,1916000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,771.87,35116.3,31824.15,103777.78,23.21,0,0,1806.02,71.27,10.3,3294.37,53024.83,2.08,164.33,1021.71,0.73,0.67,6.84,1.11,1216.6,699.51,6.06,1870.25,24176.51,5836.38,0,0,22.12,14.95,0
"4","Ukraine","Apples",0.121111111111111,44246156,1195630000,"Production_kg/Import_kg",515,"Apples",119,1252.48,6926,6572.72,291951.69,323.94,0.12,0,172.92,15.65,1.43,2294.94,31608.58,0.65,129.97,242.24,1.02,0.63,4.18,0.9,3619,104.12,0.78,870.17,189.65,1461.43,0,0,1885.44,5.74,223.12
"5","Ukraine","Apricots",0.03995,44246156,91151000,"Production_kg/Import_kg",526,"Apricots",125,254.74,5156.67,1318.63,58703.5,34.46,0.66,0,87.66,4.1,1.13,1504.03,7047.45,0.4,6.83,122.9,0.12,0.58,4.02,0.28,14.44,51.57,0.4,146.97,876.63,404.8,0,0,441.45,4.07,43.83
"6","Ukraine","Apricots, dry",0.03995,44246156,5694000,"Import_kg",527,"Apricots",125,15.91,322.13,82.37,3667.08,2.15,0,0,5.48,0.26,0,93.95,440.24,0,0.43,7.68,0,0,0.25,0,0.9,3.22,0,9.18,54.76,25.29,0,0,27.58,0.25,2.74
"7","Ukraine","Artichokes",0.1,44246156,11000,"Import_kg",366,"Artichokes",79,0,0.65,0,2.88,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Ukraine","Asparagus",0.0845294117647059,44246156,99000,"Import_kg",367,"Asparagus",80,0,5.71,0.54,8.06,0,0,0,0,0,0,0.57,6.44,0,0,0.22,0,0,0,0,0,0,0,0.12,0,0.19,0,0,0.25,0,0.12
"9","Ukraine","Avocados",0.048,44246156,8686000,"Import_kg",572,"Avocados",141,59.58,657.82,5761.54,1774.98,5.23,0,0,8.41,0.39,0.2,208.59,1792.7,0,2.7,69.42,0,0,0.57,0.12,5.81,12.37,0,978.08,3248.23,680.54,0,0,31.45,0.48,15.54
"10","Ukraine","Bananas",0.04075,44246156,247416000,"Import_kg",486,"Bananas",117,1382.34,16682.8,3190.42,320335.6,146.09,0.5,0.26,135.19,10.96,2.26,4662.81,21456.57,1.27,87.09,348.05,0.73,0.69,11.68,4.79,134.48,388.8,3.71,1523.17,356.78,775.31,0,0,999.57,11.37,487.14
