"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","United Kingdom of Great Britain and Northern Ireland","Apples",0.121111111111111,67141684,331556000,"Import_kg",515,"Apples",119,228.88,1265.69,1201.13,53352.45,59.2,0,0,31.6,2.86,0.26,419.39,5776.28,0.12,23.75,44.27,0.19,0.12,0.76,0.16,661.35,19.03,0.14,159.02,34.66,267.07,0,0,344.55,1.05,40.77
"2","United Kingdom of Great Britain and Northern Ireland","Asparagus",0.0845294117647059,67141684,13098000,"Import_kg",367,"Asparagus",80,4.67,497.83,46.82,702.74,5,0,0,4.85,0.25,0.12,50.02,561.57,0,1.07,19.35,0,0,0.21,0,3.69,3.23,0,10.39,1.15,16.15,0,0,21.42,0.15,10.85
"3","United Kingdom of Great Britain and Northern Ireland","Barley",0.04775,67141684,57272000,"Import_kg",44,"Barley",3,614.77,16335.66,2485.91,133188.28,1.19,0,0,99.59,13.9,4.52,460,14797.28,1.14,38.23,522.47,0.47,0.23,9.55,0.52,67.53,138.74,2.54,648.46,396.58,1489.85,0,0,20.98,3.27,0
"4","United Kingdom of Great Britain and Northern Ireland","Beans, green",0.0843965476190476,67141684,36843000,"Import_kg",414,"Beans; green",92,31.02,2964.69,353.98,4865.12,14.9,0,0,40.93,1.41,0.3,189.25,1456.86,0,10.78,69.31,0,0.65,0.57,0,5.27,19.51,0,31.64,11.92,61.12,0,0,54.04,0.74,8.06
"5","United Kingdom of Great Britain and Northern Ireland","Broad beans, horse beans, dry",0.052,67141684,5149000,"Import_kg",181,"Broad beans; horse beans; dry",32,49.33,3539.14,234.24,8111.05,0.4,0,0,14.61,1.19,0.51,175.97,2856.16,0.12,2.69,56.26,0,0,0.39,0,14.13,28.24,0.24,37.16,44.46,89,0,0,1.54,0.44,3.98
"6","United Kingdom of Great Britain and Northern Ireland","Cabbages and other brassicas",0.08324,67141684,45360000,"Import_kg",358,"Cabbages and other brassicas",78,21.8,1843.31,247.37,3556.98,49.77,0.19,0,99.6,1.4,0.28,231.76,1791.14,0.13,31.9,57.22,0,0,0.63,0.15,20.01,19.82,0.21,27.84,14.55,71.3,0,0,73.73,0.9,22.4
"7","United Kingdom of Great Britain and Northern Ireland","Carrots and turnips",0.0830718954248366,67141684,31293000,"Import_kg",426,"Carrots and turnips",96,16.96,734.66,131.37,3291.6,15.36,0.34,0,37.22,0.87,0.14,163.28,1139.33,0,26.48,66.84,0,0,0.43,0.1,58.69,6.83,0,18.14,8.23,42.45,0,0,50.07,0.7,12.9
"8","United Kingdom of Great Britain and Northern Ireland","Cauliflowers and broccoli",0.103835520801038,67141684,120910000,"Import_kg",393,"Cauliflowers and broccoli",84,49.71,5372.2,560.76,7056.86,140.25,0.94,0.1,76.03,1.88,0.73,513.85,3295.17,0,51.91,188.37,0.19,0.19,1.24,0.31,109.84,31.22,0.32,107.96,32.52,55.93,0,0,150.21,1.87,83.25
"9","United Kingdom of Great Britain and Northern Ireland","Cherries",0.1289,67141684,12883000,"Import_kg",531,"Cherries",127,6.79,162.01,25.8,1550.11,1.86,0,0,4.11,0,0,36.99,156.3,0,0.22,3.48,0,0,0.1,0,0.91,1.64,0,5.66,7,7.74,0,0,12.26,0.1,1.19
"10","United Kingdom of Great Britain and Northern Ireland","Chillies and peppers, green",0.0664142191142191,67141684,221764000,"Import_kg",401,"Chillies and peppers; green",88,194.91,8854.74,3304.98,34354.34,573.51,0.62,0.15,137.47,8.08,1.55,1402.08,15987.25,0.77,35.28,506.66,0.63,0.6,5.9,1.76,40.16,179.42,1.18,207.38,88.73,907.48,0,0,438.98,4.4,82.33
"11","United Kingdom of Great Britain and Northern Ireland","Cucumbers and gherkins",0.0675,67141684,180455000,"Import_kg",397,"Cucumbers and gherkins",86,55.59,2569.39,470.78,10075.01,39.36,0,0,63.71,1.77,0.76,567.62,2597.61,0.22,26.43,144.42,0.1,0.13,0.76,0.16,23.89,49.77,0.31,133.39,9.95,103.53,0,0,381.28,1.65,61.72
"12","United Kingdom of Great Britain and Northern Ireland","Currants",0.038,67141684,858000,"Import_kg",550,"Currants",135,4.21,60.53,8.49,1005.33,3.4,0,0,2.3,0.1,0,10.04,89.12,0,0,2.39,0,0,0,0,0.26,0.62,0,0.86,1.45,4.49,0,0,2.24,0,0
"13","United Kingdom of Great Britain and Northern Ireland","Grapes",0.1235,67141684,277921000,"Import_kg",560,"Grapes",122,206.19,1799.24,793.74,48955.11,17.22,0,0,50.1,2.07,0.24,607.32,7086.4,0.33,10.78,68.15,0.14,0.45,0.73,0.33,18.77,90.5,2.31,399.97,45.81,312.82,0,0,279.03,1.59,46.92
"14","United Kingdom of Great Britain and Northern Ireland","Leeks, other alliaceous vegetables",0.083270092226614,67141684,8040000,"Import_kg",407,"Leeks; other alliaceous veg.",91,6.85,308.06,42.82,1380.53,2.75,0,0,8.93,0.38,0,26.73,267.48,0,1.93,10.63,0,0,0.33,0,1.06,8.34,0,10.83,5.22,24.11,0,0,12.35,0.13,4.03
