"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Uruguay","Alfalfa meal and pellets",0.0651708222811671,3449285,216000,"Import_kg",862,"Mixed grain",12,33.46,1098.4,238.3,7081.33,0,0,0,2.36,0.32,0.25,33.12,1015.34,0,0.53,30.37,0,0,0.41,0,3.14,11.39,0.25,42.22,51.16,100.19,0,0,1.03,0.16,0
"2","Uruguay","Almonds shelled",0.0296505238073522,3449285,255000,"Import_kg",231,"Almonds; with shell",45,148.45,5288.34,12754.91,4502.11,2.59,0,0,60.52,0.78,0.9,196.31,1807.66,0.25,1.2,120.35,0,0.19,0.97,0,12.99,80.16,0.52,985.11,8421.33,2908.34,0,0,1.24,0.73,16.21
"3","Uruguay","Anise, badian, fennel, coriander",0.00195,3449285,1e+05,"Import_kg",711,"Anise; badian; fennel; coriander",161,516.77,23510.38,21306.29,69479.28,15.54,0,0,1209.13,47.72,6.89,2205.59,35500.15,1.39,110.02,684.04,0.49,0.45,4.58,0.74,814.51,468.32,4.06,1252.14,16186.19,3907.46,0,0,14.81,10.01,0
"4","Uruguay","Apples",0.121111111111111,3449285,42399000,"Production_kg/Import_kg",515,"Apples",119,569.74,3150.56,2989.86,132805.56,147.36,0,0,78.66,7.12,0.65,1043.94,14378.39,0.29,59.12,110.19,0.46,0.29,1.9,0.41,1646.24,47.36,0.36,395.83,86.27,664.79,0,0,857.67,2.61,101.49
"5","Uruguay","Apricots",0.03995,3449285,4000,"Import_kg",526,"Apricots",125,0.14,2.9,0.74,33.05,0,0,0,0,0,0,0.85,3.97,0,0,0,0,0,0,0,0,0,0,0,0.49,0.23,0,0,0.25,0,0
"6","Uruguay","Apricots, dry",0.03995,3449285,37000,"Import_kg",527,"Apricots",125,1.33,26.85,6.87,305.67,0.18,0,0,0.46,0,0,7.83,36.7,0,0,0.64,0,0,0,0,0,0.27,0,0.77,4.56,2.11,0,0,2.3,0,0.23
"7","Uruguay","Asparagus",0.0845294117647059,3449285,19000,"Import_kg",367,"Asparagus",80,0.13,14.06,1.32,19.84,0.14,0,0,0.14,0,0,1.41,15.86,0,0,0.55,0,0,0,0,0.1,0,0,0.29,0,0.46,0,0,0.6,0,0.31
"8","Uruguay","Avocados",0.048,3449285,838000,"Import_kg",572,"Avocados",141,73.73,814.1,7130.33,2196.66,6.47,0,0,10.41,0.49,0.24,258.15,2218.6,0.11,3.34,85.92,0,0,0.7,0.15,7.19,15.31,0,1210.44,4019.92,842.22,0,0,38.92,0.59,19.23
"9","Uruguay","Bananas",0.04075,3449285,51010000,"Import_kg",486,"Bananas",117,3655.86,44120.75,8437.65,847186.88,386.37,1.33,0.68,357.53,28.99,5.99,12331.67,56745.89,3.35,230.33,920.47,1.94,1.84,30.9,12.67,355.65,1028.24,9.8,4028.3,943.57,2050.44,0,0,2643.55,30.08,1288.33
"10","Uruguay","Barley",0.04775,3449285,667795000,"Production_kg/Import_kg",44,"Barley",3,139533.81,3707666.57,564220.1,30229430.41,270.3,0.1,8.51,22604.01,3153.79,1024.99,104404.19,3358503.81,259.22,8676.7,118584.02,106.63,52.45,2168.04,117.18,15326.13,31490.2,576.42,147179.5,90010.61,338147.95,0,0,4760.94,742.79,0
"11","Uruguay","Beans, dry",0.1145,3449285,4145000,"Production_kg/Import_kg",176,"Beans",30,345.84,22346.5,1440.91,60873.01,1.9,0,0.43,146.85,7.65,3.07,1227.18,13016.86,0.92,16.39,405.91,0.47,0.23,2.1,0.41,115.87,181.45,1.37,324.42,144.06,499.1,0,0,12.3,4.01,0
"12","Uruguay","Beans, green",0.0843965476190476,3449285,1054000,"Production_kg",414,"Beans; green",92,17.27,1650.93,197.12,2709.21,8.3,0,0,22.8,0.79,0.17,105.38,811.27,0,6,38.6,0,0.36,0.32,0,2.93,10.86,0,17.62,6.64,34.03,0,0,30.09,0.41,4.49
"13","Uruguay","Bran, maize",0.0538461538461538,3449285,29131000,"Import_kg",59,"Corn Flour",223,5576.56,133283.28,51451.32,1144044.18,5.72,0.2,0.3,439.79,59.35,20.83,3339.06,70227.5,2.48,111.84,3088.11,4.21,1.62,28.01,3.28,0,902.98,0.88,4630.86,16758.92,27820.44,0,0,163.44,18.09,0
"14","Uruguay","Bran, wheat",0.0374838709677419,3449285,44544000,"Import_kg",17,"Wheat Flour",222,11903.8,395231.51,52115.43,2451168.46,6.43,0,0.86,1377.69,93.79,44.21,5925.76,45247.09,3.38,1112.11,6374.21,12.06,4.57,78.88,4.2,358.3,1561.83,28.97,5340.08,2997.33,14228.72,0,0,399.07,32.93,0
"15","Uruguay","Brazil nuts, shelled",0.0297575757575758,3449285,3000,"Import_kg",229,"Brazil nuts; with shell",42,1.91,43.99,198.81,30.6,0,0,0,0.48,0,0,1.93,21.92,0,0,2.22,0,0,0,0,0,1.1,0,47.16,69.79,71.31,0,0,0,0,0.14
"16","Uruguay","Broad beans, horse beans, dry",0.052,3449285,617000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,115.07,8255.13,546.38,18919.18,0.94,0,0.15,34.09,2.78,1.2,410.46,6662.05,0.28,6.27,131.22,0.13,0,0.91,0.13,32.95,65.88,0.56,86.69,103.71,207.6,0,0,3.59,1.03,9.29
"17","Uruguay","Buckwheat",0.0421111111111111,3449285,19000,"Import_kg",89,"Buckwheat",9,4.31,139.14,35.32,901.25,0,0,0,0.55,0,0,5.38,121.65,0,0,4.59,0,0,0,0,0,3,0,9.69,13.6,13.59,0,0,0.17,0,0
"18","Uruguay","Cabbages and other brassicas",0.08324,3449285,3878000,"Production_kg",358,"Cabbages and other brassicas",78,36.29,3067.58,411.67,5919.42,82.83,0.31,0,165.75,2.34,0.46,385.7,2980.77,0.21,53.09,95.23,0,0.14,1.05,0.24,33.3,32.98,0.34,46.34,24.21,118.65,0,0,122.7,1.49,37.28
"19","Uruguay","Cake, cottonseed",0.014,3449285,22445000,"Import_kg",332,"Cottonseed Oil",67,41699.96,0,4646411.88,929.59,0,0,0,263.38,30.99,11.46,0,0,0,69.72,0,0,0,0,0,9.3,0,0,1194526.03,868006.75,2439017.64,0,0,0.93,0,0
"20","Uruguay","Cake, groundnuts",0.014,3449285,580000,"Import_kg",245,"Groundnut Oil",64,1078.05,0,120090.55,0,0,0,0,3.6,0.89,0.15,0,0,0,1.05,0,0,0,0,0,0.12,0,0,20498.38,52567.14,41236.98,0,0,0,0,0
"21","Uruguay","Cake, soybeans",0.014,3449285,10603000,"Import_kg",238,"Soyabean Oil",63,19632.4,0,2193279.24,182.97,0,0,0,34.16,6.34,7.17,0,0,0,34.16,0.78,0,0,0,0,4.39,0,0,581083.92,513597.72,994536.07,0,0,0.2,0,0
"22","Uruguay","Cake, sunflower",0.0244,3449285,11378000,"Import_kg",269,"Sunflowerseed Oil",65,12095.1,0,1345902.92,0,0,0,0,9.01,4.64,0.5,0,0,0,12.62,0,0,0,0,0,0,0,0,141837.64,398452.25,772232.18,0,0,0.58,0,0
"23","Uruguay","Carrots and turnips",0.0830718954248366,3449285,24862000,"Production_kg",426,"Carrots and turnips",96,262.33,11361.61,2031.66,50904.9,237.52,5.28,0.19,575.55,13.46,2.24,2525.2,17619.83,0.51,409.58,1033.64,0.45,0.81,6.73,1.58,907.58,105.57,1.24,280.55,127.26,656.53,0,0,774.38,10.89,199.56
"24","Uruguay","Cashew nuts, shelled",0.0289438420348059,3449285,58000,"Import_kg",230,"Cashew nuts; with shell",43,31.62,1067.47,2445.05,1404.82,0,0,0,2.34,0.35,0.3,37.79,154.53,0.12,5.37,27.33,0,0,0,0,0,17.58,0,452.16,1382.5,455.76,0,0,0.58,0.13,1.63
"25","Uruguay","Cassava dried",0.108277777777778,3449285,20000,"Import_kg",128,"Cassava",17,0.74,9.79,2.54,166.24,0.17,0,0,0.21,0,0,2.01,7.93,0,0,0.21,0,0,0,0,0.13,0.11,0,0.47,0.47,0.24,0,0,0.34,0,0.11
"26","Uruguay","Cereal preparations nes",0.0486257263475995,3449285,11472000,"Import_kg",113,"Cereals; nes",13,2381.96,89084.05,31480.96,502666.09,7.35,0,0,993.07,151.67,26,2920.6,21594.25,5.54,53.35,2603.38,2.46,1.81,9.97,3.3,89.6,1258.52,63.2,3071.07,4028.65,7325.44,0,0,74.65,26.81,0
"27","Uruguay","Cherries",0.1289,3449285,29000,"Import_kg",531,"Cherries",127,0.3,7.1,1.13,67.92,0,0,0,0.18,0,0,1.62,6.85,0,0,0.15,0,0,0,0,0,0,0,0.25,0.31,0.34,0,0,0.54,0,0
"28","Uruguay","Chick peas",0.04575,3449285,1386000,"Import_kg",191,"Chick peas",33,309.38,17077.54,4421.23,51219.18,1.84,0,0.33,119.77,6.09,3.03,710.54,6704.36,0.81,17.62,272.62,0.35,0.15,1.55,0.47,128.8,86.95,9.89,541.47,1197.56,2336.72,0,0,9.22,2.61,0
"29","Uruguay","Chillies and peppers, dry",4e-04,3449285,197000,"Import_kg",689,"Pimento",156,3433.39,146322.2,127448.3,585943.87,1077.06,9.69,0.78,2962.24,104.23,37.73,26015.1,317264.3,9.42,6478.79,2654.62,3.99,6.22,78.77,24.61,735.33,2191.72,31.09,37837.55,24296.94,88030.61,0,0,400.2,85.44,0
"30","Uruguay","Chillies and peppers, green",0.0664142191142191,3449285,14788000,"Production_kg",401,"Chillies and peppers; green",88,252.99,11493.63,4289.93,44592.63,744.43,0.8,0.19,178.44,10.49,2.01,1819.93,20751.77,1,45.79,657.66,0.82,0.77,7.66,2.29,52.13,232.89,1.53,269.19,115.18,1177.93,0,0,569.81,5.7,106.87
"31","Uruguay","Chocolate products nes",0.0115,3449285,5995000,"Import_kg",666,"Cocoa Beans",153,3445.86,243869.87,624969.45,875066.04,0,0,0.48,1621.06,76.69,102.92,15166.3,559195.92,57.25,124.69,8863.78,2.56,2.99,27.9,1.78,181.36,7541.59,57.99,347872.76,240189.76,12997.53,0,0,58.64,60.12,0
"32","Uruguay","Cider etc",0.0683571428571429,3449285,303000,"Import_kg",517,"Fruit juice; nes",149,6.4,31.92,17.42,1563.19,9.64,0,0,1.3,0,0,13.89,36.58,0,1,1.06,0,0,0,0,0.35,0.96,0,3.22,4.39,7.98,0,0,11.31,0,0
"33","Uruguay","Cinnamon (cannella)",0.00115555555555556,3449285,32000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Uruguay","Cloves",0.0013,3449285,7000,"Import_kg",698,"Cloves",157,37.41,674.91,1457.01,7052.45,0,0,0,87.52,1.34,0.36,159.23,3348.52,0,43.24,12.7,0,0,0.12,0,5.84,40.43,9.39,616.94,217.46,562.93,0,0,5.2,0.66,0
"35","Uruguay","Cocoa, butter",0.0115,3449285,62000,"Import_kg",664,"Cocoa Beans",153,35.64,2522.09,6463.4,9049.89,0,0,0,16.76,0.79,1.06,156.85,5783.18,0.59,1.29,91.67,0,0,0.29,0,1.88,77.99,0.6,3597.68,2484.03,134.42,0,0,0.61,0.62,0
"36","Uruguay","Cocoa, paste",0.0115,3449285,73000,"Import_kg",662,"Cocoa Beans",153,41.96,2969.56,7610.14,10655.52,0,0,0,19.74,0.93,1.25,184.68,6809.22,0.7,1.52,107.93,0,0,0.34,0,2.21,91.83,0.71,4235.98,2924.75,158.27,0,0,0.71,0.73,0
"37","Uruguay","Cocoa, powder & cake",0.0115,3449285,6342000,"Import_kg",665,"Cocoa Beans",153,3645.31,257985.44,661143.66,925716.24,0,0,0.51,1714.89,81.12,108.88,16044.15,591563.05,60.56,131.9,9376.83,2.71,3.16,29.52,1.89,191.86,7978.11,61.35,368008.18,254092.32,13749.84,0,0,62.03,63.6,0
"38","Uruguay","Coconuts",0.04,3449285,3080000,"Import_kg",249,"Coconuts - Incl Copra",58,708.77,7489.68,62827.8,28089.62,5.36,0,0,41.66,6.41,3.68,729.79,14411.04,1.14,47.28,234.94,0.14,0,1.51,0,27.01,64.7,8.37,66633.32,5943.62,1524.69,0,0,118.39,2.28,92.64
"39","Uruguay","Coffee, extracts",0.00312,3449285,1e+06,"Import_kg",659,"Coffee substitutes; cont. coffee",112,3345.17,126698.5,30106.57,728690.59,0,0,0.48,1037.28,69.23,4.74,22700.73,216507.15,1.93,771.25,3402.32,3.84,0.88,164.14,6.94,124.51,2267.29,10.22,5603.17,3308.01,11382.89,0,0,56.31,75.64,0
"40","Uruguay","Coffee, green",0.00312,3449285,1176000,"Import_kg",656,"Coffee",152,2024.69,123530.18,163015.6,395578.08,10.93,0,0.19,1126.01,37.76,5.8,24323.05,0,2.26,388.64,3105.96,1.57,5.46,121.16,0.25,470.64,2041.79,4.16,362.03,2715.23,181.02,0,0,57.4,63.35,0
"41","Uruguay","Coffee, roasted",0.00312,3449285,302000,"Import_kg",657,"Coffee",152,519.95,31722.89,41862.85,101585.53,2.81,0,0,289.16,9.7,1.49,6246.23,0,0.58,99.8,797.62,0.4,1.4,31.12,0,120.86,524.34,1.07,92.97,697.28,46.49,0,0,14.74,16.27,0
"42","Uruguay","Cucumbers and gherkins",0.0675,3449285,3000,"Import_kg",397,"Cucumbers and gherkins",86,0,0.83,0.15,3.26,0,0,0,0,0,0,0.18,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0
"43","Uruguay","Dates",0.0393863636363636,3449285,78000,"Import_kg",577,"Dates",121,11.41,100.91,16.87,2925.83,0.39,0,0,2.38,0,0,34.65,283.63,0,0.11,4.61,0,0,0,0,0.47,2.32,0,0.92,1.03,0.55,0,0,2.17,0,1
"44","Uruguay","Eggplants (aubergines)",0.082,3449285,2000,"Import_kg",399,"Eggplants (aubergines)",87,0,0.82,0.51,3.74,0,0,0,0,0,0,0.14,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Uruguay","Figs",0.0504615384615385,3449285,1000,"Import_kg",569,"Figs",139,0,0.58,0.12,7.16,0,0,0,0,0,0,0.13,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Uruguay","Figs dried",0.0504615384615385,3449285,16000,"Import_kg",570,"Figs",139,0.5,9.32,1.93,114.6,0,0,0,0.43,0,0,2.03,20.22,0,0,0.22,0,0,0,0,0,0.16,0,0.43,0.48,1.02,0,0,0.77,0,0
