"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Uzbekistan","Alfalfa meal and pellets",0.0651708222811671,32476244,40000,"Import_kg",862,"Mixed grain",12,0.66,21.6,4.69,139.28,0,0,0,0,0,0,0.65,19.97,0,0,0.6,0,0,0,0,0,0.22,0,0.83,1.01,1.97,0,0,0,0,0
"2","Uzbekistan","Almonds, with shell",0.0296505238073522,32476244,21411000,"Production_kg",221,"Almonds; with shell",45,1323.86,47160.61,113746.35,40149.15,23.12,0,0,539.68,6.94,8.05,1750.64,16120.44,2.26,10.73,1073.29,0.47,1.71,8.68,0.3,115.84,714.86,4.65,8785.08,75100.11,25936.11,0,0,11.06,6.52,144.53
"3","Uzbekistan","Anise, badian, fennel, coriander",0.00195,32476244,3161000,"Import_kg",711,"Anise; badian; fennel; coriander",161,1734.93,78930.98,71531.2,233261.52,52.16,0.12,0,4059.39,160.19,23.15,7404.77,119184.01,4.68,369.37,2296.51,1.64,1.51,15.37,2.5,2734.55,1572.3,13.61,4203.77,54341.59,13118.45,0,0,49.72,33.6,0
"4","Uzbekistan","Apples",0.121111111111111,32476244,1125059000,"Production_kg/Import_kg",515,"Apples",119,1605.68,8879.13,8426.24,374282.26,415.29,0.16,0,221.68,20.06,1.83,2942.12,40522.22,0.83,166.62,310.56,1.3,0.81,5.36,1.15,4639.56,133.48,1,1115.55,243.13,1873.56,0,0,2417.13,7.36,286.04
"5","Uzbekistan","Apricots",0.03995,32476244,536568000,"Production_kg/Import_kg",526,"Apricots",125,2043,41356.35,10575.41,470800.67,276.4,5.29,0.37,703.06,32.85,9.1,12062.27,56520.34,3.23,54.8,985.66,0.96,4.62,32.26,2.23,115.8,413.56,3.18,1178.66,7030.58,3246.47,0,0,3540.4,32.67,351.53
"6","Uzbekistan","Apricots, dry",0.03995,32476244,2000,"Import_kg",527,"Apricots",125,0,0.15,0,1.75,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Uzbekistan","Artichokes",0.1,32476244,4478000,"Production_kg",366,"Artichokes",79,7.65,360.85,24.13,1599.82,1.14,0,0,11.49,0.18,0,47.2,340.12,0,14.63,13.51,0,0,0,0,4.74,8.27,0,5.93,1.03,8.55,0,0,11.89,0.18,8.27
"8","Uzbekistan","Avocados",0.048,32476244,25000,"Import_kg",572,"Avocados",141,0.23,2.58,22.59,6.96,0,0,0,0,0,0,0.82,7.03,0,0,0.27,0,0,0,0,0,0,0,3.84,12.74,2.67,0,0,0.12,0,0
"9","Uzbekistan","Bananas",0.04075,32476244,42713000,"Import_kg",486,"Bananas",117,325.13,3923.84,750.39,75343.75,34.36,0.12,0,31.8,2.58,0.53,1096.71,5046.64,0.3,20.48,81.86,0.17,0.16,2.75,1.13,31.63,91.45,0.87,358.25,83.92,182.35,0,0,235.1,2.68,114.58
"10","Uzbekistan","Barley",0.04775,32476244,205350000,"Production_kg/Import_kg",44,"Barley",3,4557.16,121092.01,18427.37,987290.12,8.83,0,0.28,738.24,103,33.48,3409.83,109688.39,8.47,283.38,3872.94,3.48,1.71,70.81,3.83,500.55,1028.47,18.83,4806.87,2939.74,11043.88,0,0,155.49,24.26,0
