"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Uzbekistan","Almonds, with shell",0.0296505238073522,32476244,21411000,"Production_kg",221,"Almonds; with shell",45,1323.86,47160.61,113746.35,40149.15,23.12,0,0,539.68,6.94,8.05,1750.64,16120.44,2.26,10.73,1073.29,0.47,1.71,8.68,0.3,115.84,714.86,4.65,8785.08,75100.11,25936.11,0,0,11.06,6.52,144.53
"2","Uzbekistan","Apples",0.121111111111111,32476244,1124017000,"Production_kg",515,"Apples",119,1604.19,8870.91,8418.43,373935.61,414.91,0.16,0,221.48,20.04,1.83,2939.39,40484.69,0.83,166.46,310.27,1.3,0.81,5.35,1.15,4635.26,133.36,1,1114.52,242.91,1871.82,0,0,2414.9,7.35,285.77
"3","Uzbekistan","Apricots",0.03995,32476244,536544000,"Production_kg",526,"Apricots",125,2042.91,41354.5,10574.94,470779.62,276.39,5.29,0.37,703.03,32.85,9.1,12061.73,56517.82,3.23,54.79,985.62,0.96,4.62,32.26,2.23,115.79,413.54,3.18,1178.6,7030.26,3246.33,0,0,3540.24,32.67,351.51
"4","Uzbekistan","Artichokes",0.1,32476244,4478000,"Production_kg",366,"Artichokes",79,7.65,360.85,24.13,1599.82,1.14,0,0,11.49,0.18,0,47.2,340.12,0,14.63,13.51,0,0,0,0,4.74,8.27,0,5.93,1.03,8.55,0,0,11.89,0.18,8.27
"5","Uzbekistan","Barley",0.04775,32476244,133496000,"Production_kg",44,"Barley",3,2962.56,78720.72,11979.45,641827.53,5.74,0,0.18,479.93,66.96,21.76,2216.7,71307.34,5.5,184.22,2517.76,2.26,1.11,46.03,2.49,325.4,668.6,12.24,3124.9,1911.09,7179.52,0,0,101.08,15.77,0
"6","Uzbekistan","Beans, green",0.0843965476190476,32476244,8528000,"Production_kg",414,"Beans; green",92,14.84,1418.72,169.39,2328.16,7.13,0,0,19.59,0.68,0.14,90.56,697.17,0,5.16,33.17,0,0.31,0.27,0,2.52,9.33,0,15.14,5.7,29.25,0,0,25.86,0.35,3.86
"7","Uzbekistan","Berries nes",0.109406559397488,32476244,1054000,"Production_kg",558,"Berries; nes",138,1.68,27.61,13.37,380.5,1.37,0,0,1.09,0,0,4.9,85.43,0,0.18,0.67,0,0,0,0,0.29,0.48,0,0.53,1.25,6.47,0,0,2.55,0,0
"8","Uzbekistan","Blueberries",0.134028846153846,32476244,669000,"Production_kg",552,"Blueberries",136,0.88,11.37,5.07,222.71,0.15,0,0,0,0,0,1.18,36.89,0,0,0.18,0,0,0,0,0,0,0,0.43,0.72,2.24,0,0,1.29,0,0
"9","Uzbekistan","Broad beans, horse beans, dry",0.052,32476244,15267000,"Production_kg",181,"Broad beans; horse beans; dry",32,302.4,21694.8,1435.91,49720.34,2.46,0,0.38,89.59,7.3,3.16,1078.69,17508.12,0.74,16.48,344.86,0.35,0.26,2.38,0.33,86.61,173.12,1.47,227.82,272.57,545.58,0,0,9.43,2.72,24.41
"10","Uzbekistan","Cabbages and other brassicas",0.08324,32476244,703403000,"Production_kg",358,"Cabbages and other brassicas",78,699.05,59095.57,7930.59,114035.11,1595.66,6,1.63,3193.14,45.03,8.88,7430.26,57423.32,4.03,1022.77,1834.48,1.58,2.67,20.16,4.69,641.54,635.32,6.6,892.68,466.36,2285.75,0,0,2363.75,28.78,718.15
"11","Uzbekistan","Carrots and turnips",0.0830718954248366,32476244,2769613000,"Production_kg",426,"Carrots and turnips",96,3103.82,134426.92,24037.91,602290.31,2810.3,62.48,2.24,6809.75,159.24,26.52,29877.34,208472.13,6.04,4846,12229.74,5.27,9.56,79.59,18.72,10738.18,1249.02,14.68,3319.32,1505.67,7767.9,0,0,9162.23,128.82,2361.17
"12","Uzbekistan","Cereals nes",0.0486257263475995,32476244,12750000,"Production_kg",108,"Cereals; nes",13,281.17,10515.61,3716.06,59335.41,0.87,0,0,117.22,17.9,3.07,344.75,2549.02,0.65,6.3,307.31,0.29,0.21,1.18,0.39,10.58,148.56,7.46,362.51,475.55,864.7,0,0,8.81,3.16,0
"13","Uzbekistan","Cherries",0.1289,32476244,175861000,"Production_kg",531,"Cherries",127,191.51,4572.07,728.17,43746.23,52.6,0.12,0,115.95,2.13,0.29,1043.94,4411.03,0.25,6.3,98.3,0,0.12,2.9,0.21,25.63,46.21,0.29,159.64,197.45,218.45,0,0,346.06,2.86,33.61
