"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Viet Nam","Alfalfa meal and pellets",0.0651708222811671,95545962,243000,"Import_kg",862,"Mixed grain",12,1.36,44.61,9.68,287.6,0,0,0,0,0,0,1.34,41.24,0,0,1.23,0,0,0,0,0.13,0.46,0,1.71,2.08,4.07,0,0,0,0,0
"2","Viet Nam","Almonds shelled",0.0296505238073522,95545962,12527000,"Import_kg",231,"Almonds; with shell",45,263.27,9378.71,22620.44,7984.36,4.6,0,0,107.32,1.38,1.6,348.15,3205.83,0.45,2.13,213.44,0,0.34,1.73,0,23.04,142.16,0.92,1747.07,14934.96,5157.85,0,0,2.2,1.3,28.74
"3","Viet Nam","Almonds, with shell",0.0296505238073522,95545962,2033000,"Import_kg",221,"Almonds; with shell",45,42.73,1522.07,3671.06,1295.78,0.75,0,0,17.42,0.22,0.26,56.5,520.27,0,0.35,34.64,0,0,0.28,0,3.74,23.07,0.15,283.53,2423.79,837.06,0,0,0.36,0.21,4.66
"4","Viet Nam","Anise, badian, fennel, coriander",0.00195,95545962,1226000,"Import_kg",711,"Anise; badian; fennel; coriander",161,228.72,10405.6,9430.07,30751.23,6.88,0,0,535.16,21.12,3.05,976.18,15712.22,0.62,48.69,302.75,0.22,0.2,2.03,0.33,360.5,207.28,1.79,554.19,7163.94,1729.43,0,0,6.56,4.43,0
"5","Viet Nam","Apples",0.121111111111111,95545962,119612000,"Import_kg",515,"Apples",119,58.02,320.87,304.5,13525.46,15.01,0,0,8.01,0.72,0,106.32,1464.35,0,6.02,11.22,0,0,0.19,0,167.66,4.82,0,40.31,8.79,67.7,0,0,87.35,0.27,10.34
"6","Viet Nam","Apricots, dry",0.03995,95545962,99000,"Import_kg",527,"Apricots",125,0.13,2.59,0.66,29.53,0,0,0,0,0,0,0.76,3.54,0,0,0,0,0,0,0,0,0,0,0,0.44,0.2,0,0,0.22,0,0
"7","Viet Nam","Asparagus",0.0845294117647059,95545962,12000,"Import_kg",367,"Asparagus",80,0,0.32,0,0.45,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Viet Nam","Bananas",0.04075,95545962,9988000,"Import_kg",486,"Bananas",117,25.84,311.88,59.64,5988.52,2.73,0,0,2.53,0.2,0,87.17,401.12,0,1.63,6.51,0,0,0.22,0,2.51,7.27,0,28.47,6.67,14.49,0,0,18.69,0.21,9.11
"9","Viet Nam","Barley",0.04775,95545962,218659000,"Import_kg",44,"Barley",3,1649.38,43826.99,6669.44,357331.17,3.2,0,0.1,267.19,37.28,12.12,1234.12,39699.66,3.06,102.56,1401.74,1.26,0.62,25.63,1.39,181.16,372.23,6.81,1739.76,1063.98,3997.12,0,0,56.28,8.78,0
"10","Viet Nam","Beans, dry",0.1145,95545962,94559000,"Import_kg",176,"Beans",30,284.82,18403.67,1186.68,50132.56,1.57,0,0.35,120.94,6.3,2.52,1010.66,10720.16,0.75,13.5,334.29,0.39,0.19,1.73,0.34,95.42,149.44,1.13,267.18,118.64,411.04,0,0,10.13,3.3,0
"11","Viet Nam","Beans, green",0.0843965476190476,95545962,4000,"Import_kg",414,"Beans; green",92,0,0.23,0,0.37,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Viet Nam","Beet pulp",0.125770747489689,95545962,77000,"Import_kg",169,"Roots and tubers; nes",23,0,1.24,0.49,13.9,0,0,0,0,0,0,0.31,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Viet Nam","Bran, maize",0.0538461538461538,95545962,78919000,"Import_kg",59,"Corn Flour",223,545.39,13035.23,5031.99,111888.57,0.56,0,0,43.01,5.8,2.04,326.56,6868.31,0.24,10.94,302.02,0.41,0.16,2.74,0.32,0,88.31,0,452.9,1639.04,2720.86,0,0,15.98,1.77,0
"14","Viet Nam","Bran, wheat",0.0374838709677419,95545962,415211000,"Import_kg",17,"Wheat Flour",222,4005.73,132998.87,17537.3,824839.67,2.16,0,0.29,463.6,31.56,14.88,1994.07,15226.04,1.14,374.24,2144.98,4.06,1.54,26.54,1.41,120.57,525.57,9.75,1796.98,1008.63,4788.09,0,0,134.29,11.08,0
"15","Viet Nam","Brazil nuts, shelled",0.0297575757575758,95545962,240000,"Import_kg",229,"Brazil nuts; with shell",42,5.52,127.04,574.17,88.38,0,0,0,1.38,0,0,5.56,63.31,0,0,6.43,0,0,0,0,0.24,3.17,0,136.19,201.57,205.96,0,0,0,0,0.41
"16","Viet Nam","Broad beans, horse beans, dry",0.052,95545962,4784000,"Import_kg",181,"Broad beans; horse beans; dry",32,32.21,2310.72,152.94,5295.72,0.26,0,0,9.54,0.78,0.34,114.89,1864.79,0,1.76,36.73,0,0,0.25,0,9.22,18.44,0.16,24.26,29.03,58.11,0,0,1,0.29,2.6
"17","Viet Nam","Buckwheat",0.0421111111111111,95545962,168000,"Import_kg",89,"Buckwheat",9,1.38,44.42,11.27,287.69,0,0,0,0.18,0,0,1.72,38.83,0,0,1.47,0,0,0,0,0,0.96,0,3.09,4.34,4.34,0,0,0,0,0
"18","Viet Nam","Cabbages and other brassicas",0.08324,95545962,20090000,"Import_kg",358,"Cabbages and other brassicas",78,6.79,573.7,76.99,1107.05,15.49,0,0,31,0.44,0,72.13,557.46,0,9.93,17.81,0,0,0.2,0,6.23,6.17,0,8.67,4.53,22.19,0,0,22.95,0.28,6.97
"19","Viet Nam","Cake, copra",0.0131048387096774,95545962,7590000,"Import_kg",253,"Coconut Oil",70,482.01,636.48,53696.97,266.72,0,0,0,1.82,0.24,0,67.44,0,0,2.42,15.61,0,0,0,0,0.18,0,0,52434.11,3515.81,1091.11,0,0,9.24,0.15,0
"20","Viet Nam","Cake, groundnuts",0.014,95545962,517000,"Import_kg",245,"Groundnut Oil",64,34.69,0,3864.45,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659.63,1691.58,1326.99,0,0,0,0,0
"21","Viet Nam","Cake, linseed",0.0178426203877423,95545962,59000,"Import_kg",335,"Oilcrops; Other",62,1.8,66.17,134.58,94.19,0,0,0,1.17,0,0,2.49,42.74,0,0.11,1.91,0,0,0,0,0.15,1.15,0,15.21,34.82,91.38,0,0,0,0,0
"22","Viet Nam","Cake, palm kernel",0.012,95545962,439340000,"Import_kg",259,"Palmkernel Oil",68,33758.49,0,3831838.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,3122948.13,436829.55,61309.41,0,0,0,0,0
"23","Viet Nam","Cake, rapeseed",0.0137773983739837,95545962,290410000,"Import_kg",272,"Rape and Mustard Oil",66,19751.21,0,2205819.47,0,0,0,0,49.64,20.41,2.98,0,0,0,38.61,0,0,0,0,0,4.41,0,0,184190.18,1305024.24,612364.14,0,0,0.37,0,0
"24","Viet Nam","Cake, soybeans",0.014,95545962,3757447000,"Import_kg",238,"Soyabean Oil",63,251162.19,0,28059166.9,2340.84,0,0,0,436.96,81.15,91.76,0,0,0,436.96,10.03,0,0,0,0,56.18,0,0,7433951.1,6570583.39,12723347.38,0,0,2.55,0,0
"25","Viet Nam","Cake, sunflower",0.0244,95545962,80454000,"Import_kg",269,"Sunflowerseed Oil",65,3087.51,0,343567.59,0,0,0,0,2.3,1.18,0.13,0,0,0,3.22,0,0,0,0,0,0,0,0,36206.78,101712.59,197127.11,0,0,0.15,0,0
"26","Viet Nam","Carrots and turnips",0.0830718954248366,95545962,14378000,"Import_kg",426,"Carrots and turnips",96,5.48,237.2,42.42,1062.77,4.96,0.11,0,12.02,0.28,0,52.72,367.86,0,8.55,21.58,0,0,0.14,0,18.95,2.2,0,5.86,2.66,13.71,0,0,16.17,0.23,4.17
"27","Viet Nam","Cashew nuts, shelled",0.0289438420348059,95545962,21122000,"Import_kg",230,"Cashew nuts; with shell",43,415.67,14033.98,32144.82,18469.08,1.25,0,0,30.77,4.62,3.95,496.84,2031.65,1.62,70.6,359.36,0.41,0.12,1,0.33,0,231.17,1.01,5944.48,18175.6,5991.83,0,0,7.59,1.74,21.39
"28","Viet Nam","Cashew nuts, with shell",0.0289438420348059,95545962,1304922000,"Import_kg",217,"Cashew nuts; with shell",43,25680.09,867022.27,1985914.59,1141024.01,77.07,0.45,1.68,1900.93,285.68,243.84,30694.7,125515.59,99.84,4361.59,22201.16,25.16,7.2,61.59,20.54,0,14281.72,62.64,367251.07,1122892.67,370176.62,0,0,469.19,107.72,1321.22
"29","Viet Nam","Cassava dried",0.108277777777778,95545962,145110000,"Import_kg",128,"Cassava",17,195.09,2563.09,665.79,43543.12,45.16,0,0,54.68,1.71,0.48,527.39,2075.9,0.14,12.9,55.28,0,0,0.8,0.12,33.24,29.46,0.54,122.03,122.73,61.72,0,0,88.12,1.97,29.46
"30","Viet Nam","Cauliflowers and broccoli",0.103835520801038,95545962,2231000,"Import_kg",393,"Cauliflowers and broccoli",84,0.64,69.66,7.27,91.5,1.82,0,0,0.99,0,0,6.66,42.73,0,0.67,2.44,0,0,0,0,1.42,0.4,0,1.4,0.42,0.73,0,0,1.95,0,1.08
"31","Viet Nam","Cereal preparations nes",0.0486257263475995,95545962,132000,"Import_kg",113,"Cereals; nes",13,0.99,37,13.08,208.8,0,0,0,0.41,0,0,1.21,8.97,0,0,1.08,0,0,0,0,0,0.52,0,1.28,1.67,3.04,0,0,0,0,0
"32","Viet Nam","Cherries",0.1289,95545962,9112000,"Import_kg",531,"Cherries",127,3.37,80.52,12.82,770.44,0.93,0,0,2.04,0,0,18.39,77.69,0,0.11,1.73,0,0,0,0,0.45,0.81,0,2.81,3.48,3.85,0,0,6.09,0,0.59
"33","Viet Nam","Cherries, sour",0.028,95545962,975000,"Import_kg",530,"Sour cherries",126,1.73,40.09,9.72,405.51,0.36,0,0,0.5,0,0,6.3,43.73,0,0.2,0.6,0,0,0,0,0.22,0.33,0,2.48,2.99,3.28,0,0,3.17,0,0.4
"34","Viet Nam","Chestnut",0.059,95545962,464000,"Import_kg",220,"Chestnuts",44,2.16,41.95,24.01,428.59,0.15,0,0,0.31,0,0,5.38,101.24,0,0.15,1.04,0,0,0,0,0,0.61,0,6.89,12.63,14.47,0,0,0.28,0,0.16
"35","Viet Nam","Chick peas",0.04575,95545962,96000,"Import_kg",191,"Chick peas",33,0.77,42.7,11.06,128.07,0,0,0,0.3,0,0,1.78,16.76,0,0,0.68,0,0,0,0,0.32,0.22,0,1.35,2.99,5.84,0,0,0,0,0
"36","Viet Nam","Chillies and peppers, dry",4e-04,95545962,3843000,"Import_kg",689,"Pimento",156,2417.93,103046,89754.23,412645.31,758.51,6.83,0.55,2086.13,73.4,26.57,18320.88,223430.32,6.63,4562.62,1869.49,2.81,4.38,55.48,17.33,517.85,1543.5,21.9,26646.73,17110.89,61994.71,0,0,281.84,60.17,0
"37","Viet Nam","Chillies and peppers, green",0.0664142191142191,95545962,459000,"Import_kg",401,"Chillies and peppers; green",88,0.28,12.88,4.81,49.97,0.83,0,0,0.2,0,0,2.04,23.25,0,0,0.74,0,0,0,0,0,0.26,0,0.3,0.13,1.32,0,0,0.64,0,0.12
"38","Viet Nam","Chocolate products nes",0.0115,95545962,6430000,"Import_kg",666,"Cocoa Beans",153,133.42,9442.71,24198.99,33882.81,0,0,0,62.77,2.97,3.99,587.24,21652.22,2.22,4.83,343.21,0,0.12,1.08,0,7.02,292.01,2.25,13469.73,9300.22,503.27,0,0,2.27,2.33,0
"39","Viet Nam","Cider etc",0.0683571428571429,95545962,1168000,"Import_kg",517,"Fruit juice; nes",149,0.89,4.44,2.42,217.54,1.34,0,0,0.18,0,0,1.93,5.09,0,0.14,0.15,0,0,0,0,0,0.13,0,0.45,0.61,1.11,0,0,1.57,0,0
"40","Viet Nam","Cinnamon (cannella)",0.00115555555555556,95545962,2318000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Viet Nam","Cloves",0.0013,95545962,114000,"Import_kg",698,"Cloves",157,22,396.8,856.62,4146.33,0,0,0,51.46,0.79,0.21,93.62,1968.69,0,25.42,7.46,0,0,0,0,3.43,23.77,5.52,362.72,127.85,330.96,0,0,3.06,0.39,0
"42","Viet Nam","Cocoa, beans",0.0115,95545962,26000,"Import_kg",661,"Cocoa Beans",153,0.54,38.18,97.85,137.01,0,0,0,0.25,0,0,2.37,87.55,0,0,1.39,0,0,0,0,0,1.18,0,54.47,37.61,2.03,0,0,0,0,0
"43","Viet Nam","Cocoa, butter",0.0115,95545962,173000,"Import_kg",664,"Cocoa Beans",153,3.59,254.06,651.08,911.62,0,0,0,1.69,0,0.11,15.8,582.56,0,0.13,9.23,0,0,0,0,0.19,7.86,0,362.4,250.22,13.54,0,0,0,0,0
"44","Viet Nam","Cocoa, paste",0.0115,95545962,415000,"Import_kg",662,"Cocoa Beans",153,8.61,609.44,1561.83,2186.84,0,0,0,4.05,0.19,0.26,37.9,1397.46,0.14,0.31,22.15,0,0,0,0,0.45,18.85,0.14,869.35,600.25,32.48,0,0,0.15,0.15,0
"45","Viet Nam","Cocoa, powder & cake",0.0115,95545962,4967000,"Import_kg",665,"Cocoa Beans",153,103.07,7294.24,18693.06,26173.54,0,0,0,48.49,2.29,3.08,453.63,16725.75,1.71,3.73,265.12,0,0,0.83,0,5.42,225.57,1.73,10405,7184.16,388.76,0,0,1.75,1.8,0
"46","Viet Nam","Coconuts",0.04,95545962,712000,"Import_kg",249,"Coconuts - Incl Copra",58,5.91,62.5,524.32,234.42,0,0,0,0.35,0,0,6.09,120.27,0,0.39,1.96,0,0,0,0,0.23,0.54,0,556.08,49.6,12.72,0,0,0.99,0,0.77
"47","Viet Nam","Coconuts, desiccated",0.04,95545962,40000,"Import_kg",250,"Coconuts - Incl Copra",58,0.33,3.51,29.46,13.17,0,0,0,0,0,0,0.34,6.76,0,0,0.11,0,0,0,0,0,0,0,31.24,2.79,0.71,0,0,0,0,0
"48","Viet Nam","Coffee, extracts",0.00312,95545962,4375000,"Import_kg",659,"Coffee substitutes; cont. coffee",112,528.34,20010.88,4755.06,115090.1,0,0,0,163.83,10.93,0.75,3585.38,34195.35,0.31,121.81,537.37,0.61,0.14,25.92,1.1,19.67,358.1,1.61,884.97,522.47,1797.82,0,0,8.89,11.95,0
"49","Viet Nam","Coffee, green",0.00312,95545962,16446000,"Import_kg",656,"Coffee",152,1022.18,62365.27,82299.82,199710.97,5.52,0,0,568.48,19.06,2.93,12279.7,0,1.14,196.21,1568.07,0.79,2.76,61.17,0.13,237.61,1030.81,2.1,182.77,1370.81,91.39,0,0,28.98,31.98,0
