"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Yemen","Almonds, with shell",0.0296505238073522,28498683,11340000,"Production_kg",221,"Almonds; with shell",45,799.02,28464.04,68652.22,24232.24,13.96,0,0,325.73,4.19,4.86,1056.61,9729.58,1.36,6.48,647.79,0.29,1.03,5.24,0.18,69.92,431.46,2.8,5302.28,45327.07,15653.88,0,0,6.67,3.94,87.23
"2","Yemen","Apples",0.121111111111111,28498683,21946000,"Production_kg",515,"Apples",119,35.69,197.37,187.31,8319.94,9.23,0,0,4.93,0.45,0,65.4,900.77,0,3.7,6.9,0,0,0.12,0,103.13,2.97,0,24.8,5.4,41.65,0,0,53.73,0.16,6.36
"3","Yemen","Apricots",0.03995,28498683,1521000,"Production_kg",526,"Apricots",125,6.6,133.59,34.16,1520.84,0.89,0,0,2.27,0.11,0,38.96,182.58,0,0.18,3.18,0,0,0.1,0,0.37,1.34,0,3.81,22.71,10.49,0,0,11.44,0.11,1.14
"4","Yemen","Bananas",0.04075,28498683,116300000,"Production_kg",486,"Bananas",117,1008.83,12175.07,2328.36,233780.29,106.62,0.37,0.19,98.66,8,1.65,3402.91,15658.97,0.92,63.56,254,0.54,0.51,8.53,3.5,98.14,283.74,2.7,1111.6,260.38,565.82,0,0,729.48,8.3,355.51
"5","Yemen","Barley",0.04775,28498683,26933000,"Production_kg",44,"Barley",3,681.12,18098.66,2754.19,147562.44,1.32,0,0,110.34,15.39,5,509.64,16394.26,1.27,42.35,578.86,0.52,0.26,10.58,0.57,74.81,153.72,2.81,718.44,439.38,1650.64,0,0,23.24,3.63,0
"6","Yemen","Beans, dry",0.1145,28498683,3028000,"Production_kg",176,"Beans",30,30.58,1975.81,127.4,5382.21,0.17,0,0,12.98,0.68,0.27,108.5,1150.91,0,1.45,35.89,0,0,0.19,0,10.24,16.04,0.12,28.68,12.74,44.13,0,0,1.09,0.35,0
"7","Yemen","Beans, green",0.0843965476190476,28498683,3151000,"Production_kg",414,"Beans; green",92,6.25,597.37,71.32,980.29,3,0,0,8.25,0.28,0,38.13,293.55,0,2.17,13.97,0,0.13,0.11,0,1.06,3.93,0,6.38,2.4,12.31,0,0,10.89,0.15,1.62
"8","Yemen","Broad beans, horse beans, dry",0.052,28498683,5444000,"Production_kg",181,"Broad beans; horse beans; dry",32,122.88,8815.79,583.49,20204.1,1,0,0.16,36.4,2.97,1.28,438.33,7114.51,0.3,6.7,140.14,0.14,0.11,0.97,0.14,35.19,70.35,0.6,92.57,110.76,221.7,0,0,3.83,1.1,9.92
"9","Yemen","Cabbages and other brassicas",0.08324,28498683,8038000,"Production_kg",358,"Cabbages and other brassicas",78,9.1,769.56,103.27,1484.99,20.78,0,0,41.58,0.59,0.12,96.76,747.78,0,13.32,23.89,0,0,0.26,0,8.35,8.27,0,11.62,6.07,29.77,0,0,30.78,0.37,9.35
"10","Yemen","Carrots and turnips",0.0830718954248366,28498683,15112000,"Production_kg",426,"Carrots and turnips",96,19.3,835.85,149.47,3744.98,17.47,0.39,0,42.34,0.99,0.16,185.77,1296.26,0,30.13,76.04,0,0,0.49,0.12,66.77,7.77,0,20.64,9.36,48.3,0,0,56.97,0.8,14.68
