"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Afghanistan","Almonds, with shell",0.0296505238073522,37171921,39790000,"Production_kg/Import_kg",221,"Almonds; with shell",45,2149.47,76571.51,184682.3,65187.47,37.55,0,0.16,876.24,11.28,13.07,2842.4,26173.67,3.67,17.42,1742.62,0.77,2.77,14.1,0.49,188.09,1160.67,7.54,14263.75,121934.99,42110.72,0,0,17.96,10.59,234.66
"2","Afghanistan","Anise, badian, fennel, coriander",0.00195,37171921,30566000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,14657.1,666825.84,604310.91,1970643.23,440.66,1,0.49,34294.56,1353.34,195.56,62557.09,1006892.02,39.56,3120.48,19401.38,13.83,12.74,129.82,21.08,23102.06,13283.1,115.02,35514.38,459089.35,110827.47,0,0,420.07,283.87,0
"3","Afghanistan","Apples",0.121111111111111,37171921,259671000,"Production_kg/Import_kg",515,"Apples",119,323.79,1790.48,1699.15,75474.14,83.74,0,0,44.7,4.04,0.37,593.28,8171.32,0.17,33.6,62.62,0.26,0.16,1.08,0.23,935.57,26.92,0.2,224.95,49.03,377.8,0,0,487.42,1.48,57.68
"4","Afghanistan","Apricots",0.03995,37171921,129364000,"Production_kg/Import_kg",526,"Apricots",125,430.34,8711.27,2227.6,99169.14,58.22,1.12,0,148.09,6.92,1.92,2540.79,11905.41,0.68,11.54,207.62,0.2,0.97,6.79,0.47,24.39,87.11,0.67,248.27,1480.92,683.83,0,0,745.75,6.88,74.05
"5","Afghanistan","Barley",0.04775,37171921,135503000,"Production_kg/Import_kg",44,"Barley",3,2627.24,69810.46,10623.52,569180.2,5.09,0,0.16,425.6,59.38,19.3,1965.79,63236.19,4.88,163.37,2232.78,2.01,0.99,40.82,2.21,288.57,592.92,10.85,2771.2,1694.78,6366.88,0,0,89.64,13.99,0
"6","Afghanistan","Berries nes",0.109406559397488,37171921,35804000,"Production_kg",558,"Berries; nes",138,49.83,819.39,396.8,11292.71,40.77,0,0,32.26,1.35,0.37,145.56,2535.51,0.1,5.32,19.81,0,0,0.43,0,8.6,14.31,0.83,15.85,36.98,192.14,0,0,75.58,0.44,0.7
"7","Afghanistan","Figs",0.0504615384615385,37171921,24320000,"Production_kg/Import_kg",569,"Figs",139,70.23,1314.7,272.27,16164.23,10.97,0,0,60.57,1.12,0.5,286.75,2852.4,0.1,2.87,31.44,0,0,0.54,0.14,6.09,22.04,0.17,60.51,67.42,144.35,0,0,108.62,0.95,9.72
"8","Afghanistan","Fruit, citrus nes",0.125066666666667,37171921,38685000,"Production_kg",512,"Citrus; Other",116,53.67,911.17,262.12,12315.38,29.37,0,0,51.04,0.63,0.16,154.77,5408.78,0,5.41,7.49,0,0,0.17,0,6.99,16.64,0.11,85.71,128.15,142.29,0,0,69.66,0.42,5.82
"9","Afghanistan","Fruit, fresh nes",0.107099201828105,37171921,45798000,"Production_kg/Import_kg",619,"Fresh fruit; nes",147,103.54,1756.99,876.26,22171.2,44.87,0,0,61.71,4.2,0.29,320.47,3994.99,0.13,12.84,48.13,0,0,1.15,0.1,80.33,36.71,0.24,140.81,97.02,134.08,0,0,87.08,1.05,32.02
"10","Afghanistan","Fruit, stone nes",0.110582805429864,37171921,54617000,"Production_kg",541,"Stone fruit; nes",130,64.22,1357.48,385.32,15683.03,10.74,0,0,13.29,0.39,0.18,266.18,2280.93,0.1,0.89,26.8,0,0,0.78,0,6.47,12.18,0,42.96,130.21,102.31,0,0,114.8,0.64,9.74
"11","Afghanistan","Grapes",0.1235,37171921,1113400000,"Production_kg/Import_kg",560,"Grapes",122,1492.02,13019.56,5743.6,354246.14,124.63,0.11,0,362.52,14.95,1.73,4394.68,51278.22,2.36,78.01,493.15,1.05,3.25,5.29,2.38,135.82,654.84,16.75,2894.22,331.46,2263.63,0,0,2019.07,11.5,339.54
"12","Afghanistan","Linseed",0.0178426203877423,37171921,97399000,"Production_kg/Import_kg",333,"Oilcrops; Other",62,7658.35,280786.33,571048.13,399670.87,33.92,0,1.07,4976.36,252.33,63.64,10573.37,181362.63,17.74,485.35,8106.66,7.23,4.46,46.39,7.82,642.48,4886.51,42.94,64545.27,147766.49,387730.55,0,0,84.45,63.84,340.7
"13","Afghanistan","Maize",0.0869363057324841,37171921,198593000,"Production_kg/Import_kg",56,"Maize",4,2171.47,53113.68,21034.67,443523.5,4.21,0.14,0.14,128.22,20,11.03,1810.46,31826.17,1.11,57.43,1345.15,1.64,0.73,15.85,2.18,0,673.95,1.49,3636.52,7913.69,14845.67,0,0,76.58,7.71,0
"14","Afghanistan","Melons, other (inc.cantaloupes)",0.179843076923077,37171921,469087000,"Production_kg/Import_kg",568,"Other melons (inc. cantaloupes)",111,199.95,3797.54,1067.15,45147.5,162.91,0.35,0.11,107.08,3.74,0.8,1794.57,4811.58,0.27,85.23,115.16,0.2,0.16,3.33,0.66,53.33,75.78,0.24,266.64,18.71,418.67,0,0,648.87,3.36,334.47
"15","Afghanistan","Millet",0.0477,37171921,6535000,"Production_kg/Import_kg",79,"Millet",7,126.53,3414.45,1386.92,25951.71,0.1,0,0,21.96,2.65,0.84,95.55,2052.4,0.38,3.98,92.72,0.11,0,0.88,0.35,275.69,48.56,0.4,266.47,284.9,786.51,0,0,3.99,0.86,0
"16","Afghanistan","Nuts nes",0.0310679900238414,37171921,1498000,"Production_kg/Import_kg",234,"Nuts; nes",51,71.88,1879.56,5661.28,4102.66,0.23,0,0,15.84,0.58,0.44,61.03,486.86,0.11,4.71,65.55,0,0,0.23,0,6.25,26.07,0.64,1562.37,4234.38,2674.48,0,0,0.88,0.32,7.13
"17","Afghanistan","Olives",0.014,37171921,8789000,"Production_kg/Import_kg",260,"Olives",61,165.51,1608.65,26705.27,10023.45,1.35,0,0,128.35,4.53,0.37,14.36,4813.28,0.4,1241.32,27.87,0,0,0.36,0,14.27,6.76,0,1962.47,10943.04,1264.12,0,0,125.66,4.79,0
"18","Afghanistan","Onions, dry",0.093304347826087,37171921,365815000,"Production_kg/Import_kg",403,"Onions",77,416.48,12139.08,1482.36,88120.44,93.78,0,0.14,437.18,7.51,4.16,1362.72,14977.28,0.29,105.94,550.13,0.35,0.39,2.54,1.16,64.34,125.87,0.68,358.61,256.65,587.14,0,0,951.56,5.48,84.38
"19","Afghanistan","Oranges",0.138371428571429,37171921,8727000,"Production_kg/Import_kg",490,"Oranges; Mandarines",113,7.5,134.58,38.93,1696.53,7.83,0,0,5.36,0,0,28.52,228.28,0,0.46,3.67,0,0,0.3,0,1.84,1.8,0,3.56,5.22,5.51,0,0,14.75,0,4.55
"20","Afghanistan","Peaches and nectarines",0.105333333333333,37171921,61635000,"Production_kg/Import_kg",534,"Peaches and nectarines",128,75.68,1308.91,272.33,17644.27,23.08,0,0,16.23,1.01,0.25,329,1857.5,0.12,2.11,38.93,0,0,1.11,0,9.68,14.17,0,26.45,86.58,100.43,0,0,133.17,0.9,13.38
"21","Afghanistan","Pears",0.04975,37171921,8251000,"Production_kg/Import_kg",521,"Pears",123,23.13,202.26,133.6,5635.74,1.92,0,0,5.16,0.84,0.1,48.19,877.46,0,1.53,5.84,0,0,0,0,2.28,3.12,0,9.37,36.59,41.05,0,0,37.86,0.13,5.13
"22","Afghanistan","Pistachios",0.0315019230769231,37171921,2889000,"Production_kg/Import_kg",223,"Pistachios",47,149.08,4990.63,12874,5249.48,0.69,0,0,29.85,1.46,0.66,246.34,1685.89,0.32,93.43,117.03,0.18,0,0.39,0.42,0,29.85,0.3,1302.16,7255.89,2929,0,0,1,0.61,11.6
"23","Afghanistan","Plums and sloes",0.0704444444444444,37171921,7715000,"Production_kg/Import_kg",536,"Plums and sloes",129,15.85,217.04,86.62,3648.67,4.57,0,0,5.4,0.24,0,57.94,245.52,0,0.2,7.25,0,0,0.18,0,0.56,2.06,0,9.87,78.67,25.63,0,0,24.62,0.15,1.92
