"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Albania","Alfalfa meal and pellets",0.0651708222811671,2882740,5000,"Import_kg",862,"Mixed grain",12,0.93,30.42,6.6,196.13,0,0,0,0,0,0,0.92,28.12,0,0,0.84,0,0,0,0,0,0.32,0,1.17,1.42,2.78,0,0,0,0,0
"2","Albania","Almonds shelled",0.0296505238073522,2882740,512000,"Import_kg",231,"Almonds; with shell",45,356.64,12704.94,30642.97,10816.08,6.23,0,0,145.39,1.87,2.17,471.62,4342.8,0.61,2.89,289.14,0.13,0.46,2.34,0,31.21,192.58,1.25,2366.68,20231.77,6987.12,0,0,2.98,1.76,38.94
"3","Albania","Almonds, with shell",0.0296505238073522,2882740,10000,"Import_kg",221,"Almonds; with shell",45,6.97,248.14,598.5,211.25,0.12,0,0,2.84,0,0,9.21,84.82,0,0,5.65,0,0,0,0,0.61,3.76,0,46.22,395.15,136.47,0,0,0,0,0.76
"4","Albania","Anise, badian, fennel, coriander",0.00195,2882740,10000,"Import_kg",711,"Anise; badian; fennel; coriander",161,61.83,2813.09,2549.36,8313.4,1.86,0,0,144.68,5.71,0.82,263.9,4247.7,0.17,13.16,81.85,0,0,0.55,0,97.46,56.04,0.49,149.82,1936.73,467.54,0,0,1.77,1.2,0
"5","Albania","Apples",0.121111111111111,2882740,7573000,"Import_kg",515,"Apples",119,121.76,673.32,638.98,28382.6,31.49,0,0,16.81,1.52,0.14,223.11,3072.88,0,12.63,23.55,0,0,0.41,0,351.83,10.12,0,84.59,18.44,142.08,0,0,183.3,0.56,21.69
"6","Albania","Apricots",0.03995,2882740,8e+05,"Import_kg",526,"Apricots",125,34.32,694.65,177.63,7907.93,4.64,0,0,11.81,0.55,0.15,202.61,949.36,0,0.92,16.56,0,0,0.54,0,1.95,6.95,0,19.8,118.09,54.53,0,0,59.47,0.55,5.9
"7","Albania","Apricots, dry",0.03995,2882740,18000,"Import_kg",527,"Apricots",125,0.77,15.63,4,177.93,0.1,0,0,0.27,0,0,4.56,21.36,0,0,0.37,0,0,0,0,0,0.16,0,0.45,2.66,1.23,0,0,1.34,0,0.13
"8","Albania","Asparagus",0.0845294117647059,2882740,2000,"Import_kg",367,"Asparagus",80,0,1.77,0.17,2.5,0,0,0,0,0,0,0.18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Albania","Avocados",0.048,2882740,222000,"Import_kg",572,"Avocados",141,23.37,258.06,2260.17,696.3,2.05,0,0,3.3,0.15,0,81.83,703.25,0,1.06,27.23,0,0,0.22,0,2.28,4.85,0,383.69,1274.24,266.97,0,0,12.34,0.19,6.1
"10","Albania","Bananas",0.04075,2882740,38810000,"Import_kg",486,"Bananas",117,3328.14,40165.65,7681.28,771242.84,351.73,1.21,0.62,325.48,26.39,5.45,11226.23,51659.04,3.05,209.69,837.96,1.77,1.67,28.13,11.53,323.77,936.07,8.92,3667.19,858.98,1866.63,0,0,2406.57,27.38,1172.84
"11","Albania","Barley",0.04775,2882740,6058000,"Import_kg",44,"Barley",3,1514.57,40244.86,6124.33,328125.27,2.93,0,0,245.36,34.23,11.13,1133.26,36454.87,2.81,94.18,1287.17,1.16,0.57,23.53,1.27,166.36,341.81,6.26,1597.56,977.02,3670.43,0,0,51.68,8.06,0
"12","Albania","Barley, pearled",0.04775,2882740,4000,"Import_kg",46,"Barley",3,1,26.57,4.04,216.66,0,0,0,0.16,0,0,0.75,24.07,0,0,0.85,0,0,0,0,0.11,0.23,0,1.05,0.65,2.42,0,0,0,0,0
"13","Albania","Beans, dry",0.1145,2882740,2274000,"Import_kg",176,"Beans",30,227.02,14668.95,945.86,39958.97,1.25,0,0.28,96.39,5.02,2.01,805.56,8544.68,0.6,10.76,266.45,0.31,0.15,1.38,0.27,76.06,119.11,0.9,212.96,94.56,327.63,0,0,8.08,2.63,0
"14","Albania","Beans, green",0.0843965476190476,2882740,8000,"Import_kg",414,"Beans; green",92,0.16,14.99,1.79,24.6,0,0,0,0.21,0,0,0.96,7.37,0,0,0.35,0,0,0,0,0,0,0,0.16,0,0.31,0,0,0.27,0,0
"15","Albania","Beet pulp",0.125770747489689,2882740,2294000,"Import_kg",169,"Roots and tubers; nes",23,64.7,1226.52,484.87,13725.55,9.16,0,0,21.11,1.81,0.19,307.18,1125.57,0,9.51,42.19,0,0,0.76,0.1,13.79,27.21,0.11,12.97,2.69,28.63,0,0,45.68,0.66,13.81
"16","Albania","Bran, maize",0.0538461538461538,2882740,15541000,"Import_kg",59,"Corn Flour",223,3559.7,85079.09,32843.06,730280.95,3.65,0.13,0.19,280.73,37.89,13.3,2131.43,44828.52,1.58,71.39,1971.24,2.68,1.04,17.88,2.09,0,576.4,0.56,2956.03,10697.77,17758.7,0,0,104.33,11.55,0
"17","Albania","Bran, wheat",0.0374838709677419,2882740,10717000,"Import_kg",17,"Wheat Flour",222,3426.84,113778.23,15002.86,705636.09,1.85,0,0.25,396.61,27,12.73,1705.89,13025.62,0.97,320.15,1834.99,3.47,1.31,22.71,1.21,103.15,449.62,8.34,1537.29,862.86,4096.13,0,0,114.88,9.48,0
"18","Albania","Broad beans, horse beans, dry",0.052,2882740,2000,"Import_kg",181,"Broad beans; horse beans; dry",32,0.45,32.02,2.12,73.38,0,0,0,0.13,0,0,1.59,25.84,0,0,0.51,0,0,0,0,0.13,0.26,0,0.34,0.4,0.81,0,0,0,0,0
"19","Albania","Cabbages and other brassicas",0.08324,2882740,26000,"Import_kg",358,"Cabbages and other brassicas",78,0.29,24.61,3.3,47.49,0.66,0,0,1.33,0,0,3.09,23.91,0,0.43,0.76,0,0,0,0,0.27,0.26,0,0.37,0.19,0.95,0,0,0.98,0,0.3
"20","Albania","Cake, soybeans",0.014,2882740,9224000,"Import_kg",238,"Soyabean Oil",63,20435.61,0,2283011.33,190.46,0,0,0,35.55,6.6,7.47,0,0,0,35.55,0.82,0,0,0,0,4.57,0,0,604857.39,534610.18,1035224.83,0,0,0.21,0,0
"21","Albania","Cake, sunflower",0.0244,2882740,997000,"Import_kg",269,"Sunflowerseed Oil",65,1268.13,0,141112.85,0,0,0,0,0.94,0.49,0,0,0,0,1.32,0,0,0,0,0,0,0,0,14871.14,41776.22,80965.64,0,0,0,0,0
