"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Algeria","Almonds, with shell",0.0296505238073522,42228408,112000,"Import_kg",221,"Almonds; with shell",45,5.33,189.72,457.59,161.52,0,0,0,2.17,0,0,7.04,64.85,0,0,4.32,0,0,0,0,0.47,2.88,0,35.34,302.12,104.34,0,0,0,0,0.58
"2","Algeria","Apples",0.121111111111111,42228408,14210000,"Import_kg",515,"Apples",119,15.6,86.25,81.85,3635.63,4.03,0,0,2.15,0.19,0,28.58,393.62,0,1.62,3.02,0,0,0,0,45.07,1.3,0,10.84,2.36,18.2,0,0,23.48,0,2.78
"3","Algeria","Apricots",0.03995,42228408,1000,"Import_kg",526,"Apricots",125,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Algeria","Bananas",0.04075,42228408,206603000,"Import_kg",486,"Bananas",117,1209.47,14596.49,2791.43,280275.34,127.82,0.44,0.22,118.28,9.59,1.98,4079.69,18773.28,1.11,76.2,304.52,0.64,0.61,10.22,4.19,117.66,340.17,3.24,1332.68,312.16,678.35,0,0,874.57,9.95,426.22
"5","Algeria","Barley",0.04775,42228408,122297000,"Import_kg",44,"Barley",3,2087.26,55462.28,8440.06,452196.27,4.04,0,0.13,338.13,47.18,15.33,1561.76,50239.22,3.88,129.79,1773.88,1.6,0.78,32.43,1.75,229.26,471.06,8.62,2201.63,1346.45,5058.29,0,0,71.22,11.11,0
"6","Algeria","Beans, dry",0.1145,42228408,70888000,"Import_kg",176,"Beans",30,483.11,31216.34,2012.84,85034.92,2.66,0,0.6,205.13,10.69,4.28,1714.28,18183.56,1.28,22.9,567.02,0.66,0.32,2.93,0.57,161.86,253.48,1.91,453.19,201.24,697.21,0,0,17.19,5.6,0
"7","Algeria","Broad beans, horse beans, dry",0.052,42228408,2115000,"Import_kg",181,"Broad beans; horse beans; dry",32,32.22,2311.39,152.98,5297.27,0.26,0,0,9.54,0.78,0.34,114.93,1865.34,0,1.76,36.74,0,0,0.25,0,9.23,18.44,0.16,24.27,29.04,58.13,0,0,1,0.29,2.6
"8","Algeria","Cabbages and other brassicas",0.08324,42228408,11000,"Import_kg",358,"Cabbages and other brassicas",78,0,0.71,0,1.37,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Algeria","Cherries",0.1289,42228408,7000,"Import_kg",531,"Cherries",127,0,0.14,0,1.34,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Algeria","Chick peas",0.04575,42228408,75377000,"Import_kg",191,"Chick peas",33,1374.35,75862.16,19640.07,227526.84,8.19,0,1.45,532.04,27.03,13.45,3156.4,29782.23,3.58,78.27,1211.06,1.54,0.69,6.88,2.09,572.17,386.26,43.92,2405.34,5319.84,10380.21,0,0,40.96,11.58,0
"11","Algeria","Chillies and peppers, dry",4e-04,42228408,4261000,"Import_kg",689,"Pimento",156,6065.86,258511.52,225166.47,1035203.41,1902.87,17.13,1.38,5233.48,184.15,66.66,45961.61,560519.71,16.64,11446.26,4689.98,7.04,10.99,139.17,43.48,1299.13,3872.18,54.93,66848.66,42926.09,155526.14,0,0,707.04,150.95,0
"12","Algeria","Chillies and peppers, green",0.0664142191142191,42228408,21000,"Import_kg",401,"Chillies and peppers; green",88,0,1.33,0.5,5.17,0,0,0,0,0,0,0.21,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0
"13","Algeria","Dates",0.0393863636363636,42228408,563000,"Import_kg",577,"Dates",121,6.73,59.49,9.94,1724.99,0.23,0,0,1.4,0,0,20.43,167.22,0,0,2.72,0,0,0,0,0.27,1.37,0,0.54,0.61,0.32,0,0,1.28,0,0.59
"14","Algeria","Figs",0.0504615384615385,42228408,52000,"Import_kg",569,"Figs",139,0.13,2.47,0.51,30.42,0,0,0,0.11,0,0,0.54,5.37,0,0,0,0,0,0,0,0,0,0,0.11,0.13,0.27,0,0,0.2,0,0
"15","Algeria","Fruit, fresh nes",0.107099201828105,42228408,11000,"Import_kg",619,"Fresh fruit; nes",147,0,0.37,0.19,4.69,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Algeria","Garlic",0.00732,42228408,6200000,"Import_kg",406,"Garlic",90,244.66,10191.35,502.05,51240.04,26.65,0,0,103.1,2.79,2.34,885.54,3184.12,0.97,34.94,406.78,0.28,0.16,1.07,2.03,46.53,78.22,2.68,179.51,21.06,480.38,0,0,131.19,2.91,26.07
"17","Algeria","Grapes",0.1235,42228408,173000,"Import_kg",560,"Grapes",122,0.2,1.78,0.79,48.45,0,0,0,0,0,0,0.6,7.01,0,0,0,0,0,0,0,0,0,0,0.4,0,0.31,0,0,0.28,0,0
"18","Algeria","Lentils",0.0454634146341463,42228408,75435000,"Import_kg",201,"Lentils",36,1290.03,90784.58,4108.49,220502.81,6.74,0,1.06,270.84,36.75,11.38,3276.97,45284.24,4.58,45.07,1282.13,1.54,0.92,8.58,2.4,776.81,301.24,4.7,557.95,693.51,1721,0,0,45.16,10.62,0
"19","Algeria","Maize",0.0869363057324841,42228408,4356206000,"Import_kg",56,"Maize",4,41928.33,1025560.18,406153.67,8563896.42,81.37,2.62,2.76,2475.85,386.12,212.93,34957.73,614524.37,21.41,1108.93,25973.23,31.64,14.05,306.07,42.05,0,13013.11,28.77,70216.76,152803.77,286651.69,0,0,1478.62,148.95,0
"20","Algeria","Oats",0.0434605263157895,42228408,448000,"Import_kg",75,"Oats",6,8.92,333.34,150.58,1582.54,0,0,0,1.44,0.13,0,9.95,108.02,0,0.59,8.87,0,0,0,0,0,4.32,0.12,29.01,53.56,60.72,0,0,0.26,0,0
"21","Algeria","Oranges",0.138371428571429,42228408,6300000,"Import_kg",490,"Oranges; Mandarines",113,4.77,85.52,24.74,1078.07,4.98,0,0,3.41,0,0,18.12,145.06,0,0.29,2.33,0,0,0.19,0,1.17,1.14,0,2.26,3.32,3.5,0,0,9.37,0,2.89
"22","Algeria","Pears",0.04975,42228408,8500000,"Import_kg",521,"Pears",123,20.98,183.42,121.15,5110.62,1.74,0,0,4.68,0.77,0,43.7,795.7,0,1.39,5.3,0,0,0,0,2.06,2.83,0,8.5,33.18,37.22,0,0,34.33,0.12,4.65
"23","Algeria","Peas, dry",0.0623254069051863,42228408,10780000,"Import_kg",187,"Cow peas; dry",34,135.57,8874.58,606.05,23055.52,0.39,0,0.17,39.56,3.17,1.72,408.48,4345.06,0.36,10.56,166.31,0.22,0,1.11,0.15,60.76,83.1,0.52,135.57,43.42,222,0,0,4.78,1.44,0
"24","Algeria","Peas, green",0.0753287037037037,42228408,53000,"Import_kg",417,"Peas; green",93,0.11,13.09,0.65,18.72,0,0,0,0,0,0,0.36,5.43,0,0,0.22,0,0,0,0,0,0,0,0,0,0.24,0,0,0.12,0,0
"25","Algeria","Potatoes",0.133867924528302,42228408,90467000,"Import_kg",116,"Potatoes",18,128.33,3292.37,217.51,28674.07,25.59,0,0,14.68,1.69,0.66,598.55,2157.01,0.14,16.83,77.47,0.13,0.1,2.2,0.39,56.01,39.47,0.18,47.05,2.24,65.61,0,0,122.21,1.69,35.61
"26","Algeria","Rapeseed",0.0841,42228408,871000,"Import_kg",270,"Rape and Mustardseed",56,12.86,565.07,934.91,638.77,0,0,0,9.27,0.21,0.14,18.1,174.13,0,0.32,18.74,0,0,0.11,0,4.09,9.07,0,48.78,552.26,247.41,0,0,0.16,0.1,0
"27","Algeria","Rice, paddy",0.0488821264103023,42228408,1e+06,"Import_kg",27,"Rice (Milled Equivalent)",2,17.15,360.15,51.69,3764.77,0,0,0,1.67,0.11,0,6.07,80.91,0,0.45,7.57,0,0,0.16,0,0,2.83,0,6.08,8.74,8.14,0,0,0.57,0,0
"28","Algeria","Rice, paddy (rice milled equivalent)",0.0488821264103023,42228408,125237000,"Import_kg",30,"Rice (Milled Equivalent)",2,2148.44,45103.95,6473.39,471487.87,0.21,0,0.12,209.58,13.34,7.53,760.11,10133.23,0.91,56.81,947.78,1.08,0.33,20.29,1.35,0,353.91,6.09,761.42,1095.1,1019.27,0,0,71.27,5.21,0
"29","Algeria","Sorghum",0.0326666666666667,42228408,18000,"Import_kg",83,"Sorghum",8,0.46,15.32,4.54,93.07,0,0,0,0,0,0,0.41,4.4,0,0,0.47,0,0,0,0,0,0.33,0,0.8,1.48,2.03,0,0,0,0,0
"30","Algeria","Sunflower seed",0.0295859213250518,42228408,10759000,"Import_kg",267,"Sunflowerseed",55,478.74,16539.95,37566.52,25743.41,0.69,0,0.2,124.44,4.57,2.37,673.85,10190.35,1.55,12.63,584.15,1.34,0.19,5.87,1.16,47.45,279.88,1.68,4071.12,11852.96,28477.15,0,0,4.43,2.99,39.61
"31","Algeria","Vegetables, fresh nes",0.075156077445368,42228408,68000,"Import_kg",463,"Vegetables; fresh; nes",101,0.1,6.84,1.43,17.13,0.1,0,0,0.42,0,0,0.84,10.13,0,0.1,0.17,0,0,0,0,0,0.11,0,0.15,0.14,0.28,0,0,0.18,0,0
"32","Algeria","Watermelons",0.193615384615385,42228408,2000,"Import_kg",567,"Watermelons",110,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Algeria","Wheat",0.0442045454545455,42228408,6775910000,"Import_kg",15,"Wheat",1,122260.71,4153072.06,666996.17,25173992.04,121,0,14.7,15441.54,1427.92,895.03,124183.29,1836735.02,170.61,2693.39,111208.38,120.75,74.41,1672.75,204.73,11325.32,49639.03,976.08,156086.18,102726.48,423610.63,0,0,4048.56,686.57,0
