"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Antigua and Barbuda","Bananas",0.04075,96286,276000,"Production_kg",486,"Bananas",117,708.61,8551.9,1635.47,164209.74,74.89,0.26,0.13,69.3,5.62,1.16,2390.24,10999.02,0.65,44.65,178.41,0.38,0.36,5.99,2.45,68.94,199.3,1.9,780.8,182.89,397.44,0,0,512.4,5.83,249.72
"2","Antigua and Barbuda","Beans, green",0.0843965476190476,96286,102000,"Production_kg",414,"Beans; green",92,59.88,5723.39,683.36,9392.21,28.77,0,0,79.03,2.73,0.58,365.35,2812.5,0,20.82,133.81,0.16,1.25,1.1,0.17,10.17,37.66,0.11,61.09,23.01,117.99,0,0,104.33,1.43,15.56
"3","Antigua and Barbuda","Cabbages and other brassicas",0.08324,96286,128000,"Production_kg",358,"Cabbages and other brassicas",78,42.91,3627.13,486.76,6999.18,97.94,0.37,0,195.99,2.76,0.54,456.05,3524.49,0.25,62.77,112.6,0,0.16,1.24,0.29,39.38,38.99,0.4,54.79,28.62,140.29,0,0,145.08,1.77,44.08
"4","Antigua and Barbuda","Carrots and turnips",0.0830718954248366,96286,306000,"Production_kg",426,"Carrots and turnips",96,115.66,5009.46,895.78,22444.55,104.73,2.33,0,253.77,5.93,0.99,1113.39,7768.78,0.23,180.59,455.75,0.2,0.36,2.97,0.7,400.16,46.55,0.55,123.7,56.11,289.47,0,0,341.43,4.8,87.99
"5","Antigua and Barbuda","Cassava",0.108277777777778,96286,159000,"Production_kg",125,"Cassava",17,212.12,2786.84,723.91,47344.38,49.11,0,0,59.46,1.86,0.52,573.43,2257.13,0.15,14.03,60.1,0,0,0.87,0.13,36.14,32.03,0.59,132.68,133.45,67.1,0,0,95.82,2.14,32.03
"6","Antigua and Barbuda","Chillies and peppers, green",0.0664142191142191,96286,1e+05,"Production_kg",401,"Chillies and peppers; green",88,61.29,2784.29,1039.22,10802.38,180.33,0.19,0,43.23,2.54,0.49,440.87,5027.03,0.24,11.09,159.32,0.2,0.19,1.86,0.55,12.63,56.42,0.37,65.21,27.9,285.35,0,0,138.03,1.38,25.89
"7","Antigua and Barbuda","Cucumbers and gherkins",0.0675,96286,70000,"Production_kg",397,"Cucumbers and gherkins",86,15.04,695.01,127.34,2725.23,10.65,0,0,17.23,0.48,0.21,153.54,702.64,0,7.15,39.07,0,0,0.21,0,6.46,13.46,0,36.08,2.69,28,0,0,103.13,0.45,16.69
"8","Antigua and Barbuda","Eggplants (aubergines)",0.082,96286,408000,"Production_kg",399,"Eggplants (aubergines)",87,140.95,5964.67,3739.57,27339.4,34.09,0,0.14,88.44,3.15,0.99,1037.75,10711.56,0.52,27.71,226.29,0.26,0.47,6.66,0.45,152.18,66.32,1.2,139.52,67.18,299.72,0,0,474.22,6.18,105.93
"9","Antigua and Barbuda","Fruit, tropical fresh nes",0.1073859375,96286,6413000,"Production_kg",603,"Fruit; tropical fresh; nes",146,5808.89,91774.49,74157.22,1287881.31,6661.9,2.67,1.04,2007.52,108.47,23.23,15576.08,180296.55,6.88,608.25,2229.17,17.08,18.13,65.13,9.5,491.22,1744.91,13.64,46210.36,102201.78,23367.05,0,0,4728.82,47.41,2447.08
"10","Antigua and Barbuda","Lemons and limes",0.0785,96286,469000,"Production_kg",497,"Lemons; Limes",114,234.11,4703.77,2590.74,51572.21,255.52,0,0,234.72,3.61,1.17,1301.78,8252.62,1.18,28.16,121.76,0.22,0.18,2.8,0.36,31.65,62.05,0.12,208.9,82.73,421.94,0,0,553.09,2.27,217.17
"11","Antigua and Barbuda","Maize",0.0869363057324841,96286,80000,"Production_kg",56,"Maize",4,337.7,8260.08,3271.25,68975.45,0.66,0,0,19.94,3.11,1.71,281.56,4949.51,0.17,8.93,209.19,0.25,0.11,2.47,0.34,0,104.81,0.23,565.54,1230.71,2308.75,0,0,11.91,1.2,0
"12","Antigua and Barbuda","Mangoes, mangosteens, guavas",0.09628125,96286,1397000,"Production_kg",571,"Mangos; mangosteens; guavas",140,924.83,11320.67,3724.42,207897.27,1303.72,1.94,0.44,266.39,7.96,2.05,2708.3,40184.66,1.12,159.67,288.52,0.7,0.83,17.42,1.76,114.53,685.65,0.8,2302.58,1136.22,2537.66,0,0,1250.7,8.93,399.34
"13","Antigua and Barbuda","Melons, other (inc.cantaloupes)",0.179843076923077,96286,1128000,"Production_kg",568,"Other melons (inc. cantaloupes)",111,185.62,3525.41,990.68,41912.27,151.24,0.33,0,99.41,3.48,0.74,1665.97,4466.79,0.25,79.12,106.91,0.18,0.15,3.09,0.62,49.51,70.35,0.22,247.53,17.37,388.67,0,0,602.38,3.12,310.5
"14","Antigua and Barbuda","Onions, dry",0.093304347826087,96286,382000,"Production_kg",403,"Onions",77,167.9,4893.72,597.6,35524.7,37.81,0,0,176.25,3.03,1.68,549.36,6037.91,0.12,42.71,221.78,0.14,0.16,1.02,0.47,25.94,50.74,0.27,144.57,103.47,236.7,0,0,383.61,2.21,34.02
"15","Antigua and Barbuda","Pineapples",0.1096,96286,494000,"Production_kg",574,"Pineapples",120,221.29,2151.99,994.56,51736.15,104.16,0,0,167.84,2.82,0.44,751.04,3897.84,0.52,21.7,44.88,0.32,0.2,1.45,0.46,764.2,55.39,4.34,91.28,124.05,280.87,0,0,407.8,1.5,191.93
