"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Armenia","Apples",0.121111111111111,2951745,81674000,"Production_kg",515,"Apples",119,1282.49,7091.96,6730.22,298947.36,331.7,0.13,0,177.06,16.02,1.46,2349.93,32365.97,0.66,133.08,248.05,1.04,0.65,4.28,0.92,3705.71,106.62,0.8,891.02,194.2,1496.45,0,0,1930.62,5.88,228.47
"2","Armenia","Apricots",0.03995,2951745,68113000,"Production_kg",526,"Apricots",125,2853.39,57760.96,14770.3,657550.75,386.04,7.39,0.52,981.94,45.88,12.71,16846.95,78939.98,4.51,76.53,1376.64,1.35,6.45,45.05,3.12,161.73,577.61,4.45,1646.19,9819.36,4534.24,0,0,4944.75,45.63,490.97
"3","Armenia","Barley",0.04775,2951745,68333000,"Production_kg",44,"Barley",3,16684.65,443341.35,67466.18,3614660.66,32.32,0,1.02,2702.86,377.11,122.56,12484.05,401590.48,31,1037.51,14179.59,12.75,6.27,259.24,14.01,1832.61,3765.42,68.92,17598.87,10762.95,40433.78,0,0,569.29,88.82,0
"4","Armenia","Beans, dry",0.1145,2951745,2731000,"Production_kg",176,"Beans",30,266.27,17205.09,1109.39,46867.54,1.47,0,0.33,113.06,5.89,2.36,944.84,10021.98,0.7,12.62,312.52,0.37,0.18,1.62,0.31,89.21,139.7,1.05,249.78,110.91,384.27,0,0,9.47,3.09,0
"5","Armenia","Berries nes",0.109406559397488,2951745,12566000,"Production_kg",558,"Berries; nes",138,220.24,3621.52,1753.78,49911.42,180.19,0.29,0,142.58,5.98,1.65,643.33,11206.43,0.44,23.5,87.55,0.1,0.22,1.9,0.19,38,63.23,3.68,70.04,163.43,849.24,0,0,334.06,1.97,3.11
"6","Armenia","Cabbages and other brassicas",0.08324,2951745,79513000,"Production_kg",358,"Cabbages and other brassicas",78,869.42,73498.05,9863.39,141827.18,1984.55,7.46,2.02,3971.36,56.01,11.04,9241.12,71418.25,5.01,1272.03,2281.58,1.96,3.33,25.08,5.83,797.89,790.16,8.2,1110.24,580.02,2842.82,0,0,2939.83,35.8,893.17
"7","Armenia","Carrots and turnips",0.0830718954248366,2951745,13170000,"Production_kg",426,"Carrots and turnips",96,162.39,7032.99,1257.62,31510.81,147.03,3.27,0.12,356.27,8.33,1.39,1563.13,10906.91,0.32,253.53,639.84,0.28,0.5,4.16,0.98,561.8,65.35,0.77,173.66,78.77,406.4,0,0,479.35,6.74,123.53
"8","Armenia","Cauliflowers and broccoli",0.103835520801038,2951745,15147000,"Production_kg",393,"Cauliflowers and broccoli",84,141.66,15308.4,1597.91,20108.96,399.66,2.68,0.3,216.64,5.37,2.08,1464.24,9389.78,0.21,147.93,536.78,0.54,0.54,3.54,0.89,312.99,88.96,0.9,307.64,92.66,159.38,0,0,428.05,5.34,237.22
"9","Armenia","Cereals nes",0.0486257263475995,2951745,5775000,"Production_kg",108,"Cereals; nes",13,1401.19,52403.83,18518.73,295694.12,4.33,0,0,584.17,89.22,15.3,1718.05,12702.85,3.26,31.38,1531.44,1.44,1.07,5.87,1.94,52.71,740.33,37.18,1806.56,2369.86,4309.2,0,0,43.91,15.77,0
"10","Armenia","Cherries",0.1289,2951745,12813000,"Production_kg",531,"Cherries",127,153.52,3665.06,583.72,35067.83,42.16,0,0,92.95,1.71,0.24,836.85,3535.97,0.2,5.05,78.8,0,0,2.33,0.17,20.54,37.04,0.24,127.97,158.28,175.11,0,0,277.41,2.29,26.94
"11","Armenia","Cherries, sour",0.028,2951745,3157000,"Production_kg",530,"Sour cherries",126,180.8,4201.75,1018.61,42501.36,38.2,0.19,0,52.2,1.55,0.63,660.82,4583.73,0.4,21.01,63.03,0,0.11,1.53,0.17,23.3,34.38,0.43,259.74,313.22,343.78,0,0,332.36,1.53,42.02
"12","Armenia","Cucumbers and gherkins",0.0675,2951745,44141000,"Production_kg",397,"Cucumbers and gherkins",86,309.28,14296.09,2619.43,56057.29,218.99,0.11,0.21,354.47,9.86,4.25,3158.23,14453.09,1.2,147.05,803.56,0.58,0.7,4.22,0.89,132.93,276.93,1.75,742.17,55.39,576.01,0,0,2121.44,9.2,343.39
"13","Armenia","Figs",0.0504615384615385,2951745,1234000,"Production_kg",569,"Figs",139,44.87,840.07,173.98,10328.63,7.01,0,0,38.7,0.72,0.32,183.23,1822.63,0,1.83,20.09,0,0,0.35,0,3.89,14.08,0.11,38.66,43.08,92.24,0,0,69.41,0.61,6.21
"14","Armenia","Fruit, fresh nes",0.107099201828105,2951745,2333000,"Production_kg",619,"Fresh fruit; nes",147,66.42,1127.13,562.13,14223.08,28.78,0,0,39.59,2.69,0.19,205.58,2562.83,0,8.24,30.88,0,0,0.74,0,51.53,23.55,0.15,90.33,62.24,86.02,0,0,55.86,0.67,20.54
"15","Armenia","Fruit, tropical fresh nes",0.1073859375,2951745,6504000,"Production_kg",603,"Fruit; tropical fresh; nes",146,192.17,3036.17,2453.34,42606.85,220.4,0,0,66.41,3.59,0.77,515.3,5964.73,0.23,20.12,73.75,0.57,0.6,2.15,0.31,16.25,57.73,0.45,1528.77,3381.13,773.05,0,0,156.44,1.57,80.96
"16","Armenia","Garlic",0.00732,2951745,10081000,"Production_kg",406,"Garlic",90,5691.12,237066.11,11678.52,1191920.34,619.83,0,0.16,2398.15,64.85,54.38,20598.92,74067.46,22.52,812.76,9462.23,6.58,3.76,24.99,47.24,1082.43,1819.61,62.33,4175.77,489.89,11174.27,0,0,3051.73,67.63,606.54
"17","Armenia","Grapes",0.1235,2951745,217524000,"Production_kg",560,"Grapes",122,3670.85,32032.34,14131.11,871559.93,306.64,0.26,0.18,891.92,36.78,4.26,10812.34,126160.98,5.8,191.94,1213.3,2.58,7.99,13.01,5.85,334.16,1611.11,41.2,7120.71,815.5,5569.27,0,0,4967.56,28.28,835.39
"18","Armenia","Hazelnuts, with shell",0.03,2951745,347000,"Production_kg",225,"Hazelnuts; with shell",49,232.11,6116.26,21581.61,8189.84,1.43,0,0,74.36,1.84,1.62,261.5,2997.72,0.68,2.52,124.87,0.22,0.12,1.54,0.22,17.87,63.87,2.42,1462.42,10512,8409.29,0,0,2.43,1.04,22.92
